"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0008A-1H-3, 0.0 cm",,1.620,1.635,1.620,1.635,"C0008A-1H-3, 22.0 cm",,1.838,1.855,1.838,1.855,"C0008A-1H-3 WR, 0.0--22.0 cm",KCC000000000002795500,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,7.77,5.903,kames,2010-07-06T03:02:03Z
"C0008A-1H-3, 11.0 cm",,1.729,1.745,1.729,1.745,"C0008A-1H-3, 11.0 cm",,1.729,1.745,1.729,1.745,,,,,,,,,,1.33934,35.27778,554.637,25.30573,514.7927,168.6275,450.8752,480.9446,48.63543,635.5388,16.2838,23.85982,23.89225,29.5555,553.7993,11.75542,8.708116,6.438553,2.480199,0.8376867,81.88011,0,maedal,2008-06-09T01:44:01Z,,,,
"C0008A-1H-7, 0.0 cm",,5.380,5.430,5.380,5.430,"C0008A-1H-7, 22.0 cm",,5.598,5.650,5.598,5.650,"C0008A-1H-7 WR, 0.0--22.0 cm",KCC000000000002795600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,8.22,19.038,kames,2010-07-06T03:02:03Z
"C0008A-1H-7, 11.0 cm",,5.489,5.540,5.489,5.540,"C0008A-1H-7, 11.0 cm",,5.489,5.540,5.489,5.540,,,,,,,,,,1.33917,34.33333,561.4102,20.39082,472.5397,607.8431,445.8795,490.1158,42.26686,613.3047,23.37282,7.777323,6.146809,8.632704,560.5396,11.2654,4.413067,0.6267807,1.0888,0.8705431,80.06098,0.5406846,maedal,2008-06-09T01:44:01Z,,,,
"C0008A-2H-2, 0.0 cm",,8.110,8.345,8.110,8.345,"C0008A-2H-2, 23.0 cm",,8.302,8.575,8.302,8.575,"C0008A-2H-2 WR, 0.0--23.0 cm",KCC000000000002795700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,8.17,22.334,kames,2010-07-06T03:02:03Z
"C0008A-2H-2, 11.5 cm",,8.206,8.460,8.206,8.460,"C0008A-2H-2, 11.5 cm",,8.206,8.460,8.206,8.460,,,,,,,,,,1.33912,34.05556,565.5691,20.28564,465.3661,811.7647,441.3203,498.0502,37.98086,615.9942,34.71524,2.274839,1.292468,2.27454,564.6894,10.69778,3.132009,0.4776484,1.508477,0.8796713,81.11266,9.895298,maedal,2008-06-09T01:44:04Z,,,,
"C0008A-2H-8, 0.0 cm",,14.020,15.430,14.020,15.430,"C0008A-2H-8, 23.0 cm",,14.211,15.660,14.211,15.660,"C0008A-2H-8 WR, 0.0--23.0 cm",KCC000000000002795800,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,8.13,20.574,kames,2010-07-06T03:02:03Z
"C0008A-2H-8, 11.5 cm",,14.116,15.545,14.116,15.545,"C0008A-2H-8, 11.5 cm",,14.116,15.545,14.116,15.545,,,,,,,,,,1.3391,33.94444,568.5398,19.12161,437.0445,1454.902,452.1184,502.9029,33.59728,627.4766,43.22206,0,0.2453756,0.5756398,567.6138,10.67205,3.101599,0.4751933,1.070315,0.9260076,84.36966,30.60059,maedal,2008-06-09T01:44:04Z,,,,
"C0008A-3H-3, 0.0 cm",,18.118,18.405,18.118,18.405,"C0008A-3H-3, 23.5 cm",,18.330,18.640,18.330,18.640,"C0008A-3H-3 WR, 0.0--23.5 cm",KCC000000000002795900,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,8.19,19.359,kames,2010-07-06T04:32:16Z
"C0008A-3H-3, 11.7 cm",,18.224,18.522,18.224,18.522,"C0008A-3H-3, 11.7 cm",,18.224,18.522,18.224,18.522,,,,,,,,,,1.33911,34,571.5108,18.26266,426.3429,1800,475.4778,504.886,32.90167,648.0092,46.05767,0,0.3230955,0.6236783,570.5613,11.01972,3.339733,0.2675873,0.5525618,0.9495685,84.967,33.59093,maedal,2008-06-09T01:44:05Z,,,,
"C0008A-3H-8, 0.0 cm",,22.242,22.980,22.242,22.980,"C0008A-3H-8, 23.5 cm",,22.454,23.215,22.454,23.215,"C0008A-3H-8 WR, 0.0--23.5 cm",KCC000000000002796000,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,8.03,17.647,kames,2010-07-06T04:32:17Z
"C0008A-3H-8, 11.7 cm",,22.347,23.097,22.347,23.097,"C0008A-3H-8, 11.7 cm",,22.347,23.097,22.347,23.097,,,,,,,,,,1.33913,34.11111,574.501,16.66507,433.7564,2168.627,471.6932,508.9023,31.26038,654.2233,54.56449,0,0.2651121,0.4205596,573.5298,10.94445,3.456784,0.352716,0.9718361,0.9710951,86.31368,37.62092,maedal,2008-06-09T01:44:05Z,,,,
"C0008A-4H-4, 0.0 cm",,28.668,29.180,28.668,29.180,"C0008A-4H-4, 23.0 cm",,28.870,29.410,28.870,29.410,"C0008A-4H-4 WR, 0.0--23.0 cm",KCC000000000002796100,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,7.93,16.924,kames,2010-07-06T04:32:17Z
"C0008A-4H-4, 11.5 cm",,28.769,29.295,28.769,29.295,"C0008A-4H-4, 11.5 cm",,28.769,29.295,28.769,29.295,,,,,,,,,,1.33914,34.16667,582.5754,15.48362,395.1279,2694.118,466.4741,522.1564,28.20543,611.4569,68.74252,0,0.229328,0.3778608,581.5887,10.05385,3.753285,0.5635916,2.280638,0.9866993,90.91454,42.71949,maedal,2008-06-09T01:44:06Z,,,,
"C0008A-5H-4, 0.0 cm",,38.289,38.720,38.289,38.720,"C0008A-5H-4, 21.5 cm",,38.482,38.935,38.482,38.935,"C0008A-5H-4 WR, 0.0--21.5 cm",KCC000000000002796200,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,7.74,15.428,kames,2010-07-06T04:32:17Z
"C0008A-5H-4, 10.8 cm",,38.386,38.828,38.386,38.828,"C0008A-5H-4, 10.8 cm",,38.386,38.828,38.386,38.828,,,,,,,,,,1.33914,34.16667,583.8982,13.80326,370.3001,3439.216,501.1863,521.467,27.4405,621.2592,90.00957,0,0.2217626,0.2495142,582.8618,10.27374,4.299666,0.9703919,4.777946,1.036383,93.76658,46.90978,maedal,2008-06-09T01:44:06Z,,,,
"C0008A-6H-5, 0.0 cm",,48.619,49.270,48.619,49.270,"C0008A-6H-5, 22.5 cm",,48.816,49.495,48.816,49.495,"C0008A-6H-5 WR, 0.0--22.5 cm",KCC000000000002796300,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:41Z,,,,,,,,,,,,,,,,,,,,,,,,,7.71,15.141,kames,2010-07-06T04:32:17Z
"C0008A-6H-5, 11.2 cm",,48.717,49.382,48.717,49.382,"C0008A-6H-5, 11.2 cm",,48.717,49.382,48.717,49.382,,,,,,,,,,1.33912,34.33333,583.413,14.90401,330.3174,4043.137,483.0782,521.5673,26.17357,548.4771,72.99593,0,0.1691246,0.2637471,582.3456,9.582064,5.187706,4.668186,1.877857,1.067398,96.34704,50.44989,kuriharar,2010-09-29T05:24:40Z,,,,
"C0008A-7H-5, 0.0 cm",,57.898,58.625,57.898,58.625,"C0008A-7H-5, 21.5 cm",,58.083,58.840,58.083,58.840,"C0008A-7H-5 WR, 0.0--21.5 cm",KCC000000000002796400,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7.68,13.579,kames,2010-07-06T04:32:17Z
"C0008A-7H-5, 10.8 cm",,57.991,58.733,57.991,58.733,"C0008A-7H-5, 10.8 cm",,57.991,58.733,57.991,58.733,,,,,,,,,,1.33915,34.22222,583.8883,16.76661,338.1298,4521.569,513.5349,522.8508,24.48075,583.0285,30.46183,0,0.2008112,0.3282508,582.8164,9.941216,5.269925,4.199358,1.952709,1.071917,94.27303,54.49797,maedal,2008-06-09T01:44:06Z,,,,
"C0008A-8H-5, 0.0 cm",,68.250,68.250,68.250,68.250,"C0008A-8H-5, 23.0 cm",,68.480,68.480,68.480,68.480,"C0008A-8H-5 WR, 0.0--23.0 cm",KCC000000000002796500,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7.64,13.61,kames,2010-07-06T04:32:17Z
"C0008A-8H-5, 11.5 cm",,68.365,68.365,68.365,68.365,"C0008A-8H-5, 11.5 cm",,68.365,68.365,68.365,68.365,,,,,,,,,,1.33916,34.27778,585.6311,18.06355,317.3623,4631.373,493.5673,525.5542,23.98456,647.0229,41.80426,0,0.2102542,0.3227326,584.5399,9.445423,5.501184,4.47289,6.514429,1.091268,94.76712,56.6433,maedal,2008-06-09T01:44:07Z,,,,
"C0008A-9H-5, 0.0 cm",,77.560,77.560,77.560,77.560,"C0008A-9H-5, 27.0 cm",,77.830,77.830,77.830,77.830,"C0008A-9H-5 WR, 0.0--27.0 cm",KCC000000000002796600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7.7,13.395,kames,2010-07-06T04:32:17Z
"C0008A-9H-5, 13.5 cm",,77.695,77.695,77.695,77.695,"C0008A-9H-5, 13.5 cm",,77.695,77.695,77.695,77.695,,,,,,,,,,1.33915,34.22222,583.4301,20.1738,341.501,4701.961,507.4126,523.9688,23.41636,532.8216,17.7016,0,0.1530549,0.2486213,582.3173,9.441206,5.607534,3.584377,1.453561,1.11273,94.28529,57.71759,maedal,2008-06-09T01:44:07Z,,,,
"C0008A-10H-6, 0.0 cm",,86.753,87.225,86.753,87.225,"C0008A-10H-6, 28.5 cm",,87.012,87.510,87.012,87.510,"C0008A-10H-6 WR, 0.0--28.5 cm",KCC000000000002796700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7.5,12.448,kames,2010-07-06T04:32:18Z
"C0008A-10H-6, 14.2 cm",,86.882,87.367,86.882,87.367,"C0008A-10H-6, 14.2 cm",,86.882,87.367,86.882,87.367,,,,,,,,,,1.33911,34,582.4327,21.58185,353.4342,4701.961,496.5276,524.1886,22.34694,693.5687,43.22206,0,0.1866412,0.2284058,581.3295,8.838159,5.889705,4.841475,24.22764,1.103242,93.99386,57.88176,maedal,2008-06-09T01:43:59Z,,,,
"C0008A-11H-4, 0.0 cm",,94.176,94.725,94.176,94.725,"C0008A-11H-4, 28.5 cm",,94.424,95.010,94.424,95.010,"C0008A-11H-4 WR, 0.0--28.5 cm",KCC000000000002796800,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:55:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7.53,12.319,kames,2010-07-06T04:32:18Z
