"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0007A-1H-2, 0.0 cm",,1.380,1.415,1.380,1.415,"C0007A-1H-2, 25.0 cm",,1.624,1.665,1.624,1.665,"C0007A-1H-2 WR, 0.0--25.0 cm",KCC000000000002803600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:35:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,4.548,kames,2010-07-06T02:43:38Z
"C0007A-1H-2, 12.5 cm",,1.502,1.540,1.502,1.540,"C0007A-1H-2, 12.5 cm",,1.502,1.540,1.502,1.540,,,,,,,,,,1.3394,35.33333,546.2365,25.44263,497.6012,166.7772,464.8731,459.8156,48.06083,495.735,10.10285,26.73081,26.59341,31.06675,545.407,12.0023,9.494535,7.654178,12.21398,2.108857,791.9056,0.8294702,1.775228,78.93536,95.72778,3.605068,0,1.137677,6.963327,maedal,2008-06-09T01:43:50Z,,,,
"C0007A-1H-4, 0.0 cm",,2.657,2.725,2.657,2.725,"C0007A-1H-4, 22.0 cm",,2.872,2.945,2.872,2.945,"C0007A-1H-4 WR, 0.0--22.0 cm",KCC000000000002803700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:35:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,5.338,kames,2010-07-06T02:43:38Z
"C0007A-1H-4, 12.5 cm",,2.779,2.850,2.779,2.850,"C0007A-1H-4, 12.5 cm",,2.779,2.850,2.779,2.850,,,,,,,,,,1.33941,35.38889,546.1376,23.73212,521.9888,385.6972,445.4706,462.3398,47.86319,506.4254,11.49635,25.43949,25.27014,29.52322,545.2937,11.93182,8.734584,35.02654,8.45279,1.000119,693.4945,0.8438693,1.752667,77.04321,257.4904,4.069642,0,0.4733075,1.510895,maedal,2008-06-09T01:43:51Z,,,,
