"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0015C-1H-1, 30.0 cm",,6.790,6.800,6.790,6.800,"C0015C-1H-1, 40.0 cm",,6.886,6.900,6.886,6.900,"C0015C-1H-1 WR, 30.0--40.0 cm",CKY000000000003136900,IWIC,,4.0,sebastian331,,CKY,2010-09-18T14:23:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,2.701,"pore water chemistry/alkalinity full result/C0015C-1H-1 WR, 30.0--40.0 cm IWIC (1).pdf",yamamoton,2010-10-22T02:01:28Z
"C0015C-1H-1, 35.0 cm",,6.838,6.850,6.838,6.850,"C0015C-1H-1, 35.0 cm",,6.838,6.850,6.838,6.850,,,,,,,,,,1.33883,502.8417963,43.39325816,362.7934381,0.055500265,430.7215122,47.9079325,124.8542432,0.261843814,2.976808305,26.69510398,9.850637368,9.89659607,12.0310715,0.501189184,422.0768061,0.801584945,1543.061351,75.77986439,1508.115487,7.965593765,0.728531355,24.4484695,moriyas,2010-12-03T02:29:48Z,,,,,
"C0015C-1H-3, 15.0 cm",,8.725,8.805,8.725,8.805,"C0015C-1H-3, 25.0 cm",,8.821,8.905,8.821,8.905,"C0015C-1H-3 WR, 15.0--25.0 cm",CKY000000000003138000,IWIC,,4.0,sebastian331,,CKY,2010-09-18T14:32:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,2.444,"pore water chemistry/alkalinity full result/C0015C-1H-3 WR, 15.0--25.0 cm IWIC (1).pdf",yamamoton,2010-10-22T02:07:06Z
"C0015C-1H-3, 20.0 cm",,8.773,8.855,8.773,8.855,"C0015C-1H-3, 20.0 cm",,8.773,8.855,8.773,8.855,,,,,,,,,,1.33926,541.3983557,40.89823711,403.1001746,0.01970664,469.7142677,52.67146376,154.4571519,0.334796996,1.540477667,28.9680873,10.76116297,10.62123401,0.976528426,0.592365156,128.0417457,0.883271234,1546.406203,83.84829057,241.2693674,16.5940323,0.352912468,8.168433449,moriyas,2010-12-03T02:29:48Z,,,,,
