"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::NO2 concentration: IC [mM]::number","pore water chemistry; sample::NO3 concentration: IC [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::HS concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe(II) concentration: spectrophotometer, 3rd party [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0012A-44R-2, 2.0 cm",,453.275,453.275,453.275,453.275,"C0012A-44R-2, 44.0 cm",,453.695,453.695,453.695,453.695,"C0012A-44R-2 WR, 2.0--44.0 cm",CKY000000000000878510,IWIC,,4.0,christine322,,CKY,2009-09-30T23:06:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,1.3,"pore water chemistry/alkalinity full result/C0012A-44R-2 WR, 2.0--44.0 cm IWIC (1).pdf",taketomoy,2009-09-30T16:06:38Z
"C0012A-44R-2, 23.0 cm",,453.485,453.485,453.485,453.485,"C0012A-44R-2, 23.0 cm",,453.485,453.485,453.485,453.485,,,,,,,,,,1.33977,588.8087698,112.7234224,202.3333628,0.299742826,0,0,361.1600508,8.349736822,86.32675185,0,0,7.007011374,1.323633887,123.2163575,,27.00565814,0,0,,,0.945363833,,248.4037341,,,26.75767602,,,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-45R-3, 0.0 cm",,464.085,464.085,464.085,464.085,"C0012A-45R-3, 48.0 cm",,464.565,464.565,464.565,464.565,"C0012A-45R-3 WR, 0.0--48.0 cm",CKY000000000000893910,IWIC,,4.0,marta322,,CKY,2009-10-01T02:07:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,0.907,"pore water chemistry/alkalinity full result/C0012A-45R-3 WR, 0.0--48.0 cm IWIC (1).pdf",taketomoy,2009-09-30T17:38:13Z
"C0012A-45R-3, 24.0 cm",,464.325,464.325,464.325,464.325,"C0012A-45R-3, 24.0 cm",,464.325,464.325,464.325,464.325,,,,,,,,,,1.34008,613.3214529,111.9459072,236.071695,0.318644522,0,0,363.9508759,4.636611782,89.36616504,0,4.15625,4.458214721,1.401872595,148.04535,53.2413145,12.58817771,0.61478818,0,852.1032539,218.62339,1.042968617,206.1461093,269.1040474,472.9374733,3.648149303,29.21803772,1.388313619,0.279103835,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-46R-2, 21.5 cm",,471.570,471.570,471.570,471.570,"C0012A-46R-2, 21.5 cm",,471.570,471.570,471.570,471.570,,,,,,,,,,1.33997,604.6461823,103.4919276,186.9647272,0.279633068,0,0,353.4665671,5.910093623,69.66928094,0,8.635416667,3.569352846,1.650164484,140.8307641,51.66319489,10.35023646,0,0,255.842551,264.9414362,0.968697253,225.0812428,259.2807723,732.076615,3.540032327,25.61626094,1.19102555,0.351937078,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-47R-2, 0.5 cm",,480.775,480.775,480.775,480.775,"C0012A-47R-2, 0.5 cm",,480.775,480.775,480.775,480.775,,,,,,,,,,,606.0584357,96.52876735,164.6195734,0.239421616,0,0,343.7930698,8.083611326,93.20602136,0,,4.812958129,1.237192948,141.7796116,18.93238094,19.1754533,0,,1413.425224,440.0359763,0.992615111,102.4893536,258.1021912,283.5825866,2.051145063,15.23920813,0,0.115252003,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-48R-1, 12.0 cm",,490.120,490.120,490.120,490.120,"C0012A-48R-1, 52.0 cm",,490.520,490.520,490.520,490.520,"C0012A-48R-1 WR, 12.0--52.0 cm",CKY000000000000919810,IWIC,,4.0,christine322,,CKY,2009-10-01T13:01:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,0.322,"pore water chemistry/alkalinity full result/C0012A-48R-1 WR, 12.0--52.0 cm IWIC (1).pdf",matsuura322,2009-10-01T05:56:00Z
"C0012A-48R-1, 32.0 cm",,490.320,490.320,490.320,490.320,"C0012A-48R-1, 32.0 cm",,490.320,490.320,490.320,490.320,,,,,,,,,,1.34005,607.4832875,86.21502384,170.7120834,0.204645837,0,0,361.2932453,11.62327011,94.19133822,0,23.21875,6.424484654,2.188255521,134.2955482,35.60460782,42.09662866,0,0,3070.018074,712.3263613,0.982568075,205.0240584,245.8320491,393.2571551,2.666792661,10.14403773,0.789865783,0.126329051,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-49R-2, 18.5 cm",,500.110,500.110,500.110,500.110,"C0012A-49R-2, 18.5 cm",,500.110,500.110,500.110,500.110,,,,,,,,,,1.34004,611.319174,74.59676719,152.5652581,0.146419904,0,0,371.2858306,16.08048598,106.1777332,0,0,8.531603118,3.500492813,127.7658113,21.43165473,39.52574739,0,0,4224.390715,618.5385569,1.087203432,228.8209669,238.584781,287.5863764,1.775849837,7.90351499,1.788582539,0.239215682,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-50R-2, 20.0 cm",,509.490,509.490,509.490,509.490,"C0012A-50R-2, 20.0 cm",,509.490,509.490,509.490,509.490,,,,,,,,,,1.34042,627.470275,70.08958944,105.5572209,0.11297563,0,0,302.580753,6.059560248,111.3403783,0,,2.899934477,0.924674621,175.8112871,,22.32156195,0,,,,0.992046914,,289.939339,,,11.74174093,,,kuriharar,2010-09-28T05:20:27Z,,,,,
"C0012A-52R-2, 16.0 cm",,529.360,529.360,529.360,529.360,"C0012A-52R-2, 16.0 cm",,529.360,529.360,529.360,529.360,,,,,,,,,,1.34028,607.6851763,48.48632333,90.43078332,0.05594022,0,0,301.4869897,12.23298528,180.9075438,0,,7.89298647,1.401187825,157.5782909,21.44083267,25.6475856,0,,6287.61192,2707.42766,0.978907239,97.08719383,283.3041212,246.6405448,0.737434878,5.368107576,12.86945291,0.38543527,kuriharar,2010-09-28T05:20:27Z,,,,,
