"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0001E-1H-4, 0.0 cm",,2.627,2.880,2.627,2.880,"C0001E-1H-4, 23.0 cm",,2.837,3.110,2.837,3.110,"C0001E-1H-4 WR, 0.0--23.0 cm",CKY000000000002775500,IWIC,,4.0,arakaway,,KCC,2010-07-05T01:55:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,4.752,kawait,2010-07-07T02:07:29Z
"C0001E-1H-4, 11.5 cm",,2.732,2.995,2.732,2.995,"C0001E-1H-4, 11.5 cm",,2.732,2.995,2.732,2.995,,,,,,,,,,1.33933,553.9319,26.0432,532.4534,227.5024,458.1274,48.6821,738.7744,7.911392,26.22517984,11.30413,8.19906,11.20068,1.532098,15.48328,3.215615,188.3703,909.9709882,1644.929,84.59819,208.5966,3.369066,0.3453122,1.052562,4.259788,miyabes,2010-08-11T06:59:06Z,,,,
"C0001E-1H-6, 0.0 cm",,3.462,3.795,3.462,3.795,"C0001E-1H-6, 23.0 cm",,3.671,4.025,3.671,4.025,"C0001E-1H-6 WR, 0.0--23.0 cm",CKY000000000002775600,IWIC,,4.0,arakaway,,KCC,2010-07-05T01:55:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,5.917,kawait,2010-07-07T02:07:29Z
"C0001E-1H-6, 11.5 cm",,3.566,3.910,3.566,3.910,"C0001E-1H-6, 11.5 cm",,3.566,3.910,3.566,3.910,,,,,,,,,,1.33931,554.849,26.74629,501.8089,280.5342,466.3455,49.05128,678.7841,11.07595,22.32813381,11.89392,7.991526,17.3535,1.437678,12.18634,172.5783,389.847,890.2175699,1817.556,85.93755,164.2753,3.461311,0.368153,2.416497,6.29534,miyabes,2010-08-11T06:59:06Z,,,,
"C0001E-1H-7, 0.0 cm",,3.671,4.025,3.671,4.025,"C0001E-1H-7, 23.0 cm",,3.881,4.255,3.881,4.255,"C0001E-1H-7 WR, 0.0--23.0 cm",CKY000000000002775700,IWIC,,4.0,arakaway,,KCC,2010-07-05T01:55:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,6.137,kawait,2010-07-07T02:07:29Z
"C0001E-1H-7, 11.5 cm",,3.776,4.140,3.776,4.140,"C0001E-1H-7, 11.5 cm",,3.776,4.140,3.776,4.140,,,,,,,,,,1.3393,553.4382,26.38166,514.6777,298.6766,449.7387,47.73312,773.9639,10.44304,21.71832122,12.51959,7.697085,12.0083,1.010818,10.11399,13.89671,338.257,868.2804404,1670.038,76.34141,148.9219,3.571354,0.3758285,1.949187,3.226292,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-2H-4, 0.0 cm",,8.310,8.625,8.310,8.625,"C0001E-2H-4, 22.0 cm",,8.515,8.845,8.515,8.845,"C0001E-2H-4 WR, 0.0--22.0 cm",CKY000000000002776000,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,10.857,kawait,2010-07-07T02:07:29Z
"C0001E-2H-4, 11.0 cm",,8.413,8.735,8.413,8.735,"C0001E-2H-4, 11.0 cm",,8.413,8.735,8.413,8.735,,,,,,,,,,1.33916,556.7133,26.11746,507.4894,565.231,466.6173,43.98208,805.5497,21.20253,12.42121795,11.96718,5.256239,21.14832,1.061571,4.2191,8.838181,643.5451,929.9744497,1690.843,87.58451,44.18394,4.547797,0.6161122,0.4548303,1.687302,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-4H-4, 0.0 cm",,27.162,27.410,27.162,27.410,"C0001E-4H-4, 21.5 cm",,27.365,27.625,27.365,27.625,"C0001E-4H-4 WR, 0.0--21.5 cm",CKY000000000002776100,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,19.385,kawait,2010-07-07T02:07:30Z
"C0001E-4H-4, 10.8 cm",,27.264,27.518,27.264,27.518,"C0001E-4H-4, 10.8 cm",,27.264,27.518,27.264,27.518,,,,,,,,,,1.33896,556.3606,17.05795,436.8336,1341.169,470.2969,35.59009,834.9706,80.26055,0.232071495,10.3991,2.269915,27.13859,2.204857,3.209016,,560.4702,960.6630936,1204.904,86.63829,91.3727,3.786253,58.60104,0.5471041,1.138376,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-5H-4, 0.0 cm",,36.539,36.925,36.539,36.925,"C0001E-5H-4, 21.5 cm",,36.735,37.140,36.735,37.140,"C0001E-5H-4 WR, 0.0--21.5 cm",CKY000000000002776200,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,18.53,kawait,2010-07-07T02:07:30Z
"C0001E-5H-4, 10.8 cm",,36.638,37.033,36.638,37.033,"C0001E-5H-4, 10.8 cm",,36.638,37.033,36.638,37.033,,,,,,,,,,1.33891,552.632,16.52916,446.2347,1720.765,470.5,33.28601,823.6605,91.34235,0.179884183,10.65672,2.283695,20.00604,1.638222,4.777958,14.29548,765.6077,917.9056946,1161.73,87.98553,153.4008,3.424199,83.71577,0.05407766,2.092632,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-6H-4, 0.0 cm",,45.833,46.120,45.833,46.120,"C0001E-6H-4, 21.5 cm",,46.033,46.335,46.033,46.335,"C0001E-6H-4 WR, 0.0--21.5 cm",CKY000000000002776300,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,18.469,kawait,2010-07-07T02:07:30Z
"C0001E-6H-4, 10.8 cm",,45.933,46.228,45.933,46.228,"C0001E-6H-4, 10.8 cm",,45.933,46.228,45.933,46.228,,,,,,,,,,1.33887,551.6243,18.26596,424.6765,1987.32,463.0745,30.87269,867.3683,66.40831,0.216348635,9.88798,2.29577,18.84359,1.55595,15.15593,35.11037,374.069,988.8346353,1079.182,88.88686,107.8698,3.898157,88.49648,1.047751,0.6981984,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-7H-4, 0.0 cm",,55.213,55.725,55.213,55.725,"C0001E-7H-4, 21.5 cm",,55.402,55.940,55.402,55.940,"C0001E-7H-4 WR, 0.0--21.5 cm",CKY000000000002776400,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,18.949,kawait,2010-07-07T02:07:30Z
"C0001E-7H-4, 10.8 cm",,55.308,55.833,55.308,55.833,"C0001E-7H-4, 10.8 cm",,55.308,55.833,55.308,55.833,,,,,,,,,,1.33885,551.0197,21.19673,418.6237,2223.171,478.0768,29.88715,891.6661,70.56399,0.112459128,9.704457,2.671554,17.09419,1.902319,28.75385,26.94784,947.5718,985.8841247,1143.72,93.6467,110.5231,3.798937,94.6208,0.9532072,1.35577,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-8H-4, 0.0 cm",,64.634,65.155,64.634,65.155,"C0001E-8H-4, 21.5 cm",,64.822,65.370,64.822,65.370,"C0001E-8H-4 WR, 0.0--21.5 cm",CKY000000000002776500,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,19.117,kawait,2010-07-07T02:14:03Z
"C0001E-8H-4, 10.8 cm",,64.728,65.263,64.728,65.263,"C0001E-8H-4, 10.8 cm",,64.728,65.263,64.728,65.263,,,,,,,,,,1.33885,548.3996,27.40458,387.6588,2390.64,481.1207,29.03058,866.7607,62.25264,0.167270366,9.70032,2.917854,15.47955,2.006267,35.30126,0.3259498,714.9877,998.803027,1068.677,98.03542,110.5384,3.40427,102.6347,1.077916,1.067151,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-9H-4, 0.0 cm",,74.398,74.780,74.398,74.780,"C0001E-9H-4, 21.5 cm",,74.594,74.995,74.594,74.995,"C0001E-9H-4 WR, 0.0--21.5 cm",CKY000000000002776600,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,18.868,kawait,2010-07-07T02:14:03Z
"C0001E-9H-4, 10.8 cm",,74.496,74.888,74.496,74.888,"C0001E-9H-4, 10.8 cm",,74.496,74.888,74.496,74.888,,,,,,,,,,1.33884,549.0042,26.44851,406.6143,2566.482,473.358,27.54545,970.9846,40.08905,0.114028922,9.760795,3.109962,17.64606,3.119202,37.46478,227.8227,1093.853,998.0362276,1049.403,99.93671,196.5948,3.24839,102.8336,0.9218147,1.296124,miyabes,2010-08-11T06:59:07Z,,,,
"C0001E-10H-7, 0.0 cm",,86.492,87.165,86.492,87.165,"C0001E-10H-7, 21.5 cm",,86.687,87.380,86.687,87.380,"C0001E-10H-7 WR, 0.0--21.5 cm",CKY000000000002776700,IWIC,,4.0,arakaway,,KCC,2010-07-05T02:45:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,18.23,kawait,2010-07-07T02:14:03Z
