"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0006E-1H-2, 0.0 cm",,1.195,1.205,1.195,1.205,"C0006E-1H-2, 22.5 cm",,1.418,1.430,1.418,1.430,"C0006E-1H-2 WR, 0.0--22.5 cm",KCC000000000002794800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:47:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,7.082,kames,2010-07-06T02:00:28Z
"C0006E-1H-2, 11.2 cm",,1.306,1.317,1.306,1.317,"C0006E-1H-2, 11.2 cm",,1.306,1.317,1.306,1.317,,,,,,,,,,1.33923,34.38889,562.6896,31.77997,556.3937,267.5926,459.0089,47.48848,436.9958,10.50685,23.60086,25.18868,561.8279,11.84142,8.755745,14.33372,6.914311,0.7182603,326.2384,0.8615904,1.785597,80.40966,127.714,5.065488,0.6032068,0,25.15954,miyabes,2008-02-04T22:16:17Z,,,,
"C0006E-1H-5, 0.0 cm",,4.204,4.240,4.204,4.240,"C0006E-1H-5, 23.0 cm",,4.432,4.470,4.432,4.470,"C0006E-1H-5 WR, 0.0--23.0 cm",KCC000000000002794900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:47:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,21.787,kames,2010-07-06T06:20:46Z
"C0006E-1H-5, 11.5 cm",,4.318,4.355,4.318,4.355,"C0006E-1H-5, 11.5 cm",,4.318,4.355,4.318,4.355,,,,,,,,,,1.33912,33.77778,559.4206,23.8536,513.8842,1039.198,459.48,41.17503,580.9011,32.42466,4.457234,5.826595,558.559,11.66644,4.897056,14.09987,0.6411695,0.6786323,136.9917,0.8615904,1.615675,74.39677,71.46239,5.77404,3.562407,0,0,miyabes,2008-02-04T22:16:17Z,,,,
"C0006E-2H-3, 0.0 cm",,7.636,7.790,7.636,7.790,"C0006E-2H-3, 23.0 cm",,7.852,8.020,7.852,8.020,"C0006E-2H-3 WR, 0.0--23.0 cm",KCC000000000002795000,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:50:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,25.777,kames,2010-07-06T02:00:28Z
"C0006E-2H-3, 11.5 cm",,7.744,7.905,7.744,7.905,"C0006E-2H-3, 11.5 cm",,7.744,7.905,7.744,7.905,,,,,,,,,,1.33912,33.77778,561.9329,19.91117,554.3923,1378.704,473.1446,42.07885,646.3337,44.75343,2.137138,5.147766,561.0841,11.95769,5.112751,8.941254,0.6835862,0.483811,129.6528,0.8488328,1.533002,76.42676,65.53955,5.14402,7.106223,0,0,miyabes,2008-02-04T22:16:22Z,,,,
"C0006E-2H-7, 0.0 cm",,11.675,12.085,11.675,12.085,"C0006E-2H-7, 24.0 cm",,11.901,12.325,11.901,12.325,"C0006E-2H-7 WR, 0.0--24.0 cm",KCC000000000002795100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:50:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,21.492,kames,2010-07-06T02:00:28Z
"C0006E-2H-7, 12.0 cm",,11.788,12.205,11.788,12.205,"C0006E-2H-7, 12.0 cm",,11.788,12.205,11.788,12.205,,,,,,,,,,1.339,33.11111,558.6058,15.1018,493.7527,2574.691,492.1961,38.09838,695.4673,63.93151,0,1.224513,557.7099,11.26873,4.023349,11.67804,0.742653,0.7984176,321.0524,0.8958764,1.42536,75.49944,76.19555,5.428187,12.6881,0,0,miyabes,2008-02-04T22:16:23Z,,,,
"C0006E-3H-3, 0.0 cm",,17.006,17.285,17.006,17.285,"C0006E-3H-3, 23.0 cm",,17.211,17.515,17.211,17.515,"C0006E-3H-3 WR, 0.0--23.0 cm",KCC000000000002795200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:53:13Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,18.961,kames,2010-07-06T02:19:33Z
"C0006E-3H-3, 11.5 cm",,17.109,17.400,17.109,17.400,"C0006E-3H-3, 11.5 cm",,17.109,17.400,17.109,17.400,,,,,,,,,,1.33896,32.88889,560.1869,13.19647,456.4955,3693.519,480.325,33.82871,563.1893,88.58904,0,0,559.2791,10.35529,3.972304,34.87188,1.297513,4.883847,118.2729,0.9078367,1.369368,76.93803,189.1776,5.687312,11.65457,0.6519439,1.405215,miyabes,2008-02-04T22:16:29Z,,,,
