"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::pmH full result::file","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0011C-1H-2, 0.0 cm",,0.600,0.625,0.600,0.625,"C0011C-1H-2, 20.0 cm",,0.792,0.825,0.792,0.825,"C0011C-1H-2 WR, 0.0--20.0 cm",CKY000000000003985600,IWIC,,4.0,kawait,,CKY,2010-12-18T18:01:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,,2.93,"pore water chemistry/alkalinity full result/C0011C-1H-2 WR, 0.0--20.0 cm IWIC (1).pdf",kames,2010-12-19T18:46:44Z
"C0011C-1H-2, 10.0 cm",,0.696,0.725,0.696,0.725,"C0011C-1H-2, 10.0 cm",,0.696,0.725,0.696,0.725,,,,,,,,,,1.3394,553.1039337,41.84729228,479.6019387,0.018909255,488.570025,52.29368048,464.9104105,6.190133787,28.08873576,12.64938841,10.84158685,44.25478093,4.151940991,9.650622912,1278.58147,1619.852467,0.829541274,1884.462813,82.40339395,119.328416,4.345457659,0.593069035,1.467608936,24.71313488,kames,2011-01-09T02:22:46Z,,,,,,
"C0011C-1H-4, 0.0 cm",,1.786,1.860,1.786,1.860,"C0011C-1H-4, 19.5 cm",,1.973,2.055,1.973,2.055,"C0011C-1H-4 WR, 0.0--19.5 cm",CKY000000000003987000,IWIC,,4.0,kawait,,CKY,2010-12-18T18:11:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,3.641,"pore water chemistry/alkalinity full result/C0011C-1H-4 WR, 0.0--19.5 cm IWIC (1).pdf",kames,2010-12-19T18:51:44Z
"C0011C-1H-4, 9.8 cm",,1.880,1.958,1.880,1.958,"C0011C-1H-4, 9.8 cm",,1.880,1.958,1.880,1.958,,,,,,,,,,1.33936,551.1139933,38.79768864,462.330779,0.049274191,489.8124663,51.61925429,513.3514631,6.91037742,27.41242645,12.16184554,10.66152022,33.54231938,9.619005624,8.461972391,1171.228567,2019.573737,0.832784932,1640.662511,81.2363863,108.0591262,2.485938283,0.56393191,0.73537506,1.196640769,kames,2011-01-09T02:22:46Z,,,,,,
"C0011C-2H-2, 0.0 cm",,4.634,4.680,4.634,4.680,"C0011C-2H-2, 19.0 cm",,4.816,4.870,4.816,4.870,"C0011C-2H-2 WR, 0.0--19.0 cm",CKY000000000003993400,IWIC,,4.0,kawait,,CKY,2010-12-18T19:35:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,,4.224,"pore water chemistry/alkalinity full result/C0011C-2H-2 WR, 0.0--19.0 cm IWIC (1).pdf",kames,2010-12-19T20:10:53Z
"C0011C-2H-2, 9.5 cm",,4.725,4.775,4.725,4.775,"C0011C-2H-2, 9.5 cm",,4.725,4.775,4.725,4.775,,,,,,,,,,1.33935,555.6908562,36.33113278,473.1785583,0.132221354,496.5690791,49.99772529,651.6340724,6.076343051,24.90308236,12.66246255,10.30748146,36.20860236,13.55734896,7.701312976,214.2373226,769.9146812,0.845397482,1728.172951,85.25019722,110.5438185,3.619203356,0.597373834,0.546868473,4.268637648,kames,2011-01-09T02:22:46Z,,,,,,
"C0011C-2H-5, 0.0 cm",,7.362,7.520,7.362,7.520,"C0011C-2H-5, 19.5 cm",,7.549,7.715,7.549,7.715,"C0011C-2H-5 WR, 0.0--19.5 cm",CKY000000000003995900,IWIC,,4.0,kawait,,CKY,2010-12-18T19:48:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,4.891,"pore water chemistry/alkalinity full result/C0011C-2H-5 WR, 0.0--19.5 cm IWIC (1).pdf",kames,2010-12-19T20:10:55Z
"C0011C-2H-5, 9.8 cm",,7.456,7.618,7.456,7.618,"C0011C-2H-5, 9.8 cm",,7.456,7.618,7.456,7.618,,,,,,,,,,1.33935,554.695886,34.59894197,462.246022,0.199598766,500.6027368,48.92810013,629.2016506,8.28621086,23.08576803,12.58624929,10.19190782,34.21508545,15.80857399,15.8093791,1185.99037,1763.183945,0.879578526,1719.757972,83.98866883,73.30352872,3.291444159,0.535402868,0.85791913,1.849036126,kames,2011-01-09T02:22:46Z,,,,,,
"C0011C-2H-8, 0.0 cm",,10.075,10.345,10.075,10.345,"C0011C-2H-8, 19.0 cm",,10.258,10.535,10.258,10.535,"C0011C-2H-8 WR, 0.0--19.0 cm",CKY000000000003997500,IWIC,,4.0,kawait,,CKY,2010-12-18T19:54:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,5.157,"pore water chemistry/alkalinity full result/C0011C-2H-8 WR, 0.0--19.0 cm IWIC (1).pdf",kames,2010-12-19T20:10:56Z
"C0011C-2H-8, 9.5 cm",,10.166,10.440,10.166,10.440,"C0011C-2H-8, 9.5 cm",,10.166,10.440,10.166,10.440,,,,,,,,,,1.33931,556.3873354,35.46157693,425.2687629,0.2632112,504.7524365,47.96876307,626.6260546,8.508620025,21.46530445,12.73782859,9.904614189,43.46761418,15.43363598,15.22293868,864.5058759,1591.352792,0.843699485,1756.923315,81.93185394,111.244526,3.480832663,0.573139098,0.587773865,7.346561053,kames,2011-01-09T02:22:46Z,,,,,,
