"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0013F-1H-2, 15.0 cm",,0.285,0.335,0.285,0.335,"C0013F-1H-2, 25.0 cm",,0.371,0.435,0.371,0.435,"C0013F-1H-2 WR, 15.0--25.0 cm",CKY000000000003465000,IWIC,,4.0,sebastian331,,CKY,2010-09-24T11:00:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,29.91,"pore water chemistry/alkalinity full result/C0013F-1H-2 WR, 15.0--25.0 cm IWIC (1).pdf",kawait,2010-09-25T14:13:26Z
"C0013F-1H-2, 20.0 cm",,0.328,0.385,0.328,0.385,"C0013F-1H-2, 20.0 cm",,0.328,0.385,0.328,0.385,,,,,,,,,,1.33944,551.4878437,43.96190544,385.4371408,0.130722727,472.7694767,52.99658323,264.7826989,0.284947631,4.548211206,14.51672944,10.03162039,10.96024387,12.73606634,0.574239764,102.1660139,0.901125868,1205.503439,83.15767896,103.0932074,6.787930918,1.409679496,82.1607359,moriyas,2010-12-03T02:29:37Z,,,,,
"C0013F-1H-3, 58.0 cm",,1.503,1.765,1.503,1.765,"C0013F-1H-3, 68.0 cm",,1.589,1.865,1.589,1.865,"C0013F-1H-3 WR, 58.0--68.0 cm",CKY000000000003467400,IWIC,,4.0,sebastian331,,CKY,2010-09-24T11:05:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,7.626,"pore water chemistry/alkalinity full result/C0013F-1H-3 WR, 58.0--68.0 cm IWIC (1).pdf",kawait,2010-09-25T14:15:47Z
"C0013F-1H-3, 63.0 cm",,1.546,1.815,1.546,1.815,"C0013F-1H-3, 63.0 cm",,1.546,1.815,1.546,1.815,,,,,,,,,,1.33956,551.0886487,41.90997847,222.7568045,0.104123116,478.9005948,58.11521778,619.6085265,0.670982788,0.697177503,30.78693596,10.20524981,13.7952101,3.456402075,0.652644902,636.9883342,0.913730159,1331.081049,89.09886412,261.5606086,9.548212677,1.615659662,20.92964084,moriyas,2010-12-03T02:29:37Z,,,,,
"C0013F-1H-5, 38.0 cm",,3.011,3.535,3.011,3.535,"C0013F-1H-5, 52.0 cm",,3.130,3.675,3.130,3.675,"C0013F-1H-5 WR, 38.0--52.0 cm",CKY000000000003466200,IWIC,,4.0,sebastian331,,CKY,2010-09-24T11:05:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,9.345,"pore water chemistry/alkalinity full result/C0013F-1H-5 WR, 38.0--52.0 cm IWIC (1).pdf",kawait,2010-09-25T14:26:27Z
"C0013F-1H-5, 45.0 cm",,3.071,3.605,3.071,3.605,"C0013F-1H-5, 45.0 cm",,3.071,3.605,3.071,3.605,,,,,,,,,,1.33966,569.4516171,56.04967224,335.4084703,0.141815838,499.0303038,60.02748335,2751.845181,2.945119007,2.524643816,26.53285184,10.33360967,9.679443898,15.93216013,9.189546333,132.8564399,0.89076257,1453.752392,66.44018285,26.89919328,8.497489789,1.031250825,2.078390597,moriyas,2010-12-03T02:29:37Z,,,,,
"C0013F-1H-8, 49.0 cm",,5.673,6.660,5.673,6.660,"C0013F-1H-8, 61.0 cm",,5.775,6.780,5.775,6.780,"C0013F-1H-8 WR, 49.0--61.0 cm",CKY000000000003468300,IWIC,,4.0,sebastian331,,CKY,2010-09-24T11:10:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,7.222,"pore water chemistry/alkalinity full result/C0013F-1H-8 WR, 49.0--61.0 cm IWIC (1).pdf",kawait,2010-09-25T14:24:16Z
"C0013F-1H-8, 55.0 cm",,5.724,6.720,5.724,6.720,"C0013F-1H-8, 55.0 cm",,5.724,6.720,5.724,6.720,,,,,,,,,,1.3387,514.9615044,807.4357292,795.2477318,2.168276758,348.5116137,18.59823156,5277.364055,5.645689482,2.80491203,7.85022394,32.03936512,20.2969063,665.7911651,1.225341971,117.7501781,0.793669702,17531.02402,73.07345458,28.8070142,76.91988312,2.995051985,1.637103132,moriyas,2010-12-03T02:29:37Z,,,,,
