"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0004D-3R-2, 10.8 cm",,119.993,119.993,119.993,119.993,"C0004D-3R-2, 10.8 cm",,119.993,119.993,119.993,119.993,,,,,,,,,,1.33949,35.14054,613.3233,52.26305,333.7359,2980.267,495.0718,536,33.5,777.3571,3.139889,2.554899,2.483776,2.554899,612.1994,10.1,6.72,12.39319,7.946288,0.7149085,8447.19,1.123891,1.174061,92.54874,100.0192,5.191033,37.62382,3.272916,2.541538,noguchitk,2008-02-28T00:55:24Z,,,,
"C0004D-4R-2, 10.0 cm",,129.170,129.170,129.170,129.170,"C0004D-4R-2, 10.0 cm",,129.170,129.170,129.170,129.170,,,,,,,,,,1.33951,35.24865,622.0831,59.88594,301.7633,3229.221,507.9199,549,31.5,834.6628,1.754848,1.819183,1.436427,1.819183,623,10.2,6.58,35.03008,5.894976,0.4568725,4357.945,1.12981,1.200517,99.16769,220.3214,,89.35648,0,3.839161,noguchitk,2008-02-28T00:55:25Z,,,,
"C0004D-5R-3, 0.0 cm",,139.540,139.540,139.540,139.540,"C0004D-5R-3, 32.0 cm",,139.860,139.860,139.860,139.860,"C0004D-5R-3 WR, 0.0--32.0 cm",KCC000000000002780100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,11.562,kames,2010-07-06T01:36:51Z
"C0004D-5R-3, 16.0 cm",,139.700,139.700,139.700,139.700,"C0004D-5R-3, 16.0 cm",,139.700,139.700,139.700,139.700,,,,,,,,,,1.33954,35.41081,625.9167,82.15563,325.0436,3375.665,530.114,554,30.4,898.6642,0,2.388467,2.29872,2.388467,624.8312,10.4,6.97,8.222834,7.776841,0.9859366,1676.201,1.085547,1.121802,112.2289,369.099,4.448833,15.86223,0,1.836241,noguchitk,2008-02-28T00:55:27Z,,,,
"C0004D-7R-2, 0.0 cm",,152.905,152.905,152.905,152.905,"C0004D-7R-2, 36.0 cm",,153.265,153.265,153.265,153.265,"C0004D-7R-2 WR, 0.0--36.0 cm",KCC000000000002780200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,11.149,kames,2010-07-06T01:36:51Z
"C0004D-7R-2, 18.0 cm",,153.085,153.085,153.085,153.085,"C0004D-7R-2, 18.0 cm",,153.085,153.085,153.085,153.085,,,,,,,,,,1.33955,35.46487,629.4577,75.76318,271.545,3712.487,526.8063,555,29.9,812.3202,1.754848,1.6647,2.125291,1.6647,628.3127,10.4,7.46,8.79215,6.109294,0.3406926,1315.295,1.145019,1.157772,95.04859,325.5565,5.230165,11.19342,0.2645242,2.233181,noguchitk,2008-02-28T00:55:27Z,,,,
"C0004D-13R-2, 0.0 cm",,179.395,179.395,179.395,179.395,"C0004D-13R-2, 15.0 cm",,179.545,179.545,179.545,179.545,"C0004D-13R-2 WR, 0.0--15.0 cm",KCC000000000002780300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,14.626,kames,2010-07-06T01:36:51Z
"C0004D-13R-2, 7.5 cm",,179.470,179.470,179.470,179.470,"C0004D-13R-2, 7.5 cm",,179.470,179.470,179.470,179.470,,,,,,,,,,1.33959,35.68108,619.8193,99.56453,248.5682,4393.451,506.8026,557,26.2,779.8203,0,2.029144,1.978457,2.029144,618.6492,9.4,7.67,11.00522,5.087599,1.243025,1379.781,1.17006,1.124254,100.7185,251.5477,4.842447,19.9484,1.286413,3.48563,noguchitk,2008-02-28T00:55:21Z,,,,
"C0004D-16R-2, 0.0 cm",,203.125,203.125,203.125,203.125,"C0004D-16R-2, 15.5 cm",,203.280,203.280,203.280,203.280,"C0004D-16R-2 WR, 0.0--15.5 cm",KCC000000000002780400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:47Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,10.327,kames,2010-07-06T01:36:51Z
"C0004D-16R-2, 7.8 cm",,203.203,203.203,203.203,203.203,"C0004D-16R-2, 7.8 cm",,203.203,203.203,203.203,203.203,,,,,,,,,,1.33961,35.78919,635.0242,116.2426,262.1162,4408.095,508.9905,566,26.1,994.5573,11.45014,1.578497,1.512062,1.578497,633.8236,8.8,8.31,6.789316,7.701446,2.861159,2616.265,1.200579,0.9931828,105.7731,146.8644,3.979916,26.31424,10.0975,2.042885,noguchitk,2008-02-28T00:55:21Z,,,,
