"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0004D-19R-2, 0.0 cm",,226.655,226.655,226.655,226.655,"C0004D-19R-2, 32.0 cm",,226.975,226.975,226.975,226.975,"C0004D-19R-2 WR, 0.0--32.0 cm",KCC000000000002780500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,8.668,kames,2010-07-06T01:36:51Z
"C0004D-19R-2, 16.0 cm",,226.815,226.815,226.815,226.815,"C0004D-19R-2, 16.0 cm",,226.815,226.815,226.815,226.815,,,,,,,,,,1.33955,35.46487,618.587,104.2705,266.0262,4693.661,521.5543,550,28.7,840.3001,10.0651,6.014981,6.455986,6.014981,617.4639,8.9,8.97,23.94783,7.680826,4.043765,2578.384,1.123108,0.950589,94.87463,113.0643,,8.953391,0,3.916367,noguchitk,2008-02-28T00:55:21Z,,,,
"C0004D-23R-1, 98.5 cm",,247.985,247.985,247.985,247.985,"C0004D-23R-1, 126.5 cm",,248.265,248.265,248.265,248.265,"C0004D-23R-1 WR, 98.5--126.5 cm",KCC000000000002780600,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,7.809,kames,2010-07-06T01:36:51Z
"C0004D-23R-1, 112.5 cm",,248.125,248.125,248.125,248.125,"C0004D-23R-1, 112.5 cm",,248.125,248.125,248.125,248.125,,,,,,,,,,1.33954,35.41081,606.8947,88.99364,315.036,5118.349,520.1116,543,29.4,823.6843,12.83518,9.639789,10.10998,9.639789,605.8091,8.4,9.17,4.444778,8.448027,29.155,1479.531,1.085547,0.9601087,90.98076,135.1306,3.743836,11.95979,1.735506,1.074631,noguchitk,2008-02-28T00:55:22Z,,,,
"C0004D-26R-3, 0.0 cm",,262.586,262.586,262.586,262.586,"C0004D-26R-3, 21.5 cm",,262.801,262.801,262.801,262.801,"C0004D-26R-3 WR, 0.0--21.5 cm",KCC000000000002780700,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,10.406,kames,2010-07-06T01:36:52Z
"C0004D-26R-3, 10.8 cm",,262.694,262.694,262.694,262.694,"C0004D-26R-3, 10.8 cm",,262.694,262.694,262.694,262.694,,,,,,,,,,1.3397,36.27568,636.1934,102.0936,264.6906,5419.759,550.7467,570,24.5,894.15,4.657534,2.452664,2.286428,2.452664,635.0204,8.5,9.4,6.083478,6.680149,27.40103,2890.269,1.172954,0.9533914,105.2752,145.5241,3.969104,19.54123,0.1808635,1.694793,noguchitk,2008-02-28T00:55:22Z,,,,
"C0004D-28R-2, 81.5 cm",,271.725,271.725,271.725,271.725,"C0004D-28R-2, 120.0 cm",,272.110,272.110,272.110,272.110,"C0004D-28R-2 WR, 81.5--120.0 cm",KCC000000000002780800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,9.98,kames,2010-07-06T01:36:52Z
"C0004D-28R-2, 100.8 cm",,271.918,271.918,271.918,271.918,"C0004D-28R-2, 100.8 cm",,271.918,271.918,271.918,271.918,,,,,,,,,,1.33961,35.78919,629.0506,98.9054,228.1995,5371.25,526.8608,565,23.1,877.0396,3.287671,1.586246,1.770867,1.586246,627.8929,8.3,8.78,10.53941,4.348936,0.2355131,2684.996,1.157636,1.008606,103.6485,130.5511,4.335127,34.18735,0.4515503,5.578948,noguchitk,2008-02-28T00:55:22Z,,,,
"C0004D-30R-3, 78.0 cm",,282.097,282.097,282.097,282.097,"C0004D-30R-3, 98.0 cm",,282.297,282.297,282.297,282.297,"C0004D-30R-3 WR, 78.0--98.0 cm",KCC000000000002780900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T04:51:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,7.629,kames,2010-07-06T01:36:52Z
"C0004D-30R-3, 88.0 cm",,282.197,282.197,282.197,282.197,"C0004D-30R-3, 88.0 cm",,282.197,282.197,282.197,282.197,,,,,,,,,,1.33959,35.68108,630.7831,90.9436,216.7375,5363.166,554.2165,566,23.1,847.8574,6.027397,2.497714,2.418221,2.497714,629.6201,8.7,8.47,7.806828,4.595249,0.1648353,2210.006,1.163017,0.9793971,100.0278,285.4134,3.825081,21.03351,0.6308784,2.40456,noguchitk,2008-02-28T00:55:22Z,,,,
"C0004D-32R-3, 0.0 cm",,290.310,290.310,290.310,290.310,"C0004D-32R-3, 20.0 cm",,290.510,290.510,290.510,290.510,"C0004D-32R-3 WR, 0.0--20.0 cm",KCC000000000002782700,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,10.174,kames,2010-07-06T01:45:14Z
"C0004D-32R-3, 10.0 cm",,290.410,290.410,290.410,290.410,"C0004D-32R-3, 10.0 cm",,290.410,290.410,290.410,290.410,,,,,,,,,,1.33961,35.78919,632.5543,89.70094,199.2742,5395.505,540.1783,569,22.5,895.3298,3.287671,1.884049,1.837105,1.884049,631.3505,8.3,9.23,8.808327,4.379527,0.6879598,4676.738,1.203709,0.9408187,106.4365,145.439,3.705734,48.27847,6.597756,3.224463,noguchitk,2008-02-28T00:55:23Z,,,,
"C0004D-34R-1, 25.7 cm",,296.757,296.757,296.757,296.757,"C0004D-34R-1, 25.7 cm",,296.757,296.757,296.757,296.757,,,,,,,,,,1.33959,35.68108,626.96,79.21058,230.3171,5565.284,539.3406,562,22.8,913.5254,4.657534,2.529294,2.504944,2.529294,625.8024,7.9,9.22,9.803248,7.54255,38.68684,1228.014,1.157636,0.9199924,103.2348,666.8713,3.723047,24.68559,0,1.538534,noguchitk,2008-02-28T00:55:23Z,,,,
"C0004D-36R-2, 0.0 cm",,306.690,306.690,306.690,306.690,"C0004D-36R-2, 21.5 cm",,306.905,306.905,306.905,306.905,"C0004D-36R-2 WR, 0.0--21.5 cm",KCC000000000002782900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,7.524,kames,2010-07-06T01:45:14Z
"C0004D-36R-2, 10.8 cm",,306.798,306.798,306.798,306.798,"C0004D-36R-2, 10.8 cm",,306.798,306.798,306.798,306.798,,,,,,,,,,1.33954,35.41081,610.0612,60.29739,290.0623,5888.673,529.5844,551,25.8,813.8366,8.767123,8.575628,8.457539,8.575628,608.9576,7.8,9.4,6.596609,6.531594,71.16634,1303.665,1.103622,0.8712701,98.75266,201.6133,3.575623,9.596229,0.7948997,0.7361676,noguchitk,2008-02-28T00:55:23Z,,,,
"C0004D-39R-2, 9.5 cm",,320.190,320.190,320.190,320.190,"C0004D-39R-2, 31.5 cm",,320.410,320.410,320.410,320.410,"C0004D-39R-2 WR, 9.5--31.5 cm",KCC000000000002783000,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,8.656,kames,2010-07-06T01:45:14Z
"C0004D-39R-2, 20.5 cm",,320.300,320.300,320.300,320.300,"C0004D-39R-2, 20.5 cm",,320.300,320.300,320.300,320.300,,,,,,,,,,1.33961,35.78919,628.8958,59.52346,243.558,6163.554,549.1113,568,22.5,788.4634,6.027397,4.144392,3.883988,4.144392,627.7405,8.1,9.23,5.42952,5.014708,16.26835,1192.571,1.155218,0.9473425,102.9155,122.2748,4.798093,8.062576,0,1.62124,noguchitk,2008-02-28T00:55:23Z,,,,
"C0004D-41R-2, 0.0 cm",,329.400,329.400,329.400,329.400,"C0004D-41R-2, 9.0 cm",,329.490,329.490,329.490,329.490,"C0004D-41R-2 WR, 0.0--9.0 cm",KCC000000000002783100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,7.634,kames,2010-07-06T01:45:14Z
"C0004D-41R-2, 4.5 cm",,329.445,329.445,329.445,329.445,"C0004D-41R-2, 4.5 cm",,329.445,329.445,329.445,329.445,,,,,,,,,,1.33956,35.51892,614.8231,51.26388,288.5786,5896.758,540.2851,557,23.9,762.2516,6.027397,7.362531,7.417258,7.362531,613.684,8,9.33,22.43339,5.531788,17.78136,1461.896,1.139094,0.9186306,99.03931,161.3656,,5.466087,0,1.296964,noguchitk,2008-02-28T00:55:24Z,,,,
"C0004D-44R-3, 1.5 cm",,344.105,344.105,344.105,344.105,"C0004D-44R-3, 21.5 cm",,344.305,344.305,344.305,344.305,"C0004D-44R-3 WR, 1.5--21.5 cm",KCC000000000002783200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,7.123,kames,2010-07-06T01:45:14Z
"C0004D-44R-3, 11.5 cm",,344.205,344.205,344.205,344.205,"C0004D-44R-3, 11.5 cm",,344.205,344.205,344.205,344.205,,,,,,,,,,1.33952,35.3027,608.59,44.34629,303.0266,5427.844,510.8537,549,27.2,760.5588,3.287671,10.12131,10.27905,10.12131,607.4921,7.8,9.45,24.39121,5.863599,4.166777,1674.712,1.097979,0.9084292,97.08585,68.59795,,6.219688,0,1.082724,noguchitk,2008-02-28T00:55:24Z,,,,
"C0004D-46R-2, 0.0 cm",,351.910,351.910,351.910,351.910,"C0004D-46R-2, 28.5 cm",,352.195,352.195,352.195,352.195,"C0004D-46R-2 WR, 0.0--28.5 cm",KCC000000000002783300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,9.106,kames,2010-07-06T01:45:15Z
"C0004D-46R-2, 14.2 cm",,352.052,352.052,352.052,352.052,"C0004D-46R-2, 14.2 cm",,352.052,352.052,352.052,352.052,,,,,,,,,,1.33959,35.68108,629.4377,48.63691,256.7238,6098.876,548.1686,570,20,812.2839,4.657534,1.979307,1.979307,2.445882,628.2301,7.5,9.36,19.01992,5.055177,1.135611,1010.776,1.20762,0.9025554,105.8204,207.3118,,50.59576,0,1.846632,noguchitk,2008-02-28T00:55:25Z,,,,
"C0004D-48R-2, 18.5 cm",,361.085,361.085,361.085,361.085,"C0004D-48R-2, 35.0 cm",,361.250,361.250,361.250,361.250,"C0004D-48R-2 WR, 18.5--35.0 cm",KCC000000000002783400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,8.963,kames,2010-07-06T01:45:15Z
"C0004D-48R-2, 26.8 cm",,361.168,361.168,361.168,361.168,"C0004D-48R-2, 26.8 cm",,361.168,361.168,361.168,361.168,,,,,,,,,,1.33958,35.62703,631.0541,46.59662,228.7305,6430.35,543.0532,572,19.5,542.9221,3.287671,1.690265,1.690265,2.037753,629.8884,8.4,8.64,28.31717,3.534485,0.09590042,110.8386,1.165698,1.010226,102.4296,804.0209,,48.21878,0,5.484995,noguchitk,2008-02-28T00:55:25Z,,,,
"C0004D-49R-2, 31.5 cm",,365.730,365.730,365.730,365.730,"C0004D-49R-2, 49.0 cm",,365.905,365.905,365.905,365.905,"C0004D-49R-2 WR, 31.5--49.0 cm",KCC000000000002783500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.236,kames,2010-07-06T01:45:15Z
"C0004D-49R-2, 40.3 cm",,365.818,365.818,365.818,365.818,"C0004D-49R-2, 40.3 cm",,365.818,365.818,365.818,365.818,,,,,,,,,,1.33959,35.68108,633.9479,45.87345,207.2771,6066.537,535.2571,575,19,627.934,3.287671,1.442807,1.442807,1.803296,632.7299,8,8.84,27.58325,3.840417,0.09442906,807.7623,1.2181,1.000846,105.0559,448.8892,,50.77483,0,5.810691,noguchitk,2008-02-28T00:55:25Z,,,,
"C0004D-51R-2, 104.5 cm",,375.460,375.460,375.460,375.460,"C0004D-51R-2, 140.0 cm",,375.815,375.815,375.815,375.815,"C0004D-51R-2 WR, 104.5--140.0 cm",KCC000000000002783600,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,8.606,kames,2010-07-06T01:45:15Z
"C0004D-51R-2, 122.2 cm",,375.637,375.637,375.637,375.637,"C0004D-51R-2, 122.2 cm",,375.637,375.637,375.637,375.637,,,,,,,,,,1.33965,36.00541,642.0103,42.193,203.4269,6131.215,560.6876,583,18.4,611.9968,6.027397,0.9485713,0.9485713,1.417745,640.8115,8.2,8.96,10.57226,4.649334,0.05377492,283.4843,1.198752,1.032655,104.5034,546.0963,6.361228,49.33361,0.527694,2.571197,noguchitk,2008-02-28T00:55:26Z,,,,
"C0004D-53R-2, 52.5 cm",,383.930,383.930,383.930,383.930,"C0004D-53R-2, 88.0 cm",,384.285,384.285,384.285,384.285,"C0004D-53R-2 WR, 52.5--88.0 cm",KCC000000000002783700,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,8.393,kames,2010-07-06T01:45:15Z
"C0004D-53R-2, 70.2 cm",,384.107,384.107,384.107,384.107,"C0004D-53R-2, 70.2 cm",,384.107,384.107,384.107,384.107,,,,,,,,,,1.33964,35.95135,643.3749,42.67392,192.511,6309.079,562.2623,583,18.1,591.0576,0,0,0.6152182,1.157237,642.152,8.4,9.05,14.00504,3.710777,0.147326,577.9924,1.222937,1.045108,105.1281,503.3024,6.973031,48.24125,1.462032,4.080716,noguchitk,2008-02-28T00:55:26Z,,,,
"C0004D-55R-2, 98.5 cm",,393.395,393.395,393.395,393.395,"C0004D-55R-2, 140.0 cm",,393.810,393.810,393.810,393.810,"C0004D-55R-2 WR, 98.5--140.0 cm",KCC000000000002783800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T05:09:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,7.367,kames,2010-07-06T01:45:15Z
"C0004D-55R-2, 119.2 cm",,393.602,393.602,393.602,393.602,"C0004D-55R-2, 119.2 cm",,393.602,393.602,393.602,393.602,,,,,,,,,,1.33965,36.00541,645.4074,43.48861,229.1287,6446.52,554.595,586,18.3,603.0193,1.917808,1.397132,1.397132,1.765957,644.1813,8.3,8.95,9.068985,3.241655,0.4626855,643.5302,1.226162,1.060744,105.9403,360.4065,7.220042,46.7006,1.344517,4.871347,noguchitk,2008-02-28T00:55:26Z,,,,
