"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Mud depth below sea floor [m MSF]","Top Wireline log depth below sea floor [m WSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Mud depth below sea floor [m MSF]","Bottom Wireline log depth below sea floor [m WSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry::refractive index nD: refractometer::number","pore water chemistry::salinity: refractometer [permil]::number","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry::Cl concentration: IC [mM]::number","pore water chemistry::Br concentration: IC [mM]::number","pore water chemistry::NO3 concentration: IC [mM]::number","pore water chemistry::SO4 concentration: IC [mM]::number","pore water chemistry::Na concentration: IC [mM]::number","pore water chemistry::K concentration: IC [mM]::number","pore water chemistry::Mg concentration: IC [mM]::number","pore water chemistry::Ca concentration: IC [mM]::number","pore water chemistry::B concentration: ICP-AES [µM]::number","pore water chemistry::Ba concentration: ICP-AES [µM]::number","pore water chemistry::Fe concentration: ICP-AES [µM]::number","pore water chemistry::Li concentration: ICP-AES [µM]::number","pore water chemistry::Mn concentration: ICP-AES [µM]::number","pore water chemistry::Si concentration: ICP-AES [µM]::number","pore water chemistry::Sr concentration: ICP-AES [µM]::number","pore water chemistry::comment on measurement::text","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0020A-5R-3, 39.0 cm",,,,1492.240,1492.240,1492.240,1492.240,"C0020A-5R-3, 85.0 cm",,,,1492.700,1492.700,1492.700,1492.700,"C0020A-5R-3 WR, 39.0--85.0 cm",CKY000000000005160700,IW,,1564.0,thori337,,CKY,2012-08-26T21:21:04Z,1.3397,36.28903704,8.3,5.474,0,2.242809291,621.0030972,0.941905473,0.146323651,2.043946441,502.7656951,14.29824228,19.88796311,30.82087515,691.8933292,8.950936978,1.146003692,99.51536023,27.93680154,866.8906625,93.89935695,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-6R-2, 15.0 cm",,,,1496.555,1496.555,1496.555,1496.555,"C0020A-6R-2, 76.0 cm",,,,1497.165,1497.165,1497.165,1497.165,"C0020A-6R-2 WR, 15.0--76.0 cm",CKY000000000005165100,IW,,2074.0,thori337,,CKY,2012-08-26T23:28:59Z,1.34065,41.47318519,8.55,4.556,0,2.691981124,689.212601,0.97869967,0.232678844,2.402763134,559.4077332,39.87414841,25.25716723,39.23343488,348.9123776,14.9697648,0.590812624,106.7106222,18.50503301,741.2750833,124.5403667,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-8L-5, 51.0 cm",,,,1607.670,1607.670,1607.670,1607.670,"C0020A-8L-5, 93.0 cm",,,,1608.090,1608.090,1608.090,1608.090,"C0020A-8L-5 WR, 51.0--93.0 cm",CKY000000000005233500,IW,,3780.0,moriyas,,CKY,2012-09-10T17:42:17Z,1.34038,40.02290572,8.46,3.11,0,2.894702851,715.9179313,0.923953958,0,2.072444663,584.2916114,24.05766041,16.65864295,37.25341973,337.9545839,28.73370508,0.896402757,171.0481124,7.387587937,101.6980243,145.90373,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-8L-9, 16.0 cm",,,,1611.330,1611.330,1611.330,1611.330,"C0020A-8L-9, 46.0 cm",,,,1611.630,1611.630,1611.630,1611.630,"C0020A-8L-9 WR, 16.0--46.0 cm",CKY000000000005233600,IW,,2700.0,hoshinot337,,CKY,2012-08-30T12:24:12Z,1.34019,38.99529057,,6.362,0,2.892619014,643.9380715,0.847992876,0,1.650694873,574.8211119,18.18940185,14.41893171,34.14232815,438.6125561,26.66678504,0.723869144,193.9949634,36.65852201,447.2240829,150.1805028,,hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1625.500,,1625.500,,,1625.500,,,C0020A;1636.500,,1636.500,,,1636.500,"C0020A-187SMW WR",CKY000000000005267300,IW,,1000.0,kames,,CKY,2012-08-31T12:14:52Z,1.34937,88.64532767,,27.922,0,0.465710942,1263.445407,0.767852082,0,23.21383055,518.4140841,752.3657177,13.95487424,1.755489885,76.97874086,4.255394913,2.608011872,68.36197572,1.073487096,249.9948943,10.00425247,"Sample squeezed from cuttings with adhered drilling mud.",hoshinoh,2012-09-24T14:27:59Z
"C0020A-10R-3, 0.0 cm",,,,1632.320,1632.320,1632.320,1632.320,"C0020A-10R-3, 37.0 cm",,,,1632.690,1632.690,1632.690,1632.690,"C0020A-10R-3 WR, 0.0--37.0 cm",CKY000000000005248900,IW,,1258.0,hoshinot337,,CKY,2012-08-31T12:53:06Z,1.33917,33.47861978,,2.095,0,2.449742772,572.9516998,0.886479291,0,0.969773463,530.7898665,10.29353183,9.904693678,25.11985439,262.0336591,16.59984611,0.878728719,162.300036,10.18704313,330.9123333,99.49281329,,hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1686.500,,1686.500,,,1686.500,,,C0020A;1696.500,,1696.500,,,1696.500,"C0020A-197SMW WR",CKY000000000005341900,IW,,1000.0,kawait,"Taken with Rhizon",CKY,2012-09-06T03:37:56Z,1.35104,97.77455882,,24.155,0,1.229740219,1514.714122,0.850193894,0,23.2796986,740.3685532,720.6740259,15.05497389,4.266636311,45.11199894,11.6743441,1.793498569,68.11913552,3.463144943,271.4734588,54.1818504,"This sample was taken by Rhison method.",hoshinoh,2012-09-24T14:27:59Z
"C0020A-11R-2, 0.0 cm",,,,1738.880,1738.880,1738.880,1738.880,"C0020A-11R-2, 40.0 cm",,,,1739.280,1739.280,1739.280,1739.280,"C0020A-11R-2 WR, 0.0--40.0 cm",CKY000000000005278300,IW,,1360.0,thori337,,CKY,2012-08-31T17:14:36Z,1.3395,35.26342504,,5.377,0,2.01871327,593.258969,0.819653424,0.493540803,1.401671054,535.6745555,11.98526105,12.55070164,26.22403802,329.4959103,42.78558619,0.79830285,138.9234535,9.792104088,629.371432,218.2868718,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-11R-5, 23.0 cm",,,,1742.730,1742.730,1742.730,1742.730,"C0020A-11R-5, 58.0 cm",,,,1743.080,1743.080,1743.080,1743.080,"C0020A-11R-5 WR, 23.0--58.0 cm",CKY000000000005278500,IW,,1190.0,thori337,,CKY,2012-08-31T18:20:06Z,1.33975,36.61555023,,3.247,0,2.336921999,613.1982607,0.81381735,0.462527177,1.501992739,559.2555012,33.29973999,13.00189087,26.69733754,359.1085668,45.81199087,0.744715166,138.4274515,5.241036701,458.7567803,233.8331543,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-12R-2, 53.0 cm",,,,1748.965,1748.965,1748.965,1748.965,"C0020A-12R-2, 76.0 cm",,,,1749.195,1749.195,1749.195,1749.195,"C0020A-12R-2 WR, 53.0--76.0 cm",CKY000000000005285800,IW,,782.0,moriyas,,CKY,2012-09-20T01:50:10Z,1.34063,41.38491022,,5.471,0,2.886922966,689.1416963,0.832061929,0,2.306412425,616.9016298,31.07667438,14.31532549,29.61417544,162.7621369,47.18211222,0.860145413,141.486405,1.045524001,204.2652903,281.1502824,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-12R-7, 30.0 cm",,,,1754.835,1754.835,1754.835,1754.835,"C0020A-12R-7, 50.0 cm",,,,1755.035,1755.035,1755.035,1755.035,"C0020A-12R-7 WR, 30.0--50.0 cm",CKY000000000005286000,IW,,680.0,morono337,,CKY,2012-08-31T21:32:18Z,1.34031,39.65151084,,5.136,0,2.542785516,665.0746515,0.807490244,0,1.87548149,613.358668,13.63970418,14.24274114,28.47618714,268.8184894,56.45794858,0.96105534,159.1181897,1.837468383,141.2620663,287.3078592,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-13R-2, 4.5 cm",,,,1757.907,1757.985,1757.907,1757.985,"C0020A-13R-2, 44.0 cm",,,,1758.281,1758.380,1758.281,1758.380,"C0020A-13R-2 WR, 4.5--44.0 cm",CKY000000000005290000,IW,,1343.0,moriyas,,CKY,2012-09-10T22:40:06Z,1.34035,39.86818576,9.06,3.24,0,2.398693433,638.8829185,0.826258028,0,1.587493853,600.4305374,22.18045842,14.78511117,29.57509558,202.2749943,57.24502944,0.904301775,160.1853932,1.778050849,102.3047885,300.6527604,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-13R-8, 27.0 cm",,,,1764.811,1765.270,1764.811,1765.270,"C0020A-13R-8, 60.0 cm",,,,1765.123,1765.600,1765.123,1765.600,"C0020A-13R-8 WR, 27.0--60.0 cm",CKY000000000005291000,IW,,1122.0,morono337,,CKY,2012-09-01T01:15:41Z,1.34051,40.73488545,,6.307,0,2.643310764,672.9074652,0.744671149,0,2.268333157,617.7113237,22.5480608,14.27760164,30.86837568,130.9311403,54.58617699,0.769294674,159.2816059,0.768712616,76.17812245,319.2433972,,hoshinoh,2012-09-24T14:27:59Z
,,C0020A;1806.500,,1806.500,,,1806.500,,,C0020A;1816.500,,1816.500,,,1816.500,"C0020A-213SMW WR",CKY000000000005594700,IW,,1000.0,kawait,,CKY,2012-09-07T01:40:49Z,1.35206,103.2997693,9,23.211,0,0.758783464,1513.526059,0.840738567,0,22.85318129,815.0043593,781.4914657,10.61737694,0.763457094,73.58370919,4.764728733,1.907429917,72.29707543,0.854234061,90.60394959,10.95849163,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-15R-7, 18.0 cm",,,,1925.645,1925.645,1925.645,1925.645,"C0020A-15R-7, 33.0 cm",,,,1925.795,1925.795,1925.795,1925.795,"C0020A-15R-7 WR, 18.0--33.0 cm",CKY000000000005355100,IW,,510.0,hoshinot337,,CKY,2012-09-02T04:44:49Z,1.3384,29.30528328,,4.919,0,1.35355211,487.6787218,0.707429357,0,1.144737933,466.2356841,3.312304192,12.37865941,15.18803782,82.96835142,78.75665741,0.725845851,133.8355631,1.115178269,124.8566296,306.8234872,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-16R-2, 18.0 cm",,,,1929.690,1929.690,1929.690,1929.690,"C0020A-16R-2, 77.0 cm",,,,1930.280,1930.280,1930.280,1930.280,"C0020A-16R-2 WR, 18.0--77.0 cm",CKY000000000005365100,IW,,2006.0,moriyas,,CKY,2012-09-11T00:26:12Z,1.34088,42.73912848,7.78,14.075,0,3.202996698,792.2578761,0.710632361,0.428153858,10.50573978,667.7217318,57.09491661,22.51464164,27.91635517,207.8326043,29.67116896,1.496126647,303.1211896,16.75909811,266.7687494,497.2756116,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-17R-1, 60.0 cm",,,,1936.600,1936.600,1936.600,1936.600,"C0020A-17R-1, 100.0 cm",,,,1937.000,1937.000,1937.000,1937.000,"C0020A-17R-1 WR, 60.0--100.0 cm",CKY000000000005377900,IW,,1360.0,hoshinot337,,CKY,2012-09-02T11:14:18Z,1.34092,40.24736687,,11.677,0,1.973682178,622.2250269,0.769040593,0,4.423087735,584.370998,26.92867643,17.9944373,22.72299429,148.2122024,29.57281037,0.58601727,178.7285059,2.145614056,161.8501419,450.8615446,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-17R-4, 65.0 cm",,,,1939.350,1939.350,1939.350,1939.350,"C0020A-17R-4, 85.0 cm",,,,1939.550,1939.550,1939.550,1939.550,"C0020A-17R-4 WR, 65.0--85.0 cm",CKY000000000005377000,IW,,680.0,moriyas,,CKY,2012-09-11T00:47:07Z,1.34069,41.7099226,7.58,14.214,0,2.228715078,660.3038871,0.717729905,0,4.264108951,630.7132261,30.29912472,20.10813588,26.3023477,305.5874172,75.64233958,1.583632896,320.2766939,14.37867544,296.2760726,473.9381293,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-17R-9, 25.0 cm",,,,1944.390,1944.390,1944.390,1944.390,"C0020A-17R-9, 51.5 cm",,,,1944.655,1944.655,1944.655,1944.655,"C0020A-17R-9 WR, 25.0--51.5 cm",CKY000000000005374500,IW,,901.0,moriyas,,CKY,2012-09-20T03:09:38Z,1.34121,44.52669659,7.87,13.898,0,2.384994179,646.7239889,0.702098288,0,4.502550283,614.6633246,46.9684499,18.874555,23.89557587,310.5026563,57.48172475,1.791475197,400.140256,41.27566793,303.6524129,440.1787572,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-19R-9, 30.0 cm",,,,1958.831,1959.570,1958.831,1959.570,"C0020A-19R-9, 60.0 cm",,,,1959.108,1959.870,1959.108,1959.870,"C0020A-19R-9 WR, 30.0--60.0 cm",CKY000000000005439200,IW,,1020.0,moriyas,,CKY,2012-09-11T01:34:14Z,1.33995,37.70143653,8.17,9.251,0,1.718563798,596.6139468,0.755038132,0,5.058882312,541.0401541,38.02265385,13.67443086,17.98372991,200.9728187,64.63337705,0.87799471,154.5263601,1.486729039,162.7159955,345.361904,,hoshinoh,2012-09-24T14:27:59Z
"C0020A-20R-3, 23.0 cm",,,,1961.795,1961.795,1961.795,1961.795,"C0020A-20R-3, 77.5 cm",,,,1962.340,1962.340,1962.340,1962.340,"C0020A-20R-3 WR, 23.0--77.5 cm",CKY000000000005443500,IW,,1853.0,moriyas,,CKY,2012-09-11T16:21:25Z,1.33831,28.81776471,,4.685,,1.339407969,512.3638694,0.742254692,0,1.14782012,463.3718335,2.341643767,11.20392823,14.74268284,121.6098501,69.07156433,3.110062115,184.8913417,1.445588106,106.8941119,304.7845695,"Sample dilution for ICP-AES
0.15M HNO3 with 10 ppb Y :Sample
= 9800 mL:200 mL
",hoshinoh,2012-09-24T14:27:59Z
"C0020A-28R-6, 0.0 cm",,,,2306.393,2306.400,2306.393,2306.400,"C0020A-28R-6, 30.0 cm",,,,2306.693,2306.700,2306.693,2306.700,"C0020A-28R-6 WR, 0.0--30.0 cm",CKY000000000005625700,IW,,1020.0,hoshinot337,,CKY,2012-09-07T10:15:25Z,,,,,,,751.5122895,0.597133431,0.427643571,11.35257267,650.3059492,37.32369584,14.07611208,36.00042895,1313.521091,38.91747454,4.595965583,230.3063889,1.0599803,305.8253986,719.5548423,"Sample dilution for ICP-AES
0.15M HNO3 with 10 ppb Y :Sample
= 9800 mL:200 mL
",hoshinoh,2012-09-24T14:27:59Z
"C0020A-29R-6, 0.0 cm",,,,2405.956,2405.990,2405.956,2405.990,"C0020A-29R-6, 76.0 cm",,,,2406.711,2406.750,2406.711,2406.750,"C0020A-29R-6 WR, 0.0--76.0 cm",CKY000000000005665400,IW,,2584.0,hatakedak,,CKY,2012-09-11T23:22:17Z,1.33793,26.75935294,,5.714,,,459.3456351,0.483610056,0.368652024,2.903569032,413.4787406,3.69836651,7.264644957,16.8930486,111.9416656,25.1270478,4.716086879,156.3545069,0.545015891,68.88729894,382.9371933,,hoshinoh,2012-09-24T14:27:59Z
