leg,site,hole,core,section,sample_depth,grain_density,porosity,method
315,C0001,E,NULL,NULL,53.0085,2.70327,0.6224784,NULL
315,C0001,E,NULL,NULL,53.041,2.67329,0.6135604,NULL
315,C0001,E,NULL,NULL,53.698,2.725369,0.5968536,NULL
315,C0001,E,NULL,NULL,54.3375,2.77449,0.6081654,NULL
315,C0001,E,NULL,NULL,54.9945,2.780976,0.6164608,NULL
315,C0001,E,NULL,NULL,55.2175,2.697457,0.6051839,NULL
315,C0001,E,NULL,NULL,55.4785,2.68253,0.5790067,NULL
315,C0001,E,NULL,NULL,55.6165,2.711842,0.5996341,NULL
315,C0001,E,NULL,NULL,56.2735,2.586137,0.5734121,NULL
315,C0001,E,NULL,NULL,56.6985,2.592837,0.583835,NULL
315,C0001,E,NULL,NULL,57.0445,2.700148,0.606012,NULL
315,C0001,E,NULL,NULL,57.4495,2.733634,0.6245813,NULL
315,C0001,E,NULL,NULL,57.9245,2.734632,0.6427061,NULL
315,C0001,E,NULL,NULL,58.4985,2.665457,0.6381611,NULL
315,C0001,E,NULL,NULL,59.1555,2.666412,0.6226011,NULL
315,C0001,E,NULL,NULL,59.7425,2.687524,0.6230874,NULL
315,C0001,E,NULL,NULL,60.3995,2.68549,0.6197961,NULL
315,C0001,E,NULL,NULL,61.3135,2.724167,0.638149,NULL
315,C0001,E,NULL,NULL,61.9675,2.603384,0.6354916,NULL
315,C0001,E,NULL,NULL,62.573,2.661109,0.6086136,NULL
315,C0001,E,NULL,NULL,63.2265,2.63795,0.6148151,NULL
315,C0001,E,NULL,NULL,63.7885,2.705842,0.6109575,NULL
315,C0001,E,NULL,NULL,64.3665,2.649631,0.6065323,NULL
315,C0001,E,NULL,NULL,64.6385,2.796165,0.5924276,NULL
315,C0001,E,NULL,NULL,65.0005,2.424296,0.4376169,NULL
315,C0001,E,NULL,NULL,65.2315,2.699301,0.5979013,NULL
315,C0001,E,NULL,NULL,65.885,2.718913,0.602456,NULL
315,C0001,E,NULL,NULL,66.4605,2.679768,0.6324729,NULL
315,C0001,E,NULL,NULL,66.5585,2.348384,0.5089057,NULL
315,C0001,E,NULL,NULL,67.1135,2.833038,0.5959068,NULL
315,C0001,E,NULL,NULL,67.8025,2.733228,0.6007454,NULL
315,C0001,E,NULL,NULL,68.456,2.697936,0.5905169,NULL
315,C0001,E,NULL,NULL,69.1095,2.713678,0.5769269,NULL
315,C0001,E,NULL,NULL,69.7635,2.744323,0.629556,NULL
315,C0001,E,NULL,NULL,71.5135,2.587767,0.6296728,NULL
315,C0001,E,NULL,NULL,72.1035,2.663569,0.6451579,NULL
315,C0001,E,NULL,NULL,72.331,2.559258,0.6437358,NULL
315,C0001,E,NULL,NULL,72.7395,2.764117,0.6502941,NULL
315,C0001,E,NULL,NULL,73.058,2.677517,0.6298203,NULL
315,C0001,E,NULL,NULL,73.426,2.628992,0.6096201,NULL
315,C0001,E,NULL,NULL,74.062,2.693567,0.6111051,NULL
315,C0001,E,NULL,NULL,74.4025,2.602898,0.601142,NULL
315,C0001,E,NULL,NULL,74.8165,2.633007,0.6021048,NULL
315,C0001,E,NULL,NULL,75.4065,2.820527,0.5954137,NULL
315,C0001,E,NULL,NULL,76.1515,2.660715,0.5964238,NULL
315,C0001,E,NULL,NULL,76.8605,2.840633,0.6398575,NULL
315,C0001,E,NULL,NULL,77.5875,2.662941,0.6171944,NULL
315,C0001,E,NULL,NULL,78.1055,2.699862,0.6201774,NULL
315,C0001,E,NULL,NULL,78.728,2.69669,0.6247836,NULL
315,C0001,E,NULL,NULL,79.4185,2.625128,0.6272516,NULL
315,C0001,E,NULL,NULL,80.2855,2.76082,0.6140276,NULL
315,C0001,E,NULL,NULL,81.0095,2.647206,0.6124202,NULL
315,C0001,E,NULL,NULL,82.2715,2.845896,0.6314141,NULL
315,C0001,E,NULL,NULL,82.9455,2.561869,0.5910402,NULL
315,C0001,E,NULL,NULL,82.9815,2.651458,0.6054899,NULL
315,C0001,E,NULL,NULL,83.6695,2.725491,0.5767917,NULL
315,C0001,E,NULL,NULL,84.0855,2.814979,0.6232765,NULL
315,C0001,E,NULL,NULL,84.3255,2.656786,0.5914113,NULL
315,C0001,E,NULL,NULL,84.9135,2.858037,0.6114455,NULL
315,C0001,E,NULL,NULL,85.2755,2.689215,0.623431,NULL
315,C0001,E,NULL,NULL,85.6285,2.763462,0.6211309,NULL
315,C0001,E,NULL,NULL,86.3975,2.638901,0.5415576,NULL
315,C0001,E,NULL,NULL,86.4965,2.860727,0.5748301,NULL
315,C0001,E,NULL,NULL,86.9175,2.697458,0.5560758,NULL
315,C0001,E,NULL,NULL,87.7765,2.670503,0.5875071,NULL
315,C0001,E,NULL,NULL,88.1885,2.696045,0.5661236,NULL
315,C0001,E,NULL,NULL,88.8765,2.754556,0.5874146,NULL
315,C0001,E,NULL,NULL,89.8085,2.626882,0.6103223,NULL
315,C0001,E,NULL,NULL,90.5305,2.759055,0.6436202,NULL
315,C0001,E,NULL,NULL,90.5485,2.547157,0.6173065,NULL
315,C0001,E,NULL,NULL,91.1315,2.631658,0.6198388,NULL
315,C0001,E,NULL,NULL,91.835,2.779429,0.620446,NULL
315,C0001,E,NULL,NULL,92.4415,2.703741,0.5916028,NULL
315,C0001,E,NULL,NULL,93.302,2.836854,0.607819,NULL
315,C0001,E,NULL,NULL,93.487,2.81746,0.6408008,NULL
315,C0001,E,NULL,NULL,93.7415,2.768334,0.5986107,NULL
315,C0001,E,NULL,NULL,94.4355,2.720077,0.5818364,NULL
315,C0001,E,NULL,NULL,94.581,2.570193,0.5873446,NULL
315,C0001,E,NULL,NULL,95.051,2.800559,0.6072674,NULL
315,C0001,E,NULL,NULL,95.7265,2.68972,0.571827,NULL
315,C0001,E,NULL,NULL,96.3795,2.714469,0.5852362,NULL
315,C0001,E,NULL,NULL,97.0365,2.70228,0.5550806,NULL
315,C0001,E,NULL,NULL,97.684,2.651903,0.5922689,NULL
315,C0001,E,NULL,NULL,98.3875,2.726591,0.6134716,NULL
315,C0001,E,NULL,NULL,99.3255,2.72393,0.5991712,NULL
315,C0001,E,NULL,NULL,100.016,2.762897,0.5901163,NULL
315,C0001,E,NULL,NULL,100.5595,2.714445,0.5806853,NULL
315,C0001,E,NULL,NULL,101.2495,2.730433,0.5713938,NULL
315,C0001,E,NULL,NULL,101.903,2.591351,0.5621324,NULL
315,C0001,E,NULL,NULL,102.5935,2.688281,0.5854153,NULL
315,C0001,E,NULL,NULL,102.881,2.629624,0.5415073,NULL
315,C0001,E,NULL,NULL,103.199,2.651653,0.6105379,NULL
315,C0001,E,NULL,NULL,103.896,2.705053,0.618469,NULL
315,C0001,E,NULL,NULL,104.0845,2.672574,0.6024892,NULL
315,C0001,E,NULL,NULL,104.5405,2.642736,0.6050224,NULL
315,C0001,E,NULL,NULL,105.194,2.708811,0.6148052,NULL
315,C0001,E,NULL,NULL,105.8985,2.663571,0.6568702,NULL
315,C0001,E,NULL,NULL,106.5885,2.585613,0.647688,NULL
315,C0001,E,NULL,NULL,107.1965,2.624881,0.6171175,NULL
315,C0001,E,NULL,NULL,107.8865,2.718821,0.6839571,NULL
315,C0001,E,NULL,NULL,108.8225,2.699866,0.6298927,NULL
315,C0001,E,NULL,NULL,109.505,2.6447,0.5687891,NULL
315,C0001,E,NULL,NULL,110.1465,2.700914,0.5639034,NULL
315,C0001,E,NULL,NULL,110.7825,2.6657,0.5759792,NULL
315,C0001,E,NULL,NULL,111.4055,2.780702,0.5667428,NULL
315,C0001,E,NULL,NULL,112.0885,2.783533,0.6284846,NULL
315,C0001,E,NULL,NULL,112.3015,2.687252,0.6001669,NULL
315,C0001,E,NULL,NULL,112.7155,2.775642,0.6026013,NULL
315,C0001,E,NULL,NULL,113.3975,2.710873,0.6259616,NULL
315,C0001,E,NULL,NULL,114.0615,2.670557,0.6059206,NULL
315,C0001,E,NULL,NULL,114.3005,2.690197,0.5749083,NULL
315,C0001,E,NULL,NULL,114.7435,2.771038,0.6101477,NULL
315,C0001,E,NULL,NULL,115.376,2.656462,0.6092336,NULL
315,C0001,E,NULL,NULL,116.0585,2.637899,0.5900967,NULL
315,C0001,E,NULL,NULL,117.3955,2.649846,0.603034,NULL
315,C0001,E,NULL,NULL,117.4885,2.689681,0.5978219,NULL
315,C0001,F,NULL,NULL,108.099,2.656541,0.6275402,NULL
315,C0001,F,NULL,NULL,108.2265,2.628617,0.6138434,NULL
315,C0001,F,NULL,NULL,108.919,2.664205,0.6383962,NULL
315,C0001,F,NULL,NULL,109.5245,2.671105,0.6407039,NULL
315,C0001,F,NULL,NULL,110.1335,2.754198,0.6680698,NULL
315,C0001,F,NULL,NULL,110.785,2.718581,0.6629689,NULL
315,C0001,F,NULL,NULL,111.5235,2.506601,0.5688428,NULL
315,C0001,F,NULL,NULL,111.6905,2.518865,0.5890794,NULL
315,C0001,F,NULL,NULL,112.1385,2.713579,0.6149011,NULL
315,C0001,F,NULL,NULL,112.9695,2.623529,0.5606264,NULL
315,C0001,F,NULL,NULL,113.422,2.837106,0.5987221,NULL
315,C0001,F,NULL,NULL,114.1145,2.658395,0.5495822,NULL
315,C0001,F,NULL,NULL,114.7475,2.755911,0.545279,NULL
315,C0001,F,NULL,NULL,115.4405,2.67576,0.5635121,NULL
315,C0001,F,NULL,NULL,116.0685,2.640059,0.5640084,NULL
