leg
site
hole
sample_depth
Top Core Depth []
Top Drilling depth below sea floor [m DSF]
"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]"
Top Core depth (below sea floor) [m CSF-A]
Top Core depth (below sea floor) [m CSF-B]
"Top Depth DSF, MSF, WSF and CSF-A [m]"
Bottom Core Depth []
Bottom Drilling depth below sea floor [m DSF]
"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]"
Bottom Core depth (below sea floor) [m CSF-A]
Bottom Core depth (below sea floor) [m CSF-B]
"Bottom Depth DSF, MSF, WSF and CSF-A [m]"
Sample source
J-CORES sample ID
Sample code
Sample request
Sample volume (cm3)
Sample entered by
Sample comment
Sample repository
Sample time-stamp
pore water chemistry; sample::refractive index nD: refractometer::number
"pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number"
pore water chemistry; sample::Li concentration: ICP-AES [然]::number
pore water chemistry; sample::B concentration: ICP-AES [然]::number
pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number
pore water chemistry; sample::Na concentration: IC [mM]::number
pore water chemistry; sample::Mg concentration: IC [mM]::number
pore water chemistry; sample::Si concentration: ICP-AES [然]::number
pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number
pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [然]::number
pore water chemistry; sample::SO4 concentration: IC [mM]::number
pore water chemistry; sample::K concentration: IC [mM]::number
pore water chemistry; sample::Ca concentration: IC [mM]::number
pore water chemistry; sample::Mn concentration: ICP-AES [然]::number
pore water chemistry; sample::Fe concentration: ICP-AES [然]::number
pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number
pore water chemistry; sample::Br concentration: IC [mM]::number
pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number
pore water chemistry; sample::Sr concentration: ICP-AES [然]::number
pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number
pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number
pore water chemistry; sample::Ba concentration: ICP-AES [然]::number
pore water chemistry; sample::U concentration: ICP-MS [nM]::number
pore water chemistry; sample::registerer
pore water chemistry; sample::registration time-stamp
"pore water chemistry::pmH: pH electrode, attached to titrator::number"
pore water chemistry::alkalinity: titrator [mM]::number
pore water chemistry::alkalinity full result::file
pore water chemistry::registerer
pore water chemistry::registration time-stamp
pore water chemistry; sample::V concentration: ICP-MS [nM]::number
pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number
pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number
pore water chemistry::pmH full result::file
pore water chemistry::comment on measurement::text
Top Mud depth below sea floor [m MSF]
Top Wireline log depth below sea floor [m WSF]
Bottom Mud depth below sea floor [m MSF]
Bottom Wireline log depth below sea floor [m WSF]
pore water chemistry::refractive index nD: refractometer::number
pore water chemistry::salinity: refractometer [permil]::number
pore water chemistry::PO4 concentration: UV-Visible spectrophotometer [然]::number
pore water chemistry::NH4 concentration: UV-Visible spectrophotometer [mM]::number
pore water chemistry::Cl concentration: IC [mM]::number
pore water chemistry::Br concentration: IC [mM]::number
pore water chemistry::NO3 concentration: IC [mM]::number
pore water chemistry::SO4 concentration: IC [mM]::number
pore water chemistry::Na concentration: IC [mM]::number
pore water chemistry::K concentration: IC [mM]::number
pore water chemistry::Mg concentration: IC [mM]::number
pore water chemistry::Ca concentration: IC [mM]::number
pore water chemistry::B concentration: ICP-AES [然]::number
pore water chemistry::Ba concentration: ICP-AES [然]::number
pore water chemistry::Fe concentration: ICP-AES [然]::number
pore water chemistry::Li concentration: ICP-AES [然]::number
pore water chemistry::Mn concentration: ICP-AES [然]::number
pore water chemistry::Si concentration: ICP-AES [然]::number
pore water chemistry::Sr concentration: ICP-AES [然]::number
"pore water chemistry, GRIND, ultrapure water::refractive index nD: refractometer::number"
"pore water chemistry, GRIND, ultrapure water::pmH: pH electrode, attached to titrator::number"
"pore water chemistry, GRIND, ultrapure water::alkalinity: titrator [mM]::number"
"pore water chemistry, GRIND, ultrapure water::chlorinity: titrator, potentiometric titration [mM]::number"
"pore water chemistry, GRIND, ultrapure water::PO4 concentration: UV-Visible spectrophotometer [然]::number"
"pore water chemistry, GRIND, ultrapure water::NH4 concentration: UV-Visible spectrophotometer [mM]::number"
"pore water chemistry, GRIND, ultrapure water::Br concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::SO4 concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::Na concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::K concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::Mg concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::Ca concentration: IC [mM]::number"
"pore water chemistry, GRIND, ultrapure water::B concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Ba concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Fe concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Li concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Mn concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Si concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::Sr concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, ultrapure water::V concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::Cu concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::Zn concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::Rb concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::Mo concentration: ICP-MS [nM]::number"
