Leg	Site	Hole	    Latitude	    Longtitude	    Arrival Date	    Departure Date	    Time on Hole(dd:hh:mm)	    Water Depth	    Core Type(s)	    Numbers of Cores	    Total Penetration (m) 	    Coring Penetration (m) 	    Drilled (m)	    Core Recovered (m)	    Core Recovered %	
160	 964	F	    36° 16'N	      17° 45'E	   03/21/95 0045	     03/21/95 1224	                 0:11:40	         3657.3	               H	                   3	                      28.1	                       28.1	               	                 27.94	                99.4	
160	 965	A	    33° 55'N	      32° 43'E	   03/24/95 1828	     03/27/95 0430	                 2:10: 3	         1506.6	              HX	                  27	                     250.4	                      250.4	               	                 42.79	                17.1	
160	 966	A	    33° 48'N	      32° 42'E	   03/27/95 0556	     03/27/95 2146	                 0:15:50	          926.6	              HX	                  13	                     106.8	                      106.8	               	                 73.21	                68.5	
160	 966	B	    33° 48'N	      32° 42'E	   03/27/95 2146	     03/28/95 1312	                 0:15:26	          926.6	              HX	                  16	                     146.0	                      146.0	               	                 96.50	                66.1	
160	 966	C	    33° 48'N	      32° 42'E	   03/28/95 1312	     03/29/95 1520	                 1: 2: 8	          925.9	              HX	                  17	                     127.0	                      127.0	               	                101.60	                80.0	
160	 966	D	    33° 48'N	      32° 42'E	   03/29/95 1520	     03/29/95 1838	                 0: 3:18	          926.3	              HX	                  20	                     136.5	                      136.5	               	                105.94	                77.6	
160	 966	E	    33° 48'N	      32° 42'E	   03/29/95 1838	     03/29/95 2345	                 0: 5: 7	          926.3	               H	                   1	                       8.5	                        8.5	               	                  8.48	                99.8	
160	 966	F	    33° 48'N	      32° 42'E	   03/29/95 2345	     04/01/95 1020	                 2:10:35	          922.9	               R	                  31	                     356.0	                      297.0	               	                 65.86	                22.2	
160	 967	A	    34° 4'N	      32° 44'E	   04/01/95 1150	     04/02/95 1140	                 0:23:51	         2553.0	              HX	                  16	                     141.3	                      141.3	               	                142.14	               100.6	
160	 967	B	    34° 4'N	      32° 44'E	   04/02/95 1140	     04/03/95 0040	                 0:13: 0	         2555.0	               H	                  14	                     121.5	                      121.5	               	                126.61	               104.2	
160	 967	C	    34° 4'N	      32° 44'E	   04/03/95 0040	     04/03/95 1150	                 0:11:10	         2552.8	               H	                  13	                     114.4	                      114.4	               	                119.55	               104.5	
160	 967	D	    34° 4'N	      32° 44'E	   04/03/95 1350	     04/03/95 2115	                 0: 7:25	         2551.6	               H	                   2	                      16.2	                       16.2	               	                 16.89	               104.3	
160	 967	E	    34° 4'N	      32° 44'E	   04/03/95 2115	     04/09/95 1045	                 5:13:30	         2552.7	               R	                  51	                     600.3	                      488.4	               	                 72.32	                14.8	
160	 967	F	    34° 4'N	      32° 44'E	   04/03/95 1150	     04/03/95 1350	                 0: 2: 0	         2551.6	               H	                   1	                       9.5	                        9.5	               	                  9.87	               103.9	
160	 968	A	    34° 20'N	      32° 45'E	   04/09/95 1213	     04/12/95 1630	                 3: 4:17	         1961.0	              HX	                  34	                     302.7	                      302.7	               	                241.53	                79.8	
160	 968	B	    34° 20'N	      32° 45'E	   04/12/95 1630	     04/12/95 1915	                 0: 2:45	         1962.6	               H	                   2	                      14.9	                       14.9	               	                 15.45	               103.7	
160	 968	C	    34° 20'N	      32° 45'E	   04/12/95 1915	     04/13/95 0300	                 0: 7:46	         1964.1	               H	                   2	                      15.4	                       15.4	               	                 15.75	               102.3	
160	 969	A	    33° 50'N	      24° 53'E	   04/14/95 1300	     04/15/95 0515	                 0:16:15	         2200.3	               H	                  13	                     108.3	                      108.3	               	                111.42	               102.9	
160	 969	B	    33° 50'N	      24° 53'E	   04/15/95 0515	     04/15/95 1540	                 0:10:26	         2202.1	               H	                  11	                      97.9	                       97.9	               	                100.16	               102.3	
160	 969	C	    33° 50'N	      24° 53'E	   04/15/95 1540	     04/15/95 1745	                 0: 2: 6	         2195.5	               H	                   1	                       9.5	                        9.5	               	                  9.98	               105.1	
160	 969	D	    33° 50'N	      24° 53'E	   04/15/95 1745	     04/16/95 0555	                 0:12:10	         2192.1	               H	                  13	                     116.2	                      116.2	               	                118.54	               102.0	
160	 969	E	    33° 50'N	      24° 53'E	   04/16/95 0555	     04/16/95 1520	                 0: 9:25	         2201.1	               H	                  11	                      97.9	                       97.9	               	                100.23	               102.4	
160	 969	F	    33° 50'N	      24° 53'E	   04/16/95 1520	     04/16/95 2324	                 0: 8: 4	         2198.5	               H	                   2	                      19.0	                       19.0	               	                 19.46	               102.4	
160	 970	A	    33° 44'N	      24° 48'E	   04/17/95 0630	     04/19/95 0900	                 2: 2:31	         2075.5	              HX	                  22	                     201.4	                      201.4	               	                 50.47	                25.1	
160	 970	B	    33° 44'N	      24° 49'E	   04/19/95 0900	     04/19/95 1920	                 0:10:20	         2078.6	               H	                   5	                      47.5	                       47.5	               	                 48.68	               102.5	
160	 970	C	    33° 44'N	      24° 47'E	   04/19/95 1920	     04/20/95 0350	                 0: 8:30	         2036.9	              HX	                   5	                      35.6	                       35.6	               	                 16.97	                47.7	
160	 970	D	    33° 44'N	      24° 47'E	   04/20/95 0448	     04/20/95 1030	                 0: 5:43	         1953.3	               H	                   5	                      42.8	                       42.8	               	                 44.19	               103.2	
160	 971	A	    33° 42'N	      24° 43'E	   04/20/95 1401	     04/21/95 0635	                 0:16:35	         2026.1	              HX	                  12	                     105.9	                      105.9	               	                 58.75	                55.5	
160	 971	B	    33° 43'N	      24° 42'E	   04/21/95 0635	     04/23/95 1533	                 2: 8:58	         2140.9	              HX	                  22	                     203.5	                      203.5	               	                 64.19	                31.5	
160	 971	C	    33° 43'N	      24° 42'E	   04/23/95 1533	     04/23/95 1743	                 0: 2:11	         2140.9	               H	                   2	                      16.7	                       16.7	               	                 17.25	               103.3	
160	 971	D	    33° 43'N	      24° 41'E	   04/23/95 1743	     04/24/95 0240	                 0: 8:58	         1933.1	               H	                   5	                      46.0	                       46.0	               	                 47.50	               103.3	
160	 971	E	    33° 44'N	      24° 41'E	   04/24/95 0347	     04/24/95 1248	                 0: 9: 1	         1943.6	               H	                   3	                      28.5	                       28.5	               	                 29.52	               103.6	
160	 972	A	    35° 47'N	      18° 44'E	   04/25/95 1702	     04/26/95 1602	                 0:23: 0	         3930.6	              HX	                  10	                      95.4	                       95.4	               	                 93.54	                98.1	
160	 972	B	    35° 47'N	      18° 44'E	   04/26/95 1602	     04/27/95 0600	                 0:13:58	         3930.6	                	                   1	                      60.1	                           	           60.1	                      	                    	
160	 973	A	    35° 47'N	      18° 57'E	   04/27/95 1500	     04/29/95 1130	                 1:20:30	         3695.0	              HX	                  17	                     148.5	                      148.5	               	                 86.78	                58.4	
160	 973	B	    35° 47'N	      18° 57'E	   04/27/95 0945	     04/27/95 1500	                 0: 5:15	         3698.5	               H	                   1	                       9.5	                        9.5	               	                  9.62	               101.3	
160	 973	C	    35° 47'N	      18° 57'E	   04/29/95 1130	     04/29/95 2015	                 0: 8:45	         3695.4	               H	                   1	                       9.5	                        9.5	               	                  9.73	               102.4	
160	 973	D	    35° 47'N	      18° 57'E	   04/29/95 2015	     04/30/95 1655	                 0:20:40	         3694.0	              HX	                   9	                     152.6	                       75.0	               	                 64.13	                85.5	
160	 973	E	    35° 47'N	      18° 57'E	   05/01/95 0155	     05/01/95 1500	                 0:13: 6	         3693.8	               H	                   2	                      32.0	                       19.0	               	                 19.81	               104.3	
161	 974	A	    40° 21'N	      12° 9'E	   05/07/95 0345	     05/07/95 1700	                 0:13:15	         3458.8	               H	                   1	                      14.5	                        9.5	               	                  9.81	               103.3	
161	 974	B	    40° 21'N	      12° 9'E	   05/07/95 1700	     05/08/95 2345	                 1: 6:45	         3453.9	              HX	                  22	                     203.7	                      203.7	               	                208.23	               102.2	
161	 974	C	    40° 21'N	      12° 9'E	   05/08/95 2345	     05/10/95 2100	                 1:21:16	         3453.3	              HX	                  22	                     204.5	                      204.5	               	                199.85	                97.7	
161	 974	D	    40° 21'N	      12° 9'E	   05/10/95 2100	     05/11/95 1930	                 0:22:30	         3454.0	               H	                  18	                     163.0	                      163.0	               	                170.49	               104.6	
161	 975	A	    38° 54'N	       4° 31'E	   05/14/95 0100	     05/14/95 0730	                 0: 6:30	         2416.7	               H	                   1	                       9.5	                        9.5	               	                  9.92	               104.4	
161	 975	B	    38° 54'N	       4° 31'E	   05/14/95 0730	     05/16/95 0145	                 1:18:16	         2415.5	              HX	                  34	                     317.1	                      317.1	               	                298.98	                94.3	
161	 975	C	    38° 54'N	       4° 31'E	   05/16/95 0145	     05/18/95 1015	                 2: 8:31	         2415.1	              HX	                  34	                     313.7	                      313.7	               	                307.66	                98.1	
161	 975	D	    38° 54'N	       4° 31'E	   05/18/95 1015	     05/19/95 0330	                 0:17:15	         2415.1	               H	                  16	                     149.9	                      149.9	               	                157.03	               104.8	
161	 976	A	    36° 12'N	       4° 19'W	   05/21/95 0100	     05/21/95 0900	                 0: 8: 0	         1107.5	               H	                   1	                       5.9	                        5.9	               	                  5.92	               100.3	
161	 976	B	    36° 12'N	       4° 19'W	   05/21/95 0900	     06/01/95 1245	                11: 3:45	         1108.0	             HRX	                 106	                     928.7	                      928.7	               	                535.54	                57.7	
161	 976	C	    36° 12'N	       4° 19'W	   06/01/95 1245	     06/03/95 1145	                 1:23: 0	         1108.2	              HX	                  40	                     379.7	                      379.7	               	                340.16	                89.6	
161	 976	D	    36° 12'N	       4° 19'W	   06/03/95 1145	     06/03/95 1645	                 0: 5: 0	         1107.6	               H	                   4	                      30.0	                       30.0	               	                 30.79	               102.6	
161	 976	E	    36° 12'N	       4° 19'W	   06/03/95 1645	     06/08/95 0830	                 4:15:45	         1107.6	               R	                  28	                     736.3	                      192.5	               	                 64.85	                33.7	
161	 977	A	    36° 2'N	       1° 57'W	   06/08/95 2315	     06/15/95 1430	                 6:15:16	         1984.0	              HX	                  63	                     598.5	                      598.5	               	                545.49	                91.1	
161	 978	A	    36° 14'N	       2° 3'W	   06/15/95 1600	     06/21/95 0230	                 5:10:30	         1929.4	               R	                  53	                     698.0	                      504.2	               	                406.66	                80.7	
161	 979	A	    35° 43'N	       3° 12'W	   06/21/95 0745	     06/25/95 0715	                 3:23:31	         1062.1	              HX	                  62	                     580.9	                      580.9	               	                583.14	               100.4	
162	 907	B	    69° 15'N	      12° 42'W	   07/31/95 2345	     08/01/95 1920	                 0:19:35	         1802.0	               H	                  23	                     211.7	                      211.7	               	                219.56	               103.7	
162	 907	C	    69° 14'N	      12° 42'W	   08/01/95 1920	     08/02/95 1138	                 0:16:19	         1801.0	               H	                  23	                     215.1	                      215.1	               	                220.23	               102.4	
162	 980	A	    55° 29'N	      14° 42'W	   07/10/95 0846	     07/11/95 0140	                 0:16:55	         2172.2	               H	                  12	                     113.9	                      113.9	               	                117.62	               103.3	
162	 980	B	    55° 29'N	      14° 42'W	   07/11/95 0140	     07/11/95 1300	                 0:11:20	         2168.4	               H	                  13	                     118.2	                      118.2	               	                122.48	               103.6	
162	 980	C	    55° 29'N	      14° 42'W	   07/11/95 1300	     07/11/95 2300	                 0:10: 1	         2168.0	               H	                  14	                     121.6	                      121.6	               	                126.61	               104.1	
162	 981	A	    55° 29'N	      14° 39'W	   07/12/95 0120	     07/13/95 0700	                 1: 5:40	         2173.1	               H	                  34	                     320.0	                      320.0	               	                327.51	               102.3	
162	 981	B	    55° 29'N	      14° 39'W	   07/13/95 0700	     07/13/95 2255	                 0:15:55	         2173.1	               H	                  24	                     220.9	                      220.9	               	                227.29	               102.9	
162	 981	C	    55° 29'N	      14° 39'W	   07/13/95 2255	     07/15/95 0315	                 1: 4:21	         2171.8	               H	                  30	                     281.2	                      281.2	               	                293.81	               104.5	
162	 982	A	    57° 31'N	      15° 52'W	   07/15/95 1815	     07/16/95 1200	                 0:17:45	         1135.3	               H	                  27	                     248.7	                      248.7	               	                253.23	               101.8	
162	 982	B	    57° 31'N	      15° 52'W	   07/16/95 1200	     07/19/95 0225	                 2:14:25	         1134.0	              HX	                  65	                     614.9	                      614.9	               	                488.50	                79.4	
162	 982	C	    57° 31'N	      15° 52'W	   07/19/95 0225	     07/19/95 1610	                 0:13:46	         1133.7	               H	                  27	                     250.8	                      250.8	               	                256.49	               102.3	
162	 982	D	    57° 31'N	      15° 52'W	   07/19/95 1610	     07/19/95 2112	                 0: 5: 2	         1133.7	               H	                   1	                      29.5	                        9.5	               	                  9.78	               102.9	
162	 983	A	    60° 24'N	      23° 38'W	   07/21/95 1158	     07/22/95 0929	                 0:21:32	         1983.0	               H	                  27	                     254.4	                      254.4	               	                264.42	               103.9	
162	 983	B	    60° 24'N	      23° 38'W	   07/22/95 0929	     07/23/95 0309	                 0:17:40	         1982.7	               H	                  27	                     251.7	                      251.7	               	                261.83	               104.0	
162	 983	C	    60° 24'N	      23° 38'W	   07/23/95 0309	     07/24/95 0200	                 0:22:51	         1985.0	               H	                  28	                     260.4	                      260.4	               	                271.75	               104.4	
162	 984	A	    61° 26'N	      24° 5'W	   07/24/95 1020	     07/25/95 0246	                 0:16:26	         1649.3	               H	                  19	                     176.1	                      176.1	               	                180.16	               102.3	
162	 984	B	    61° 26'N	      24° 5'W	   07/25/95 0246	     07/28/95 0820	                 3: 5:34	         1647.8	              HX	                  53	                     503.7	                      503.7	               	                458.26	                91.0	
162	 984	C	    61° 26'N	      24° 5'W	   07/28/95 0820	     07/29/95 0145	                 0:17:25	         1648.5	               H	                  31	                     290.4	                      290.4	               	                296.00	               101.9	
162	 984	D	    61° 26'N	      24° 5'W	   07/29/95 0145	     07/29/95 1742	                 0:15:57	         1647.9	               H	                  12	                     270.7	                      112.9	               	                115.22	               102.1	
162	 985	A	    66° 56'N	       6° 27'W	   08/03/95 1358	     08/07/95 0415	                 3:14:18	         2787.6	              HX	                  62	                     587.9	                      587.9	               	                553.42	                94.1	
162	 985	B	    66° 56'N	       6° 27'W	   08/07/95 0415	     08/07/95 1915	                 0:15: 0	         2787.8	               H	                  14	                     126.9	                      126.9	               	                129.44	               102.0	
162	 986	A	    77° 20'N	       9° 5'E	   08/10/95 1208	     08/11/95 1230	                 1: 0:23	         2051.5	              HX	                  24	                     206.0	                      206.0	               	                181.30	                88.0	
162	 986	B	    77° 20'N	       9° 5'E	   08/11/95 1230	     08/11/95 1425	                 0: 1:55	         2053.1	               H	                   2	                      15.5	                       15.5	               	                 15.10	                97.4	
162	 986	C	    77° 20'N	       9° 5'E	   08/11/95 1425	     08/14/95 1505	                 3: 0:41	         2051.5	              HX	                  44	                     408.0	                      408.0	               	                229.78	                56.3	
162	 986	D	    77° 20'N	       9° 5'E	   08/14/95 1505	     08/20/95 2100	                 6: 5:56	         2051.5	               R	                  60	                     964.6	                      576.8	               	                241.56	                41.9	
162	 987	A	    70° 30'N	      17° 56'W	   08/23/95 0920	     08/24/95 0817	                 0:22:57	         1671.6	              HX	                  22	                     199.3	                      199.3	               	                173.01	                86.8	
162	 987	B	    70° 30'N	      17° 56'W	   08/24/95 0817	     08/24/95 1850	                 0:10:33	         1671.9	               H	                  11	                      99.2	                       99.2	               	                 74.18	                74.8	
162	 987	C	    70° 30'N	      17° 56'W	   08/24/95 1850	     08/24/95 2145	                 0: 2:56	         1670.5	               H	                   5	                      43.6	                       43.6	               	                 44.91	               103.0	
162	 987	D	    70° 30'N	      17° 56'W	   08/24/95 2145	     08/26/95 2250	                 2: 1: 6	         1672.8	              HX	                  42	                     373.0	                      373.0	               	                268.46	                72.0	
162	 987	E	    70° 30'N	      17° 56'W	   08/26/95 2250	     09/01/95 1215	                 5:13:26	         1672.7	               R	                  52	                     859.4	                      496.1	               	                308.82	                62.2	
163	 988	A	    65° 42'N	      34° 52'W	   09/08/95 1100	     09/10/95 0930	                 1:22:30	          262.6	               R	                   5	                      32.0	                       32.0	               	                  9.59	                30.0	
163	 989	A	    63° 31'N	      39° 54'W	   09/16/95 1255	     09/17/95 1800	                 1: 7: 6	          459.5	               R	                   3	                      21.4	                       21.4	               	                 16.02	                74.9	
163	 989	B	    63° 31'N	      39° 54'W	   09/17/95 1800	     09/20/95 1330	                 2:19:30	          459.5	               R	                  14	                      84.2	                       80.2	               	                 73.96	                92.2	
163	 990	A	    63° 28'N	      39° 47'W	   09/20/95 1745	     10/01/95 1315	                10:19:30	          541.5	              MR	                  24	                     342.7	                      180.7	               	                105.01	                58.1	
164	 991	A	    32° 59'N	      75° 56'W	   11/05/95 0022	     11/05/95 1418	                 0:13:57	         2567.5	               H	                   6	                      56.6	                       56.6	               	                 58.56	               103.5	
164	 991	B	    32° 59'N	      75° 56'W	   11/05/95 1418	     11/05/95 1953	                 0: 5:36	         2567.5	               P	                   2	                      51.0	                        2.0	               	                  1.04	                52.0	
164	 992	A	    32° 59'N	      75° 55'W	   11/05/95 2330	     11/06/95 0645	                 0: 7:15	         2586.9	               H	                   6	                      50.3	                       50.3	               	                 52.62	               104.6	
164	 993	A	    32° 58'N	      75° 54'W	   11/06/95 0849	     11/07/95 0740	                 0:22:51	         2641.8	              HX	                   6	                      51.9	                       51.9	               	                 45.70	                88.1	
164	 994	A	    31° 47'N	      75° 33'W	   11/07/95 1408	     11/07/95 2350	                 0: 9:43	         2797.6	               H	                   4	                      36.4	                       36.4	               	                 37.29	               102.4	
