Leg	Site	Hole	    Latitude	    Longtitude	    Arrival Date	    Departure Date	    Time on Hole(dd:hh:mm)	    Water Depth	    Core Type(s)	    Numbers of Cores	    Total Penetration (m) 	    Coring Penetration (m) 	    Drilled (m)	    Core Recovered (m)	    Core Recovered %	
 96	 615	*	    25° 13'N	      85° 60'W	   10/04/83 0537	     10/09/83 0655	                 5: 1:19	         3268.0	             HMX	                  52	                     523.2	                      419.3	               	                175.53	                41.9	
 96	 615	A	    25° 13'N	      85° 60'W	   10/09/83 0650	     10/10/83 1535	                 1: 8:45	         3268.0	              HX	                  17	                     208.5	                       74.5	               	                 52.04	                69.9	
100	 625	A	    28° 50'N	      87° 10'W	   01/12/85 1010	     01/18/85 0000	                 5:13:51	          889.0	              RW	                   6	                     234.9	                        2.8	          232.1	                 18.80	               671.4	
100	 625	B	    28° 50'N	      87° 10'W	   01/18/85 0000	     01/20/85 1515	                 2:15:15	          889.0	              HX	                  27	                     235.2	                      235.2	               	                222.22	                94.5	
100	 625	C	    28° 50'N	      87° 10'W	   01/20/85 2050	     01/21/85 2018	                 0:23:29	          889.0	               H	                   4	                      44.5	                       39.5	               	                 39.36	                99.6	
101	 626	A	    25° 36'N	      79° 33'W	   02/01/85 0415	     02/01/85 2230	                 0:18:16	          846.8	               R	                   2	                      12.8	                       12.8	               	                  5.01	                39.1	
101	 626	B	    25° 36'N	      79° 33'W	   02/02/85 0115	     02/03/85 0715	                 1: 6: 0	          860.0	              RW	                   5	                     185.5	                       19.2	          166.3	                 14.09	                73.4	
101	 626	C	    25° 36'N	      79° 33'W	   02/03/85 0715	     02/04/85 2300	                 1:15:45	          855.0	              HX	                  19	                     179.3	                      179.3	               	                 66.84	                37.3	
101	 626	D	    25° 36'N	      79° 33'W	   02/04/85 2300	     02/09/85 0800	                 4: 9: 0	          854.0	               R	                  28	                     446.8	                      267.4	               	                  9.72	                 3.6	
101	 627	A	    27° 38'N	      78° 18'W	   02/10/85 0230	     02/10/85 1415	                 0:11:45	         1026.0	               H	                   1	                       8.8	                        8.8	               	                  9.47	               107.6	
101	 627	B	    27° 38'N	      78° 18'W	   02/10/85 1415	     02/17/85 1930	                 7: 5:15	         1036.0	              HX	                  60	                     535.8	                      535.8	               	                350.96	                65.5	
101	 628	A	    27° 32'N	      78° 19'W	   02/17/85 2355	     02/19/85 1600	                 1:16: 6	          974.0	              HX	                  32	                     298.4	                      298.4	               	                217.49	                72.9	
101	 629	A	    27° 24'N	      78° 22'W	   02/19/85 2030	     02/20/85 0600	                 0: 9:30	          563.0	              HX	                   3	                      27.1	                       27.1	               	                  6.24	                23.0	
101	 630	A	    27° 27'N	      78° 20'W	   02/20/85 1020	     02/21/85 1020	                 1: 0: 0	          815.0	              HX	                  26	                     250.3	                      250.3	               	                220.65	                88.2	
101	 630	B	    27° 27'N	      78° 20'W	   02/21/85 1020	     02/21/85 1900	                 0: 8:40	          815.0	               H	                   9	                      80.4	                       79.9	               	                 79.68	                99.7	
101	 630	C	    27° 27'N	      78° 20'W	   02/21/85 1900	     02/21/85 2300	                 0: 4: 1	          815.0	               H	                   1	                       9.3	                        9.3	               	                  9.31	               100.1	
101	 631	A	    23° 35'N	      75° 45'W	   02/23/85 1115	     02/25/85 0230	                 1:15:16	         1102.0	              HX	                  25	                     244.3	                      244.3	               	                161.16	                66.0	
101	 632	A	    23° 50'N	      75° 26'W	   02/25/85 1050	     02/26/85 1250	                 1: 2: 0	         2007.0	              HX	                  16	                     141.0	                      141.0	               	                 83.45	                59.2	
101	 632	B	    23° 50'N	      75° 26'W	   02/26/85 1250	     03/01/85 0120	                 2:12:30	         2007.0	               R	                  17	                     283.3	                      162.7	               	                 34.96	                21.5	
101	 633	A	    23° 41'N	      75° 37'W	   03/01/85 0836	     03/02/85 1948	                 1:11:13	         1690.0	              HX	                  24	                     227.3	                      228.3	               	                111.34	                48.8	
101	 634	A	    25° 23'N	      77° 19'W	   03/03/85 1500	     03/08/85 1845	                 5: 3:45	         2864.0	               R	                  32	                     479.4	                      322.5	               	                 27.85	                 8.6	
101	 635	A	    25° 25'N	      77° 20'W	   03/09/85 0251	     03/09/85 1540	                 0:12:50	         3445.0	               R	                   3	                      20.1	                       20.1	               	                  6.39	                31.8	
101	 635	B	    25° 25'N	      77° 20'W	   03/09/85 1730	     03/11/85 1900	                 2: 1:30	         3483.0	               R	                  14	                     117.7	                      117.7	               	                 31.30	                26.6	
101	 636	A	    25° 25'N	      77° 18'W	   03/11/85 2100	     03/13/85 1230	                 1:15:30	         3581.0	              RW	                   2	                      21.0	                        3.0	           18.0	                  0.14	                 4.7	
103	 637	A	    42° 5'N	      12° 52'W	   04/28/85 1800	     05/04/85 2100	                 6: 3: 0	         5311.0	               R	                  30	                     285.6	                      285.6	               	                116.33	                40.7	
103	 638	A	    42° 9'N	      12° 12'W	   05/05/85 0615	     05/06/85 0015	                 0:18: 0	         4673.0	               C	                   1	                      44.6	                       44.6	               	                      	                    	
103	 638	B	    42° 9'N	      12° 12'W	   05/06/85 0015	     05/12/85 2315	                 6:23: 0	         4673.0	               R	                  45	                     431.1	                      431.1	               	                212.87	                49.4	
103	 638	C	    42° 9'N	      12° 12'W	   06/01/85 1800	     06/03/85 2030	                 2: 2:31	         4673.0	               R	                  14	                     547.2	                      135.2	               	                 37.70	                27.9	
103	 639	A	    42° 9'N	      12° 15'W	   05/23/85 0945	     05/25/85 2345	                 2:14: 0	         4735.0	               R	                  10	                      89.8	                       89.8	               	                 35.72	                39.8	
103	 639	B	    42° 9'N	      12° 15'W	   05/25/85 2345	     05/27/85 0545	                 1: 6: 0	         4758.0	               R	                   4	                      80.0	                       26.2	               	                 12.67	                48.4	
103	 639	C	    42° 9'N	      12° 15'W	   05/27/85 0545	     05/27/85 1945	                 0:14: 0	         4792.0	               R	                   2	                     100.4	                       22.4	               	                  4.84	                21.6	
103	 639	D	    42° 9'N	      12° 15'W	   05/27/85 1945	     06/01/85 0700	                 4:11:15	         4753.0	              RW	                  13	                     293.1	                      113.5	            2.0	                 25.27	                22.3	
103	 639	E	    42° 9'N	      12° 15'W	   06/06/85 0645	     06/07/85 1345	                 1: 7: 1	         4770.0	               R	                   4	                     237.9	                       38.5	               	                  1.95	                 5.1	
103	 639	F	    42° 9'N	      12° 15'W	   06/07/85 1345	     06/08/85 0215	                 0:12:30	         4771.0	               R	                   2	                     250.8	                       13.0	               	                  0.89	                 6.8	
103	 640	A	    42° 1'N	      12° 28'W	   06/04/85 0100	     06/06/85 0200	                 2: 1: 1	         5201.0	               R	                   9	                     232.2	                       86.8	               	                 15.72	                18.1	
103	 641	A	    42° 9'N	      12° 11'W	   06/08/85 0330	     06/10/85 1430	                 2:11: 0	         4646.0	               X	                   7	                      63.6	                       63.6	               	                 40.37	                63.5	
103	 641	B	    42° 9'N	      12° 11'W	   06/10/85 1430	     06/11/85 1045	                 0:20:15	         4649.0	                	                   1	                      35.0	                           	           35.0	                      	                    	
103	 641	C	    42° 9'N	      12° 11'W	   06/11/85 1045	     06/15/85 1330	                 4: 2:45	         4650.0	               R	                  16	                     305.2	                      154.2	               	                112.48	                72.9	
104	 642	A	    67° 13'N	       2° 56'E	   06/28/85 0315	     06/28/85 1440	                 0:11:25	         1281.6	               H	                   1	                      10.8	                        9.5	               	                  9.90	               104.2	
104	 642	B	    67° 13'N	       2° 56'E	   06/28/85 1440	     06/29/85 2015	                 1: 5:36	         1281.6	               H	                  25	                     221.1	                      221.1	               	                214.61	                97.1	
104	 642	C	    67° 13'N	       2° 56'E	   06/29/85 2015	     07/01/85 1500	                 1:18:45	         1281.4	               H	                  24	                     199.6	                      199.6	               	                194.93	                97.7	
104	 642	D	    67° 13'N	       2° 56'E	   07/01/85 1500	     07/04/85 0010	                 2: 9:10	         1281.4	             NWX	                  20	                     329.9	                      140.0	          189.9	                119.94	                85.7	
104	 642	E	    67° 13'N	       2° 56'E	   07/04/85 0010	     08/01/85 2300	                28:22:51	         1278.3	             BRW	                 110	                    1229.4	                      906.9	          266.5	                386.03	                42.6	
104	 643	A	    67° 43'N	       1° 2'E	   08/03/85 0607	     08/08/85 0200	                 4:19:53	         2768.7	             HMX	                  62	                     565.2	                      565.2	               	                458.29	                81.1	
104	 644	A	    66° 41'N	       4° 35'E	   08/08/85 1130	     08/09/85 2215	                 1:10:46	         1225.2	               H	                  34	                     252.8	                      252.8	               	                238.67	                94.4	
104	 644	B	    66° 41'N	       4° 35'E	   08/09/85 2215	     08/10/85 1830	                 0:20:15	         1224.8	               H	                  15	                     127.7	                      127.7	               	                103.47	                81.0	
105	 645	A	    70° 27'N	      64° 39'W	   09/04/85 0100	     09/05/85 1325	                 1:12:25	         2007.1	               H	                   1	                       4.9	                        4.9	               	                  4.94	               100.8	
105	 645	B	    70° 27'N	      64° 39'W	   09/05/85 1325	     09/10/85 0125	                 4:12: 0	         2008.2	               X	                  32	                     298.9	                      298.3	               	                171.68	                57.6	
105	 645	C	    70° 27'N	      64° 39'W	   09/10/85 0125	     09/10/85 1100	                 0: 9:36	         2007.7	               H	                   3	                      23.3	                       23.3	               	                 10.89	                46.7	
105	 645	D	    70° 27'N	      64° 39'W	   09/10/85 1200	     09/13/85 1700	                 3: 5: 0	         2007.5	               R	                  20	                     465.8	                      190.4	               	                106.84	                56.1	
105	 645	E	    70° 27'N	      64° 39'W	   09/13/85 1700	     09/27/85 2030	                14: 3:30	         2008.3	               R	                  78	                    1147.1	                      720.9	               	                535.57	                74.3	
105	 645	F	    70° 27'N	      64° 39'W	   09/27/85 2101	     09/28/85 0630	                 0: 9:30	         2008.3	               H	                   3	                      23.0	                       23.0	               	                 12.34	                53.7	
105	 645	G	    70° 27'N	      64° 39'W	   09/28/85 0645	     09/28/85 0900	                 0: 2:15	         2007.5	               H	                   2	                      17.0	                       16.0	               	                  8.49	                53.1	
105	 646	A	    58° 13'N	      48° 22'W	   10/03/85 0545	     10/04/85 0530	                 0:23:45	         3440.3	               H	                  11	                     103.5	                      103.5	               	                 92.14	                89.0	
105	 646	B	    58° 13'N	      48° 22'W	   10/04/85 0845	     10/14/85 0901	                10: 0:16	         3440.3	              HX	                  80	                     766.7	                      766.2	               	                404.25	                52.8	
105	 647	A	    53° 20'N	      45° 16'W	   10/15/85 0410	     10/23/85 1815	                 8:14: 6	         3868.5	               R	                  75	                     736.0	                      716.6	               	                444.60	                62.0	
105	 647	B	    53° 20'N	      45° 16'W	   10/23/85 1815	     10/25/85 0615	                 1:12: 0	         3860.2	               H	                  11	                     103.3	                      103.3	               	                 93.17	                90.2	
106	 648	A	    22° 55'N	      44° 57'W	   11/06/85 2020	     11/11/85 1200	                 4:15:41	         3299.4	               R	                   1	                       4.5	                        4.5	               	                  0.14	                 3.1	
106	 648	B	    22° 55'N	      44° 57'W	   11/11/85 1200	     12/12/85 0200	                30:14: 0	         3333.3	               R	                   6	                      33.3	                       40.8	               	                  6.77	                16.6	
106	 649	A	    23° 22'N	      44° 57'W	   12/12/85 0520	     12/14/85 1729	                 2:12:10	         3516.9	               D	                   1	                       7.5	                        7.5	               	                      	                    	
106	 649	B	    23° 22'N	      44° 57'W	   12/14/85 1729	     12/14/85 2050	                 0: 3:21	         3516.9	               D	                   1	                       6.5	                        6.5	               	                  6.00	                92.3	
106	 649	C	    23° 22'N	      44° 57'W	   12/14/85 2050	     12/15/85 0030	                 0: 3:41	         3518.4	               D	                   1	                       3.5	                        3.5	               	                  0.15	                 4.3	
106	 649	D	    23° 22'N	      44° 57'W	   12/15/85 0030	     12/15/85 1015	                 0: 9:45	         3517.4	               D	                   1	                       6.5	                        6.5	               	                      	                    	
106	 649	E	    23° 22'N	      44° 57'W	   12/15/85 1015	     12/16/85 0700	                 0:20:45	         3519.4	               D	                   1	                       8.9	                        8.9	               	                  0.12	                 1.3	
106	 649	F	    23° 22'N	      44° 57'W	   12/16/85 0700	     12/17/85 0400	                 0:21: 0	         3514.4	               X	                   1	                      13.0	                       13.0	               	                  0.04	                 0.3	
106	 649	G	    23° 22'N	      44° 57'W	   12/17/85 0400	     12/17/85 1745	                 0:13:46	         3517.7	               D	                   1	                       9.0	                        9.0	               	                  0.25	                 2.8	
106	 649	H	    23° 22'N	      44° 57'W	   12/17/85 1745	     12/17/85 2100	                 0: 3:16	         3510.7	               D	                   1	                       3.0	                        3.0	               	                  0.15	                 5.0	
106	 649	I	    23° 22'N	      44° 57'W	   12/17/85 2100	     12/17/85 2331	                 0: 2:31	         3510.7	               D	                   1	                       3.0	                        3.0	               	                      	                    	
106	 649	J	    23° 22'N	      44° 57'W	   12/17/85 2331	     12/18/85 0700	                 0: 7:30	         3506.7	               D	                   1	                       3.0	                        3.0	               	                      	                    	
107	 650	A	    39° 21'N	      13° 54'E	   01/02/86 2238	     01/09/86 1430	                 6:15:52	         3516.3	              HX	                  69	                     633.8	                      633.8	               	                311.13	                49.1	
107	 650	B	    39° 21'N	      13° 54'E	   01/09/86 1430	     01/10/86 2050	                 1: 6:21	         3516.3	               W	                   1	                     102.5	                           	          102.5	                      	                    	
107	 651	A	    40° 9'N	      12° 45'E	   01/11/86 0522	     01/17/86 2300	                 6:17:38	         3578.0	               R	                  58	                     550.9	                      550.9	               	                185.66	                33.7	
107	 652	A	    40° 21'N	      12° 9'E	   01/18/86 0820	     01/28/86 2130	                10:13:10	         3446.0	               R	                  75	                     721.1	                      721.1	               	                445.30	                61.8	
107	 653	A	    40° 16'N	      11° 27'E	   01/29/86 0158	     01/31/86 1538	                 2:13:40	         2817.0	              HX	                  26	                     240.7	                      240.7	               	                211.29	                87.8	
107	 653	B	    40° 16'N	      11° 27'E	   01/31/86 1538	     02/03/86 0355	                 2:12:18	         2817.0	              HX	                  28	                     264.3	                      264.3	               	                219.08	                82.9	
107	 654	A	    40° 35'N	      10° 42'E	   02/03/86 1040	     02/08/86 1515	                 5: 4:35	         2208.0	               R	                  52	                     473.8	                      473.8	               	                239.84	                50.6	
107	 655	A	    40° 10'N	      12° 28'E	   02/08/86 2340	     02/10/86 1615	                 1:16:35	         3290.0	              HX	                  12	                      90.4	                       89.8	               	                 77.38	                86.2	
107	 655	B	    40° 11'N	      12° 28'E	   02/10/86 1615	     02/13/86 1355	                 2:21:41	         3290.0	               R	                  12	                     196.1	                      114.9	               	                 49.32	                42.9	
107	 656	A	    40° 11'N	      12° 11'E	   02/13/86 1600	     02/15/86 1400	                 1:22: 1	         3597.0	               R	                  14	                     236.4	                      133.6	               	                 50.04	                37.5	
107	 656	B	    40° 11'N	      12° 11'E	   02/15/86 1400	     02/16/86 1838	                 1: 4:39	         3597.0	               R	                   7	                     121.8	                       66.3	               	                 56.39	                85.1	
108	 657	A	    21° 20'N	      20° 57'W	   02/27/86 2215	     03/01/86 2200	                 1:23:45	         4232.0	              HX	                  19	                     178.2	                      178.2	               	                127.57	                71.6	
108	 657	B	    21° 20'N	      20° 57'W	   03/01/86 2200	     03/03/86 1215	                 1:14:15	         4232.0	               H	                  19	                     166.1	                      166.1	               	                133.54	                80.4	
108	 658	A	    20° 45'N	      18° 35'W	   03/04/86 1515	     03/07/86 0115	                 2:10: 1	         2263.5	              HX	                  33	                     300.4	                      300.4	               	                294.98	                98.2	
108	 658	B	    20° 45'N	      18° 35'W	   03/07/86 0215	     03/08/86 0045	                 0:22:30	         2264.2	               H	                  18	                     163.8	                      163.8	               	                176.14	               107.5	
108	 658	C	    20° 45'N	      18° 35'W	   03/08/86 0045	     03/12/86 0600	                 4: 5:15	         2262.9	               H	                   8	                      72.9	                       72.9	               	                 70.38	                96.5	
108	 659	A	    18° 5'N	      21° 2'W	   03/09/86 0930	     03/11/86 0530	                 1:20: 0	         3071.2	              HX	                  29	                     273.8	                      273.8	               	                174.95	                63.9	
108	 659	B	    18° 5'N	      21° 2'W	   03/11/86 0905	     03/12/86 0945	                 1: 0:41	         3073.4	               H	                  22	                     202.1	                      202.1	               	                163.75	                81.0	
108	 659	C	    18° 5'N	      21° 2'W	   03/12/86 1115	     03/13/86 0600	                 0:18:45	         3070.5	               H	                   8	                     196.0	                       76.0	               	                 72.48	                95.4	
108	 660	A	    10° 1'N	      19° 15'W	   03/15/86 0030	     03/16/86 1030	                 1:10: 1	         4332.2	              HX	                  19	                     164.9	                      164.9	               	                163.74	                99.3	
108	 660	B	    10° 1'N	      19° 15'W	   03/16/86 1030	     03/17/86 1215	                 1: 1:46	         4332.3	              HX	                  16	                     148.8	                      148.8	               	                141.98	                95.4	
108	 661	A	     9° 27'N	      19° 23'W	   03/17/86 1915	     03/20/86 1915	                 3: 0: 0	         4012.7	              HX	                  32	                     296.1	                      296.1	               	                234.93	                79.3	
108	 661	B	     9° 27'N	      19° 23'W	   03/20/86 1915	     03/21/86 1145	                 0:16:30	         4013.1	               H	                   9	                      81.7	                       81.7	               	                 81.43	                99.7	
108	 662	A	     1° 23'S	      11° 44'W	   03/24/86 0300	     03/25/86 0745	                 1: 4:46	         3813.8	               H	                  22	                     200.0	                      200.0	               	                203.87	               101.9	
108	 662	B	     1° 23'S	      11° 44'W	   03/25/86 0745	     03/26/86 1215	                 1: 4:30	         3813.8	               H	                  12	                     188.2	                      114.0	               	                114.83	               100.7	
108	 663	A	     1° 12'S	      11° 53'W	   03/26/86 1730	     03/27/86 1345	                 0:20:15	         3607.6	               H	                  16	                     147.2	                      147.2	               	                119.05	                80.9	
108	 663	B	     1° 12'S	      11° 53'W	   03/27/86 1345	     03/28/86 0945	                 0:20: 0	         3607.4	               H	                  16	                     152.0	                      152.0	               	                153.57	               101.0	
108	 664	A	     0° 6'N	      23° 14'W	   03/30/86 1605	     03/30/86 2330	                 0: 7:26	         3806.0	               H	                   1	                      28.9	                        9.5	               	                  9.64	               101.5	
108	 664	B	     0° 6'N	      23° 14'W	   03/30/86 2330	     03/31/86 2309	                 0:23:40	         3806.3	               H	                  26	                     247.0	                      247.0	               	                245.02	                99.2	
108	 664	C	     0° 6'N	      23° 14'W	   03/31/86 2309	     04/01/86 0730	                 0: 8:22	         3806.8	               H	                   7	                      61.2	                       61.2	               	                 57.18	                93.4	
108	 664	D	     0° 6'N	      23° 14'W	   04/01/86 0730	     04/02/86 1300	                 1: 5:31	         3801.7	               H	                  32	                     296.8	                      296.8	               	                302.85	               102.0	
108	 665	A	     2° 57'N	      19° 40'W	   04/03/86 2100	     04/04/86 1900	                 0:22: 1	         4740.4	               H	                  11	                      97.9	                       97.9	               	                 99.97	               102.1	
108	 665	B	     2° 57'N	      19° 40'W	   04/04/86 1900	     04/05/86 1700	                 0:22: 1	         4741.8	               H	                   9	                      82.0	                       82.0	               	                 72.48	                88.4	
108	 666	A	     3° 30'N	      20° 10'W	   04/06/86 0835	     04/07/86 2115	                 1:12:41	         4516.8	               H	                  16	                     150.5	                      150.5	               	                150.49	               100.0	
108	 667	A	     4° 34'N	      21° 55'W	   04/08/86 1345	     04/12/86 1000	                 3:20:15	         3525.0	              HX	                  41	                     381.3	                      381.3	               	                309.16	                81.1	
108	 667	B	     4° 34'N	      21° 55'W	   04/12/86 1000	     04/13/86 0800	                 0:22: 1	         3524.7	               H	                  15	                     139.6	                      139.6	               	                128.56	                92.1	
108	 668	A	     4° 46'N	      20° 56'W	   04/13/86 1700	     04/14/86 1130	                 0:18:30	         2690.0	               H	                   1	                       8.8	                        8.8	               	                  8.79	                99.9	
108	 668	B	     4° 46'N	      20° 56'W	   04/14/86 1130	     04/15/86 0445	                 0:17:15	         2693.1	               H	                   4	                      31.2	                       31.2	               	                 31.21	               100.0	
109	 648	B	    22° 55'N	      44° 57'W	   04/29/86 0400	     05/31/86 0430	                32: 0:30	         3329.9	               R	                  20	                      50.5	                      105.5	               	                 17.60	                16.7	
109	 669	A	    23° 31'N	      45° 3'W	   05/31/86 2035	     06/02/86 0500	                 1: 8:25	         1979.0	               D	                   1	                       4.0	                        4.0	               	                  0.10	                 2.5	
109	 670	A	    23° 10'N	      45° 2'W	   06/12/86 0130	     06/16/86 1615	                 4:14:45	         3625.0	             DRW	                  10	                      92.5	                       76.6	           41.7	                  6.56	                 8.6	
110	 671	A	    15° 32'N	      58° 44'W	   06/27/86 0815	     06/28/86 1245	                 1: 4:30	         4931.1	               H	                   1	                       5.0	                        5.0	               	                  5.02	               100.4	
110	 671	B	    15° 32'N	      58° 44'W	   06/28/86 1245	     07/10/86 2315	                12:10:30	         4931.7	             HIX	                  74	                     691.2	                      691.2	               	                553.13	                80.0	
110	 671	C	    15° 32'N	      58° 44'W	   07/10/86 2315	     07/15/86 0830	                 4: 9:16	         4936.5	               X	                   2	                     514.7	                       19.0	               	                 16.66	                87.7	
110	 671	D	    15° 31'N	      58° 44'W	   08/06/86 2330	     08/10/86 0715	                 3: 7:46	         4942.5	               X	                   1	                     461.0	                        9.0	               	                      	                    	
110	 672	A	    15° 32'N	      58° 38'W	   07/15/86 1110	     07/22/86 1215	                 7: 1: 6	         4982.5	             HIX	                  53	                     493.8	                      493.8	               	                382.62	                77.5	
110	 673	A	    15° 32'N	      58° 49'W	   07/22/86 1830	     07/23/86 2300	                 1: 4:30	         4667.4	               H	                   4	                      36.4	                       36.4	               	                 33.33	                91.6	
110	 673	B	    15° 32'N	      58° 48'W	   07/23/86 2300	     07/28/86 1230	                 4:13:30	         4678.7	             HIX	                  35	                     330.6	                      330.6	               	                247.05	                74.7	
110	 674	A	    15° 32'N	      58° 51'W	   07/28/86 1400	     08/03/86 0745	                 5:17:45	         4550.2	              HX	                  48	                     452.6	                      452.6	               	                354.58	                78.3	
110	 675	A	    15° 32'N	      58° 43'W	   08/04/86 0730	     08/06/86 2145	                 2:14:15	         5007.8	              HX	                   8	                     388.1	                       66.7	               	                 44.74	                67.1	
110	 676	A	    15° 32'N	      58° 42'W	   08/10/86 1115	     08/14/86 0030	                 3:13:15	         5059.6	             HIX	                  33	                     310.2	                      310.2	               	                262.09	                84.5	
111	 504	B	     1° 14'N	      83° 44'W	   10/05/86 1145	     10/16/86 1815	                11: 6:30	         3460.0	              MR	                 170	                    1562.1	                      209.0	               	                 27.36	                13.1	
111	 677	A	     1° 12'N	      83° 44'W	   09/30/86 0945	     10/03/86 1515	                 3: 5:31	         3472.0	             HIX	                  34	                     309.4	                      309.4	               	                279.44	                90.3	
111	 677	B	     1° 12'N	      83° 44'W	   10/03/86 1515	     10/04/86 0830	                 0:17:15	         3473.0	               H	                  10	                      93.1	                       93.1	               	                 93.03	                99.9	
111	 678	A	     1° 13'N	      83° 43'W	   10/04/86 1102	     10/04/86 1500	                 0: 3:59	         3464.0	               H	                   1	                       0.6	                        0.6	               	                  0.54	                90.0	
111	 678	B	     1° 13'N	      83° 43'W	   10/04/86 1500	     10/05/86 0600	                 0:15: 0	         3465.0	             HWX	                   5	                     171.8	                       28.8	           64.5	                 35.10	               121.9	
112	 679	A	    11° 4'S	      78° 16'W	   10/31/86 1015	     10/31/86 1950	                 0: 9:36	          434.0	               H	                   1	                       7.0	                        7.0	               	                  7.00	               100.0	
112	 679	B	    11° 4'S	      78° 16'W	   10/31/86 2030	     11/01/86 0700	                 0:10:30	          458.0	               H	                  13	                     107.2	                      107.2	               	                102.99	                96.1	
112	 679	C	    11° 4'S	      78° 16'W	   11/01/86 0700	     11/01/86 1245	                 0: 5:45	          458.0	               H	                   8	                      75.5	                       75.5	               	                 69.78	                92.4	
112	 679	D	    11° 4'S	      78° 16'W	   11/01/86 1245	     11/02/86 1315	                 1: 0:30	          462.0	              HX	                  27	                     245.4	                      245.2	               	                116.03	                47.3	
112	 679	E	    11° 4'S	      78° 16'W	   11/02/86 1315	     11/05/86 0400	                 2:14:45	          462.0	               X	                  13	                     359.3	                      114.0	               	                 36.30	                31.8	
112	 680	A	    11° 4'S	      78° 5'W	   11/05/86 0715	     11/05/86 2030	                 0:13:15	          272.0	               H	                  10	                      93.8	                       93.8	               	                 81.19	                86.6	
112	 680	B	    11° 4'S	      78° 5'W	   11/05/86 2030	     11/06/86 1430	                 0:18: 0	          273.0	              HX	                  22	                     195.5	                      195.5	               	                 98.45	                50.4	
112	 680	C	    11° 4'S	      78° 5'W	   11/06/86 1430	     11/06/86 2200	                 0: 7:30	          272.0	               H	                   4	                      34.3	                       34.3	               	                 35.04	               102.2	
112	 681	A	    10° 59'S	      77° 57'W	   11/07/86 0115	     11/08/86 0000	                 0:22:46	          161.0	              HX	                  20	                     187.0	                      187.0	               	                112.40	                60.1	
112	 681	B	    10° 59'S	      77° 57'W	   11/08/86 0000	     11/08/86 1315	                 0:13:15	          162.0	              HX	                  16	                     143.5	                      143.5	               	                 97.30	                67.8	
112	 681	C	    10° 59'S	      77° 57'W	   11/08/86 1315	     11/08/86 1800	                 0: 4:46	          162.0	               H	                  10	                      91.4	                       91.4	               	                 86.24	                94.4	
112	 682	A	    11° 16'S	      79° 4'W	   11/09/86 0115	     11/14/86 1330	                 5:12:16	         3801.0	              HX	                  48	                     436.7	                      436.7	               	                127.04	                29.1	
112	 683	A	     9° 2'S	      80° 24'W	   11/15/86 0722	     11/18/86 1630	                 3: 9: 9	         3087.0	              HX	                  45	                     419.2	                      419.2	               	                217.67	                51.9	
112	 683	B	     9° 2'S	      80° 24'W	   11/18/86 1630	     11/20/86 1800	                 2: 1:30	         3077.0	               X	                   9	                     488.0	                       85.5	               	                 30.67	                35.9	
112	 684	A	     8° 59'S	      79° 57'W	   11/20/86 2300	     11/21/86 1545	                 0:16:46	          438.0	              HX	                  15	                     136.1	                      136.1	               	                 72.50	                53.3	
112	 684	B	     8° 59'S	      79° 57'W	   11/21/86 1545	     11/21/86 2030	                 0: 4:46	          439.0	              HX	                   6	                      55.0	                       55.0	               	                 37.17	                67.6	
112	 684	C	     8° 59'S	      79° 57'W	   11/21/86 2030	     11/22/86 0915	                 0:12:45	          438.0	              HX	                  13	                     115.0	                      115.0	               	                 56.23	                48.9	
112	 685	A	     9° 7'S	      80° 35'W	   11/22/86 1350	     11/30/86 0930	                 7:19:40	         5093.0	              HX	                  51	                     468.6	                      468.6	               	                278.65	                59.5	
112	 686	A	    13° 29'S	      76° 53'W	   12/02/86 1815	     12/03/86 1130	                 0:17:15	          454.0	              HX	                  23	                     205.7	                      205.7	               	                181.71	                88.3	
112	 686	B	    13° 29'S	      76° 53'W	   12/03/86 1130	     12/04/86 0030	                 0:13: 1	          458.0	              HX	                  32	                     303.0	                      303.0	               	                225.53	                74.4	
112	 687	A	    12° 52'S	      76° 59'W	   12/04/86 0700	     12/04/86 1830	                 0:11:31	          316.0	              HX	                  22	                     207.0	                      207.0	               	                108.29	                52.3	
112	 687	B	    12° 52'S	      76° 59'W	   12/04/86 1830	     12/05/86 0600	                 0:11:31	          316.0	              HX	                  22	                     195.3	                      195.3	               	                 87.43	                44.8	
112	 688	A	    11° 32'S	      78° 57'W	   12/05/86 1715	     12/07/86 0230	                 1: 9:16	         3827.0	              HX	                  37	                     350.3	                      350.3	               	                245.29	                70.0	
112	 688	B	    11° 32'S	      78° 57'W	   12/07/86 0230	     12/08/86 0330	                 1: 1: 1	         3830.0	              RW	                   2	                     359.5	                        9.5	          350.0	                      	                    	
112	 688	C	    11° 32'S	      78° 57'W	   12/08/86 0330	     12/09/86 1800	                 1:14:31	         3829.0	               R	                   1	                     359.8	                        9.5	               	                  1.19	                12.5	
112	 688	D	    11° 32'S	      78° 57'W	   12/09/86 1800	     12/10/86 2315	                 1: 5:15	         3836.0	               W	                   1	                     345.0	                           	          345.0	                      	                    	
112	 688	E	    11° 32'S	      78° 57'W	   12/10/86 2315	     12/18/86 0900	                 7: 9:45	         3827.0	               R	                  46	                     779.0	                      429.0	               	                151.98	                35.4	
113	 689	A	    64° 31'S	       3° 6'E	   01/15/87 1552	     01/16/87 0800	                 0:16: 8	         2080.0	               H	                   1	                      11.8	                        9.5	               	                  9.35	                98.4	
