Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0007C-1H-1, 60.0 cm",NULL,13.216,13.24,13.216,13.24,"C0007C-1H-1, 61.5 cm",NULL,13.231,13.255,13.231,13.255,"C0007C-1H-1 WR, 60.0--61.5 cm",CKY000000000001347700,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-15T14:49:54Z,NULL,NULL,NULL,NULL,0.0455,0.64201,0.34106,1/18/2008,kuriharar,2008-01-31T07:44:07Z
"C0007C-1H-1, 60.8 cm",NULL,13.224,13.248,13.224,13.248,"C0007C-1H-1, 60.8 cm",NULL,13.224,13.248,13.224,13.248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2383978,1.986568,miyabes,2008-02-04T01:53:48Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007C-1H-2, 0.0 cm",NULL,13.994,14.05,13.994,14.05,"C0007C-1H-2, 1.5 cm",NULL,14.008,14.065,14.008,14.065,"C0007C-1H-2 WR, 0.0--1.5 cm",CKY000000000001338300,CARB,NULL,5,arito316,NULL,CKY,2008-01-14T21:16:54Z,NULL,NULL,NULL,NULL,0.05699,0.80558,0.21224,1/18/2008,kuriharar,2008-01-31T07:44:07Z
"C0007C-1H-2, 0.7 cm",NULL,14.001,14.057,14.001,14.057,"C0007C-1H-2, 0.7 cm",NULL,14.001,14.057,14.001,14.057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3034811,2.528908,miyabes,2008-02-04T01:53:48Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007C-1H-5, 0.0 cm",NULL,16.721,16.89,16.721,16.89,"C0007C-1H-5, 1.5 cm",NULL,16.735,16.905,16.735,16.905,"C0007C-1H-5 WR, 0.0--1.5 cm",CKY000000000001339100,CARB,NULL,5,arito316,NULL,CKY,2008-01-14T21:25:42Z,NULL,NULL,NULL,NULL,0.03327,0.40077,0.48171,1/18/2008,kuriharar,2008-01-31T07:44:07Z
"C0007C-1H-5, 0.7 cm",NULL,16.727,16.897,16.727,16.897,"C0007C-1H-5, 0.7 cm",NULL,16.727,16.897,16.727,16.897,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.121715,1.014251,miyabes,2008-02-04T01:53:49Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007C-3H-2, 0.0 cm",NULL,31.43,31.495,31.43,31.495,"C0007C-3H-2, 1.5 cm",NULL,31.444,31.51,31.444,31.51,"C0007C-3H-2 WR, 0.0--1.5 cm",CKY000000000001342500,CARB,NULL,2,arito316,NULL,CKY,2008-01-15T05:08:54Z,NULL,NULL,NULL,NULL,0.03527,0.44381,0.21091,1/18/2008,kuriharar,2008-01-31T07:44:08Z
"C0007C-3H-2, 0.7 cm",NULL,31.437,31.502,31.437,31.502,"C0007C-3H-2, 0.7 cm",NULL,31.437,31.502,31.437,31.502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1833379,1.527755,miyabes,2008-02-04T01:53:49Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007C-3H-3, 103.0 cm",NULL,32.632,32.755,32.632,32.755,"C0007C-3H-3, 104.5 cm",NULL,32.646,32.77,32.646,32.77,"C0007C-3H-3 WR, 103.0--104.5 cm",CKY000000000001356400,CARB,NULL,2,arito316,NULL,CKY,2008-01-15T19:59:49Z,NULL,NULL,NULL,NULL,0.06244,0.6748,0.08222,1/20/2008,kuriharar,2008-01-31T07:44:08Z
"C0007C-3H-3, 103.8 cm",NULL,32.64,32.763,32.64,32.763,"C0007C-3H-3, 103.8 cm",NULL,32.64,32.763,32.64,32.763,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2407641,2.006288,miyabes,2008-02-04T01:53:49Z,NULL,NULL,NULL,NULL,NULL,NULL
