Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002L-9X-6, 34.5 cm",NULL,357.07,357.07,357.07,357.07,"C0002L-9X-6, 37.5 cm",NULL,357.1,357.1,357.1,357.1,"C0002L-9X-6 WR, 34.5--37.5 cm",CKY000000000001447110,CARB,NULL,3,kitajima338,clay,CKY,2012-12-24T05:50:28Z,0.802,6.6831,0.088687799,1.383144664,0.088648663,clay,ohashia,2013-02-05T02:35:31Z
"C0002L-10X-2, 100.0 cm",NULL,364.635,364.635,364.635,364.635,"C0002L-10X-2, 101.0 cm",NULL,364.645,364.645,364.645,364.645,"C0002L-10X-2 W, 100.0--101.0 cm",CKY000000000001477510,CARB,NULL,3,yasunagam,mud,CKY,2012-12-26T22:01:23Z,0.3493,2.9107,0.063903493,0.771541832,0.146688139,mud,ohashia,2013-02-05T02:35:31Z
"C0002L-10X-5, 87.0 cm",NULL,366.27,366.27,366.27,366.27,"C0002L-10X-5, 88.0 cm",NULL,366.28,366.28,366.28,366.28,"C0002L-10X-5 W, 87.0--88.0 cm",CKY000000000001478210,CARB,NULL,3,fabbri338,sand,CKY,2012-12-26T23:55:22Z,0.1311,1.0925,0.04453812,0.398705251,0.202380177,sand,ohashia,2013-02-05T02:35:31Z
"C0002L-10X-8, 56.0 cm",NULL,369.245,369.245,369.245,369.245,"C0002L-10X-8, 57.0 cm",NULL,369.255,369.255,369.255,369.255,"C0002L-10X-8 W, 56.0--57.0 cm",CKY000000000001478310,CARB,NULL,3,fabbri338,mud,CKY,2012-12-27T00:53:03Z,0.5777,4.814,0.087054103,1.202563559,0.154304808,mud,ohashia,2013-02-05T02:35:31Z
"C0002L-11X-3, 62.0 cm",NULL,375.25,375.25,375.25,375.25,"C0002L-11X-3, 66.0 cm",NULL,375.29,375.29,375.29,375.29,"C0002L-11X-3 W, 62.0--66.0 cm",CKY000000000001482710,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-25T03:36:10Z,0.5851,4.8756,0.098735694,1.182020844,0.057888504,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-12X-7, 32.0 cm",NULL,388.27,388.27,388.27,388.27,"C0002L-12X-7, 34.0 cm",NULL,388.29,388.29,388.29,388.29,"C0002L-12X-7 W, 32.0--34.0 cm",CKY000000000001487010,CARB,NULL,3,esteban338,NULL,CKY,2012-12-25T09:38:01Z,0.9823,8.1855,0.081839056,1.553703418,0.083698599,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-13X-6, 27.0 cm",NULL,396.983,397.005,396.983,397.005,"C0002L-13X-6, 29.0 cm",NULL,397.003,397.025,397.003,397.025,"C0002L-13X-6 W, 27.0--29.0 cm",CKY000000000001490010,CARB,NULL,3,esteban338,NULL,CKY,2012-12-25T13:39:59Z,1.7475,14.5619,0.097526844,2.183841472,0.210877128,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-14X-1, 102.0 cm",NULL,401.473,401.52,401.473,401.52,"C0002L-14X-1, 102.5 cm",NULL,401.478,401.525,401.478,401.525,"C0002L-14X-1 W, 102.0--102.5 cm",CKY000000000001498110,CARB,NULL,3,shan338,mud,CKY,2012-12-26T00:04:44Z,1.6539,13.7819,0.089086174,2.243263659,0.072672451,mud,ohashia,2013-02-05T02:35:31Z
"C0002L-14X-7, 87.0 cm",NULL,408.164,408.535,408.164,408.535,"C0002L-14X-7, 87.5 cm",NULL,408.169,408.54,408.169,408.54,"C0002L-14X-7 W, 87.0--87.5 cm",CKY000000000001498910,CARB,NULL,3,shan338,sand,CKY,2012-12-26T00:01:17Z,0.4291,3.5757,0.036976602,0.915117364,0.449172054,sand,ohashia,2013-02-05T02:35:31Z
"C0002L-14X-8, 30.0 cm",NULL,408.97,409.38,408.97,409.38,"C0002L-14X-8, 30.5 cm",NULL,408.975,409.385,408.975,409.385,"C0002L-14X-8 W, 30.0--30.5 cm",CKY000000000001499010,CARB,NULL,3,shan338,mud,CKY,2012-12-26T00:01:17Z,0.7581,6.3172,0.103727009,1.516666515,0.221484375,mud,ohashia,2013-02-05T02:35:31Z
"C0002L-15X-5, 2.0 cm",NULL,412.548,412.595,412.548,412.595,"C0002L-15X-5, 5.0 cm",NULL,412.578,412.625,412.578,412.625,"C0002L-15X-5 W, 2.0--5.0 cm",CKY000000000001499610,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-26T00:30:16Z,0.558,4.6498,0.096346506,1.231902143,0.337441556,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-15X-7, 120.0 cm",NULL,415.857,415.965,415.857,415.965,"C0002L-15X-7, 123.0 cm",NULL,415.887,415.995,415.887,415.995,"C0002L-15X-7 W, 120.0--123.0 cm",CKY000000000001500310,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-26T00:31:50Z,0.6186,5.1548,0.090546699,1.322073496,0.093831415,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-15X-10, 47.0 cm",NULL,418.783,418.945,418.783,418.945,"C0002L-15X-10, 50.0 cm",NULL,418.813,418.975,418.813,418.975,"C0002L-15X-10 WR, 47.0--50.0 cm",CKY000000000001460910,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-24T15:33:51Z,0.6214,5.1781,0.100903309,1.357574544,0.09151843,NULL,ohashia,2013-02-05T02:35:31Z
