Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0017A-1H-1, 35.5 cm",NULL,0.355,0.355,0.355,0.355,"C0017A-1H-1, 37.5 cm",NULL,0.375,0.375,0.375,0.375,"C0017A-1H-1 W, 35.5--37.5 cm",CKY000000000003529400,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:40:23Z,NULL,NULL,NULL,NULL,0.09557,2.50485,0.4706,10/3/2010,hitomiy,2010-10-03T20:41:15Z
"C0017A-1H-1, 36.5 cm",NULL,0.365,0.365,0.365,0.365,"C0017A-1H-1, 36.5 cm",NULL,0.365,0.365,0.365,0.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6805,14.0036,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017A-1H-2, 76.5 cm",NULL,2.165,2.165,2.165,2.165,"C0017A-1H-2, 78.5 cm",NULL,2.185,2.185,2.185,2.185,"C0017A-1H-2 W, 76.5--78.5 cm",CKY000000000003529700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:45:44Z,NULL,NULL,NULL,NULL,0.08319,2.95745,0.25168,10/3/2010,hitomiy,2010-10-03T20:41:15Z
"C0017A-1H-2, 77.5 cm",NULL,2.175,2.175,2.175,2.175,"C0017A-1H-2, 77.5 cm",NULL,2.175,2.175,2.175,2.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.2395,18.6618,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017A-1H-3, 54.0 cm",NULL,3.35,3.35,3.35,3.35,"C0017A-1H-3, 56.0 cm",NULL,3.37,3.37,3.37,3.37,"C0017A-1H-3 W, 54.0--56.0 cm",CKY000000000003529800,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:48:48Z,NULL,NULL,NULL,NULL,0.01865,1.08239,0.09582,10/2/2010,hitomiy,2010-10-03T20:41:15Z
"C0017A-1H-3, 55.0 cm",NULL,3.36,3.36,3.36,3.36,"C0017A-1H-3, 55.0 cm",NULL,3.36,3.36,3.36,3.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9282,7.7347,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017A-1H-4, 122.0 cm",NULL,5.44,5.44,5.44,5.44,"C0017A-1H-4, 124.0 cm",NULL,5.46,5.46,5.46,5.46,"C0017A-1H-4 W, 122.0--124.0 cm",CKY000000000003530100,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:50:56Z,NULL,NULL,NULL,NULL,0,5.54709,0.03509,10/3/2010,hitomiy,2010-10-03T20:41:15Z
"C0017A-1H-4, 123.0 cm",NULL,5.45,5.45,5.45,5.45,"C0017A-1H-4, 123.0 cm",NULL,5.45,5.45,5.45,5.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3721,44.7657,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017A-1H-5, 115.0 cm",NULL,6.79,6.79,6.79,6.79,"C0017A-1H-5, 117.0 cm",NULL,6.81,6.81,6.81,6.81,"C0017A-1H-5 W, 115.0--117.0 cm",CKY000000000003530200,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:53:32Z,NULL,NULL,NULL,NULL,0.09944,2.99628,0.20005,10/3/2010,hitomiy,2010-10-03T20:41:15Z
"C0017A-1H-5, 116.0 cm",NULL,6.8,6.8,6.8,6.8,"C0017A-1H-5, 116.0 cm",NULL,6.8,6.8,6.8,6.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0923,17.4351,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017A-1H-6, 62.0 cm",NULL,7.655,7.655,7.655,7.655,"C0017A-1H-6, 64.0 cm",NULL,7.675,7.675,7.675,7.675,"C0017A-1H-6 W, 62.0--64.0 cm",CKY000000000003530700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-27T11:57:11Z,NULL,NULL,NULL,NULL,0.10546,2.81678,0.25737,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017A-1H-6, 63.0 cm",NULL,7.665,7.665,7.665,7.665,"C0017A-1H-6, 63.0 cm",NULL,7.665,7.665,7.665,7.665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8602,15.501,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
