Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0007D-3R-2, 0.0 cm",NULL,191.42,191.42,191.42,191.42,"C0007D-3R-2, 1.5 cm",NULL,191.435,191.435,191.435,191.435,"C0007D-3R-2 WR, 0.0--1.5 cm",CKY000000000001417500,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-19T14:54:03Z,NULL,NULL,NULL,NULL,0.05056,0.60537,0.88564,1/25/2008,kuriharar,2008-01-31T07:44:26Z
"C0007D-3R-2, 0.7 cm",NULL,191.427,191.427,191.427,191.427,"C0007D-3R-2, 0.7 cm",NULL,191.427,191.427,191.427,191.427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1739316,1.449372,miyabes,2008-02-04T01:54:01Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-3R-3, 69.0 cm",NULL,192.45,192.45,192.45,192.45,"C0007D-3R-3, 70.5 cm",NULL,192.465,192.465,192.465,192.465,"C0007D-3R-3 WR, 69.0--70.5 cm",CKY000000000001423600,CARB,NULL,2,arito316,NULL,CKY,2008-01-19T22:01:05Z,NULL,NULL,NULL,NULL,0.04275,0.45424,0.13825,1/25/2008,kuriharar,2008-01-31T07:44:27Z
"C0007D-3R-3, 69.7 cm",NULL,192.457,192.457,192.457,192.457,"C0007D-3R-3, 69.7 cm",NULL,192.457,192.457,192.457,192.457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1552106,1.29337,miyabes,2008-02-04T01:54:01Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-4R-1, 37.0 cm",NULL,199.87,199.87,199.87,199.87,"C0007D-4R-1, 38.5 cm",NULL,199.885,199.885,199.885,199.885,"C0007D-4R-1 WR, 37.0--38.5 cm",CKY000000000001418600,CARB,NULL,2,arito316,NULL,CKY,2008-01-19T16:46:24Z,NULL,NULL,NULL,NULL,0.06116,0.67897,0.09048,1/25/2008,kuriharar,2008-01-31T07:44:27Z
"C0007D-4R-1, 37.7 cm",NULL,199.877,199.877,199.877,199.877,"C0007D-4R-1, 37.7 cm",NULL,199.877,199.877,199.877,199.877,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2027778,1.689747,miyabes,2008-02-04T01:54:01Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-5R-1, 0.0 cm",NULL,209,209,209,209,"C0007D-5R-1, 1.5 cm",NULL,209.015,209.015,209.015,209.015,"C0007D-5R-1 WR, 0.0--1.5 cm",CKY000000000001421900,CARB,NULL,2,arito316,NULL,CKY,2008-01-19T20:06:48Z,NULL,NULL,NULL,NULL,0.03919,0.53898,0.0937,1/25/2008,kuriharar,2008-01-31T07:44:27Z
"C0007D-5R-1, 0.7 cm",NULL,209.007,209.007,209.007,209.007,"C0007D-5R-1, 0.7 cm",NULL,209.007,209.007,209.007,209.007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3130777,2.608876,miyabes,2008-02-04T01:54:02Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-6R-3, 98.5 cm",NULL,221.44,221.44,221.44,221.44,"C0007D-6R-3, 100.0 cm",NULL,221.455,221.455,221.455,221.455,"C0007D-6R-3 WR, 98.5--100.0 cm",CKY000000000001425200,CARB,NULL,2,arito316,NULL,CKY,2008-01-19T22:55:39Z,NULL,NULL,NULL,NULL,0.06245,0.79469,0.22471,1/25/2008,kuriharar,2008-01-31T07:44:27Z
"C0007D-6R-3, 99.3 cm",NULL,221.448,221.448,221.448,221.448,"C0007D-6R-3, 99.3 cm",NULL,221.448,221.448,221.448,221.448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.287317,2.394213,miyabes,2008-02-04T01:54:02Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-7R-1, 98.5 cm",NULL,228.985,228.985,228.985,228.985,"C0007D-7R-1, 100.0 cm",NULL,229,229,229,229,"C0007D-7R-1 WR, 98.5--100.0 cm",CKY000000000001425900,CARB,NULL,2,arito316,NULL,CKY,2008-01-20T01:51:37Z,NULL,NULL,NULL,NULL,0.05868,0.69067,0.11423,1/25/2008,kuriharar,2008-01-31T07:44:28Z
"C0007D-7R-1, 99.3 cm",NULL,228.993,228.993,228.993,228.993,"C0007D-7R-1, 99.3 cm",NULL,228.993,228.993,228.993,228.993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2802711,2.335499,miyabes,2008-02-04T01:54:02Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-8R-1, 90.0 cm",NULL,238.4,238.4,238.4,238.4,"C0007D-8R-1, 91.5 cm",NULL,238.415,238.415,238.415,238.415,"C0007D-8R-1 WR, 90.0--91.5 cm",CKY000000000001432800,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-20T13:50:26Z,NULL,NULL,NULL,NULL,0.04935,0.69772,0.2475,1/25/2008,kuriharar,2008-01-31T07:44:28Z
"C0007D-8R-1, 90.8 cm",NULL,238.408,238.408,238.408,238.408,"C0007D-8R-1, 90.8 cm",NULL,238.408,238.408,238.408,238.408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3054054,2.544943,miyabes,2008-02-04T01:54:02Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-9R-2, 23.0 cm",NULL,248.65,248.65,248.65,248.65,"C0007D-9R-2, 24.5 cm",NULL,248.665,248.665,248.665,248.665,"C0007D-9R-2 WR, 23.0--24.5 cm",CKY000000000001433300,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-20T13:59:23Z,NULL,NULL,NULL,NULL,0.04848,0.68946,0.242,1/25/2008,kuriharar,2008-01-31T07:44:28Z
"C0007D-9R-2, 23.7 cm",NULL,248.657,248.657,248.657,248.657,"C0007D-9R-2, 23.7 cm",NULL,248.657,248.657,248.657,248.657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3358527,2.798661,miyabes,2008-02-04T01:54:03Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-9R-2, 77.5 cm",NULL,249.195,249.195,249.195,249.195,"C0007D-9R-2, 79.0 cm",NULL,249.21,249.21,249.21,249.21,"C0007D-9R-2 WR, 77.5--79.0 cm",CKY000000000001433800,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-20T13:59:24Z,NULL,NULL,NULL,NULL,0.05849,0.70899,0.12647,1/25/2008,kuriharar,2008-01-31T07:44:28Z
"C0007D-9R-2, 78.3 cm",NULL,249.203,249.203,249.203,249.203,"C0007D-9R-2, 78.3 cm",NULL,249.203,249.203,249.203,249.203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3069412,2.557741,miyabes,2008-02-04T01:54:03Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-10R-1, 50.0 cm",NULL,257,257,257,257,"C0007D-10R-1, 51.5 cm",NULL,257.015,257.015,257.015,257.015,"C0007D-10R-1 WR, 50.0--51.5 cm",CKY000000000001437500,CARB,NULL,2,chesterf316,NULL,CKY,2008-01-20T14:48:59Z,NULL,NULL,NULL,NULL,0.0568,0.56942,0.04593,1/25/2008,kuriharar,2008-01-31T07:44:29Z
"C0007D-10R-1, 50.7 cm",NULL,257.007,257.007,257.007,257.007,"C0007D-10R-1, 50.7 cm",NULL,257.007,257.007,257.007,257.007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2480251,2.066793,miyabes,2008-02-04T01:53:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-15R-1, 85.0 cm",NULL,304.35,304.35,304.35,304.35,"C0007D-15R-1, 86.5 cm",NULL,304.365,304.365,304.365,304.365,"C0007D-15R-1 WR, 85.0--86.5 cm",CKY000000000001443200,CARB,NULL,2,arito316,NULL,CKY,2008-01-21T15:20:50Z,NULL,NULL,NULL,NULL,0.05968,0.85052,0.32433,1/25/2008,kuriharar,2008-01-31T07:44:29Z
"C0007D-15R-1, 85.8 cm",NULL,304.358,304.358,304.358,304.358,"C0007D-15R-1, 85.8 cm",NULL,304.358,304.358,304.358,304.358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.380587,3.171431,miyabes,2008-02-04T01:53:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-16R-1, 95.0 cm",NULL,313.95,313.95,313.95,313.95,"C0007D-16R-1, 96.5 cm",NULL,313.965,313.965,313.965,313.965,"C0007D-16R-1 WR, 95.0--96.5 cm",CKY000000000001443700,CARB,NULL,2,arito316,NULL,CKY,2008-01-21T15:26:03Z,NULL,NULL,NULL,NULL,0.09179,0.47812,0.22352,1/25/2008,kuriharar,2008-01-31T07:44:29Z
"C0007D-16R-1, 95.7 cm",NULL,313.957,313.957,313.957,313.957,"C0007D-16R-1, 95.7 cm",NULL,313.957,313.957,313.957,313.957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05168879,0.4307227,miyabes,2008-02-04T01:53:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-16R-2, 100.0 cm",NULL,315.415,315.415,315.415,315.415,"C0007D-16R-2, 101.5 cm",NULL,315.43,315.43,315.43,315.43,"C0007D-16R-2 WR, 100.0--101.5 cm",CKY000000000001449400,CARB,NULL,2,arito316,NULL,CKY,2008-01-21T22:32:05Z,NULL,NULL,NULL,NULL,0.05695,0.70084,0.09672,1/25/2008,kuriharar,2008-01-31T07:44:29Z
"C0007D-16R-2, 100.8 cm",NULL,315.423,315.423,315.423,315.423,"C0007D-16R-2, 100.8 cm",NULL,315.423,315.423,315.423,315.423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2292919,1.910689,miyabes,2008-02-04T01:53:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-17R-3, 0.0 cm",NULL,325.295,325.295,325.295,325.295,"C0007D-17R-3, 1.5 cm",NULL,325.31,325.31,325.31,325.31,"C0007D-17R-3 WR, 0.0--1.5 cm",CKY000000000001445300,CARB,NULL,2,arito316,NULL,CKY,2008-01-21T16:01:28Z,NULL,NULL,NULL,NULL,0.05835,0.66034,0.12996,1/25/2008,kuriharar,2008-01-31T07:44:30Z
"C0007D-17R-3, 0.7 cm",NULL,325.302,325.302,325.302,325.302,"C0007D-17R-3, 0.7 cm",NULL,325.302,325.302,325.302,325.302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2047647,1.706305,miyabes,2008-02-04T01:53:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-17R-CC, 10.0 cm",NULL,327.115,327.115,327.115,327.115,"C0007D-17R-CC, 11.5 cm",NULL,327.13,327.13,327.13,327.13,"C0007D-17R-CC WR, 10.0--11.5 cm",CKY000000000001450100,CARB,NULL,10,arito316,NULL,CKY,2008-01-21T23:12:21Z,NULL,NULL,NULL,NULL,0.05363,0.49572,0.07445,1/25/2008,kuriharar,2008-01-31T07:44:30Z
"C0007D-17R-CC, 10.2 cm",NULL,327.117,327.117,327.117,327.117,"C0007D-17R-CC, 10.2 cm",NULL,327.117,327.117,327.117,327.117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06394497,0.5328535,miyabes,2008-02-04T01:53:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0007D-18R-1, 24.0 cm",NULL,332.24,332.24,332.24,332.24,"C0007D-18R-1, 25.5 cm",NULL,332.255,332.255,332.255,332.255,"C0007D-18R-1 WR, 24.0--25.5 cm",CKY000000000001451700,CARB,NULL,2,arito316,NULL,CKY,2008-01-22T02:39:21Z,NULL,NULL,NULL,NULL,0.06223,0.92463,0.07832,1/25/2008,kuriharar,2008-01-31T07:44:30Z
"C0007D-18R-1, 24.8 cm",NULL,332.248,332.248,332.248,332.248,"C0007D-18R-1, 24.8 cm",NULL,332.248,332.248,332.248,332.248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4659152,3.882471,miyabes,2008-02-04T01:53:55Z,NULL,NULL,NULL,NULL,NULL,NULL
