Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0008C-1H-2, 0.0 cm",NULL,1.402,1.43,1.402,1.43,"C0008C-1H-2, 1.5 cm",NULL,1.417,1.445,1.417,1.445,"C0008C-1H-2 WR, 0.0--1.5 cm",CKY000000000001718700,CARB,NULL,2,arito316,NULL,CKY,2008-01-31T16:46:23Z,NULL,NULL,NULL,NULL,0.08226,2.21809,0.68746,2/3/2008,kuriharar,2008-02-05T01:05:25Z
"C0008C-1H-2, 0.7 cm",NULL,1.409,1.437,1.409,1.437,"C0008C-1H-2, 0.7 cm",NULL,1.409,1.437,1.409,1.437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.535204,12.79286,miyabes,2008-02-05T00:30:44Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-1H-5, 0.0 cm",NULL,4.186,4.27,4.186,4.27,"C0008C-1H-5, 1.5 cm",NULL,4.201,4.285,4.201,4.285,"C0008C-1H-5 WR, 0.0--1.5 cm",CKY000000000001719200,CARB,NULL,2,arito316,NULL,CKY,2008-01-31T16:47:29Z,NULL,NULL,NULL,NULL,0.06799,2.4694,0.36279,2/3/2008,kuriharar,2008-02-05T01:05:25Z
"C0008C-1H-5, 0.7 cm",NULL,4.193,4.277,4.193,4.277,"C0008C-1H-5, 0.7 cm",NULL,4.193,4.277,4.193,4.277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.95661,16.30443,miyabes,2008-02-05T00:30:45Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-2H-2, 0.0 cm",NULL,6.728,6.82,6.728,6.82,"C0008C-2H-2, 1.5 cm",NULL,6.742,6.835,6.742,6.835,"C0008C-2H-2 WR, 0.0--1.5 cm",CKY000000000001720100,CARB,NULL,2,arito316,NULL,CKY,2008-01-31T17:40:00Z,NULL,NULL,NULL,NULL,0.06902,3.10001,0.33403,2/3/2008,kuriharar,2008-02-05T01:05:25Z
"C0008C-2H-2, 0.7 cm",NULL,6.734,6.827,6.734,6.827,"C0008C-2H-2, 0.7 cm",NULL,6.734,6.827,6.734,6.827,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.50912,20.90849,miyabes,2008-02-05T00:30:46Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-2H-7, 0.0 cm",NULL,11.719,12.19,11.719,12.19,"C0008C-2H-7, 1.5 cm",NULL,11.733,12.205,11.733,12.205,"C0008C-2H-7 WR, 0.0--1.5 cm",CKY000000000001720600,CARB,NULL,2,arito316,NULL,CKY,2008-01-31T17:40:01Z,NULL,NULL,NULL,NULL,0.06423,3.13481,0.30165,2/3/2008,kuriharar,2008-02-05T01:05:25Z
"C0008C-2H-7, 0.7 cm",NULL,11.726,12.197,11.726,12.197,"C0008C-2H-7, 0.7 cm",NULL,11.726,12.197,11.726,12.197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.683757,22.36375,miyabes,2008-02-05T00:30:46Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-3H-3, 0.0 cm",NULL,17.404,17.725,17.404,17.725,"C0008C-3H-3, 1.5 cm",NULL,17.417,17.74,17.417,17.74,"C0008C-3H-3 WR, 0.0--1.5 cm",CKY000000000001723600,CARB,NULL,2,ARITO316,NULL,CKY,2008-01-31T19:04:47Z,NULL,NULL,NULL,NULL,0.05527,0.77982,0.66198,2/3/2008,kuriharar,2008-02-05T01:05:26Z
"C0008C-3H-3, 0.7 cm",NULL,17.41,17.732,17.41,17.732,"C0008C-3H-3, 0.7 cm",NULL,17.41,17.732,17.41,17.732,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3843726,3.202977,miyabes,2008-02-05T00:30:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-3H-4, 28.0 cm",NULL,17.871,18.255,17.871,18.255,"C0008C-3H-4, 29.5 cm",NULL,17.884,18.27,17.884,18.27,"C0008C-3H-4 WR, 28.0--29.5 cm",CKY000000000001744000,CARB,NULL,2,chesterf316,NULL,CKY,2008-02-01T04:47:45Z,NULL,NULL,NULL,NULL,0.06291,0.73253,0.68871,2/3/2008,kuriharar,2008-02-05T01:05:26Z
"C0008C-3H-4, 28.7 cm",NULL,17.877,18.262,17.877,18.262,"C0008C-3H-4, 28.7 cm",NULL,17.877,18.262,17.877,18.262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3099383,2.582716,miyabes,2008-02-05T00:30:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-3H-5, 35.0 cm",NULL,19.013,19.55,19.013,19.55,"C0008C-3H-5, 36.5 cm",NULL,19.026,19.565,19.026,19.565,"C0008C-3H-5 WR, 35.0--36.5 cm",CKY000000000001744600,CARB,NULL,2,chesterf316,NULL,CKY,2008-02-01T05:02:54Z,NULL,NULL,NULL,NULL,0.06146,0.9922,0.83789,2/3/2008,kuriharar,2008-02-05T01:05:26Z
"C0008C-3H-5, 35.7 cm",NULL,19.019,19.557,19.019,19.557,"C0008C-3H-5, 35.7 cm",NULL,19.019,19.557,19.019,19.557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5962998,4.968966,miyabes,2008-02-05T00:30:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0008C-3H-7, 0.0 cm",NULL,21.116,21.935,21.116,21.935,"C0008C-3H-7, 1.5 cm",NULL,21.129,21.95,21.129,21.95,"C0008C-3H-7 WR, 0.0--1.5 cm",CKY000000000001724100,CARB,NULL,2,ARITO316,NULL,CKY,2008-01-31T19:04:48Z,NULL,NULL,NULL,NULL,0.05875,2.5507,0.54133,2/3/2008,kuriharar,2008-02-05T01:05:26Z
"C0008C-3H-7, 0.7 cm",NULL,21.122,21.942,21.122,21.942,"C0008C-3H-7, 0.7 cm",NULL,21.122,21.942,21.122,21.942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.200131,18.33369,miyabes,2008-02-05T00:30:47Z,NULL,NULL,NULL,NULL,NULL,NULL
