Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
C0002N;2210.500,2210.5,2210.5,2210.5,C0002N;2215.500,2215.5,2215.5,2215.5,C0002N-304SMW W,CKY000000000006072400,CARB,NULL,2,moriyas,">4mm, hand pick",CKY,2013-11-30T15:56:54Z,0.2944,2.4534,0.054833423,1.043419075,hoshinoh,2014-01-09T11:37:21Z
C0002N;2215.500,2215.5,2215.5,2215.5,C0002N;2215.500,2215.5,2215.5,2215.5,C0002N-293LMW W,CKY000000000006138000,CARB,NULL,20,hitomiy,NULL,CKY,2013-12-14T18:02:41Z,0.2448,2.0399,0.018115988,12.65024908,hoshinoh,2014-01-09T11:37:21Z
C0002N;2220.500,2220.5,2220.5,2220.5,C0002N;2225.500,2225.5,2225.5,2225.5,C0002N-306SMW W,CKY000000000006042700,CARB,NULL,2,sakaguchim,">4mm, bulk",CKY,2013-11-16T19:24:36Z,0.5119,4.2657,0.058533884,1.523014813,hoshinoh,2014-01-09T11:37:21Z
C0002N;2220.500,2220.5,2220.5,2220.5,C0002N;2225.500,2225.5,2225.5,2225.5,C0002N-306SMW W,CKY000000000006045900,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T02:11:26Z,0.5522,4.6015,0.050800085,1.556578784,hoshinoh,2014-01-09T11:37:21Z
C0002N;2230.500,2230.5,2230.5,2230.5,C0002N;2235.500,2235.5,2235.5,2235.5,C0002N-308SMW W,CKY000000000006043100,CARB,NULL,2,sakaguchim,">4mm, bulk",CKY,2013-11-16T19:25:44Z,0.3409,2.8407,0.056154307,1.372061777,hoshinoh,2014-01-09T11:37:21Z
C0002N;2230.500,2230.5,2230.5,2230.5,C0002N;2235.500,2235.5,2235.5,2235.5,C0002N-308SMW W,CKY000000000006050300,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:41:32Z,0.5642,4.7015,0.050528897,1.762011315,hoshinoh,2014-01-09T11:37:21Z
C0002N;2230.500,2230.5,2230.5,2230.5,C0002N;2235.500,2235.5,2235.5,2235.5,C0002N-308SMW W,CKY000000000006072600,CARB,NULL,2,soejimah,">4mm, hand pick",CKY,2013-11-30T13:56:02Z,0.4737,3.9477,0.05035187,1.132327346,hoshinoh,2014-01-09T11:37:21Z
C0002N;2240.500,2240.5,2240.5,2240.5,C0002N;2245.500,2245.5,2245.5,2245.5,C0002N-310SMW W,CKY000000000006043500,CARB,NULL,2,sakaguchim,">4mm, bulk",CKY,2013-11-16T19:28:05Z,0.3699,3.0824,0.059548084,1.225340273,hoshinoh,2014-01-09T11:37:21Z
C0002N;2240.500,2240.5,2240.5,2240.5,C0002N;2245.500,2245.5,2245.5,2245.5,C0002N-310SMW W,CKY000000000006050700,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:43:00Z,0.3737,3.114,0.054743323,1.350421674,hoshinoh,2014-01-09T11:37:21Z
C0002N;2250.500,2250.5,2250.5,2250.5,C0002N;2255.500,2255.5,2255.5,2255.5,C0002N-312SMW W,CKY000000000006041900,CARB,NULL,2,sakaguchim,">4mm, bulk",CKY,2013-11-16T19:20:14Z,0.3745,3.1207,0.058050313,1.303450944,hoshinoh,2014-01-09T11:37:21Z
