Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-7R-5, 101.5 cm",NULL,NULL,397.85,397.85,397.85,397.85,"C0011B-7R-5, 103.5 cm",NULL,NULL,397.87,397.87,397.87,397.87,"C0011B-7R-5 WR, 101.5--103.5 cm",CKY000000000000060210,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-10T19:27:45Z,NULL,NULL,NULL,NULL,0.071,1.17264,0.17241,9/16/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-7R-5, 102.5 cm",NULL,NULL,397.86,397.86,397.86,397.86,"C0011B-7R-5, 102.5 cm",NULL,NULL,397.86,397.86,397.86,397.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6745,5.6206,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,23,0.45,285,33,0.05,0.05,0.01,0.4,0.34,0.03,0.31,0,0.09,1.11,11.53,14.6,0.13,0.79,0.1,410,0.39,452,miyabes,2009-10-08T12:54:15Z
"C0011B-8R-1, 4.0 cm",NULL,NULL,403.04,403.04,403.04,403.04,"C0011B-8R-1, 5.0 cm",NULL,NULL,403.05,403.05,403.05,403.05,"C0011B-8R-1 W, 4.0--5.0 cm",CKY000000000000090510,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-11T03:13:15Z,NULL,NULL,NULL,NULL,0.06191,0.32193,0.12447,9/22/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-1, 4.5 cm",NULL,NULL,403.045,403.045,403.045,403.045,"C0011B-8R-1, 4.5 cm",NULL,NULL,403.045,403.045,403.045,403.045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0719,0.5991,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,12,0.04,165,6,0,0.01,0,0.04,0.16,0.03,0.13,0,0.02,0.28,4.73,1.5,0.01,0.67,0.1,409,0.17,451,miyabes,2009-10-08T12:54:15Z
"C0011B-8R-2, 0.0 cm",NULL,NULL,404.27,404.27,404.27,404.27,"C0011B-8R-2, 2.0 cm",NULL,NULL,404.29,404.29,404.29,404.29,"C0011B-8R-2 WR, 0.0--2.0 cm",CKY000000000000046010,CARB,NULL,3,hiranos,NULL,CKY,2009-09-10T13:43:08Z,NULL,NULL,NULL,NULL,0.0365,0.46062,0.14464,9/22/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-2, 1.0 cm",NULL,NULL,404.28,404.28,404.28,404.28,"C0011B-8R-2, 1.0 cm",NULL,NULL,404.28,404.28,404.28,404.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2737,2.2807,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-3, 19.0 cm",NULL,NULL,404.775,404.775,404.775,404.775,"C0011B-8R-3, 21.0 cm",NULL,NULL,404.795,404.795,404.795,404.795,"C0011B-8R-3 WR, 19.0--21.0 cm",CKY000000000000066510,CARB,NULL,10,hiranos,NULL,CKY,2009-09-10T21:21:26Z,NULL,NULL,NULL,NULL,0.06439,0.308,0.21534,9/16/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-3, 20.0 cm",NULL,NULL,404.785,404.785,404.785,404.785,"C0011B-8R-3, 20.0 cm",NULL,NULL,404.785,404.785,404.785,404.785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1947,1.6224,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-5, 104.0 cm",NULL,NULL,408.445,408.445,408.445,408.445,"C0011B-8R-5, 106.0 cm",NULL,NULL,408.465,408.465,408.465,408.465,"C0011B-8R-5 WR, 104.0--106.0 cm",CKY000000000000070510,CARB,NULL,10,hiranos,NULL,CKY,2009-09-10T22:08:50Z,NULL,NULL,NULL,NULL,0.05903,0.39388,0.14032,9/22/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-5, 105.0 cm",NULL,NULL,408.455,408.455,408.455,408.455,"C0011B-8R-5, 105.0 cm",NULL,NULL,408.455,408.455,408.455,408.455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1382,1.1516,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-6, 107.0 cm",NULL,NULL,409.885,409.885,409.885,409.885,"C0011B-8R-6, 109.0 cm",NULL,NULL,409.905,409.905,409.905,409.905,"C0011B-8R-6 WR, 107.0--109.0 cm",CKY000000000000071510,CARB,NULL,3,hiranos,NULL,CKY,2009-09-10T22:23:12Z,NULL,NULL,NULL,NULL,0.06633,0.41794,1.09968,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-8R-6, 108.0 cm",NULL,NULL,409.895,409.895,409.895,409.895,"C0011B-8R-6, 108.0 cm",NULL,NULL,409.895,409.895,409.895,409.895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2322,1.9349,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-9R-1, 32.5 cm",NULL,NULL,412.825,412.825,412.825,412.825,"C0011B-9R-1, 34.5 cm",NULL,NULL,412.845,412.845,412.845,412.845,"C0011B-9R-1 WR, 32.5--34.5 cm",CKY000000000000074310,CARB,NULL,10,hiranos,NULL,CKY,2009-09-10T22:47:47Z,NULL,NULL,NULL,NULL,0.05431,0.94143,0.06188,9/22/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-9R-1, 33.5 cm",NULL,NULL,412.835,412.835,412.835,412.835,"C0011B-9R-1, 33.5 cm",NULL,NULL,412.835,412.835,412.835,412.835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6678,5.5648,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-9R-2, 0.0 cm",NULL,NULL,413.63,413.63,413.63,413.63,"C0011B-9R-2, 2.0 cm",NULL,NULL,413.65,413.65,413.65,413.65,"C0011B-9R-2 WR, 0.0--2.0 cm",CKY000000000000052010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-10T16:04:24Z,NULL,NULL,NULL,NULL,0.0182,0.27078,0.15365,9/29/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-9R-2, 1.0 cm",NULL,NULL,413.64,413.64,413.64,413.64,"C0011B-9R-2, 1.0 cm",NULL,NULL,413.64,413.64,413.64,413.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1856,1.5466,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,43,0.16,786,14,0.04,0.02,0.01,0.12,0.05,0.01,0.04,0,0.03,0.55,1.3,4.4,0.01,0.12,0,602,0.07,644,miyabes,2009-10-08T12:54:15Z
"C0011B-9R-5, 14.0 cm",NULL,NULL,417,417,417,417,"C0011B-9R-5, 15.0 cm",NULL,NULL,417.01,417.01,417.01,417.01,"C0011B-9R-5 W, 14.0--15.0 cm",CKY000000000000102610,CARB,NULL,3,steffen322,NULL,CKY,2009-09-11T07:00:19Z,NULL,NULL,NULL,NULL,0.06714,0.68462,0.10717,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-9R-5, 14.5 cm",NULL,NULL,417.005,417.005,417.005,417.005,"C0011B-9R-5, 14.5 cm",NULL,NULL,417.005,417.005,417.005,417.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3403,2.8357,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-10R-1, 32.0 cm",NULL,NULL,422.32,422.32,422.32,422.32,"C0011B-10R-1, 34.0 cm",NULL,NULL,422.34,422.34,422.34,422.34,"C0011B-10R-1 WR, 32.0--34.0 cm",CKY000000000000075310,CARB,NULL,10,hiranos,NULL,CKY,2009-09-10T23:22:43Z,NULL,NULL,NULL,NULL,0.06911,0.59909,0.09995,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-10R-1, 33.0 cm",NULL,NULL,422.33,422.33,422.33,422.33,"C0011B-10R-1, 33.0 cm",NULL,NULL,422.33,422.33,422.33,422.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1905,1.5874,miyabes,2009-10-02T10:35:33Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-10R-3, 0.0 cm",NULL,NULL,424.745,424.745,424.745,424.745,"C0011B-10R-3, 2.0 cm",NULL,NULL,424.765,424.765,424.765,424.765,"C0011B-10R-3 WR, 0.0--2.0 cm",CKY000000000000059010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-10T18:57:45Z,NULL,NULL,NULL,NULL,0.0733,0.38314,0.1191,9/16/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-10R-3, 1.0 cm",NULL,NULL,424.755,424.755,424.755,424.755,"C0011B-10R-3, 1.0 cm",NULL,NULL,424.755,424.755,424.755,424.755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0482,0.4017,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,4,0.07,163,7,0.05,0.02,0.33,0.03,0.25,0.04,0.21,0.01,0.01,0.44,7.8,1,0.02,0.83,0.1,406,0.27,448,miyabes,2009-10-08T12:54:15Z
"C0011B-11R-2, 31.0 cm",NULL,NULL,433.21,433.21,433.21,433.21,"C0011B-11R-2, 33.0 cm",NULL,NULL,433.23,433.23,433.23,433.23,"C0011B-11R-2 W, 31.0--33.0 cm",CKY000000000000116410,CARB,NULL,3,fujikit,"Corrected from WR, share with RE",CKY,2009-09-11T13:24:53Z,NULL,NULL,NULL,NULL,0.06483,1.44807,0.07643,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-2, 32.0 cm",NULL,NULL,433.22,433.22,433.22,433.22,"C0011B-11R-2, 32.0 cm",NULL,NULL,433.22,433.22,433.22,433.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0135,8.4455,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,7,0.5,216,18,0.04,0.03,0,0.46,0.41,0.02,0.39,0,0.03,0.95,14.3,16.9,0.08,0.44,0.1,412,0.44,454,miyabes,2009-10-08T12:54:15Z
"C0011B-11R-2, 85.0 cm",NULL,NULL,433.75,433.75,433.75,433.75,"C0011B-11R-2, 87.0 cm",NULL,NULL,433.77,433.77,433.77,433.77,"C0011B-11R-2 WR, 85.0--87.0 cm",CKY000000000000084010,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T01:32:37Z,NULL,NULL,NULL,NULL,0.05535,0.26574,0.12211,9/22/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-2, 86.0 cm",NULL,NULL,433.76,433.76,433.76,433.76,"C0011B-11R-2, 86.0 cm",NULL,NULL,433.76,433.76,433.76,433.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0506,0.4216,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-4, 0.0 cm",NULL,NULL,434.64,434.64,434.64,434.64,"C0011B-11R-4, 2.0 cm",NULL,NULL,434.66,434.66,434.66,434.66,"C0011B-11R-4 WR, 0.0--2.0 cm",CKY000000000000065310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-10T21:15:52Z,NULL,NULL,NULL,NULL,0.06229,0.27326,0.15209,9/16/2009,kuriharar,2009-10-02T01:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-4, 1.0 cm",NULL,NULL,434.65,434.65,434.65,434.65,"C0011B-11R-4, 1.0 cm",NULL,NULL,434.65,434.65,434.65,434.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0977,0.8141,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,188,0.05,812,38,0,0.03,0,0.05,0.05,0,0.05,0,0.15,0.65,1.69,1.9,0.03,0.01,0.1,606,0.08,645,miyabes,2009-10-08T12:54:16Z
"C0011B-11R-5, 107.0 cm",NULL,NULL,436.35,436.35,436.35,436.35,"C0011B-11R-5, 109.0 cm",NULL,NULL,436.37,436.37,436.37,436.37,"C0011B-11R-5 WR, 107.0--109.0 cm",CKY000000000000087210,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-11T02:07:35Z,NULL,NULL,NULL,NULL,0.06091,0.34281,0.3807,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-5, 108.0 cm",NULL,NULL,436.36,436.36,436.36,436.36,"C0011B-11R-5, 108.0 cm",NULL,NULL,436.36,436.36,436.36,436.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0768,0.64,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,38,0.09,290,62,0.03,0.03,0.11,0.06,0.18,0.03,0.15,0.01,0.08,0.61,5.53,2.1,0.13,0.78,0.2,434,0.21,473,miyabes,2009-10-08T12:54:16Z
"C0011B-11R-7, 71.0 cm",NULL,NULL,438.805,438.805,438.805,438.805,"C0011B-11R-7, 73.0 cm",NULL,NULL,438.825,438.825,438.825,438.825,"C0011B-11R-7 W, 71.0--73.0 cm",CKY000000000000116510,CARB,NULL,3,hiranos,Corrected from WR,CKY,2009-09-11T13:24:53Z,NULL,NULL,NULL,NULL,0.06424,0.31702,0.4366,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-7, 72.0 cm",NULL,NULL,438.815,438.815,438.815,438.815,"C0011B-11R-7, 72.0 cm",NULL,NULL,438.815,438.815,438.815,438.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0457,0.3808,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-7, 132.0 cm",NULL,NULL,439.415,439.415,439.415,439.415,"C0011B-11R-7, 134.0 cm",NULL,NULL,439.435,439.435,439.435,439.435,"C0011B-11R-7 WR, 132.0--134.0 cm",CKY000000000000088510,CARB,NULL,3,hiranos,NULL,CKY,2009-09-11T02:39:59Z,NULL,NULL,NULL,NULL,0.06475,0.59794,0.18462,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-11R-7, 133.0 cm",NULL,NULL,439.425,439.425,439.425,439.425,"C0011B-11R-7, 133.0 cm",NULL,NULL,439.425,439.425,439.425,439.425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2963,2.4691,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-2, 50.0 cm",NULL,NULL,442.91,442.91,442.91,442.91,"C0011B-12R-2, 52.0 cm",NULL,NULL,442.93,442.93,442.93,442.93,"C0011B-12R-2 WR, 50.0--52.0 cm",CKY000000000000095510,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T04:27:48Z,NULL,NULL,NULL,NULL,0.05646,0.64922,0.05152,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-2, 51.0 cm",NULL,NULL,442.92,442.92,442.92,442.92,"C0011B-12R-2, 51.0 cm",NULL,NULL,442.92,442.92,442.92,442.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4219,3.5157,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-2, 82.0 cm",NULL,NULL,443.23,443.23,443.23,443.23,"C0011B-12R-2, 84.0 cm",NULL,NULL,443.25,443.25,443.25,443.25,"C0011B-12R-2 W, 82.0--84.0 cm",CKY000000000000125810,CARB,NULL,3,hajime322,NULL,CKY,2009-09-11T16:43:37Z,NULL,NULL,NULL,NULL,0.05725,0.28599,0.11424,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-2, 83.0 cm",NULL,NULL,443.24,443.24,443.24,443.24,"C0011B-12R-2, 83.0 cm",NULL,NULL,443.24,443.24,443.24,443.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0547,0.4558,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-3, 50.0 cm",NULL,NULL,444.33,444.33,444.33,444.33,"C0011B-12R-3, 52.0 cm",NULL,NULL,444.35,444.35,444.35,444.35,"C0011B-12R-3 W, 50.0--52.0 cm",CKY000000000000126110,CARB,NULL,3,hajime322,NULL,CKY,2009-09-11T16:43:38Z,NULL,NULL,NULL,NULL,0.06336,1.08454,0.12056,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-3, 51.0 cm",NULL,NULL,444.34,444.34,444.34,444.34,"C0011B-12R-3, 51.0 cm",NULL,NULL,444.34,444.34,444.34,444.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6667,5.5556,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-3, 75.0 cm",NULL,NULL,444.58,444.58,444.58,444.58,"C0011B-12R-3, 77.0 cm",NULL,NULL,444.6,444.6,444.6,444.6,"C0011B-12R-3 WR, 75.0--77.0 cm",CKY000000000000096510,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T04:31:18Z,NULL,NULL,NULL,NULL,0.05904,1.1081,0.14504,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-3, 76.0 cm",NULL,NULL,444.59,444.59,444.59,444.59,"C0011B-12R-3, 76.0 cm",NULL,NULL,444.59,444.59,444.59,444.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7076,5.8964,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-4, 62.0 cm",NULL,NULL,445.87,445.87,445.87,445.87,"C0011B-12R-4, 64.0 cm",NULL,NULL,445.89,445.89,445.89,445.89,"C0011B-12R-4 WR, 62.0--64.0 cm",CKY000000000000097410,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T04:35:34Z,NULL,NULL,NULL,NULL,0.07469,0.94867,0.2247,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
