Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012D-1H-1, 24.5 cm",NULL,0.242,0.245,0.242,0.245,"C0012D-1H-1, 25.5 cm",NULL,0.252,0.255,0.252,0.255,"C0012D-1H-1 WR, 24.5--25.5 cm",CKY000000000004613500,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T04:44:50Z,NULL,NULL,NULL,NULL,0.03724,1.73384,0.05019,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-1H-1, 25.0 cm",NULL,0.247,0.25,0.247,0.25,"C0012D-1H-1, 25.0 cm",NULL,0.247,0.25,0.247,0.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5211,12.6753,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-1H-2, 19.0 cm",NULL,0.784,0.795,0.784,0.795,"C0012D-1H-2, 21.0 cm",NULL,0.804,0.815,0.804,0.815,"C0012D-1H-2 WR, 19.0--21.0 cm",CKY000000000004555300,CARB,NULL,3,bora333,NULL,CKY,2010-12-27T06:20:46Z,NULL,NULL,NULL,NULL,0.03918,2.05936,0.05327,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-1H-2, 20.0 cm",NULL,0.794,0.805,0.794,0.805,"C0012D-1H-2, 20.0 cm",NULL,0.794,0.805,0.794,0.805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.807798913,15.06438834,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,0.11,0.01,0.04,316,357,ohashia,2011-01-08T22:08:35Z
"C0012D-2H-3, 26.5 cm",NULL,119.73,120.05,119.73,120.05,"C0012D-2H-3, 28.5 cm",NULL,119.747,120.07,119.747,120.07,"C0012D-2H-3 WR, 26.5--28.5 cm",CKY000000000004571700,CARB,NULL,3,bora333,NULL,CKY,2010-12-27T11:22:28Z,NULL,NULL,NULL,NULL,0.05905,0.90167,0.13428,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-2H-3, 27.5 cm",NULL,119.739,120.06,119.739,120.06,"C0012D-2H-3, 27.5 cm",NULL,119.739,120.06,119.739,120.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6308,5.2565,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-3H-2, 125.5 cm",NULL,129.046,129.175,129.046,129.175,"C0012D-3H-2, 126.5 cm",NULL,129.056,129.185,129.056,129.185,"C0012D-3H-2 WR, 125.5--126.5 cm",CKY000000000004616900,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T05:22:57Z,NULL,NULL,NULL,NULL,0.06145,0.30698,0.19825,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-3H-2, 126.0 cm",NULL,129.051,129.18,129.051,129.18,"C0012D-3H-2, 126.0 cm",NULL,129.051,129.18,129.051,129.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0732,0.61,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-3H-3, 28.5 cm",NULL,129.47,129.62,129.47,129.62,"C0012D-3H-3, 30.5 cm",NULL,129.489,129.64,129.489,129.64,"C0012D-3H-3 WR, 28.5--30.5 cm",CKY000000000004578900,CARB,NULL,3,mstrasser333,NULL,CKY,2010-12-27T14:22:45Z,NULL,NULL,NULL,NULL,0.0617,0.87878,0.1338,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-3H-3, 29.5 cm",NULL,129.479,129.63,129.479,129.63,"C0012D-3H-3, 29.5 cm",NULL,129.479,129.63,129.479,129.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5641,4.7006,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,0.13,0.02,0.11,407,448,ohashia,2011-01-08T22:08:35Z
"C0012D-3H-6, 100.0 cm",NULL,133.148,133.485,133.148,133.485,"C0012D-3H-6, 101.0 cm",NULL,133.158,133.495,133.158,133.495,"C0012D-3H-6 WR, 100.0--101.0 cm",CKY000000000004618100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T05:26:56Z,NULL,NULL,NULL,NULL,0.05777,1.13485,0.11766,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-3H-6, 100.5 cm",NULL,133.153,133.49,133.153,133.49,"C0012D-3H-6, 100.5 cm",NULL,133.153,133.49,133.153,133.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7868,6.5564,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-4H-2, 125.5 cm",NULL,136.226,136.665,136.226,136.665,"C0012D-4H-2, 126.5 cm",NULL,136.235,136.675,136.235,136.675,"C0012D-4H-2 WR, 125.5--126.5 cm",CKY000000000004625400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T08:07:05Z,NULL,NULL,NULL,NULL,0.05588,0.67302,0.08773,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-4H-2, 126.0 cm",NULL,136.23,136.67,136.23,136.67,"C0012D-4H-2, 126.0 cm",NULL,136.23,136.67,136.23,136.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4069,3.3907,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-4H-4, 29.5 cm",NULL,137.538,138.235,137.538,138.235,"C0012D-4H-4, 31.5 cm",NULL,137.554,138.255,137.554,138.255,"C0012D-4H-4 WR, 29.5--31.5 cm",CKY000000000004595500,CARB,NULL,5,marion333,NULL,CKY,2010-12-27T21:39:15Z,NULL,NULL,NULL,NULL,0.06294,0.33549,0.12102,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-4H-4, 30.5 cm",NULL,137.546,138.245,137.546,138.245,"C0012D-4H-4, 30.5 cm",NULL,137.546,138.245,137.546,138.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.048,0.4,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,0.03,0,0.12,419,460,ohashia,2011-01-08T22:08:35Z
"C0012D-4H-5, 120.5 cm",NULL,138.561,139.46,138.561,139.46,"C0012D-4H-5, 121.5 cm",NULL,138.569,139.47,138.569,139.47,"C0012D-4H-5 WR, 120.5--121.5 cm",CKY000000000004626300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T08:10:17Z,NULL,NULL,NULL,NULL,0.06199,0.31681,0.06451,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-4H-5, 121.0 cm",NULL,138.565,139.465,138.565,139.465,"C0012D-4H-5, 121.0 cm",NULL,138.565,139.465,138.565,139.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0689,0.5741,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-5H-2, 108.0 cm",NULL,143.237,143.485,143.237,143.485,"C0012D-5H-2, 109.0 cm",NULL,143.246,143.495,143.246,143.495,"C0012D-5H-2 WR, 108.0--109.0 cm",CKY000000000004638600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T14:24:12Z,NULL,NULL,NULL,NULL,0.06317,0.47408,0.3804,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-5H-2, 108.5 cm",NULL,143.241,143.49,143.241,143.49,"C0012D-5H-2, 108.5 cm",NULL,143.241,143.49,143.241,143.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1524,1.2699,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-5H-3, 15.0 cm",NULL,143.678,143.975,143.678,143.975,"C0012D-5H-3, 16.0 cm",NULL,143.687,143.985,143.687,143.985,"C0012D-5H-3 WR, 15.0--16.0 cm",CKY000000000004638700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-28T14:39:51Z,NULL,NULL,NULL,NULL,0.06519,0.43052,0.22175,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
