Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014D-1H-1, 2.0 cm",NULL,0.02,0.02,0.02,0.02,"C0014D-1H-1, 5.0 cm",NULL,0.05,0.05,0.05,0.05,"C0014D-1H-1 W, 2.0--5.0 cm",CKY000000000003125800,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-18T05:41:16Z,NULL,NULL,NULL,NULL,0.01516,0.83355,1.11331,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014D-1H-1, 3.5 cm",NULL,0.035,0.035,0.035,0.035,"C0014D-1H-1, 3.5 cm",NULL,0.035,0.035,0.035,0.035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7504,6.2531,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-1H-1, 98.0 cm",NULL,0.98,0.98,0.98,0.98,"C0014D-1H-1, 100.0 cm",NULL,1,1,1,1,"C0014D-1H-1 W, 98.0--100.0 cm",CKY000000000003126100,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-18T05:44:59Z,NULL,NULL,NULL,NULL,0.06878,0.71223,1.6263,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014D-1H-1, 99.0 cm",NULL,0.99,0.99,0.99,0.99,"C0014D-1H-1, 99.0 cm",NULL,0.99,0.99,0.99,0.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0135,0.1125,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-1H-2, 108.0 cm",NULL,2.48,2.48,2.48,2.48,"C0014D-1H-2, 110.0 cm",NULL,2.5,2.5,2.5,2.5,"C0014D-1H-2 W, 108.0--110.0 cm",CKY000000000003126500,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-18T05:49:16Z,NULL,NULL,NULL,NULL,0.00607,0.06709,0.98887,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014D-1H-2, 109.0 cm",NULL,2.49,2.49,2.49,2.49,"C0014D-1H-2, 109.0 cm",NULL,2.49,2.49,2.49,2.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-1H-3, 80.0 cm",NULL,3.605,3.605,3.605,3.605,"C0014D-1H-3, 82.0 cm",NULL,3.625,3.625,3.625,3.625,"C0014D-1H-3 W, 80.0--82.0 cm",CKY000000000003127900,CARB,NULL,3.3,hilairy331,NULL,CKY,2010-09-18T06:25:21Z,NULL,NULL,NULL,NULL,0,0.05809,0.12338,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014D-1H-3, 81.0 cm",NULL,3.615,3.615,3.615,3.615,"C0014D-1H-3, 81.0 cm",NULL,3.615,3.615,3.615,3.615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-1H-4, 80.0 cm",NULL,5.025,5.025,5.025,5.025,"C0014D-1H-4, 82.0 cm",NULL,5.045,5.045,5.045,5.045,"C0014D-1H-4 W, 80.0--82.0 cm",CKY000000000003128300,CARB,NULL,3.3,hilairy331,NULL,CKY,2010-09-18T06:27:10Z,NULL,NULL,NULL,NULL,0,0.07538,0.25998,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014D-1H-4, 81.0 cm",NULL,5.035,5.035,5.035,5.035,"C0014D-1H-4, 81.0 cm",NULL,5.035,5.035,5.035,5.035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-2H-1, 30.0 cm",NULL,6.8,6.8,6.8,6.8,"C0014D-2H-1, 32.0 cm",NULL,6.82,6.82,6.82,6.82,"C0014D-2H-1 W, 30.0--32.0 cm",CKY000000000003133900,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-18T12:04:26Z,NULL,NULL,NULL,NULL,0.00612,0.07638,2.56312,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014D-2H-1, 31.0 cm",NULL,6.81,6.81,6.81,6.81,"C0014D-2H-1, 31.0 cm",NULL,6.81,6.81,6.81,6.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0039,0.0325,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014D-2H-2, 30.0 cm",NULL,8.18,8.18,8.18,8.18,"C0014D-2H-2, 32.0 cm",NULL,8.2,8.2,8.2,8.2,"C0014D-2H-2 W, 30.0--32.0 cm",CKY000000000003134300,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-18T12:07:33Z,NULL,NULL,NULL,NULL,0.00945,0.13718,3.77071,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014D-2H-2, 31.0 cm",NULL,8.19,8.19,8.19,8.19,"C0014D-2H-2, 31.0 cm",NULL,8.19,8.19,8.19,8.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0015,0.0125,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
