Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011C-1H-2, 20.0 cm",NULL,0.792,0.825,0.792,0.825,"C0011C-1H-2, 22.0 cm",NULL,0.811,0.845,0.811,0.845,"C0011C-1H-2 WR, 20.0--22.0 cm",CKY000000000003972700,CARB,NULL,3,bora333,NULL,CKY,2010-12-18T13:34:56Z,NULL,NULL,NULL,NULL,0.05074,0.75019,0.05844,12/26/2010,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-1H-2, 21.0 cm",NULL,0.802,0.835,0.802,0.835,"C0011C-1H-2, 21.0 cm",NULL,0.802,0.835,0.802,0.835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2841,2.3674,kuriharar,2011-01-08T14:24:05Z,NULL,NULL,NULL,NULL,NULL,NULL,0.36,0.08,0.14,336,376,ohashia,2011-01-08T22:08:31Z
"C0011C-1H-4, 19.5 cm",NULL,1.973,2.055,1.973,2.055,"C0011C-1H-4, 21.5 cm",NULL,1.993,2.075,1.993,2.075,"C0011C-1H-4 WR, 19.5--21.5 cm",CKY000000000003973500,CARB,NULL,2,bora333,NULL,CKY,2010-12-18T13:49:02Z,NULL,NULL,NULL,NULL,0.03918,1.21196,0.05731,1/2/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-1H-4, 20.5 cm",NULL,1.983,2.065,1.983,2.065,"C0011C-1H-4, 20.5 cm",NULL,1.983,2.065,1.983,2.065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.987420789,8.228177438,kuriharar,2011-01-08T14:24:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-1H-5, 108.5 cm",NULL,3.034,3.16,3.034,3.16,"C0011C-1H-5, 110.5 cm",NULL,3.054,3.18,3.054,3.18,"C0011C-1H-5 WR, 108.5--110.5 cm",CKY000000000004007200,CARB,NULL,10,marion333,NULL,CKY,2010-12-18T23:27:49Z,NULL,NULL,NULL,NULL,0.05173,2.53476,0.03901,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-1H-5, 109.5 cm",NULL,3.044,3.17,3.044,3.17,"C0011C-1H-5, 109.5 cm",NULL,3.044,3.17,3.044,3.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1197,17.6635,kuriharar,2011-01-08T14:24:05Z,NULL,NULL,NULL,NULL,NULL,NULL,0.18,0.03,0.16,380,420,ohashia,2011-01-08T22:08:31Z
"C0011C-2H-2, 19.0 cm",NULL,4.816,4.87,4.816,4.87,"C0011C-2H-2, 21.0 cm",NULL,4.835,4.89,4.835,4.89,"C0011C-2H-2 WR, 19.0--21.0 cm",CKY000000000003974700,CARB,NULL,2,bora333,NULL,CKY,2010-12-18T14:03:58Z,NULL,NULL,NULL,NULL,0.04676,0.78412,0.08721,12/26/2010,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-2, 20.0 cm",NULL,4.826,4.88,4.826,4.88,"C0011C-2H-2, 20.0 cm",NULL,4.826,4.88,4.826,4.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4673,3.894,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-5, 19.5 cm",NULL,7.549,7.715,7.549,7.715,"C0011C-2H-5, 21.5 cm",NULL,7.568,7.735,7.568,7.735,"C0011C-2H-5 WR, 19.5--21.5 cm",CKY000000000003975600,CARB,NULL,3,bora333,NULL,CKY,2010-12-18T14:08:02Z,NULL,NULL,NULL,NULL,0.04566,1.16365,0.08452,1/2/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-5, 20.5 cm",NULL,7.558,7.725,7.558,7.725,"C0011C-2H-5, 20.5 cm",NULL,7.558,7.725,7.558,7.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.843390657,7.027974342,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
