Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0017D-1H-1, 131.0 cm",NULL,61.28,61.31,61.28,61.31,"C0017D-1H-1, 133.0 cm",NULL,61.3,61.33,61.3,61.33,"C0017D-1H-1 W, 131.0--133.0 cm",CKY000000000003556200,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:20:02Z,NULL,NULL,NULL,NULL,0,0.03657,0.09642,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-1, 132.0 cm",NULL,61.29,61.32,61.29,61.32,"C0017D-1H-1, 132.0 cm",NULL,61.29,61.32,61.29,61.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.021,0.175,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-2, 99.0 cm",NULL,62.345,62.4,62.345,62.4,"C0017D-1H-2, 101.0 cm",NULL,62.365,62.42,62.365,62.42,"C0017D-1H-2 W, 99.0--101.0 cm",CKY000000000003556300,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:23:09Z,NULL,NULL,NULL,NULL,0.00641,0.02322,0.05726,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-2, 100.0 cm",NULL,62.355,62.41,62.355,62.41,"C0017D-1H-2, 100.0 cm",NULL,62.355,62.41,62.355,62.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0015,0.0125,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-3, 121.0 cm",NULL,63.938,64.03,63.938,64.03,"C0017D-1H-3, 123.0 cm",NULL,63.958,64.05,63.958,64.05,"C0017D-1H-3 W, 121.0--123.0 cm",CKY000000000003556600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:27:03Z,NULL,NULL,NULL,NULL,0.01009,0.03279,0.03762,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-3, 122.0 cm",NULL,63.948,64.04,63.948,64.04,"C0017D-1H-3, 122.0 cm",NULL,63.948,64.04,63.948,64.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0014,0.0117,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-4, 29.0 cm",NULL,64.417,64.52,64.417,64.52,"C0017D-1H-4, 31.0 cm",NULL,64.436,64.54,64.436,64.54,"C0017D-1H-4 W, 29.0--31.0 cm",CKY000000000003556900,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:33:26Z,NULL,NULL,NULL,NULL,0.0103,0.03485,0.02879,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-4, 30.0 cm",NULL,64.427,64.53,64.427,64.53,"C0017D-1H-4, 30.0 cm",NULL,64.427,64.53,64.427,64.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-5, 48.0 cm",NULL,65.975,66.115,65.975,66.115,"C0017D-1H-5, 50.0 cm",NULL,65.995,66.135,65.995,66.135,"C0017D-1H-5 W, 48.0--50.0 cm",CKY000000000003557300,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:38:26Z,NULL,NULL,NULL,NULL,0.0111,0.03518,0.04384,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-5, 49.0 cm",NULL,65.985,66.125,65.985,66.125,"C0017D-1H-5, 49.0 cm",NULL,65.985,66.125,65.985,66.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-6, 26.0 cm",NULL,67.138,67.305,67.138,67.305,"C0017D-1H-6, 28.0 cm",NULL,67.158,67.325,67.158,67.325,"C0017D-1H-6 W, 26.0--28.0 cm",CKY000000000003557400,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:39:52Z,NULL,NULL,NULL,NULL,0.0131,0.04485,0.04029,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-6, 27.0 cm",NULL,67.148,67.315,67.148,67.315,"C0017D-1H-6, 27.0 cm",NULL,67.148,67.315,67.148,67.315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0017,0.0142,kawait,2010-10-03T17:14:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-1H-7, 30.0 cm",NULL,68.56,68.76,68.56,68.76,"C0017D-1H-7, 32.0 cm",NULL,68.58,68.78,68.58,68.78,"C0017D-1H-7 W, 30.0--32.0 cm",CKY000000000003557700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T06:41:11Z,NULL,NULL,NULL,NULL,0.00629,0.03694,0.02859,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-1H-7, 31.0 cm",NULL,68.57,68.77,68.57,68.77,"C0017D-1H-7, 31.0 cm",NULL,68.57,68.77,68.57,68.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0069,0.0575,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-1, 120.0 cm",NULL,70.384,70.4,70.384,70.4,"C0017D-2H-1, 122.0 cm",NULL,70.404,70.42,70.404,70.42,"C0017D-2H-1 W, 120.0--122.0 cm",CKY000000000003558400,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T11:53:37Z,NULL,NULL,NULL,NULL,0,0.04859,0.08413,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-1, 121.0 cm",NULL,70.394,70.41,70.394,70.41,"C0017D-2H-1, 121.0 cm",NULL,70.394,70.41,70.394,70.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0287,0.2392,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-2, 112.0 cm",NULL,71.697,71.73,71.697,71.73,"C0017D-2H-2, 114.0 cm",NULL,71.717,71.75,71.717,71.75,"C0017D-2H-2 W, 112.0--114.0 cm",CKY000000000003558500,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T11:56:31Z,NULL,NULL,NULL,NULL,0.04059,0.10083,0.0488,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-2, 113.0 cm",NULL,71.707,71.74,71.707,71.74,"C0017D-2H-2, 113.0 cm",NULL,71.707,71.74,71.707,71.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,0.0083,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-3, 52.0 cm",NULL,72.502,72.545,72.502,72.545,"C0017D-2H-3, 54.0 cm",NULL,72.521,72.565,72.521,72.565,"C0017D-2H-3 W, 52.0--54.0 cm",CKY000000000003558900,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T12:01:28Z,NULL,NULL,NULL,NULL,0.04219,0.15926,0.03121,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-3, 53.0 cm",NULL,72.511,72.555,72.511,72.555,"C0017D-2H-3, 53.0 cm",NULL,72.511,72.555,72.511,72.555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0015,0.0125,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-4, 51.5 cm",NULL,73.888,73.95,73.888,73.95,"C0017D-2H-4, 53.5 cm",NULL,73.908,73.97,73.908,73.97,"C0017D-2H-4 W, 51.5--53.5 cm",CKY000000000003559000,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T12:03:25Z,NULL,NULL,NULL,NULL,0,0.01219,0.11952,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-4, 52.5 cm",NULL,73.898,73.96,73.898,73.96,"C0017D-2H-4, 52.5 cm",NULL,73.898,73.96,73.898,73.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0004,0.0033,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-5, 65.5 cm",NULL,75.418,75.5,75.418,75.5,"C0017D-2H-5, 67.5 cm",NULL,75.438,75.52,75.438,75.52,"C0017D-2H-5 W, 65.5--67.5 cm",CKY000000000003559300,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T12:05:51Z,NULL,NULL,NULL,NULL,0,0.01593,0.0528,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-5, 66.5 cm",NULL,75.428,75.51,75.428,75.51,"C0017D-2H-5, 66.5 cm",NULL,75.428,75.51,75.428,75.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0008,0.0067,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-6, 62.0 cm",NULL,76.77,76.87,76.77,76.87,"C0017D-2H-6, 64.0 cm",NULL,76.79,76.89,76.79,76.89,"C0017D-2H-6 W, 62.0--64.0 cm",CKY000000000003559600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T12:11:16Z,NULL,NULL,NULL,NULL,0.08662,0.77001,0.13618,10/2/2010,hitomiy,2010-10-03T20:41:17Z
"C0017D-2H-6, 63.0 cm",NULL,76.78,76.88,76.78,76.88,"C0017D-2H-6, 63.0 cm",NULL,76.78,76.88,76.78,76.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0239,0.1992,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-2H-7, 81.5 cm",NULL,78.355,78.475,78.355,78.475,"C0017D-2H-7, 83.5 cm",NULL,78.374,78.495,78.374,78.495,"C0017D-2H-7 W, 81.5--83.5 cm",CKY000000000003559700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-28T12:13:26Z,NULL,NULL,NULL,NULL,0,0.02398,0.07303,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-2H-7, 82.5 cm",NULL,78.364,78.485,78.364,78.485,"C0017D-2H-7, 82.5 cm",NULL,78.364,78.485,78.364,78.485,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0006,0.005,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-6X-1, 63.0 cm",NULL,94.83,94.83,94.83,94.83,"C0017D-6X-1, 65.0 cm",NULL,94.85,94.85,94.85,94.85,"C0017D-6X-1 W, 63.0--65.0 cm",CKY000000000003565200,CARB,NULL,5,steven331,NULL,CKY,2010-09-28T18:48:44Z,NULL,NULL,NULL,NULL,0.04301,1.15476,0.24753,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-6X-1, 64.0 cm",NULL,94.84,94.84,94.84,94.84,"C0017D-6X-1, 64.0 cm",NULL,94.84,94.84,94.84,94.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7759,6.4656,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-6X-2, 16.0 cm",NULL,95.64,95.64,95.64,95.64,"C0017D-6X-2, 18.0 cm",NULL,95.66,95.66,95.66,95.66,"C0017D-6X-2 W, 16.0--18.0 cm",CKY000000000003565400,CARB,NULL,5,steven331,NULL,CKY,2010-09-28T18:48:44Z,NULL,NULL,NULL,NULL,0.05063,1.3228,0.37666,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-6X-2, 17.0 cm",NULL,95.65,95.65,95.65,95.65,"C0017D-6X-2, 17.0 cm",NULL,95.65,95.65,95.65,95.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.877,7.308,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-7H-2, 30.0 cm",NULL,105.322,105.41,105.322,105.41,"C0017D-7H-2, 32.0 cm",NULL,105.341,105.43,105.341,105.43,"C0017D-7H-2 W, 30.0--32.0 cm",CKY000000000003569500,CARB,NULL,10,chris331,NULL,CKY,2010-09-29T00:03:19Z,NULL,NULL,NULL,NULL,0.06094,1.35481,0.18172,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-7H-2, 31.0 cm",NULL,105.332,105.42,105.332,105.42,"C0017D-7H-2, 31.0 cm",NULL,105.332,105.42,105.332,105.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8137,6.7806,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-7H-3, 134.0 cm",NULL,107.646,107.86,107.646,107.86,"C0017D-7H-3, 136.0 cm",NULL,107.665,107.88,107.665,107.88,"C0017D-7H-3 W, 134.0--136.0 cm",CKY000000000003569700,CARB,NULL,10,chris331,NULL,CKY,2010-09-29T00:03:19Z,NULL,NULL,NULL,NULL,0.02209,0.78679,0.11178,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-7H-3, 135.0 cm",NULL,107.656,107.87,107.656,107.87,"C0017D-7H-3, 135.0 cm",NULL,107.656,107.87,107.656,107.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5989,4.9906,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-7H-4, 110.0 cm",NULL,108.747,109.02,108.747,109.02,"C0017D-7H-4, 112.0 cm",NULL,108.766,109.04,108.766,109.04,"C0017D-7H-4 W, 110.0--112.0 cm",CKY000000000003569900,CARB,NULL,10,chris331,NULL,CKY,2010-09-29T00:03:19Z,NULL,NULL,NULL,NULL,0.06064,1.07465,0.46786,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-7H-4, 111.0 cm",NULL,108.756,109.03,108.756,109.03,"C0017D-7H-4, 111.0 cm",NULL,108.756,109.03,108.756,109.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5527,4.6056,kawait,2010-10-03T17:14:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-7H-5, 42.0 cm",NULL,109.444,109.755,109.444,109.755,"C0017D-7H-5, 44.0 cm",NULL,109.463,109.775,109.463,109.775,"C0017D-7H-5 W, 42.0--44.0 cm",CKY000000000003570100,CARB,NULL,10,chris331,NULL,CKY,2010-09-29T00:03:19Z,NULL,NULL,NULL,NULL,0.00789,0.16164,0.71344,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-7H-5, 43.0 cm",NULL,109.454,109.765,109.454,109.765,"C0017D-7H-5, 43.0 cm",NULL,109.454,109.765,109.454,109.765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0834,0.695,kawait,2010-10-03T17:14:28Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017D-7H-6, 66.0 cm",NULL,111.014,111.41,111.014,111.41,"C0017D-7H-6, 68.0 cm",NULL,111.033,111.43,111.033,111.43,"C0017D-7H-6 W, 66.0--68.0 cm",CKY000000000003570700,CARB,NULL,10,chris331,NULL,CKY,2010-09-29T00:03:19Z,NULL,NULL,NULL,NULL,0.01807,0.7284,0.43048,10/2/2010,hitomiy,2010-10-03T20:41:18Z
"C0017D-7H-6, 67.0 cm",NULL,111.024,111.42,111.024,111.42,"C0017D-7H-6, 67.0 cm",NULL,111.024,111.42,111.024,111.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7057,5.8806,kawait,2010-10-03T17:14:28Z,NULL,NULL,NULL,NULL,NULL,NULL
