Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014B-1H-1, 19.0 cm",NULL,0.177,0.19,0.177,0.19,"C0014B-1H-1, 21.0 cm",NULL,0.196,0.21,0.196,0.21,"C0014B-1H-1 W, 19.0--21.0 cm",CKY000000000003054100,CARB,NULL,3,shouye331,NULL,CKY,2010-09-17T00:48:53Z,NULL,NULL,NULL,NULL,0.05345,4.37486,0.2718,9/30/2010,hitomiy,2010-10-03T20:41:05Z
"C0014B-1H-1, 20.0 cm",NULL,0.187,0.2,0.187,0.2,"C0014B-1H-1, 20.0 cm",NULL,0.187,0.2,0.187,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9172,32.642,kawait,2010-10-03T16:37:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014B-1H-3, 60.0 cm",NULL,3.182,3.41,3.182,3.41,"C0014B-1H-3, 62.0 cm",NULL,3.201,3.43,3.201,3.43,"C0014B-1H-3 W, 60.0--62.0 cm",CKY000000000003054300,CARB,NULL,3,shouye331,NULL,CKY,2010-09-17T00:48:53Z,NULL,NULL,NULL,NULL,0.07892,2.26102,1.60653,9/25/2010,hitomiy,2010-10-03T20:41:05Z
"C0014B-1H-3, 61.0 cm",NULL,3.192,3.42,3.192,3.42,"C0014B-1H-3, 61.0 cm",NULL,3.192,3.42,3.192,3.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6452,13.7095,kawait,2010-10-03T16:37:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014B-1H-5, 52.0 cm",NULL,5.749,6.16,5.749,6.16,"C0014B-1H-5, 54.0 cm",NULL,5.767,6.18,5.767,6.18,"C0014B-1H-5 W, 52.0--54.0 cm",CKY000000000003054500,CARB,NULL,3,shouye331,NULL,CKY,2010-09-17T00:48:53Z,NULL,NULL,NULL,NULL,0.07139,2.68261,1.20963,9/30/2010,hitomiy,2010-10-03T20:41:05Z
"C0014B-1H-5, 53.0 cm",NULL,5.758,6.17,5.758,6.17,"C0014B-1H-5, 53.0 cm",NULL,5.758,6.17,5.758,6.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0719,17.2651,kawait,2010-10-03T16:37:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014B-2H-1, 70.0 cm",NULL,7.128,7.2,7.128,7.2,"C0014B-2H-1, 72.0 cm",NULL,7.146,7.22,7.146,7.22,"C0014B-2H-1 W, 70.0--72.0 cm",CKY000000000003061100,CARB,NULL,10,shouye331,NULL,CKY,2010-09-17T02:48:11Z,NULL,NULL,NULL,NULL,0.08773,0.79654,2.03192,9/25/2010,hitomiy,2010-10-03T20:41:05Z
"C0014B-2H-1, 71.0 cm",NULL,7.137,7.21,7.137,7.21,"C0014B-2H-1, 71.0 cm",NULL,7.137,7.21,7.137,7.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0169,0.1408,kawait,2010-10-03T16:37:47Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014B-2H-2, 54.0 cm",NULL,8.213,8.41,8.213,8.41,"C0014B-2H-2, 56.0 cm",NULL,8.231,8.43,8.231,8.43,"C0014B-2H-2 W, 54.0--56.0 cm",CKY000000000003061600,CARB,NULL,10,shouye331,NULL,CKY,2010-09-17T02:48:11Z,NULL,NULL,NULL,NULL,0.03723,0.62158,1.94249,9/25/2010,hitomiy,2010-10-03T20:41:06Z
"C0014B-2H-2, 55.0 cm",NULL,8.222,8.42,8.222,8.42,"C0014B-2H-2, 55.0 cm",NULL,8.222,8.42,8.222,8.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3073,2.5607,kawait,2010-10-03T16:37:47Z,NULL,NULL,NULL,NULL,NULL,NULL
