Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0004C-1H-2, 119.0 cm",NULL,2.605,2.605,2.605,2.605,"C0004C-1H-2, 120.5 cm",NULL,2.62,2.62,2.62,2.62,"C0004C-1H-2 WR, 119.0--120.5 cm",CKY000000000000746800,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-20T12:55:18Z,NULL,NULL,NULL,NULL,0.06003,2.42734,0.03556,12/27/2007,kuriharar,2008-01-24T13:14:25Z
"C0004C-1H-2, 119.7 cm",NULL,2.612,2.612,2.612,2.612,"C0004C-1H-2, 119.7 cm",NULL,2.612,2.612,2.612,2.612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.963728,16.36374,miyabes,2008-02-04T01:52:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004C-1H-5, 92.5 cm",NULL,5.165,5.165,5.165,5.165,"C0004C-1H-5, 94.0 cm",NULL,5.18,5.18,5.18,5.18,"C0004C-1H-5 WR, 92.5--94.0 cm",CKY000000000000747600,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-20T13:59:03Z,NULL,NULL,NULL,NULL,0.07242,2.19284,0.09137,12/27/2007,kuriharar,2008-01-24T13:14:26Z
"C0004C-1H-5, 93.3 cm",NULL,5.173,5.173,5.173,5.173,"C0004C-1H-5, 93.3 cm",NULL,5.173,5.173,5.173,5.173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.764416,14.70288,miyabes,2008-02-04T01:52:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004C-1H-5, 117.0 cm",NULL,5.41,5.41,5.41,5.41,"C0004C-1H-5, 118.5 cm",NULL,5.425,5.425,5.425,5.425,"C0004C-1H-5 WR, 117.0--118.5 cm",CKY000000000000743800,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-20T10:29:44Z,NULL,NULL,NULL,NULL,0.06354,1.75647,0.18317,12/27/2007,kuriharar,2008-01-24T13:14:26Z
"C0004C-1H-5, 117.8 cm",NULL,5.418,5.418,5.418,5.418,"C0004C-1H-5, 117.8 cm",NULL,5.418,5.418,5.418,5.418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.281551,10.67917,miyabes,2008-02-04T01:52:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004C-2H-4, 0.0 cm",NULL,9.006,9.197,9.006,9.197,"C0004C-2H-4, 1.5 cm",NULL,9.02,9.212,9.02,9.212,"C0004C-2H-4 W, 0.0--1.5 cm",CKY000000000000763100,CARB,NULL,2,david_goldsby316,NULL,CKY,2007-12-21T05:34:38Z,NULL,NULL,NULL,NULL,0.0736,1.77434,0.24829,12/27/2007,kuriharar,2008-01-24T13:14:27Z
"C0004C-2H-4, 0.7 cm",NULL,9.012,9.204,9.012,9.204,"C0004C-2H-4, 0.7 cm",NULL,9.012,9.204,9.012,9.204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.188202,9.901291,miyabes,2008-02-04T01:52:55Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004C-2H-5, 35.0 cm",NULL,10.671,10.983,10.671,10.983,"C0004C-2H-5, 36.5 cm",NULL,10.685,10.998,10.685,10.998,"C0004C-2H-5 WR, 35.0--36.5 cm",CKY000000000000745900,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-20T12:14:44Z,NULL,NULL,NULL,NULL,0.06959,1.66974,0.13661,12/27/2007,kuriharar,2008-01-24T13:14:27Z
"C0004C-2H-5, 35.7 cm",NULL,10.677,10.99,10.677,10.99,"C0004C-2H-5, 35.7 cm",NULL,10.677,10.99,10.677,10.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.183581,9.86278,miyabes,2008-02-04T01:52:55Z,NULL,NULL,NULL,NULL,NULL,NULL
