Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013C-1H-1, 2.0 cm",NULL,3.02,3.02,3.02,3.02,"C0013C-1H-1, 4.0 cm",NULL,3.039,3.04,3.039,3.04,"C0013C-1H-1 W, 2.0--4.0 cm",CKY000000000002914400,CARB,NULL,10,junichiro331,NULL,CKY,2010-09-11T16:10:38Z,NULL,NULL,NULL,NULL,0,0.06347,4.7533,9/25/2010,hitomiy,2010-10-03T20:41:01Z
"C0013C-1H-1, 3.0 cm",NULL,3.029,3.03,3.029,3.03,"C0013C-1H-1, 3.0 cm",NULL,3.029,3.03,3.029,3.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0007,0.0058,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013C-1H-2, 13.0 cm",NULL,3.568,3.58,3.568,3.58,"C0013C-1H-2, 15.0 cm",NULL,3.587,3.6,3.587,3.6,"C0013C-1H-2 W, 13.0--15.0 cm",CKY000000000002966600,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T08:21:31Z,NULL,NULL,NULL,NULL,0.02878,0.37522,8.07939,9/25/2010,hitomiy,2010-10-03T20:41:05Z
"C0013C-1H-2, 14.0 cm",NULL,3.578,3.59,3.578,3.59,"C0013C-1H-2, 14.0 cm",NULL,3.578,3.59,3.578,3.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.013452748,0.112101752,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013C-1H-2, 83.0 cm",NULL,4.253,4.28,4.253,4.28,"C0013C-1H-2, 85.0 cm",NULL,4.273,4.3,4.273,4.3,"C0013C-1H-2 W, 83.0--85.0 cm",CKY000000000002966900,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T08:23:04Z,NULL,NULL,NULL,NULL,0.00858,0.0718,7.16382,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013C-1H-2, 84.0 cm",NULL,4.263,4.29,4.263,4.29,"C0013C-1H-2, 84.0 cm",NULL,4.263,4.29,4.263,4.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013C-1H-4, 7.0 cm",NULL,4.767,4.805,4.767,4.805,"C0013C-1H-4, 9.0 cm",NULL,4.787,4.825,4.787,4.825,"C0013C-1H-4 W, 7.0--9.0 cm",CKY000000000002967200,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T08:24:18Z,NULL,NULL,NULL,NULL,0.01785,0.06223,5.48321,9/25/2010,hitomiy,2010-10-03T20:41:05Z
"C0013C-1H-4, 8.0 cm",NULL,4.777,4.815,4.777,4.815,"C0013C-1H-4, 8.0 cm",NULL,4.777,4.815,4.777,4.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000491418,0.004094987,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013C-1H-5, 3.0 cm",NULL,6.108,6.175,6.108,6.175,"C0013C-1H-5, 5.0 cm",NULL,6.128,6.195,6.128,6.195,"C0013C-1H-5 W, 3.0--5.0 cm",CKY000000000002967500,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T08:25:40Z,NULL,NULL,NULL,NULL,0.00873,0.02657,9.84538,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013C-1H-5, 4.0 cm",NULL,6.118,6.185,6.118,6.185,"C0013C-1H-5, 4.0 cm",NULL,6.118,6.185,6.118,6.185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001345775,0.011214345,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
