Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013B-1T-1, 9.0 cm",NULL,0.09,0.09,0.09,0.09,"C0013B-1T-1, 11.0 cm",NULL,0.11,0.11,0.11,0.11,"C0013B-1T-1 W, 9.0--11.0 cm",CKY000000000002908700,CARB,NULL,3,chris331,NULL,CKY,2010-09-11T02:03:55Z,NULL,NULL,NULL,NULL,0.00707,0.24249,16.21358,9/25/2010,hitomiy,2010-10-03T20:41:01Z
"C0013B-1T-1, 10.0 cm",NULL,0.1,0.1,0.1,0.1,"C0013B-1T-1, 10.0 cm",NULL,0.1,0.1,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0032,0.0267,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013B-1T-1, 50.0 cm",NULL,0.5,0.5,0.5,0.5,"C0013B-1T-1, 60.0 cm",NULL,0.6,0.6,0.6,0.6,"C0013B-1T-1 WR, 50.0--60.0 cm",CKY000000000002964000,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:19:19Z,NULL,NULL,NULL,NULL,0.01358,0.08147,4.64715,10/2/2010,hitomiy,2010-10-03T20:41:04Z
"C0013B-1T-1, 55.0 cm",NULL,0.55,0.55,0.55,0.55,"C0013B-1T-1, 55.0 cm",NULL,0.55,0.55,0.55,0.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.007946578,0.066218837,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013B-1T-1, 108.0 cm",NULL,1.08,1.08,1.08,1.08,"C0013B-1T-1, 118.0 cm",NULL,1.18,1.18,1.18,1.18,"C0013B-1T-1 WR, 108.0--118.0 cm",CKY000000000002963300,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:17:38Z,NULL,NULL,NULL,NULL,0.01139,0.0332,14.34192,10/2/2010,hitomiy,2010-10-03T20:41:04Z
"C0013B-1T-1, 113.0 cm",NULL,1.13,1.13,1.13,1.13,"C0013B-1T-1, 113.0 cm",NULL,1.13,1.13,1.13,1.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002240102,0.018666772,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013B-1T-CC, 12.0 cm",NULL,1.3,1.3,1.3,1.3,"C0013B-1T-CC, 20.0 cm",NULL,1.38,1.38,1.38,1.38,"C0013B-1T-CC WR, 12.0--20.0 cm",CKY000000000002964700,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:20:40Z,NULL,NULL,NULL,NULL,0.01334,0.06673,13.72597,10/2/2010,hitomiy,2010-10-03T20:41:04Z
"C0013B-1T-CC, 16.0 cm",NULL,1.34,1.34,1.34,1.34,"C0013B-1T-CC, 16.0 cm",NULL,1.34,1.34,1.34,1.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004117528,0.034311359,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013B-1T-CC, 20.0 cm",NULL,1.38,1.38,1.38,1.38,"C0013B-1T-CC, 22.0 cm",NULL,1.4,1.4,1.4,1.4,"C0013B-1T-CC W, 20.0--22.0 cm",CKY000000000002909100,CARB,NULL,3,chris331,NULL,CKY,2010-09-11T02:13:00Z,NULL,NULL,NULL,NULL,0,0.03077,13.07723,9/25/2010,hitomiy,2010-10-03T20:41:01Z
"C0013B-1T-CC, 21.0 cm",NULL,1.39,1.39,1.39,1.39,"C0013B-1T-CC, 21.0 cm",NULL,1.39,1.39,1.39,1.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0038,0.0317,kawait,2010-10-03T15:06:17Z,NULL,NULL,NULL,NULL,NULL,NULL
