Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0019E-1R-1, 85.0 cm",NULL,177.35,177.35,177.35,177.35,"C0019E-1R-1, 88.0 cm",NULL,177.38,177.38,177.38,177.38,"C0019E-1R-1 W, 85.0--88.0 cm",CKY000000000004906100,CARB,NULL,3,kameda343,NULL,CKY,2012-05-15T06:09:38Z,NULL,NULL,NULL,NULL,0.05332,0.41407,0.23118,5/22/2012,ohashia,2012-05-25T18:28:19Z
"C0019E-1R-1, 86.5 cm",NULL,177.365,177.365,177.365,177.365,"C0019E-1R-1, 86.5 cm",NULL,177.365,177.365,177.365,177.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0177,0.1475,kames,2012-05-25T08:13:14Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0019E-1R-6, 14.0 cm",NULL,183.335,183.335,183.335,183.335,"C0019E-1R-6, 16.0 cm",NULL,183.355,183.355,183.355,183.355,"C0019E-1R-6 W, 14.0--16.0 cm",CKY000000000004906400,CARB,NULL,3,arakaway,NULL,CKY,2012-05-15T11:10:44Z,NULL,NULL,NULL,NULL,0.0492,0.2389,0.08344,5/22/2012,ohashia,2012-05-25T18:28:19Z
"C0019E-1R-6, 15.0 cm",NULL,183.345,183.345,183.345,183.345,"C0019E-1R-6, 15.0 cm",NULL,183.345,183.345,183.345,183.345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0179,0.1492,kames,2012-05-25T08:13:15Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0019E-1R-6, 123.0 cm",NULL,184.425,184.425,184.425,184.425,"C0019E-1R-6, 125.0 cm",NULL,184.445,184.445,184.445,184.445,"C0019E-1R-6 W, 123.0--125.0 cm",CKY000000000004906700,CARB,NULL,3,arakaway,NULL,CKY,2012-05-15T11:03:47Z,NULL,NULL,NULL,NULL,0.02026,0.07942,0.01184,5/22/2012,ohashia,2012-05-25T18:28:20Z
"C0019E-1R-6, 124.0 cm",NULL,184.435,184.435,184.435,184.435,"C0019E-1R-6, 124.0 cm",NULL,184.435,184.435,184.435,184.435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0185,0.1542,kames,2012-05-25T08:13:15Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0019E-2R-1, 48.5 cm",NULL,648.485,648.485,648.485,648.485,"C0019E-2R-1, 50.5 cm",NULL,648.505,648.505,648.505,648.505,"C0019E-2R-1 W, 48.5--50.5 cm",CKY000000000004911800,CARB,NULL,3,kirkpatrick343,NULL,CKY,2012-05-17T02:55:46Z,NULL,NULL,NULL,NULL,0.03284,0.10628,0.0169,5/22/2012,ohashia,2012-05-25T18:28:20Z
"C0019E-2R-1, 49.5 cm",NULL,648.495,648.495,648.495,648.495,"C0019E-2R-1, 49.5 cm",NULL,648.495,648.495,648.495,648.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0318,0.265,kames,2012-05-25T08:13:15Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0019E-2R-1, 99.5 cm",NULL,648.995,648.995,648.995,648.995,"C0019E-2R-1, 101.5 cm",NULL,649.015,649.015,649.015,649.015,"C0019E-2R-1 W, 99.5--101.5 cm",CKY000000000004912100,CARB,NULL,3,kirkpatrick343,NULL,CKY,2012-05-17T02:59:27Z,NULL,NULL,NULL,NULL,0.0308,0.93756,0.00492,5/22/2012,ohashia,2012-05-25T18:28:20Z
"C0019E-2R-1, 100.5 cm",NULL,649.005,649.005,649.005,649.005,"C0019E-2R-1, 100.5 cm",NULL,649.005,649.005,649.005,649.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8991,7.4922,kames,2012-05-25T08:13:15Z,NULL,NULL,NULL,NULL,NULL,NULL
