Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002K-1H-1, 113.0 cm",NULL,200.894,201.13,200.894,201.13,"C0002K-1H-1, 116.0 cm",NULL,200.917,201.16,200.917,201.16,"C0002K-1H-1 W, 113.0--116.0 cm",CKY000000000001330610,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T23:25:32Z,0.9525,7.9372,0.090965974,1.592347026,0.302861328,ohashia,2013-02-05T04:36:12Z
"C0002K-1H-2, 74.0 cm",NULL,201.641,202.075,201.641,202.075,"C0002K-1H-2, 77.0 cm",NULL,201.665,202.105,201.665,202.105,"C0002K-1H-2 W, 74.0--77.0 cm",CKY000000000001331410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T23:48:47Z,1.3134,10.9446,0.08632515,1.977705416,0.075576436,ohashia,2013-02-05T04:36:12Z
"C0002K-1H-4, 4.0 cm",NULL,202.313,202.925,202.313,202.925,"C0002K-1H-4, 7.0 cm",NULL,202.337,202.955,202.337,202.955,"C0002K-1H-4 W, 4.0--7.0 cm",CKY000000000001462410,CARB,NULL,3,yasunagam,NULL,CKY,2012-12-24T19:54:32Z,1.5344,12.7862,0.104308665,2.165654834,0.072416139,ohashia,2013-02-05T04:36:12Z
"C0002K-2H-1, 58.0 cm",NULL,205.08,205.08,205.08,205.08,"C0002K-2H-1, 61.0 cm",NULL,205.11,205.11,205.11,205.11,"C0002K-2H-1 W, 58.0--61.0 cm",CKY000000000001335610,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T02:13:30Z,1.0319,8.5988,0.044583623,1.347895075,0.142756485,ohashia,2013-02-05T04:36:12Z
"C0002K-3T-3, 59.0 cm",NULL,207.86,207.86,207.86,207.86,"C0002K-3T-3, 60.0 cm",NULL,207.87,207.87,207.87,207.87,"C0002K-3T-3 WR, 59.0--60.0 cm",CKY000000000001333810,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-21T01:20:22Z,0.23,1.9166,0.055931888,0.716578455,0.247148499,ohashia,2013-02-05T04:36:12Z
"C0002K-3T-4, 25.0 cm",NULL,208.725,208.725,208.725,208.725,"C0002K-3T-4, 27.0 cm",NULL,208.745,208.745,208.745,208.745,"C0002K-3T-4 W, 25.0--27.0 cm",CKY000000000001339710,CARB,NULL,3,esteban338,NULL,CKY,2012-12-21T05:21:35Z,0.5341,4.4507,0.089621218,1.144810424,0.072354314,ohashia,2013-02-05T04:36:12Z
"C0002K-3T-4, 134.0 cm",NULL,209.815,209.815,209.815,209.815,"C0002K-3T-4, 136.0 cm",NULL,209.835,209.835,209.835,209.835,"C0002K-3T-4 W, 134.0--136.0 cm",CKY000000000001339810,CARB,NULL,3,esteban338,NULL,CKY,2012-12-21T05:23:44Z,0.3785,3.154,0.08129539,0.953023841,0.272737862,ohashia,2013-02-05T04:36:12Z
"C0002K-3T-6, 13.0 cm",NULL,210.425,210.425,210.425,210.425,"C0002K-3T-6, 15.0 cm",NULL,210.445,210.445,210.445,210.445,"C0002K-3T-6 WR, 13.0--15.0 cm",CKY000000000001334710,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-21T01:22:00Z,0.465,3.8748,0.080345453,0.989109599,0.078877862,ohashia,2013-02-05T04:36:12Z
"C0002K-4T-1, 36.0 cm",NULL,215.36,215.36,215.36,215.36,"C0002K-4T-1, 39.0 cm",NULL,215.39,215.39,215.39,215.39,"C0002K-4T-1 W, 36.0--39.0 cm",CKY000000000001341810,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T06:48:17Z,0.63,5.2498,0.088591425,1.21133172,0.080743283,ohashia,2013-02-05T04:36:12Z
"C0002K-4T-3, 0.0 cm",NULL,215.715,215.715,215.715,215.715,"C0002K-4T-3, 3.0 cm",NULL,215.745,215.745,215.745,215.745,"C0002K-4T-3 WR, 0.0--3.0 cm",CKY000000000001336410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-21T02:16:10Z,0.5451,4.5423,0.075854412,1.046812912,0.062643099,ohashia,2013-02-05T04:36:12Z
