Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013D-1H-1, 0.0 cm",NULL,3,3,3,3,"C0013D-1H-1, 9.5 cm",NULL,3.095,3.095,3.095,3.095,"C0013D-1H-1 WR, 0.0--9.5 cm",CKY000000000002965000,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0.00996,0.05599,12.4427,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013D-1H-1, 4.8 cm",NULL,3.048,3.048,3.048,3.048,"C0013D-1H-1, 4.8 cm",NULL,3.048,3.048,3.048,3.048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.008208657,0.068402735,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013D-1H-1, 19.0 cm",NULL,3.19,3.19,3.19,3.19,"C0013D-1H-1, 29.0 cm",NULL,3.29,3.29,3.29,3.29,"C0013D-1H-1 WR, 19.0--29.0 cm",CKY000000000002964900,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0.00781,0.03987,16.17346,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013D-1H-1, 24.0 cm",NULL,3.24,3.24,3.24,3.24,"C0013D-1H-1, 24.0 cm",NULL,3.24,3.24,3.24,3.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.005631954,0.046931075,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013D-1H-1, 45.0 cm",NULL,3.45,3.45,3.45,3.45,"C0013D-1H-1, 47.0 cm",NULL,3.47,3.47,3.47,3.47,"C0013D-1H-1 W, 45.0--47.0 cm",CKY000000000002922300,CARB,NULL,3,chris331,NULL,CKY,2010-09-12T03:58:33Z,NULL,NULL,NULL,NULL,0.00599,0.01583,21.25254,9/20/2010,hitomiy,2010-10-03T20:41:02Z
"C0013D-1H-1, 46.0 cm",NULL,3.46,3.46,3.46,3.46,"C0013D-1H-1, 46.0 cm",NULL,3.46,3.46,3.46,3.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001838256,0.015318187,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013D-1H-1, 57.0 cm",NULL,3.57,3.57,3.57,3.57,"C0013D-1H-1, 67.0 cm",NULL,3.67,3.67,3.67,3.67,"C0013D-1H-1 WR, 57.0--67.0 cm",CKY000000000002964800,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:21:29Z,NULL,NULL,NULL,NULL,0.00475,0.01275,24.35625,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013D-1H-1, 62.0 cm",NULL,3.62,3.62,3.62,3.62,"C0013D-1H-1, 62.0 cm",NULL,3.62,3.62,3.62,3.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.008847227,0.073723942,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013D-1H-2, 41.0 cm",NULL,4.185,4.185,4.185,4.185,"C0013D-1H-2, 53.0 cm",NULL,4.305,4.305,4.305,4.305,"C0013D-1H-2 WR, 41.0--53.0 cm",CKY000000000002965100,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,0.07509,27.68883,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013D-1H-2, 47.0 cm",NULL,4.245,4.245,4.245,4.245,"C0013D-1H-2, 47.0 cm",NULL,4.245,4.245,4.245,4.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.013449626,0.11207573,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013D-1H-2, 68.0 cm",NULL,4.455,4.455,4.455,4.455,"C0013D-1H-2, 80.0 cm",NULL,4.575,4.575,4.575,4.575,"C0013D-1H-2 WR, 68.0--80.0 cm",CKY000000000002965200,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,1.10599,21.47104,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013D-1H-2, 74.0 cm",NULL,4.515,4.515,4.515,4.515,"C0013D-1H-2, 74.0 cm",NULL,4.515,4.515,4.515,4.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.065245817,0.543693391,kawait,2010-10-03T15:06:18Z,NULL,NULL,NULL,NULL,NULL,NULL
