Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0001F-1H-1, 10.0 cm",NULL,108.092,108.1,108.092,108.1,"C0001F-1H-1, 11.5 cm",NULL,108.106,108.115,108.106,108.115,"C0001F-1H-1 WR, 10.0--11.5 cm",CKY000000000000276500,CARB,NULL,2,hirono315,NULL,CKY,2007-11-22T11:53:19Z,NULL,NULL,NULL,NULL,0.10904,2.51532,0.22008,12/8/2007,kuriharar,2008-02-25T07:47:38Z
"C0001F-1H-1, 10.8 cm",NULL,108.1,108.108,108.1,108.108,"C0001F-1H-1, 10.8 cm",NULL,108.1,108.108,108.1,108.108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.025514,16.87861,miyabes,2007-12-11T10:53:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001F-1H-4, 0.0 cm",NULL,111.686,111.99,111.686,111.99,"C0001F-1H-4, 1.0 cm",NULL,111.695,112,111.695,112,"C0001F-1H-4 WR, 0.0--1.0 cm",CKY000000000000250200,CARB,NULL,2,hassy315,NULL,CKY,2007-11-21T07:44:49Z,NULL,NULL,NULL,NULL,0.06269,2.50346,0.1992,12/2/2007,kuriharar,2008-02-25T07:47:38Z
"C0001F-1H-4, 0.5 cm",NULL,111.69,111.995,111.69,111.995,"C0001F-1H-4, 0.5 cm",NULL,111.69,111.995,111.69,111.995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.229309,18.57684,miyabes,2007-12-11T10:53:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001F-2H-3, 33.0 cm",NULL,120.42,120.65,120.42,120.65,"C0001F-2H-3, 34.0 cm",NULL,120.429,120.66,120.429,120.66,"C0001F-2H-3 WR, 33.0--34.0 cm",CKY000000000000285500,CARB,NULL,2,underwoodm315,NULL,CKY,2007-11-22T17:38:06Z,NULL,NULL,NULL,NULL,0.10159,2.20996,0.12485,12/8/2007,kuriharar,2008-02-25T07:47:39Z
"C0001F-2H-3, 33.5 cm",NULL,120.424,120.655,120.424,120.655,"C0001F-2H-3, 33.5 cm",NULL,120.424,120.655,120.424,120.655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.783403,14.86109,miyabes,2007-12-11T10:53:21Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001F-2H-5, 0.0 cm",NULL,122.537,122.935,122.537,122.935,"C0001F-2H-5, 1.0 cm",NULL,122.547,122.945,122.547,122.945,"C0001F-2H-5 WR, 0.0--1.0 cm",CKY000000000000251900,CARB,NULL,2,hirono315,NULL,CKY,2007-11-21T09:27:48Z,NULL,NULL,NULL,NULL,0.0609,2.05662,0.23451,12/2/2007,kuriharar,2008-02-25T07:47:39Z
"C0001F-2H-5, 0.5 cm",NULL,122.542,122.94,122.542,122.94,"C0001F-2H-5, 0.5 cm",NULL,122.542,122.94,122.542,122.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.866994,15.55766,miyabes,2007-12-11T10:53:21Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001F-3H-1, 130.0 cm",NULL,128.3,128.3,128.3,128.3,"C0001F-3H-1, 131.0 cm",NULL,128.31,128.31,128.31,128.31,"C0001F-3H-1 WR, 130.0--131.0 cm",CKY000000000000291700,CARB,NULL,2,underwoodm315,NULL,CKY,2007-11-22T20:15:36Z,NULL,NULL,NULL,NULL,0.11496,2.15,0.42479,12/8/2007,kuriharar,2008-02-25T07:47:40Z
"C0001F-3H-1, 130.5 cm",NULL,128.305,128.305,128.305,128.305,"C0001F-3H-1, 130.5 cm",NULL,128.305,128.305,128.305,128.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.65925,13.82653,miyabes,2007-12-11T10:53:21Z,NULL,NULL,NULL,NULL,NULL,NULL
