Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-20R-4, 100.0 cm",NULL,228.835,228.835,228.835,228.835,"C0012A-20R-4, 102.0 cm",NULL,228.855,228.855,228.855,228.855,"C0012A-20R-4 WR, 100.0--102.0 cm",CKY000000000000679110,CARB,NULL,10,matt322,NULL,CKY,2009-09-27T23:52:22Z,NULL,NULL,NULL,NULL,0.05513,0.22418,0.02158,10/4/2009,miyabes,2009-10-08T10:49:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-20R-4, 101.0 cm",NULL,228.845,228.845,228.845,228.845,"C0012A-20R-4, 101.0 cm",NULL,228.845,228.845,228.845,228.845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0263,0.2192,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-20R-5, 20.0 cm",NULL,229.44,229.44,229.44,229.44,"C0012A-20R-5, 22.0 cm",NULL,229.46,229.46,229.46,229.46,"C0012A-20R-5 WR, 20.0--22.0 cm",CKY000000000000679910,CARB,NULL,10,matt322,NULL,CKY,2009-09-27T23:56:02Z,NULL,NULL,NULL,NULL,0.05407,0.28719,0.02828,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-20R-5, 21.0 cm",NULL,229.45,229.45,229.45,229.45,"C0012A-20R-5, 21.0 cm",NULL,229.45,229.45,229.45,229.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0744,0.62,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-1, 23.0 cm",NULL,234.93,234.93,234.93,234.93,"C0012A-21R-1, 25.0 cm",NULL,234.95,234.95,234.95,234.95,"C0012A-21R-1 WR, 23.0--25.0 cm",CKY000000000000691210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T02:32:50Z,NULL,NULL,NULL,NULL,0.05354,0.25986,0.15584,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-1, 24.0 cm",NULL,234.94,234.94,234.94,234.94,"C0012A-21R-1, 24.0 cm",NULL,234.94,234.94,234.94,234.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0316,0.2633,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-2, 30.0 cm",NULL,235.685,235.685,235.685,235.685,"C0012A-21R-2, 33.0 cm",NULL,235.715,235.715,235.715,235.715,"C0012A-21R-2 WR, 30.0--33.0 cm",CKY000000000000682810,CARB,NULL,3,hiranos,NULL,CKY,2009-09-28T00:32:16Z,NULL,NULL,NULL,NULL,0.05184,0.24619,0.07465,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-2, 31.5 cm",NULL,235.7,235.7,235.7,235.7,"C0012A-21R-2, 31.5 cm",NULL,235.7,235.7,235.7,235.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0224,0.1867,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-3, 38.0 cm",NULL,236.095,236.095,236.095,236.095,"C0012A-21R-3, 40.0 cm",NULL,236.115,236.115,236.115,236.115,"C0012A-21R-3 W, 38.0--40.0 cm",CKY000000000000725310,CARB,NULL,3,rachel322,NULL,CKY,2009-09-28T13:22:34Z,NULL,NULL,NULL,NULL,0.00755,0.09045,0.13997,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-3, 39.0 cm",NULL,236.105,236.105,236.105,236.105,"C0012A-21R-3, 39.0 cm",NULL,236.105,236.105,236.105,236.105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0208,0.1733,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-3, 105.0 cm",NULL,236.765,236.765,236.765,236.765,"C0012A-21R-3, 107.0 cm",NULL,236.785,236.785,236.785,236.785,"C0012A-21R-3 WR, 105.0--107.0 cm",CKY000000000000692110,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T02:36:29Z,NULL,NULL,NULL,NULL,0.52391,0.35959,0.13001,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-21R-3, 106.0 cm",NULL,236.775,236.775,236.775,236.775,"C0012A-21R-3, 106.0 cm",NULL,236.775,236.775,236.775,236.775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0877,0.7308,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-22R-1, 109.0 cm",NULL,245.29,245.29,245.29,245.29,"C0012A-22R-1, 111.0 cm",NULL,245.31,245.31,245.31,245.31,"C0012A-22R-1 WR, 109.0--111.0 cm",CKY000000000000700110,CARB,NULL,8,fujikit,share with RE,CKY,2009-09-28T06:27:54Z,NULL,NULL,NULL,NULL,0.06176,0.34887,0.07751,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-22R-1, 110.0 cm",NULL,245.3,245.3,245.3,245.3,"C0012A-22R-1, 110.0 cm",NULL,245.3,245.3,245.3,245.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0526,0.4383,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,59,0.05,315,4,0.01,0.04,0.1,0.05,0.23,0.04,0.19,0.02,0.16,0.85,6.86,1.6,0.01,0.91,0.1,606,0.27,647,miyabes,2009-10-08T12:56:01Z
"C0012A-23R-2, 45.0 cm",NULL,255.515,255.515,255.515,255.515,"C0012A-23R-2, 47.0 cm",NULL,255.535,255.535,255.535,255.535,"C0012A-23R-2 WR, 45.0--47.0 cm",CKY000000000000702810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T08:21:57Z,NULL,NULL,NULL,NULL,0.06188,0.33775,0.11867,10/6/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-2, 46.0 cm",NULL,255.525,255.525,255.525,255.525,"C0012A-23R-2, 46.0 cm",NULL,255.525,255.525,255.525,255.525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0515,0.4291,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-3, 41.5 cm",NULL,256.515,256.515,256.515,256.515,"C0012A-23R-3, 43.5 cm",NULL,256.535,256.535,256.535,256.535,"C0012A-23R-3 WR, 41.5--43.5 cm",CKY000000000000698010,CARB,NULL,3,fuway,"share with RE, Corrected from 45-47 cm.",CKY,2009-09-28T06:03:53Z,NULL,NULL,NULL,NULL,0.06317,0.41334,0.14048,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-3, 42.5 cm",NULL,256.525,256.525,256.525,256.525,"C0012A-23R-3, 42.5 cm",NULL,256.525,256.525,256.525,256.525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.139,1.1583,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,48,0.13,372,12,0.04,0.04,0.11,0.09,0.21,0.02,0.19,0.01,0.12,0.93,7,3.1,0.03,0.43,0.1,606,0.25,647,miyabes,2009-10-08T12:56:01Z
"C0012A-23R-5, 91.0 cm",NULL,258.75,258.75,258.75,258.75,"C0012A-23R-5, 93.0 cm",NULL,258.77,258.77,258.77,258.77,"C0012A-23R-5 WR, 91.0--93.0 cm",CKY000000000000703610,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T08:24:23Z,NULL,NULL,NULL,NULL,0.05799,0.26566,0.09571,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-5, 92.0 cm",NULL,258.76,258.76,258.76,258.76,"C0012A-23R-5, 92.0 cm",NULL,258.76,258.76,258.76,258.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0.3333,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-6, 43.0 cm",NULL,259.51,259.51,259.51,259.51,"C0012A-23R-6, 45.0 cm",NULL,259.53,259.53,259.53,259.53,"C0012A-23R-6 WR, 43.0--45.0 cm",CKY000000000000704510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T08:27:12Z,NULL,NULL,NULL,NULL,0.06103,0.32028,0.09819,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-23R-6, 44.0 cm",NULL,259.52,259.52,259.52,259.52,"C0012A-23R-6, 44.0 cm",NULL,259.52,259.52,259.52,259.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0314,0.2617,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-1, 48.0 cm",NULL,263.68,263.68,263.68,263.68,"C0012A-24R-1, 50.0 cm",NULL,263.7,263.7,263.7,263.7,"C0012A-24R-1 WR, 48.0--50.0 cm",CKY000000000000719410,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T11:23:10Z,NULL,NULL,NULL,NULL,0.06191,0.37203,0.14954,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-1, 49.0 cm",NULL,263.69,263.69,263.69,263.69,"C0012A-24R-1, 49.0 cm",NULL,263.69,263.69,263.69,263.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1082,0.9016,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-2, 0.0 cm",NULL,263.93,263.93,263.93,263.93,"C0012A-24R-2, 2.0 cm",NULL,263.95,263.95,263.95,263.95,"C0012A-24R-2 WR, 0.0--2.0 cm",CKY000000000000705410,CARB,NULL,3,katerina322,NULL,CKY,2009-09-28T08:34:10Z,NULL,NULL,NULL,NULL,0.06267,0.51614,0.10647,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-2, 1.0 cm",NULL,263.94,263.94,263.94,263.94,"C0012A-24R-2, 1.0 cm",NULL,263.94,263.94,263.94,263.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1957,1.6308,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-3, 48.0 cm",NULL,264.76,264.76,264.76,264.76,"C0012A-24R-3, 50.0 cm",NULL,264.78,264.78,264.78,264.78,"C0012A-24R-3 WR, 48.0--50.0 cm",CKY000000000000720210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T11:25:49Z,NULL,NULL,NULL,NULL,0.05982,0.41717,0.16492,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-3, 49.0 cm",NULL,264.77,264.77,264.77,264.77,"C0012A-24R-3, 49.0 cm",NULL,264.77,264.77,264.77,264.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1272,1.06,miyabes,2009-10-08T11:29:44Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-4, 98.0 cm",NULL,266.665,266.665,266.665,266.665,"C0012A-24R-4, 100.0 cm",NULL,266.685,266.685,266.685,266.685,"C0012A-24R-4 WR, 98.0--100.0 cm",CKY000000000000721210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-28T11:28:43Z,NULL,NULL,NULL,NULL,0.06532,0.43767,0.15463,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-4, 99.0 cm",NULL,266.675,266.675,266.675,266.675,"C0012A-24R-4, 99.0 cm",NULL,266.675,266.675,266.675,266.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0388,0.3233,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-5, 132.0 cm",NULL,268.355,268.355,268.355,268.355,"C0012A-24R-5, 134.0 cm",NULL,268.375,268.375,268.375,268.375,"C0012A-24R-5 W, 132.0--134.0 cm",CKY000000000000754810,CARB,NULL,3,hajime322,NULL,CKY,2009-09-28T22:25:02Z,NULL,NULL,NULL,NULL,0.0317,0.25335,0.12368,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-24R-5, 133.0 cm",NULL,268.365,268.365,268.365,268.365,"C0012A-24R-5, 133.0 cm",NULL,268.365,268.365,268.365,268.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0429,0.3575,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-1, 110.0 cm",NULL,273.8,273.8,273.8,273.8,"C0012A-25R-1, 112.0 cm",NULL,273.82,273.82,273.82,273.82,"C0012A-25R-1 WR, 110.0--112.0 cm",CKY000000000000723910,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T13:13:17Z,NULL,NULL,NULL,NULL,0.05523,0.30355,0.11018,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-1, 111.0 cm",NULL,273.81,273.81,273.81,273.81,"C0012A-25R-1, 111.0 cm",NULL,273.81,273.81,273.81,273.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0423,0.3525,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-2, 25.0 cm",NULL,274.165,274.165,274.165,274.165,"C0012A-25R-2, 27.0 cm",NULL,274.185,274.185,274.185,274.185,"C0012A-25R-2 WR, 25.0--27.0 cm",CKY000000000000718210,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-28T11:08:40Z,NULL,NULL,NULL,NULL,0.05705,0.31419,0.22387,10/4/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-2, 26.0 cm",NULL,274.175,274.175,274.175,274.175,"C0012A-25R-2, 26.0 cm",NULL,274.175,274.175,274.175,274.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0505,0.4208,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,54,0.07,346,8,0.02,0.04,0.14,0.05,0.2,0.03,0.17,0.02,0.13,0.83,6.29,1.7,0.02,0.69,0.1,604,0.24,645,miyabes,2009-10-08T12:56:01Z
"C0012A-25R-5, 22.0 cm",NULL,276.985,276.985,276.985,276.985,"C0012A-25R-5, 24.0 cm",NULL,277.005,277.005,277.005,277.005,"C0012A-25R-5 WR, 22.0--24.0 cm",CKY000000000000724710,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T13:16:08Z,NULL,NULL,NULL,NULL,0.05958,0.32905,0.11369,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-5, 23.0 cm",NULL,276.995,276.995,276.995,276.995,"C0012A-25R-5, 23.0 cm",NULL,276.995,276.995,276.995,276.995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0553,0.4608,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-6, 57.0 cm",NULL,278.7,278.7,278.7,278.7,"C0012A-25R-6, 59.0 cm",NULL,278.72,278.72,278.72,278.72,"C0012A-25R-6 WR, 57.0--59.0 cm",CKY000000000000725910,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T13:25:26Z,NULL,NULL,NULL,NULL,0.05312,0.32289,0.0897,10/5/2009,miyabes,2009-10-08T10:49:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-25R-6, 58.0 cm",NULL,278.71,278.71,278.71,278.71,"C0012A-25R-6, 58.0 cm",NULL,278.71,278.71,278.71,278.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0769,0.6408,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-26R-2, 100.0 cm",NULL,284.61,284.61,284.61,284.61,"C0012A-26R-2, 102.0 cm",NULL,284.63,284.63,284.63,284.63,"C0012A-26R-2 WR, 100.0--102.0 cm",CKY000000000000733910,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T16:06:01Z,NULL,NULL,NULL,NULL,0.05248,0.29047,0.07529,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-26R-2, 101.0 cm",NULL,284.62,284.62,284.62,284.62,"C0012A-26R-2, 101.0 cm",NULL,284.62,284.62,284.62,284.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0568,0.4733,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-2, 0.0 cm",NULL,292.035,292.035,292.035,292.035,"C0012A-27R-2, 2.0 cm",NULL,292.055,292.055,292.055,292.055,"C0012A-27R-2 WR, 0.0--2.0 cm",CKY000000000000735510,CARB,NULL,3,katerina322,NULL,CKY,2009-09-28T16:44:02Z,NULL,NULL,NULL,NULL,0.05696,0.54858,0.04487,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-2, 1.0 cm",NULL,292.045,292.045,292.045,292.045,"C0012A-27R-2, 1.0 cm",NULL,292.045,292.045,292.045,292.045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2615,2.1791,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-3, 8.0 cm",NULL,292.45,292.45,292.45,292.45,"C0012A-27R-3, 11.0 cm",NULL,292.48,292.48,292.48,292.48,"C0012A-27R-3 WR, 8.0--11.0 cm",CKY000000000000746210,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T20:24:01Z,NULL,NULL,NULL,NULL,0.05526,0.32421,0.18265,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
