Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012C-1H-2, 113.0 cm",NULL,2.389,2.535,2.389,2.535,"C0012C-1H-2, 115.0 cm",NULL,2.408,2.555,2.408,2.555,"C0012C-1H-2 WR, 113.0--115.0 cm",CKY000000000004482700,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T02:13:44Z,NULL,NULL,NULL,NULL,0.02854,1.40296,0.06389,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-1H-2, 114.0 cm",NULL,2.398,2.545,2.398,2.545,"C0012C-1H-2, 114.0 cm",NULL,2.398,2.545,2.398,2.545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.261702155,10.51376406,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-1H-2, 123.0 cm",NULL,2.483,2.635,2.483,2.635,"C0012C-1H-2, 124.0 cm",NULL,2.493,2.645,2.493,2.645,"C0012C-1H-2 WR, 123.0--124.0 cm",CKY000000000004475400,CARB,NULL,5,yabukit,NULL,CKY,2010-12-25T23:57:40Z,NULL,NULL,NULL,NULL,0.03467,1.16369,0.06279,1/5/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-1H-2, 123.5 cm",NULL,2.488,2.64,2.488,2.64,"C0012C-1H-2, 123.5 cm",NULL,2.488,2.64,2.488,2.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9442,7.868,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-1H-3, 95.0 cm",NULL,3.534,3.75,3.534,3.75,"C0012C-1H-3, 97.0 cm",NULL,3.553,3.77,3.553,3.77,"C0012C-1H-3 WR, 95.0--97.0 cm",CKY000000000004483500,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T02:21:28Z,NULL,NULL,NULL,NULL,0.04493,2.11288,0.06863,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-1H-3, 96.0 cm",NULL,3.544,3.76,3.544,3.76,"C0012C-1H-3, 96.0 cm",NULL,3.544,3.76,3.544,3.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7552,14.6261,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.01,0.07,434,475,ohashia,2011-01-08T22:08:34Z
"C0012C-2H-2, 128.5 cm",NULL,7.05,7.2,7.05,7.2,"C0012C-2H-2, 130.5 cm",NULL,7.069,7.22,7.069,7.22,"C0012C-2H-2 WR, 128.5--130.5 cm",CKY000000000004493300,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:07:29Z,NULL,NULL,NULL,NULL,0.05188,2.44353,0.06356,1/5/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-2, 129.5 cm",NULL,7.059,7.21,7.059,7.21,"C0012C-2H-2, 129.5 cm",NULL,7.059,7.21,7.059,7.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.9736,16.446,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-3, 124.5 cm",NULL,8.339,8.565,8.339,8.565,"C0012C-2H-3, 125.5 cm",NULL,8.348,8.575,8.348,8.575,"C0012C-2H-3 WR, 124.5--125.5 cm",CKY000000000004484800,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T03:00:05Z,NULL,NULL,NULL,NULL,0.04814,1.13241,0.07495,1/5/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-3, 125.0 cm",NULL,8.343,8.57,8.343,8.57,"C0012C-2H-3, 125.0 cm",NULL,8.343,8.57,8.343,8.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7897,6.5806,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
