Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0006E-1H-2, 0.0 cm",NULL,1.195,1.205,1.195,1.205,"C0006E-1H-2, 1.5 cm",NULL,1.21,1.22,1.21,1.22,"C0006E-1H-2 WR, 0.0--1.5 cm",CKY000000000000948500,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T16:05:44Z,NULL,NULL,NULL,NULL,0.04933,0.64968,0.6622,1/11/2008,kuriharar,2008-01-31T07:46:22Z
"C0006E-1H-2, 0.7 cm",NULL,1.202,1.212,1.202,1.212,"C0006E-1H-2, 0.7 cm",NULL,1.202,1.212,1.202,1.212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1283201,1.068907,miyabes,2008-02-04T01:53:11Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-1H-4, 69.5 cm",NULL,3.495,3.525,3.495,3.525,"C0006E-1H-4, 71.0 cm",NULL,3.51,3.54,3.51,3.54,"C0006E-1H-4 WR, 69.5--71.0 cm",CKY000000000000965800,CARB,NULL,2,arito316,NULL,CKY,2007-12-29T01:36:31Z,NULL,NULL,NULL,NULL,0.04406,0.54773,0.67733,1/11/2008,kuriharar,2008-01-31T07:46:23Z
"C0006E-1H-4, 70.2 cm",NULL,3.502,3.532,3.502,3.532,"C0006E-1H-4, 70.2 cm",NULL,3.502,3.532,3.502,3.532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1218417,1.014941,miyabes,2008-02-04T01:53:11Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-1H-5, 0.0 cm",NULL,4.204,4.24,4.204,4.24,"C0006E-1H-5, 1.5 cm",NULL,4.218,4.255,4.218,4.255,"C0006E-1H-5 WR, 0.0--1.5 cm",CKY000000000000949500,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T16:18:48Z,NULL,NULL,NULL,NULL,0.02782,0.25091,0.47341,1/18/2008,kuriharar,2008-01-31T07:46:23Z
"C0006E-1H-5, 0.7 cm",NULL,4.211,4.247,4.211,4.247,"C0006E-1H-5, 0.7 cm",NULL,4.211,4.247,4.211,4.247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03804647,0.3169271,miyabes,2008-02-04T01:53:11Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-1H-6, 49.5 cm",NULL,4.922,4.965,4.922,4.965,"C0006E-1H-6, 51.0 cm",NULL,4.937,4.98,4.937,4.98,"C0006E-1H-6 WR, 49.5--51.0 cm",CKY000000000000966300,CARB,NULL,2,arito316,NULL,CKY,2007-12-29T01:36:32Z,NULL,NULL,NULL,NULL,0.05332,1.18068,0.52986,1/11/2008,kuriharar,2008-01-31T07:46:23Z
"C0006E-1H-6, 50.2 cm",NULL,4.929,4.972,4.929,4.972,"C0006E-1H-6, 50.2 cm",NULL,4.929,4.972,4.929,4.972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.557126,4.64086,miyabes,2008-02-04T01:53:12Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-2H-3, 0.0 cm",NULL,7.636,7.79,7.636,7.79,"C0006E-2H-3, 1.5 cm",NULL,7.65,7.805,7.65,7.805,"C0006E-2H-3 WR, 0.0--1.5 cm",CKY000000000000950400,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T17:10:20Z,NULL,NULL,NULL,NULL,0.04778,0.79757,0.49528,1/18/2008,kuriharar,2008-01-31T07:46:23Z
"C0006E-2H-3, 0.7 cm",NULL,7.642,7.797,7.642,7.797,"C0006E-2H-3, 0.7 cm",NULL,7.642,7.797,7.642,7.797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2996825,2.496355,miyabes,2008-02-04T01:53:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-2H-4, 115.5 cm",NULL,8.938,9.175,8.938,9.175,"C0006E-2H-4, 117.0 cm",NULL,8.952,9.19,8.952,9.19,"C0006E-2H-4 WR, 115.5--117.0 cm",CKY000000000000967300,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-29T05:10:02Z,NULL,NULL,NULL,NULL,0.04999,1.23049,0.33955,1/11/2008,kuriharar,2008-01-31T07:46:24Z
"C0006E-2H-4, 116.3 cm",NULL,8.946,9.183,8.946,9.183,"C0006E-2H-4, 116.3 cm",NULL,8.946,9.183,8.946,9.183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6705022,5.585283,miyabes,2008-02-04T01:53:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-2H-7, 0.0 cm",NULL,11.675,12.085,11.675,12.085,"C0006E-2H-7, 1.5 cm",NULL,11.69,12.1,11.69,12.1,"C0006E-2H-7 WR, 0.0--1.5 cm",CKY000000000000951500,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T17:56:40Z,NULL,NULL,NULL,NULL,0.05061,1.06157,0.36405,1/11/2008,kuriharar,2008-01-31T07:46:24Z
"C0006E-2H-7, 0.7 cm",NULL,11.682,12.092,11.682,12.092,"C0006E-2H-7, 0.7 cm",NULL,11.682,12.092,11.682,12.092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6071973,5.057953,miyabes,2008-02-04T01:53:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-3H-3, 0.0 cm",NULL,17.006,17.285,17.006,17.285,"C0006E-3H-3, 1.5 cm",NULL,17.019,17.3,17.019,17.3,"C0006E-3H-3 WR, 0.0--1.5 cm",CKY000000000000952900,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T18:43:48Z,NULL,NULL,NULL,NULL,0.03236,0.39498,1.75419,1/11/2008,kuriharar,2008-01-31T07:46:24Z
"C0006E-3H-3, 0.7 cm",NULL,17.012,17.292,17.012,17.292,"C0006E-3H-3, 0.7 cm",NULL,17.012,17.292,17.012,17.292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.08691893,0.7240347,miyabes,2008-02-04T01:53:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-3H-6, 55.0 cm",NULL,20.303,20.98,20.303,20.98,"C0006E-3H-6, 56.5 cm",NULL,20.317,20.995,20.317,20.995,"C0006E-3H-6 WR, 55.0--56.5 cm",CKY000000000000970500,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-29T11:14:33Z,NULL,NULL,NULL,NULL,0.04972,0.65054,0.05929,1/18/2008,kuriharar,2008-01-31T07:46:25Z
"C0006E-3H-6, 55.8 cm",NULL,20.311,20.988,20.311,20.988,"C0006E-3H-6, 55.8 cm",NULL,20.311,20.988,20.311,20.988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3176807,2.646281,miyabes,2008-02-04T01:53:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-3H-6, 95.0 cm",NULL,20.66,21.38,20.66,21.38,"C0006E-3H-6, 96.5 cm",NULL,20.674,21.395,20.674,21.395,"C0006E-3H-6 WR, 95.0--96.5 cm",CKY000000000000969900,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-29T11:14:32Z,NULL,NULL,NULL,NULL,0.05628,1.35822,0.1359,1/11/2008,kuriharar,2008-01-31T07:46:24Z
"C0006E-3H-6, 95.7 cm",NULL,20.667,21.387,20.667,21.387,"C0006E-3H-6, 95.7 cm",NULL,20.667,21.387,20.667,21.387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7387695,6.15395,miyabes,2008-02-04T01:53:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-3H-7, 0.0 cm",NULL,20.906,21.655,20.906,21.655,"C0006E-3H-7, 1.5 cm",NULL,20.919,21.67,20.919,21.67,"C0006E-3H-7 WR, 0.0--1.5 cm",CKY000000000000953400,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T18:43:49Z,NULL,NULL,NULL,NULL,0.03133,0.30397,0.5766,1/11/2008,kuriharar,2008-01-31T07:46:25Z
"C0006E-3H-7, 0.7 cm",NULL,20.912,21.662,20.912,21.662,"C0006E-3H-7, 0.7 cm",NULL,20.912,21.662,20.912,21.662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01968871,0.164007,miyabes,2008-02-04T01:53:26Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-4H-4, 29.5 cm",NULL,28.649,28.735,28.649,28.735,"C0006E-4H-4, 31.0 cm",NULL,28.663,28.75,28.663,28.75,"C0006E-4H-4 WR, 29.5--31.0 cm",CKY000000000000984800,CARB,NULL,8,arito316,NULL,CKY,2007-12-29T17:37:32Z,NULL,NULL,NULL,NULL,0.04483,0.71473,0.11738,1/11/2008,kuriharar,2008-01-31T07:46:25Z
"C0006E-4H-4, 30.3 cm",NULL,28.656,28.743,28.656,28.743,"C0006E-4H-4, 30.3 cm",NULL,28.656,28.743,28.656,28.743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2235617,1.862269,miyabes,2008-02-04T01:53:31Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-4H-5, 0.0 cm",NULL,29.811,29.92,29.811,29.92,"C0006E-4H-5, 1.5 cm",NULL,29.826,29.935,29.826,29.935,"C0006E-4H-5 WR, 0.0--1.5 cm",CKY000000000000955000,CARB,NULL,5,arito316,NULL,CKY,2007-12-28T20:41:31Z,NULL,NULL,NULL,NULL,0.04133,0.50625,0.1119,1/18/2008,kuriharar,2008-01-31T07:46:25Z
"C0006E-4H-5, 0.7 cm",NULL,29.818,29.927,29.818,29.927,"C0006E-4H-5, 0.7 cm",NULL,29.818,29.927,29.818,29.927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1622572,1.351602,miyabes,2008-02-04T01:53:31Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-5H-1, 126.5 cm",NULL,34.459,34.485,34.459,34.485,"C0006E-5H-1, 128.0 cm",NULL,34.474,34.5,34.474,34.5,"C0006E-5H-1 WR, 126.5--128.0 cm",CKY000000000000993000,CARB,NULL,2,arito316,NULL,CKY,2007-12-29T22:17:01Z,NULL,NULL,NULL,NULL,0.059,0.54692,0.09133,1/11/2008,kuriharar,2008-01-31T07:46:26Z
"C0006E-5H-1, 127.3 cm",NULL,34.467,34.493,34.467,34.493,"C0006E-5H-1, 127.3 cm",NULL,34.467,34.493,34.467,34.493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1101206,0.9173049,miyabes,2008-02-04T01:53:32Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006E-5H-3, 0.0 cm",NULL,35.787,35.84,35.787,35.84,"C0006E-5H-3, 1.5 cm",NULL,35.801,35.855,35.801,35.855,"C0006E-5H-3 WR, 0.0--1.5 cm",CKY000000000000960300,CARB,NULL,2,arito316,NULL,CKY,2007-12-28T23:49:01Z,NULL,NULL,NULL,NULL,0.02579,0.34274,0.12134,1/11/2008,kuriharar,2008-01-31T07:46:26Z
