Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis; sample, cuttings::series number of mud logging::number","bulk CNS analysis; sample, cuttings::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, cuttings::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, cuttings::registerer","bulk CNS analysis; sample, cuttings::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,NULL,C0009A;1037.700,NULL,1037.7,NULL,NULL,1037.7,NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,C0009A-75SMW W,CKY000000000001982600,CARB,NULL,10,kawamuras,NULL,CKY,2009-07-08T07:47:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06214,3.28935,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1037.700,NULL,1037.7,NULL,NULL,1037.7,NULL,NULL,C0009A;1037.700,NULL,1037.7,NULL,NULL,1037.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.8157,15.1302,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,C0009A-76SMW W,CKY000000000001969200,CARB,NULL,10,ushiromurah,NULL,CKY,2009-07-07T10:03:25Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05724,3.26598,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,NULL,NULL,C0009A;1042.700,NULL,1042.7,NULL,NULL,1042.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.7367,14.4719,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,NULL,NULL,C0009A;1052.700,NULL,1052.7,NULL,NULL,1052.7,C0009A-77SMW W,CKY000000000001969500,CARB,NULL,10,ushiromurah,NULL,CKY,2009-07-07T10:04:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06188,3.44967,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,NULL,NULL,C0009A;1047.700,NULL,1047.7,NULL,NULL,1047.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.7512,14.5927,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1057.700,NULL,1057.7,NULL,NULL,1057.7,NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,C0009A-79SMW W,CKY000000000001976100,CARB,NULL,10,togashi,NULL,CKY,2009-07-07T20:51:38Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06961,4.32487,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1057.700,NULL,1057.7,NULL,NULL,1057.7,NULL,NULL,C0009A;1057.700,NULL,1057.7,NULL,NULL,1057.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.7488,14.5728,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,C0009A-80SMW W,CKY000000000001969800,CARB,NULL,10,ushiromurah,NULL,CKY,2009-07-07T10:05:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.07654,4.54653,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,NULL,NULL,C0009A;1062.700,NULL,1062.7,NULL,NULL,1062.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.8066,15.0544,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,NULL,NULL,C0009A;1072.700,NULL,1072.7,NULL,NULL,1072.7,C0009A-81SMW W,CKY000000000001970100,CARB,NULL,10,ushiromurah,NULL,CKY,2009-07-07T10:06:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.07523,4.19939,7/13/2009,moriyas,2009-07-13T19:37:09Z
NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,NULL,NULL,C0009A;1067.700,NULL,1067.7,NULL,NULL,1067.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1.7397,14.4969,kames,2009-07-13T15:28:32Z,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0009A;1072.700,NULL,1072.7,NULL,NULL,1072.7,NULL,NULL,C0009A;1077.700,NULL,1077.7,NULL,NULL,1077.7,C0009A-82SMW W,CKY000000000001970400,CARB,NULL,10,ushiromurah,NULL,CKY,2009-07-07T10:07:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0749,4.42783,7/13/2009,moriyas,2009-07-13T19:37:09Z
