Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002J-1R-1, 70.0 cm",NULL,902.7,902.7,902.7,902.7,"C0002J-1R-1, 72.0 cm",NULL,902.72,902.72,902.72,902.72,"C0002J-1R-1 W, 70.0--72.0 cm",CKY000000000001293010,CARB,NULL,17,esteban338,NULL,CKY,2012-12-19T13:49:43Z,3.1707,26.4214,0.055023743,3.457741077,0.034666824,ohashia,2013-02-05T04:19:52Z
"C0002J-1R-6, 0.0 cm",NULL,903.565,903.565,903.565,903.565,"C0002J-1R-6, 2.0 cm",NULL,903.585,903.585,903.585,903.585,"C0002J-1R-6 WR, 0.0--2.0 cm",CKY000000000001284410,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-19T00:39:06Z,2.7142,22.6174,0.053459556,3.049718637,0.014942409,ohashia,2013-02-05T04:19:52Z
"C0002J-1R-7, 45.0 cm",NULL,904.255,904.255,904.255,904.255,"C0002J-1R-7, 47.0 cm",NULL,904.275,904.275,904.275,904.275,"C0002J-1R-7 WR, 45.0--47.0 cm",CKY000000000001286010,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-19T02:36:03Z,0.8849,7.3739,0.054598756,1.075144035,0.210667882,ohashia,2013-02-05T04:19:52Z
"C0002J-1R-7, 110.0 cm",NULL,904.905,904.905,904.905,904.905,"C0002J-1R-7, 112.0 cm",NULL,904.925,904.925,904.925,904.925,"C0002J-1R-7 W, 110.0--112.0 cm",CKY000000000001306410,CARB,NULL,3,dugan338,NULL,CKY,2012-12-19T22:24:12Z,2.3021,19.1834,0.056071221,2.572399629,0.05237018,ohashia,2013-02-05T04:19:52Z
"C0002J-2R-1, 21.0 cm",NULL,907.21,907.21,907.21,907.21,"C0002J-2R-1, 22.0 cm",NULL,907.22,907.22,907.22,907.22,"C0002J-2R-1 W, 21.0--22.0 cm",CKY000000000001309110,CARB,NULL,3,dugan338,NULL,CKY,2012-12-19T22:49:17Z,1.6702,13.9178,0.059023991,2.024510903,0.048325828,ohashia,2013-02-05T04:19:52Z
"C0002J-3R-1, 73.0 cm",NULL,912.73,912.73,912.73,912.73,"C0002J-3R-1, 78.0 cm",NULL,912.78,912.78,912.78,912.78,"C0002J-3R-1 W, 73.0--78.0 cm",CKY000000000001311710,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T01:29:05Z,1.9384,16.1527,0.072192473,2.466483622,0.263868184,ohashia,2013-02-05T04:19:52Z
"C0002J-3R-2, 63.0 cm",NULL,913.41,913.41,913.41,913.41,"C0002J-3R-2, 69.0 cm",NULL,913.47,913.47,913.47,913.47,"C0002J-3R-2 W, 63.0--69.0 cm",CKY000000000001313710,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T02:33:16Z,1.6552,13.7928,0.083032981,2.280328087,0.217770735,ohashia,2013-02-05T04:19:52Z
"C0002J-3R-6, 82.0 cm",NULL,916.065,916.065,916.065,916.065,"C0002J-3R-6, 86.0 cm",NULL,916.105,916.105,916.105,916.105,"C0002J-3R-6 W, 82.0--86.0 cm",CKY000000000001312010,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T01:29:05Z,1.0492,8.743,0.101305295,1.873468147,0.616140268,ohashia,2013-02-05T04:19:52Z
"C0002J-4R-1, 32.0 cm",NULL,917.32,917.32,917.32,917.32,"C0002J-4R-1, 36.0 cm",NULL,917.36,917.36,917.36,917.36,"C0002J-4R-1 W, 32.0--36.0 cm",CKY000000000001315310,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T05:35:06Z,1.8783,15.6519,0.073093868,2.279068089,0.167393352,ohashia,2013-02-05T04:19:52Z
"C0002J-4R-3, 0.0 cm",NULL,917.76,917.76,917.76,917.76,"C0002J-4R-3, 6.0 cm",NULL,917.82,917.82,917.82,917.82,"C0002J-4R-3 W, 0.0--6.0 cm",CKY000000000001313010,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T02:28:21Z,1.0298,8.5813,0.100270285,1.906690302,0.753352381,ohashia,2013-02-05T04:19:52Z
"C0002J-4R-5, 36.0 cm",NULL,920.885,920.885,920.885,920.885,"C0002J-4R-5, 43.0 cm",NULL,920.955,920.955,920.955,920.955,"C0002J-4R-5 W, 36.0--43.0 cm",CKY000000000001315610,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T05:37:21Z,1.3928,11.6062,0.079947508,1.939366962,0.38221937,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-3, 7.0 cm",NULL,922.826,922.835,922.826,922.835,"C0002J-5R-3, 11.0 cm",NULL,922.866,922.875,922.866,922.875,"C0002J-5R-3 W, 7.0--11.0 cm",CKY000000000001319410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-20T08:05:06Z,1.4146,11.7879,0.076281901,1.980308891,0.375297758,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-5, 13.5 cm",NULL,923.108,923.12,923.108,923.12,"C0002J-5R-5, 19.5 cm",NULL,923.167,923.18,923.167,923.18,"C0002J-5R-5 WR, 13.5--19.5 cm",CKY000000000001289610,CARB,NULL,3,arakaway,NULL,CKY,2012-12-19T09:13:39Z,1.5743,13.1186,0.085753714,2.264934357,0.459016574,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-6, 79.0 cm",NULL,923.949,923.97,923.949,923.97,"C0002J-5R-6, 81.0 cm",NULL,923.968,923.99,923.968,923.99,"C0002J-5R-6 W, 79.0--81.0 cm",CKY000000000001323710,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-20T12:18:47Z,0.3822,3.1849,0.095251615,1.05662057,0.822785558,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-6, 110.0 cm",NULL,924.255,924.28,924.255,924.28,"C0002J-5R-6, 111.0 cm",NULL,924.265,924.29,924.265,924.29,"C0002J-5R-6 WR, 110.0--111.0 cm",CKY000000000001305110,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-19T22:17:59Z,0.6982,5.8181,0.092615276,1.342609667,0.597022501,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-7, 45.0 cm",NULL,924.794,924.825,924.794,924.825,"C0002J-5R-7, 46.0 cm",NULL,924.804,924.835,924.804,924.835,"C0002J-5R-7 WR, 45.0--46.0 cm",CKY000000000001307910,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-19T22:45:30Z,0.8102,6.7514,0.090287151,1.469935095,0.842301147,ohashia,2013-02-05T04:19:52Z
"C0002J-5R-8, 0.0 cm",NULL,925.64,925.68,925.64,925.68,"C0002J-5R-8, 1.0 cm",NULL,925.65,925.69,925.65,925.69,"C0002J-5R-8 WR, 0.0--1.0 cm",CKY000000000001310310,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-19T23:20:44Z,1.3602,11.3345,0.077493081,1.928911185,0.443707947,ohashia,2013-02-05T04:19:52Z
