Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002P-1R-1, 2.5 cm",NULL,NULL,NULL,2163.025,2163.025,2163.025,2163.025,"C0002P-1R-1, 5.0 cm",NULL,NULL,NULL,2163.05,2163.05,2163.05,2163.05,"C0002P-1R-1 W, 2.5--5.0 cm",CKY000000000006204800,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-24T16:47:17Z,0.4603,3.8354,0.05793773,0.87877832,0.176962368,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2165.500,NULL,2165.5,NULL,NULL,2165.5,NULL,NULL,C0002P;2170.500,NULL,2170.5,NULL,NULL,2170.5,C0002P-72SMW W,CKY000000000006449600,CARB,NULL,2,enokim,"1-4mm, bulk",CKY,2014-01-02T16:09:14Z,0.3544,2.9534,0.051726838,1.321393307,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2165.500,NULL,2165.5,NULL,NULL,2165.5,NULL,NULL,C0002P;2170.500,NULL,2170.5,NULL,NULL,2170.5,C0002P-72SMW W,CKY000000000006450000,CARB,NULL,2,enokim,">4mm, bulk",CKY,2014-01-02T16:26:26Z,0.2263,1.8855,0.053648068,0.842746532,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2170.500,NULL,2170.5,NULL,NULL,2170.5,NULL,NULL,C0002P;2175.500,NULL,2175.5,NULL,NULL,2175.5,C0002P-73SMW W,CKY000000000006265600,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-27T19:25:04Z,0.3211,2.6757,0.050040675,1.269976932,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2170.500,NULL,2170.5,NULL,NULL,2170.5,NULL,NULL,C0002P;2175.500,NULL,2175.5,NULL,NULL,2175.5,C0002P-73SMW W,CKY000000000006266000,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-27T19:25:04Z,0.2962,2.4682,0.052945491,1.085855487,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2172.500,NULL,2172.5,NULL,NULL,2172.5,NULL,NULL,C0002P;2172.500,NULL,2172.5,NULL,NULL,2172.5,C0002P-70LMW W,CKY000000000006477900,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:04:14Z,0.2162,1.8016,0,7.630821432,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-2R-1, 35.0 cm",NULL,NULL,NULL,2172.85,2172.85,2172.85,2172.85,"C0002P-2R-1, 38.0 cm",NULL,NULL,NULL,2172.88,2172.88,2172.88,2172.88,"C0002P-2R-1 W, 35.0--38.0 cm",CKY000000000006206100,CARB,NULL,2,kitajima348,NULL,CKY,2013-12-24T22:47:32Z,0.3635,3.029,0.058090586,1.176578162,0.498280797,hoshinoh,2014-01-15T11:50:36Z
"C0002P-2R-2, 43.0 cm",NULL,NULL,NULL,2174.345,2174.345,2174.345,2174.345,"C0002P-2R-2, 48.0 cm",NULL,NULL,NULL,2174.395,2174.395,2174.395,2174.395,"C0002P-2R-2 W, 43.0--48.0 cm",CKY000000000006207000,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-24T23:35:23Z,0.1726,1.4381,0.051980687,0.748878626,0.622426883,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2175.500,NULL,2175.5,NULL,NULL,2175.5,NULL,NULL,C0002P;2180.500,NULL,2180.5,NULL,NULL,2180.5,C0002P-74SMW W,CKY000000000006450400,CARB,NULL,2,enokim,"1-4mm, bulk",CKY,2014-01-02T16:29:30Z,0.3106,2.5886,0.042932173,1.176375214,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2175.500,NULL,2175.5,NULL,NULL,2175.5,NULL,NULL,C0002P;2180.500,NULL,2180.5,NULL,NULL,2180.5,C0002P-74SMW W,CKY000000000006450800,CARB,NULL,2,enokim,">4mm, bulk",CKY,2014-01-02T16:31:11Z,0.2085,1.7377,0.053690474,0.866386179,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-2R-3, 137.5 cm",NULL,NULL,NULL,2176.695,2176.695,2176.695,2176.695,"C0002P-2R-3, 141.0 cm",NULL,NULL,NULL,2176.73,2176.73,2176.73,2176.73,"C0002P-2R-3 WR, 137.5--141.0 cm",CKY000000000006194900,CARB,NULL,2,arakaway,IW cluster,CKY,2013-12-23T04:38:47Z,0.3045,2.5376,0.065964168,0.870128529,0.278627384,hoshinoh,2014-01-15T11:50:36Z
"C0002P-2R-4, 27.0 cm",NULL,NULL,NULL,2177,2177,2177,2177,"C0002P-2R-4, 31.0 cm",NULL,NULL,NULL,2177.04,2177.04,2177.04,2177.04,"C0002P-2R-4 W, 27.0--31.0 cm",CKY000000000006207700,CARB,NULL,2,kitamura348,SANDY,CKY,2013-12-25T00:01:45Z,0.1974,1.6447,0.025532134,0.711050394,0.448087304,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2180.500,NULL,2180.5,NULL,NULL,2180.5,NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,C0002P-76SMW W,CKY000000000006280500,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-28T08:33:01Z,0.3445,2.8707,0.048442,1.296236624,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2180.500,NULL,2180.5,NULL,NULL,2180.5,NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,C0002P-76SMW W,CKY000000000006280900,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-28T08:33:01Z,0.2341,1.9508,0.048257806,0.905242697,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-3R-1, 35.0 cm",NULL,NULL,NULL,2182.35,2182.35,2182.35,2182.35,"C0002P-3R-1, 37.0 cm",NULL,NULL,NULL,2182.37,2182.37,2182.37,2182.37,"C0002P-3R-1 W, 35.0--37.0 cm",CKY000000000006213100,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T05:07:58Z,0.2533,2.1105,0.058547303,1.079205351,0.399705162,hoshinoh,2014-01-15T11:50:36Z
"C0002P-3R-2, 60.0 cm",NULL,NULL,NULL,2184.005,2184.005,2184.005,2184.005,"C0002P-3R-2, 63.0 cm",NULL,NULL,NULL,2184.035,2184.035,2184.035,2184.035,"C0002P-3R-2 W, 60.0--63.0 cm",CKY000000000006216400,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T06:11:30Z,0.3879,3.2325,0.058613402,0.863777032,0.370545532,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006452800,CARB,NULL,2,enokim,"1-4mm, bulk",CKY,2014-01-02T16:45:13Z,0.3414,2.8448,0.05164104,1.246492703,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2185.500,NULL,2185.5,NULL,NULL,2185.5,NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,C0002P-77SMW W,CKY000000000006453200,CARB,NULL,2,enokim,">4mm, bulk",CKY,2014-01-02T16:47:13Z,0.2351,1.9593,0.052648516,0.886873798,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-81SMW W,CKY000000000006201900,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-28T08:38:41Z,0.3035,2.5291,0.050077426,1.350409967,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2190.500,NULL,2190.5,NULL,NULL,2190.5,NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,C0002P-81SMW W,CKY000000000006281300,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-28T08:39:05Z,0.2262,1.8849,0.046952712,0.852304133,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2191.500,NULL,2191.5,NULL,NULL,2191.5,NULL,NULL,C0002P;2191.500,NULL,2191.5,NULL,NULL,2191.5,C0002P-75LMW W,CKY000000000006478000,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:04:41Z,0.2235,1.8624,0.006328769,7.459275731,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-1, 39.0 cm",NULL,NULL,NULL,2191.89,2191.89,2191.89,2191.89,"C0002P-4R-1, 44.0 cm",NULL,NULL,NULL,2191.94,2191.94,2191.94,2191.94,"C0002P-4R-1 W, 39.0--44.0 cm",CKY000000000006219000,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T10:02:25Z,0.2799,2.3323,0.067755262,0.936092894,0.32036561,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-2, 135.0 cm",NULL,NULL,NULL,2193.955,2193.955,2193.955,2193.955,"C0002P-4R-2, 142.0 cm",NULL,NULL,NULL,2194.025,2194.025,2194.025,2194.025,"C0002P-4R-2 W, 135.0--142.0 cm",CKY000000000006220700,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T11:02:13Z,0.3922,3.2686,0.059895684,0.990280801,0.416089028,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-3, 73.0 cm",NULL,NULL,NULL,2194.78,2194.78,2194.78,2194.78,"C0002P-4R-3, 77.0 cm",NULL,NULL,NULL,2194.82,2194.82,2194.82,2194.82,"C0002P-4R-3 W, 73.0--77.0 cm",CKY000000000006222200,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T11:50:03Z,0.1816,1.5133,0.069251027,0.749733731,0.321400754,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-4, 32.0 cm",NULL,NULL,NULL,2195.33,2195.33,2195.33,2195.33,"C0002P-4R-4, 37.0 cm",NULL,NULL,NULL,2195.38,2195.38,2195.38,2195.38,"C0002P-4R-4 W, 32.0--37.0 cm",CKY000000000006223200,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T13:00:59Z,0.2187,1.8225,0.066353808,0.820380528,0.362982255,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006451200,CARB,NULL,2,enokim,"1-4mm, bulk",CKY,2014-01-02T16:33:45Z,0.2809,2.3406,0.055121747,1.305343143,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2195.500,NULL,2195.5,NULL,NULL,2195.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-82SMW W,CKY000000000006451600,CARB,NULL,2,enokim,">4mm, bulk",CKY,2014-01-02T16:39:44Z,0.2998,2.4984,0.04535933,0.998686717,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-5, 125.0 cm",NULL,NULL,NULL,2197.635,2197.635,2197.635,2197.635,"C0002P-4R-5, 129.0 cm",NULL,NULL,NULL,2197.675,2197.675,2197.675,2197.675,"C0002P-4R-5 W, 125.0--129.0 cm",CKY000000000006224100,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T14:03:07Z,0.2003,1.6692,0.064409134,0.738759792,0.39963599,hoshinoh,2014-01-15T11:50:36Z
"C0002P-4R-6, 54.0 cm",NULL,NULL,NULL,2198.43,2198.43,2198.43,2198.43,"C0002P-4R-6, 60.0 cm",NULL,NULL,NULL,2198.49,2198.49,2198.49,2198.49,"C0002P-4R-6 W, 54.0--60.0 cm",CKY000000000006225600,CARB,NULL,2,kitajima348,NULL,CKY,2013-12-25T16:58:26Z,0.1331,1.1093,0.064399299,0.535395437,0.293744718,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006281700,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-28T08:41:04Z,0.2937,2.4474,0.051354909,1.355183352,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,C0002P-83SMW W,CKY000000000006282100,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-28T08:41:04Z,0.2802,2.3349,0.047995645,0.944029548,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,NULL,NULL,C0002P;2200.500,NULL,2200.5,NULL,NULL,2200.5,C0002P-80LMW W,CKY000000000006478100,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:05:52Z,0.2242,1.8683,0.008182574,7.489326345,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-5R-1, 95.0 cm",NULL,NULL,NULL,2201.95,2201.95,2201.95,2201.95,"C0002P-5R-1, 101.0 cm",NULL,NULL,NULL,2202.01,2202.01,2202.01,2202.01,"C0002P-5R-1 W, 95.0--101.0 cm",CKY000000000006228000,CARB,NULL,2,kitajima348,NULL,CKY,2013-12-25T19:39:47Z,0.1724,1.4367,0.057201488,0.907543884,0.356512103,hoshinoh,2014-01-15T11:50:36Z
"C0002P-5R-2, 99.0 cm",NULL,NULL,NULL,2203.43,2203.43,2203.43,2203.43,"C0002P-5R-2, 104.0 cm",NULL,NULL,NULL,2203.48,2203.48,2203.48,2203.48,"C0002P-5R-2 W, 99.0--104.0 cm",CKY000000000006227300,CARB,NULL,2,kitajima348,NULL,CKY,2013-12-25T18:16:31Z,0.1899,1.5826,0.068103864,1.051365786,0.523355762,hoshinoh,2014-01-15T11:50:36Z
"C0002P-5R-3, 0.0 cm",NULL,NULL,NULL,2203.85,2203.85,2203.85,2203.85,"C0002P-5R-3, 7.0 cm",NULL,NULL,NULL,2203.92,2203.92,2203.92,2203.92,"C0002P-5R-3 W, 0.0--7.0 cm",CKY000000000006228700,CARB,NULL,2,arakaway,NULL,CKY,2013-12-26T02:34:51Z,0.1787,1.4894,0.068835554,0.716121451,0.382728931,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,NULL,NULL,C0002P;2210.500,NULL,2210.5,NULL,NULL,2210.5,C0002P-85SMW W,CKY000000000006452000,CARB,NULL,2,enokim,"1-4mm, bulk",CKY,2014-01-02T16:42:06Z,0.2615,2.1791,0.047425911,1.333924467,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2205.500,NULL,2205.5,NULL,NULL,2205.5,NULL,NULL,C0002P;2210.500,NULL,2210.5,NULL,NULL,2210.5,C0002P-85SMW W,CKY000000000006452400,CARB,NULL,2,enokim,">4mm, bulk",CKY,2014-01-02T16:43:33Z,0.4859,4.049,0.048894742,1.297894486,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-5R-5, 2.0 cm",NULL,NULL,NULL,2205.57,2205.57,2205.57,2205.57,"C0002P-5R-5, 6.0 cm",NULL,NULL,NULL,2205.61,2205.61,2205.61,2205.61,"C0002P-5R-5 W, 2.0--6.0 cm",CKY000000000006247000,CARB,NULL,2,maedal,NULL,CKY,2013-12-27T03:23:08Z,0.1112,0.9266,0.023135503,0.302578478,0.263001103,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-1, 77.0 cm",NULL,NULL,NULL,2209.77,2209.77,2209.77,2209.77,"C0002P-6R-1, 83.0 cm",NULL,NULL,NULL,2209.83,2209.83,2209.83,2209.83,"C0002P-6R-1 W, 77.0--83.0 cm",CKY000000000006236300,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-26T07:08:50Z,0.2614,2.1782,0.070237194,0.913723097,0.352815374,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2210.500,NULL,2210.5,NULL,NULL,2210.5,NULL,NULL,C0002P;2215.500,NULL,2215.5,NULL,NULL,2215.5,C0002P-86SMW W,CKY000000000006282500,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-12-28T08:42:35Z,0.2855,2.3791,0.053245093,1.372849159,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2210.500,NULL,2210.5,NULL,NULL,2210.5,NULL,NULL,C0002P;2215.500,NULL,2215.5,NULL,NULL,2215.5,C0002P-86SMW W,CKY000000000006282900,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-12-28T08:42:35Z,0.2528,2.1066,0.052075471,1.068591267,NULL,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-2, 37.0 cm",NULL,NULL,NULL,2210.78,2210.78,2210.78,2210.78,"C0002P-6R-2, 39.0 cm",NULL,NULL,NULL,2210.8,2210.8,2210.8,2210.8,"C0002P-6R-2 WR, 37.0--39.0 cm",CKY000000000006226300,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-25T17:37:39Z,0.1262,1.0513,0.065822794,0.755148254,0.461596137,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-3, 37.0 cm",NULL,NULL,NULL,2212.185,2212.185,2212.185,2212.185,"C0002P-6R-3, 41.0 cm",NULL,NULL,NULL,2212.225,2212.225,2212.225,2212.225,"C0002P-6R-3 W, 37.0--41.0 cm",CKY000000000006237200,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-26T07:26:15Z,0.1424,1.187,0.066808642,0.775826669,0.639591458,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-4, 103.0 cm",NULL,NULL,NULL,2214.26,2214.26,2214.26,2214.26,"C0002P-6R-4, 108.0 cm",NULL,NULL,NULL,2214.31,2214.31,2214.31,2214.31,"C0002P-6R-4 W, 103.0--108.0 cm",CKY000000000006238100,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-26T07:50:31Z,0.192,1.6001,0.060626872,1.417863671,0.999993596,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-5, 94.0 cm",NULL,NULL,NULL,2215.58,2215.58,2215.58,2215.58,"C0002P-6R-5, 101.0 cm",NULL,NULL,NULL,2215.65,2215.65,2215.65,2215.65,"C0002P-6R-5 W, 94.0--101.0 cm",CKY000000000006239400,CARB,NULL,2,kitamura348,NULL,CKY,2013-12-26T09:55:03Z,0.1112,0.9262,0.063285859,0.586962588,0.351256837,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-6, 62.0 cm",NULL,NULL,NULL,2216.675,2216.675,2216.675,2216.675,"C0002P-6R-6, 64.0 cm",NULL,NULL,NULL,2216.695,2216.695,2216.695,2216.695,"C0002P-6R-6 W, 62.0--64.0 cm",CKY000000000006247500,CARB,NULL,2,arakaway,NULL,CKY,2013-12-27T03:25:45Z,0.0222,0.185,0.061463681,0.739926695,0.600925315,hoshinoh,2014-01-15T11:50:36Z
"C0002P-6R-6, 77.0 cm",NULL,NULL,NULL,2216.825,2216.825,2216.825,2216.825,"C0002P-6R-6, 84.0 cm",NULL,NULL,NULL,2216.895,2216.895,2216.895,2216.895,"C0002P-6R-6 W, 77.0--84.0 cm",CKY000000000006242000,CARB,NULL,2,yamamoto348,NULL,CKY,2013-12-26T10:43:30Z,0.1967,1.6388,0.072016109,0.829427848,0.358731538,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2217.500,NULL,2217.5,NULL,NULL,2217.5,NULL,NULL,C0002P;2217.500,NULL,2217.5,NULL,NULL,2217.5,C0002P-84LMW W,CKY000000000006478200,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:06:23Z,0.2203,1.8358,0.009090777,7.715815366,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2218.500,NULL,2218.5,NULL,NULL,2218.5,NULL,NULL,C0002P;2218.500,NULL,2218.5,NULL,NULL,2218.5,C0002P-103LMW W,CKY000000000006478300,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:06:57Z,0.2227,1.8558,0.00845385,7.715264297,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2220.500,NULL,2220.5,NULL,NULL,2220.5,NULL,NULL,C0002P;2225.500,NULL,2225.5,NULL,NULL,2225.5,C0002P-107SMW W,CKY000000000006311700,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-29T09:51:53Z,0.2383,1.9858,0.05448605,0.913166345,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2220.500,NULL,2220.5,NULL,NULL,2220.5,NULL,NULL,C0002P;2225.500,NULL,2225.5,NULL,NULL,2225.5,C0002P-107SMW W,CKY000000000006312100,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-29T09:51:53Z,0.2748,2.2899,0.052687361,0.752841068,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2230.500,NULL,2230.5,NULL,NULL,2230.5,NULL,NULL,C0002P;2235.500,NULL,2235.5,NULL,NULL,2235.5,C0002P-109SMW W,CKY000000000006312700,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-29T09:57:39Z,0.2884,2.4032,0.056911135,1.026494869,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2230.500,NULL,2230.5,NULL,NULL,2230.5,NULL,NULL,C0002P;2235.500,NULL,2235.5,NULL,NULL,2235.5,C0002P-109SMW W,CKY000000000006313100,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-29T09:57:39Z,0.3853,3.2107,0.050756557,0.948702469,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2240.500,NULL,2240.5,NULL,NULL,2240.5,NULL,NULL,C0002P;2245.500,NULL,2245.5,NULL,NULL,2245.5,C0002P-111SMW W,CKY000000000006318700,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-29T13:09:19Z,0.3131,2.6091,0.058275327,1.122654982,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2240.500,NULL,2240.5,NULL,NULL,2240.5,NULL,NULL,C0002P;2245.500,NULL,2245.5,NULL,NULL,2245.5,C0002P-111SMW W,CKY000000000006319200,CARB,NULL,2,komatsuw,">4mm, bulk",CKY,2013-12-29T13:12:50Z,0.2456,2.0466,0.057103764,0.864035392,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2250.500,NULL,2250.5,NULL,NULL,2250.5,NULL,NULL,C0002P;2255.500,NULL,2255.5,NULL,NULL,2255.5,C0002P-113SMW W,CKY000000000006319700,CARB,NULL,2,komatsuw,"1-4mm, bulk",CKY,2013-12-29T13:17:11Z,0.2785,2.3207,0.05481236,1.084876498,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2250.500,NULL,2250.5,NULL,NULL,2250.5,NULL,NULL,C0002P;2255.500,NULL,2255.5,NULL,NULL,2255.5,C0002P-113SMW W,CKY000000000006320200,CARB,NULL,2,komatsuw,">4mm, bulk",CKY,2013-12-29T13:18:32Z,0.2478,2.0649,0.054266036,0.87701479,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2260.500,NULL,2260.5,NULL,NULL,2260.5,NULL,NULL,C0002P;2265.500,NULL,2265.5,NULL,NULL,2265.5,C0002P-115SMW W,CKY000000000006326500,CARB,NULL,2,sawadar,"1-4mm, bulk",CKY,2013-12-29T18:59:01Z,0.3196,2.6632,0.054330701,1.161562042,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2260.500,NULL,2260.5,NULL,NULL,2260.5,NULL,NULL,C0002P;2265.500,NULL,2265.5,NULL,NULL,2265.5,C0002P-115SMW W,CKY000000000006326900,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-12-29T19:05:01Z,0.2393,1.9941,0.051482137,0.828462957,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2270.500,NULL,2270.5,NULL,NULL,2270.5,NULL,NULL,C0002P;2275.500,NULL,2275.5,NULL,NULL,2275.5,C0002P-117SMW W,CKY000000000006327300,CARB,NULL,2,sawadar,"1-4mm, bulk",CKY,2013-12-29T19:14:00Z,0.4039,3.3657,0.053496329,1.230722565,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2270.500,NULL,2270.5,NULL,NULL,2270.5,NULL,NULL,C0002P;2275.500,NULL,2275.5,NULL,NULL,2275.5,C0002P-117SMW W,CKY000000000006329100,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-12-29T19:58:04Z,0.1849,1.5408,0.054103245,0.758607925,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2280.500,NULL,2280.5,NULL,NULL,2280.5,NULL,NULL,C0002P;2285.500,NULL,2285.5,NULL,NULL,2285.5,C0002P-121SMW W,CKY000000000006328000,CARB,NULL,2,sawadar,"1-4mm, bulk",CKY,2013-12-29T19:21:41Z,0.3689,3.074,0.058676448,1.091671764,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2280.500,NULL,2280.5,NULL,NULL,2280.5,NULL,NULL,C0002P;2285.500,NULL,2285.5,NULL,NULL,2285.5,C0002P-121SMW W,CKY000000000006329500,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-12-29T20:11:34Z,0.2833,2.3607,0.057741262,0.998599595,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2290.500,NULL,2290.5,NULL,NULL,2290.5,NULL,NULL,C0002P;2295.500,NULL,2295.5,NULL,NULL,2295.5,C0002P-123SMW W,CKY000000000006328700,CARB,NULL,2,sawadar,"1-4mm, bulk",CKY,2013-12-29T19:35:20Z,0.2888,2.4066,0.058011676,1.042876164,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2290.500,NULL,2290.5,NULL,NULL,2290.5,NULL,NULL,C0002P;2295.500,NULL,2295.5,NULL,NULL,2295.5,C0002P-123SMW W,CKY000000000006329900,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-12-29T20:17:33Z,0.2749,2.2907,0.056844868,1.056669146,NULL,hoshinoh,2014-01-15T11:50:36Z
