Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,NULL,C0002P;2000.500,NULL,2000.5,NULL,NULL,2000.5,NULL,NULL,C0002P;2005.500,NULL,2005.5,NULL,NULL,2005.5,C0002P-20SMW W,CKY000000000006162300,CARB,NULL,2,komatsuw,"1-4mm, bulk",CKY,2013-12-19T03:16:27Z,0.521,4.3415,0.050953411,1.311910745,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2000.500,NULL,2000.5,NULL,NULL,2000.5,NULL,NULL,C0002P;2005.500,NULL,2005.5,NULL,NULL,2005.5,C0002P-20SMW W,CKY000000000006162700,CARB,NULL,2,komatsuw,">4mm, bulk",CKY,2013-12-19T03:17:54Z,0.5487,4.5723,0.050738501,1.229887707,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2010.500,NULL,2010.5,NULL,NULL,2010.5,NULL,NULL,C0002P;2015.500,NULL,2015.5,NULL,NULL,2015.5,C0002P-25SMW W,CKY000000000006165400,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:09:54Z,0.5007,4.1723,0.04139461,1.411981882,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2010.500,NULL,2010.5,NULL,NULL,2010.5,NULL,NULL,C0002P;2015.500,NULL,2015.5,NULL,NULL,2015.5,C0002P-25SMW W,CKY000000000006165500,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-19T17:09:54Z,0.488,4.0665,0.056643579,1.126397262,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2012.500,NULL,2012.5,NULL,NULL,2012.5,NULL,NULL,C0002P;2012.500,NULL,2012.5,NULL,NULL,2012.5,C0002P-22LMW W,CKY000000000006389900,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:44:01Z,0.2529,2.1074,0.008956153,7.436628407,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2020.500,NULL,2020.5,NULL,NULL,2020.5,NULL,NULL,C0002P;2025.500,NULL,2025.5,NULL,NULL,2025.5,C0002P-28SMW W,CKY000000000006166200,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:09:54Z,0.379,3.1582,0.053153495,1.051251659,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2020.500,NULL,2020.5,NULL,NULL,2020.5,NULL,NULL,C0002P;2025.500,NULL,2025.5,NULL,NULL,2025.5,C0002P-28SMW W,CKY000000000006166600,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-19T17:09:54Z,0.3488,2.9066,0.055711134,0.931078975,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2030.500,NULL,2030.5,NULL,NULL,2030.5,NULL,NULL,C0002P;2035.500,NULL,2035.5,NULL,NULL,2035.5,C0002P-30SMW W,CKY000000000006167000,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:14:21Z,0.2577,2.1474,0.060495339,0.893812494,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2030.500,NULL,2030.5,NULL,NULL,2030.5,NULL,NULL,C0002P;2035.500,NULL,2035.5,NULL,NULL,2035.5,C0002P-30SMW W,CKY000000000006167400,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-19T19:42:04Z,0.1888,1.5733,0.060651049,0.732206554,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2040.500,NULL,2040.5,NULL,NULL,2040.5,NULL,NULL,C0002P;2045.500,NULL,2045.5,NULL,NULL,2045.5,C0002P-32SMW W,CKY000000000006167800,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:18:23Z,0.1788,1.4899,0.062551248,0.79398756,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2050.500,NULL,2050.5,NULL,NULL,2050.5,NULL,NULL,C0002P;2055.500,NULL,2055.5,NULL,NULL,2055.5,C0002P-34SMW W,CKY000000000006168100,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:23:17Z,0.1962,1.6349,0.057788101,0.805401391,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2050.500,NULL,2050.5,NULL,NULL,2050.5,NULL,NULL,C0002P;2055.500,NULL,2055.5,NULL,NULL,2055.5,C0002P-34SMW W,CKY000000000006168500,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-19T17:23:18Z,0.1817,1.5141,0.05744137,0.746399229,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2060.500,NULL,2060.5,NULL,NULL,2060.5,NULL,NULL,C0002P;2065.500,NULL,2065.5,NULL,NULL,2065.5,C0002P-36SMW W,CKY000000000006168900,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-19T17:25:59Z,0.238,1.9833,0.058126052,0.76439816,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2060.500,NULL,2060.5,NULL,NULL,2060.5,NULL,NULL,C0002P;2065.500,NULL,2065.5,NULL,NULL,2065.5,C0002P-36SMW W,CKY000000000006169300,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-19T17:25:59Z,0.3287,2.7391,0.051948859,0.811717679,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2061.500,NULL,2061.5,NULL,NULL,2061.5,NULL,NULL,C0002P;2061.500,NULL,2061.5,NULL,NULL,2061.5,C0002P-37LMW W,CKY000000000006390000,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:45:02Z,0.2386,1.9883,0.006183112,7.85263841,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2067.500,NULL,2067.5,NULL,NULL,2067.5,NULL,NULL,C0002P;2067.500,NULL,2067.5,NULL,NULL,2067.5,C0002P-41LMW W,CKY000000000006390100,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:45:31Z,0.244,2.0333,0.006142534,8.185952041,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2070.500,NULL,2070.5,NULL,NULL,2070.5,NULL,NULL,C0002P;2075.500,NULL,2075.5,NULL,NULL,2075.5,C0002P-43SMW W,CKY000000000006184000,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-21T09:54:03Z,0.1365,1.1375,0.058890071,0.663171568,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2070.500,NULL,2070.5,NULL,NULL,2070.5,NULL,NULL,C0002P;2075.500,NULL,2075.5,NULL,NULL,2075.5,C0002P-43SMW W,CKY000000000006184400,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-21T09:54:03Z,0.1935,1.6124,0.058695297,0.63859292,NULL,hoshinoh,2014-01-15T11:50:36Z
