Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013F-1H-1, 11.0 cm",NULL,0.094,0.11,0.094,0.11,"C0013F-1H-1, 13.0 cm",NULL,0.111,0.13,0.111,0.13,"C0013F-1H-1 W, 11.0--13.0 cm",CKY000000000003462300,CARB,NULL,6,juan331,NULL,CKY,2010-09-24T09:30:03Z,NULL,NULL,NULL,NULL,0.12419,0.63479,37.89135,9/27/2010,hitomiy,2010-10-03T20:41:14Z
"C0013F-1H-1, 12.0 cm",NULL,0.102,0.12,0.102,0.12,"C0013F-1H-1, 12.0 cm",NULL,0.102,0.12,0.102,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0083,0.0692,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013F-1H-2, 30.0 cm",NULL,0.413,0.485,0.413,0.485,"C0013F-1H-2, 32.0 cm",NULL,0.43,0.505,0.43,0.505,"C0013F-1H-2 W, 30.0--32.0 cm",CKY000000000003462600,CARB,NULL,6,juan331,NULL,CKY,2010-09-24T09:36:53Z,NULL,NULL,NULL,NULL,0.01007,0.23628,43.26849,9/27/2010,hitomiy,2010-10-03T20:41:14Z
"C0013F-1H-2, 31.0 cm",NULL,0.422,0.495,0.422,0.495,"C0013F-1H-2, 31.0 cm",NULL,0.422,0.495,0.422,0.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0075,0.0625,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013F-1H-2, 57.0 cm",NULL,0.643,0.755,0.643,0.755,"C0013F-1H-2, 59.0 cm",NULL,0.66,0.775,0.66,0.775,"C0013F-1H-2 W, 57.0--59.0 cm",CKY000000000003472300,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-24T15:40:53Z,NULL,NULL,NULL,NULL,0.01096,0.20049,17.78704,9/27/2010,hitomiy,2010-10-03T20:41:15Z
"C0013F-1H-2, 58.0 cm",NULL,0.652,0.765,0.652,0.765,"C0013F-1H-2, 58.0 cm",NULL,0.652,0.765,0.652,0.765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0083,0.0692,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013F-1H-2, 92.0 cm",NULL,0.941,1.105,0.941,1.105,"C0013F-1H-2, 94.0 cm",NULL,0.958,1.125,0.958,1.125,"C0013F-1H-2 W, 92.0--94.0 cm",CKY000000000003472400,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-24T15:43:38Z,NULL,NULL,NULL,NULL,0.01641,0.28329,11.87668,9/27/2010,hitomiy,2010-10-03T20:41:15Z
"C0013F-1H-2, 93.0 cm",NULL,0.95,1.115,0.95,1.115,"C0013F-1H-2, 93.0 cm",NULL,0.95,1.115,0.95,1.115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0112,0.0933,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013F-1H-3, 28.5 cm",NULL,1.252,1.47,1.252,1.47,"C0013F-1H-3, 30.5 cm",NULL,1.269,1.49,1.269,1.49,"C0013F-1H-3 W, 28.5--30.5 cm",CKY000000000003472700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-24T15:45:35Z,NULL,NULL,NULL,NULL,0.0143,0.23267,10.26413,9/27/2010,hitomiy,2010-10-03T20:41:15Z
"C0013F-1H-3, 29.5 cm",NULL,1.261,1.48,1.261,1.48,"C0013F-1H-3, 29.5 cm",NULL,1.261,1.48,1.261,1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0043,0.0358,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013F-1H-4, 62.0 cm",NULL,2.389,2.805,2.389,2.805,"C0013F-1H-4, 64.0 cm",NULL,2.406,2.825,2.406,2.825,"C0013F-1H-4 W, 62.0--64.0 cm",CKY000000000003473000,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-24T15:47:53Z,NULL,NULL,NULL,NULL,0.01262,0.16417,10.67331,9/27/2010,hitomiy,2010-10-03T20:41:15Z
"C0013F-1H-4, 63.0 cm",NULL,2.398,2.815,2.398,2.815,"C0013F-1H-4, 63.0 cm",NULL,2.398,2.815,2.398,2.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0046,0.0383,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
