Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014E-1H-2, 40.0 cm",NULL,16.56,16.56,16.56,16.56,"C0014E-1H-2, 42.0 cm",NULL,16.58,16.58,16.58,16.58,"C0014E-1H-2 W, 40.0--42.0 cm",CKY000000000003143800,CARB,NULL,5,yuka331,NULL,CKY,2010-09-18T18:28:29Z,NULL,NULL,NULL,NULL,0.01257,0.04487,3.09346,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014E-1H-2, 41.0 cm",NULL,16.57,16.57,16.57,16.57,"C0014E-1H-2, 41.0 cm",NULL,16.57,16.57,16.57,16.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0007,0.0058,kawait,2010-10-03T16:37:51Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014E-1H-3, 134.0 cm",NULL,18.905,18.905,18.905,18.905,"C0014E-1H-3, 136.0 cm",NULL,18.925,18.925,18.925,18.925,"C0014E-1H-3 W, 134.0--136.0 cm",CKY000000000003144000,CARB,NULL,5,yuka331,NULL,CKY,2010-09-18T18:31:33Z,NULL,NULL,NULL,NULL,0.021,0.08406,3.39497,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014E-1H-3, 135.0 cm",NULL,18.915,18.915,18.915,18.915,"C0014E-1H-3, 135.0 cm",NULL,18.915,18.915,18.915,18.915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:51Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014E-1H-4, 125.0 cm",NULL,20.22,20.22,20.22,20.22,"C0014E-1H-4, 127.0 cm",NULL,20.24,20.24,20.24,20.24,"C0014E-1H-4 W, 125.0--127.0 cm",CKY000000000003144200,CARB,NULL,5,yuka331,NULL,CKY,2010-09-18T18:31:33Z,NULL,NULL,NULL,NULL,0.00903,0.02126,4.86144,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014E-1H-4, 126.0 cm",NULL,20.23,20.23,20.23,20.23,"C0014E-1H-4, 126.0 cm",NULL,20.23,20.23,20.23,20.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0001,0.0008,kawait,2010-10-03T16:37:51Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014E-1H-5, 80.0 cm",NULL,21.18,21.18,21.18,21.18,"C0014E-1H-5, 82.0 cm",NULL,21.2,21.2,21.2,21.2,"C0014E-1H-5 W, 80.0--82.0 cm",CKY000000000003144400,CARB,NULL,5,yuka331,NULL,CKY,2010-09-18T18:31:33Z,NULL,NULL,NULL,NULL,0.01637,0.03331,4.85445,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014E-1H-5, 81.0 cm",NULL,21.19,21.19,21.19,21.19,"C0014E-1H-5, 81.0 cm",NULL,21.19,21.19,21.19,21.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:51Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014E-1H-6, 30.0 cm",NULL,21.66,21.66,21.66,21.66,"C0014E-1H-6, 32.0 cm",NULL,21.68,21.68,21.68,21.68,"C0014E-1H-6 W, 30.0--32.0 cm",CKY000000000003144600,CARB,NULL,5,yuka331,NULL,CKY,2010-09-18T18:31:33Z,NULL,NULL,NULL,NULL,0.01548,0.06454,3.68178,9/26/2010,hitomiy,2010-10-03T20:41:08Z
"C0014E-1H-6, 31.0 cm",NULL,21.67,21.67,21.67,21.67,"C0014E-1H-6, 31.0 cm",NULL,21.67,21.67,21.67,21.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:51Z,NULL,NULL,NULL,NULL,NULL,NULL
