Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012E-1X-1, 24.0 cm",NULL,500.24,500.24,500.24,500.24,"C0012E-1X-1, 25.0 cm",NULL,500.25,500.25,500.25,500.25,"C0012E-1X-1 WR, 24.0--25.0 cm",CKY000000000004826600,CARB,NULL,5,mstrasser333,NULL,CKY,2011-01-01T07:11:54Z,NULL,NULL,NULL,NULL,0.02971,0.94436,0.02249,1/5/2011,kawait,2011-01-08T10:59:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-1X-1, 24.5 cm",NULL,500.245,500.245,500.245,500.245,"C0012E-1X-1, 24.5 cm",NULL,500.245,500.245,500.245,500.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.841969814,7.016134463,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,1,0.01,0,415,453,ohashia,2011-01-08T22:08:35Z
"C0012E-1X-3, 61.0 cm",NULL,503.07,503.07,503.07,503.07,"C0012E-1X-3, 63.0 cm",NULL,503.09,503.09,503.09,503.09,"C0012E-1X-3 WR, 61.0--63.0 cm",CKY000000000004729800,CARB,NULL,3,bora333,NULL,CKY,2010-12-30T08:30:32Z,NULL,NULL,NULL,NULL,0.02589,2.1232,0.00413,1/5/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-1X-3, 62.0 cm",NULL,503.08,503.08,503.08,503.08,"C0012E-1X-3, 62.0 cm",NULL,503.08,503.08,503.08,503.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.052031326,17.09957704,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-1, 113.5 cm",NULL,520.135,520.135,520.135,520.135,"C0012E-3X-1, 118.0 cm",NULL,520.18,520.18,520.18,520.18,"C0012E-3X-1 WR, 113.5--118.0 cm",CKY000000000004831900,CARB,NULL,5,mstrasser333,NULL,CKY,2011-01-01T09:49:51Z,NULL,NULL,NULL,NULL,0.02395,3.58945,0,1/5/2011,kawait,2011-01-08T10:59:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-1, 115.8 cm",NULL,520.158,520.158,520.158,520.158,"C0012E-3X-1, 115.8 cm",NULL,520.158,520.158,520.158,520.158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.562018885,29.68230337,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-2, 61.0 cm",NULL,521.02,521.02,521.02,521.02,"C0012E-3X-2, 63.0 cm",NULL,521.04,521.04,521.04,521.04,"C0012E-3X-2 WR, 61.0--63.0 cm",CKY000000000004752100,CARB,NULL,5,marion333,NULL,CKY,2010-12-30T19:01:26Z,NULL,NULL,NULL,NULL,0.02161,3.608,0,1/5/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-2, 62.0 cm",NULL,521.03,521.03,521.03,521.03,"C0012E-3X-2, 62.0 cm",NULL,521.03,521.03,521.03,521.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.578819809,29.82230547,kuriharar,2011-01-08T14:24:23Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-3, 36.0 cm",NULL,521.4,521.4,521.4,521.4,"C0012E-3X-3, 37.0 cm",NULL,521.41,521.41,521.41,521.41,"C0012E-3X-3 WR, 36.0--37.0 cm",CKY000000000004836200,CARB,NULL,5,mstrasser333,NULL,CKY,2011-01-01T11:32:18Z,NULL,NULL,NULL,NULL,0.01938,5.49232,0.00475,1/5/2011,kawait,2011-01-08T10:59:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012E-3X-3, 36.5 cm",NULL,521.405,521.405,521.405,521.405,"C0012E-3X-3, 36.5 cm",NULL,521.405,521.405,521.405,521.405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.407399422,45.05985938,kuriharar,2011-01-08T14:24:23Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
