Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0017B-1H-1, 103.0 cm",NULL,9.808,9.83,9.808,9.83,"C0017B-1H-1, 105.0 cm",NULL,9.828,9.85,9.828,9.85,"C0017B-1H-1 W, 103.0--105.0 cm",CKY000000000003542100,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:21:28Z,NULL,NULL,NULL,NULL,0.07593,3.01171,0.09857,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-1, 104.0 cm",NULL,9.818,9.84,9.818,9.84,"C0017B-1H-1, 104.0 cm",NULL,9.818,9.84,9.818,9.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3795,19.8284,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017B-1H-3, 80.0 cm",NULL,12.348,12.425,12.348,12.425,"C0017B-1H-3, 82.0 cm",NULL,12.368,12.445,12.368,12.445,"C0017B-1H-3 W, 80.0--82.0 cm",CKY000000000003542400,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:29:31Z,NULL,NULL,NULL,NULL,0.09145,2.39889,0.27322,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-3, 81.0 cm",NULL,12.358,12.435,12.358,12.435,"C0017B-1H-3, 81.0 cm",NULL,12.358,12.435,12.358,12.435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6121,13.4336,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017B-1H-4, 80.0 cm",NULL,13.729,13.835,13.729,13.835,"C0017B-1H-4, 82.0 cm",NULL,13.748,13.855,13.748,13.855,"C0017B-1H-4 W, 80.0--82.0 cm",CKY000000000003542500,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:31:32Z,NULL,NULL,NULL,NULL,0.0973,2.66239,0.14834,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-4, 81.0 cm",NULL,13.738,13.845,13.738,13.845,"C0017B-1H-4, 81.0 cm",NULL,13.738,13.845,13.738,13.845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.777,14.8077,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017B-1H-5, 80.0 cm",NULL,15.099,15.235,15.099,15.235,"C0017B-1H-5, 82.0 cm",NULL,15.119,15.255,15.119,15.255,"C0017B-1H-5 W, 80.0--82.0 cm",CKY000000000003542700,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:31:32Z,NULL,NULL,NULL,NULL,0.09269,2.80739,0.33217,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-5, 81.0 cm",NULL,15.109,15.245,15.109,15.245,"C0017B-1H-5, 81.0 cm",NULL,15.109,15.245,15.109,15.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0184,16.8193,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017B-1H-6, 57.0 cm",NULL,16.264,16.425,16.264,16.425,"C0017B-1H-6, 59.0 cm",NULL,16.284,16.445,16.284,16.445,"C0017B-1H-6 W, 57.0--59.0 cm",CKY000000000003543000,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:32:49Z,NULL,NULL,NULL,NULL,0.02036,1.27908,0.24437,10/2/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-6, 58.0 cm",NULL,16.274,16.435,16.274,16.435,"C0017B-1H-6, 58.0 cm",NULL,16.274,16.435,16.274,16.435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1136,9.2796,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017B-1H-7, 80.0 cm",NULL,17.869,18.065,17.869,18.065,"C0017B-1H-7, 82.0 cm",NULL,17.889,18.085,17.889,18.085,"C0017B-1H-7 W, 80.0--82.0 cm",CKY000000000003543100,CARB,NULL,6,juan331,NULL,CKY,2010-09-27T15:34:05Z,NULL,NULL,NULL,NULL,0.08649,2.42357,0.23556,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017B-1H-7, 81.0 cm",NULL,17.879,18.075,17.879,18.075,"C0017B-1H-7, 81.0 cm",NULL,17.879,18.075,17.879,18.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6863,14.0519,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
