Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0018A-34X-6, 24.0 cm",NULL,290.165,290.165,290.165,290.165,"C0018A-34X-6, 25.0 cm",NULL,290.175,290.175,290.175,290.175,"C0018A-34X-6 WR, 24.0--25.0 cm",CKY000000000003843700,CARB,NULL,3,yuehan333,NULL,CKY,2010-12-16T08:37:38Z,NULL,NULL,NULL,NULL,0.04781,0.678,0.14099,1/3/2011,kawait,2011-01-08T10:59:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-34X-6, 24.5 cm",NULL,290.17,290.17,290.17,290.17,"C0018A-34X-6, 24.5 cm",NULL,290.17,290.17,290.17,290.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2158,1.7983,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-34X-7, 83.0 cm",NULL,291.005,291.005,291.005,291.005,"C0018A-34X-7, 84.0 cm",NULL,291.015,291.015,291.015,291.015,"C0018A-34X-7 WR, 83.0--84.0 cm",CKY000000000003964800,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T11:04:23Z,NULL,NULL,NULL,NULL,0.07343,1.16085,0.11629,12/23/2010,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-34X-7, 83.5 cm",NULL,291.01,291.01,291.01,291.01,"C0018A-34X-7, 83.5 cm",NULL,291.01,291.01,291.01,291.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5012,4.1765,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-35X-4, 21.5 cm",NULL,298.228,298.51,298.228,298.51,"C0018A-35X-4, 22.5 cm",NULL,298.237,298.52,298.237,298.52,"C0018A-35X-4 WR, 21.5--22.5 cm",CKY000000000003854100,CARB,NULL,3,bora333,NULL,CKY,2010-12-16T12:10:20Z,NULL,NULL,NULL,NULL,0.08624,0.93362,0.41698,12/24/2010,kawait,2011-01-08T10:59:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-35X-4, 22.0 cm",NULL,298.233,298.515,298.233,298.515,"C0018A-35X-4, 22.0 cm",NULL,298.233,298.515,298.233,298.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3222,2.6849,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-2, 63.0 cm",NULL,305.55,305.55,305.55,305.55,"C0018A-36X-2, 64.0 cm",NULL,305.56,305.56,305.56,305.56,"C0018A-36X-2 WR, 63.0--64.0 cm",CKY000000000003965300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T11:29:55Z,NULL,NULL,NULL,NULL,0.07517,0.88587,0.16167,12/31/2010,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-2, 63.5 cm",NULL,305.555,305.555,305.555,305.555,"C0018A-36X-2, 63.5 cm",NULL,305.555,305.555,305.555,305.555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2844,2.3699,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.04,0.31,425,465,ohashia,2011-01-08T22:08:37Z
"C0018A-36X-3, 85.0 cm",NULL,306.62,306.62,306.62,306.62,"C0018A-36X-3, 86.0 cm",NULL,306.63,306.63,306.63,306.63,"C0018A-36X-3 WR, 85.0--86.0 cm",CKY000000000003965800,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T11:43:30Z,NULL,NULL,NULL,NULL,0.04324,0.60112,0.67927,1/3/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-3, 85.5 cm",NULL,306.625,306.625,306.625,306.625,"C0018A-36X-3, 85.5 cm",NULL,306.625,306.625,306.625,306.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.192,1.5999,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-4, 92.0 cm",NULL,307.765,307.765,307.765,307.765,"C0018A-36X-4, 93.0 cm",NULL,307.775,307.775,307.775,307.775,"C0018A-36X-4 WR, 92.0--93.0 cm",CKY000000000003966600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T11:55:50Z,NULL,NULL,NULL,NULL,0.08807,1.27259,0.08947,1/3/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-4, 92.5 cm",NULL,307.77,307.77,307.77,307.77,"C0018A-36X-4, 92.5 cm",NULL,307.77,307.77,307.77,307.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6196,5.1631,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-4, 110.0 cm",NULL,307.945,307.945,307.945,307.945,"C0018A-36X-4, 111.0 cm",NULL,307.955,307.955,307.955,307.955,"C0018A-36X-4 WR, 110.0--111.0 cm",CKY000000000003966500,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T11:55:50Z,NULL,NULL,NULL,NULL,0.07934,1.50631,0.05686,1/3/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-4, 110.5 cm",NULL,307.95,307.95,307.95,307.95,"C0018A-36X-4, 110.5 cm",NULL,307.95,307.95,307.95,307.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9211,7.6755,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-5, 24.0 cm",NULL,308.425,308.425,308.425,308.425,"C0018A-36X-5, 25.0 cm",NULL,308.435,308.435,308.435,308.435,"C0018A-36X-5 WR, 24.0--25.0 cm",CKY000000000003855600,CARB,NULL,3,bora333,NULL,CKY,2010-12-16T13:08:14Z,NULL,NULL,NULL,NULL,0.05355,0.81325,0.27965,1/3/2011,kawait,2011-01-08T10:59:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-5, 24.5 cm",NULL,308.43,308.43,308.43,308.43,"C0018A-36X-5, 24.5 cm",NULL,308.43,308.43,308.43,308.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2768,2.3066,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-8, 52.0 cm",NULL,311.285,311.285,311.285,311.285,"C0018A-36X-8, 53.0 cm",NULL,311.295,311.295,311.295,311.295,"C0018A-36X-8 WR, 52.0--53.0 cm",CKY000000000003969000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-18T12:32:50Z,NULL,NULL,NULL,NULL,0.05491,0.78065,0.11793,12/24/2010,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-36X-8, 52.5 cm",NULL,311.29,311.29,311.29,311.29,"C0018A-36X-8, 52.5 cm",NULL,311.29,311.29,311.29,311.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3298,2.7482,kuriharar,2011-01-08T14:24:30Z,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.2,426,466,ohashia,2011-01-08T22:08:37Z
