Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0017C-1H-1, 114.0 cm",NULL,19.397,19.44,19.397,19.44,"C0017C-1H-1, 116.0 cm",NULL,19.416,19.46,19.416,19.46,"C0017C-1H-1 W, 114.0--116.0 cm",CKY000000000003544200,CARB,NULL,5,steven331,NULL,CKY,2010-09-27T18:52:34Z,NULL,NULL,NULL,NULL,0.03268,1.56957,0.10151,10/2/2010,hitomiy,2010-10-03T20:41:16Z
"C0017C-1H-1, 115.0 cm",NULL,19.406,19.45,19.406,19.45,"C0017C-1H-1, 115.0 cm",NULL,19.406,19.45,19.406,19.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2882,10.7346,kawait,2010-10-03T17:14:24Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017C-1H-2, 118.0 cm",NULL,20.792,20.89,20.792,20.89,"C0017C-1H-2, 120.0 cm",NULL,20.811,20.91,20.811,20.91,"C0017C-1H-2 W, 118.0--120.0 cm",CKY000000000003544400,CARB,NULL,5,steven331,NULL,CKY,2010-09-27T18:53:55Z,NULL,NULL,NULL,NULL,0.06673,3.63406,0.07142,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017C-1H-2, 119.0 cm",NULL,20.801,20.9,20.801,20.9,"C0017C-1H-2, 119.0 cm",NULL,20.801,20.9,20.801,20.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.082,25.6823,kawait,2010-10-03T17:14:25Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017C-1H-3, 70.0 cm",NULL,21.682,21.815,21.682,21.815,"C0017C-1H-3, 72.0 cm",NULL,21.701,21.835,21.701,21.835,"C0017C-1H-3 W, 70.0--72.0 cm",CKY000000000003544600,CARB,NULL,5,steven331,NULL,CKY,2010-09-27T18:55:59Z,NULL,NULL,NULL,NULL,0.08061,2.34274,0.16645,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017C-1H-3, 71.0 cm",NULL,21.691,21.825,21.691,21.825,"C0017C-1H-3, 71.0 cm",NULL,21.691,21.825,21.691,21.825,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6691,13.9086,kawait,2010-10-03T17:14:25Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017C-1H-4, 64.0 cm",NULL,22.98,23.165,22.98,23.165,"C0017C-1H-4, 66.0 cm",NULL,23,23.185,23,23.185,"C0017C-1H-4 W, 64.0--66.0 cm",CKY000000000003544800,CARB,NULL,5,steven331,NULL,CKY,2010-09-27T18:57:38Z,NULL,NULL,NULL,NULL,0.01642,0.84006,0.12635,10/2/2010,hitomiy,2010-10-03T20:41:16Z
"C0017C-1H-4, 65.0 cm",NULL,22.99,23.175,22.99,23.175,"C0017C-1H-4, 65.0 cm",NULL,22.99,23.175,22.99,23.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.706,5.8831,kawait,2010-10-03T17:14:25Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0017C-1H-5, 60.0 cm",NULL,24.298,24.535,24.298,24.535,"C0017C-1H-5, 62.0 cm",NULL,24.318,24.555,24.318,24.555,"C0017C-1H-5 W, 60.0--62.0 cm",CKY000000000003545000,CARB,NULL,5,steven331,NULL,CKY,2010-09-27T18:58:57Z,NULL,NULL,NULL,NULL,0.07344,3.61073,0.11506,10/3/2010,hitomiy,2010-10-03T20:41:16Z
"C0017C-1H-5, 61.0 cm",NULL,24.308,24.545,24.308,24.545,"C0017C-1H-5, 61.0 cm",NULL,24.308,24.545,24.308,24.545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.9548,24.6223,kawait,2010-10-03T17:14:25Z,NULL,NULL,NULL,NULL,NULL,NULL
