Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011D-3H-5, 21.5 cm",NULL,45.008,45.275,45.008,45.275,"C0011D-3H-5, 23.5 cm",NULL,45.027,45.295,45.027,45.295,"C0011D-3H-5 WR, 21.5--23.5 cm",CKY000000000004011900,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T00:41:35Z,NULL,NULL,NULL,NULL,0.01022,0.11747,0.10056,12/24/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-3H-5, 22.5 cm",NULL,45.017,45.285,45.017,45.285,"C0011D-3H-5, 22.5 cm",NULL,45.017,45.285,45.017,45.285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0657,0.5475,kuriharar,2011-01-08T14:24:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-3H-8, 43.0 cm",NULL,48.136,48.57,48.136,48.57,"C0011D-3H-8, 44.0 cm",NULL,48.146,48.58,48.146,48.58,"C0011D-3H-8 WR, 43.0--44.0 cm",CKY000000000004078800,CARB,NULL,5,asukay333,NULL,CKY,2010-12-19T23:32:07Z,NULL,NULL,NULL,NULL,0.06411,2.47204,0.05868,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-3H-8, 43.5 cm",NULL,48.141,48.575,48.141,48.575,"C0011D-3H-8, 43.5 cm",NULL,48.141,48.575,48.141,48.575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.9506,16.2543,kuriharar,2011-01-08T14:24:13Z,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.02,0.29,398,438,ohashia,2011-01-08T22:08:33Z
"C0011D-4H-1, 59.0 cm",NULL,49.47,49.59,49.47,49.59,"C0011D-4H-1, 60.0 cm",NULL,49.478,49.6,49.478,49.6,"C0011D-4H-1 WR, 59.0--60.0 cm",CKY000000000004088400,CARB,NULL,5,yabukit,Changed depth from 60-61 to 59-60 cm,CKY,2010-12-20T05:14:44Z,NULL,NULL,NULL,NULL,0.0477,0.59423,0.10627,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-1, 59.5 cm",NULL,49.474,49.595,49.474,49.595,"C0011D-4H-1, 59.5 cm",NULL,49.474,49.595,49.474,49.595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3121,2.6007,kuriharar,2011-01-08T14:24:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-2, 121.0 cm",NULL,51.091,51.625,51.091,51.625,"C0011D-4H-2, 122.0 cm",NULL,51.099,51.635,51.099,51.635,"C0011D-4H-2 WR, 121.0--122.0 cm",CKY000000000004088700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T05:27:21Z,NULL,NULL,NULL,NULL,0.05002,1.64198,0.04184,1/3/2011,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-2, 121.5 cm",NULL,51.095,51.63,51.095,51.63,"C0011D-4H-2, 121.5 cm",NULL,51.095,51.63,51.095,51.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.3198,10.9979,kuriharar,2011-01-08T14:24:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-3, 46.0 cm",NULL,51.625,52.295,51.625,52.295,"C0011D-4H-3, 47.0 cm",NULL,51.633,52.305,51.633,52.305,"C0011D-4H-3 WR, 46.0--47.0 cm",CKY000000000004090700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T06:01:02Z,NULL,NULL,NULL,NULL,0.0482,0.33299,0.08201,1/3/2011,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-3, 46.5 cm",NULL,51.629,52.3,51.629,52.3,"C0011D-4H-3, 46.5 cm",NULL,51.629,52.3,51.629,52.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0402,0.335,kuriharar,2011-01-08T14:24:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-5, 20.5 cm",NULL,52.103,52.895,52.103,52.895,"C0011D-4H-5, 22.5 cm",NULL,52.119,52.915,52.119,52.915,"C0011D-4H-5 WR, 20.5--22.5 cm",CKY000000000004018400,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T02:52:31Z,NULL,NULL,NULL,NULL,0.04166,1.05024,0.05579,12/27/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-4H-5, 21.5 cm",NULL,52.111,52.905,52.111,52.905,"C0011D-4H-5, 21.5 cm",NULL,52.111,52.905,52.111,52.905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7948,6.6231,kuriharar,2011-01-08T14:24:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-3, 124.5 cm",NULL,59.38,59.56,59.38,59.56,"C0011D-5H-3, 125.5 cm",NULL,59.39,59.57,59.39,59.57,"C0011D-5H-3 WR, 124.5--125.5 cm",CKY000000000004097200,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T06:39:26Z,NULL,NULL,NULL,NULL,0.05381,0.57026,0.06476,1/5/2011,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-3, 125.0 cm",NULL,59.385,59.565,59.385,59.565,"C0011D-5H-3, 125.0 cm",NULL,59.385,59.565,59.385,59.565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2415,2.0124,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-5, 20.0 cm",NULL,60.886,61.135,60.886,61.135,"C0011D-5H-5, 22.0 cm",NULL,60.905,61.155,60.905,61.155,"C0011D-5H-5 WR, 20.0--22.0 cm",CKY000000000004024300,CARB,NULL,3,bora333,NULL,CKY,2010-12-19T05:22:00Z,NULL,NULL,NULL,NULL,0.05269,1.12323,0.0366,12/27/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-5, 21.0 cm",NULL,60.895,61.145,60.895,61.145,"C0011D-5H-5, 21.0 cm",NULL,60.895,61.145,60.895,61.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7721,6.4339,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-7, 119.5 cm",NULL,63.399,63.765,63.399,63.765,"C0011D-5H-7, 120.5 cm",NULL,63.409,63.775,63.409,63.775,"C0011D-5H-7 WR, 119.5--120.5 cm",CKY000000000004097500,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T06:46:08Z,NULL,NULL,NULL,NULL,0.0513,1.29737,0.0463,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-5H-7, 120.0 cm",NULL,63.404,63.77,63.404,63.77,"C0011D-5H-7, 120.0 cm",NULL,63.404,63.77,63.404,63.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9887,8.2388,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-3, 20.0 cm",NULL,67.869,68.02,67.869,68.02,"C0011D-6H-3, 21.0 cm",NULL,67.879,68.03,67.879,68.03,"C0011D-6H-3 WR, 20.0--21.0 cm",CKY000000000004110500,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T09:07:33Z,NULL,NULL,NULL,NULL,0.04504,1.93412,0.03168,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-3, 20.5 cm",NULL,67.874,68.025,67.874,68.025,"C0011D-6H-3, 20.5 cm",NULL,67.874,68.025,67.874,68.025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5715,13.0953,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-4, 21.5 cm",NULL,69.004,69.215,69.004,69.215,"C0011D-6H-4, 23.5 cm",NULL,69.023,69.235,69.023,69.235,"C0011D-6H-4 WR, 21.5--23.5 cm",CKY000000000004029500,CARB,NULL,3,yabukit,NULL,CKY,2010-12-19T07:23:01Z,NULL,NULL,NULL,NULL,0.04097,1.51638,0.07792,12/24/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-4, 22.5 cm",NULL,69.014,69.225,69.014,69.225,"C0011D-6H-4, 22.5 cm",NULL,69.014,69.225,69.014,69.225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.279595032,10.6628654,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-5, 124.0 cm",NULL,70.201,70.475,70.201,70.475,"C0011D-6H-5, 125.0 cm",NULL,70.211,70.485,70.211,70.485,"C0011D-6H-5 WR, 124.0--125.0 cm",CKY000000000004110800,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T09:10:33Z,NULL,NULL,NULL,NULL,0.05287,1.06527,0.03695,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-6H-5, 124.5 cm",NULL,70.206,70.48,70.206,70.48,"C0011D-6H-5, 124.5 cm",NULL,70.206,70.48,70.206,70.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7358,6.1314,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-7H-2, 125.0 cm",NULL,75.737,77.145,75.737,77.145,"C0011D-7H-2, 126.0 cm",NULL,75.742,77.155,75.742,77.155,"C0011D-7H-2 WR, 125.0--126.0 cm",CKY000000000004112600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T10:02:25Z,NULL,NULL,NULL,NULL,0.05591,0.78195,0.04228,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-7H-2, 125.5 cm",NULL,75.74,77.15,75.74,77.15,"C0011D-7H-2, 125.5 cm",NULL,75.74,77.15,75.74,77.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,3.3332,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,0.09,0.01,0.11,323,363,ohashia,2011-01-08T22:08:34Z
"C0011D-7H-4, 20.0 cm",NULL,76.565,78.915,76.565,78.915,"C0011D-7H-4, 22.0 cm",NULL,76.575,78.935,76.575,78.935,"C0011D-7H-4 WR, 20.0--22.0 cm",CKY000000000004043700,CARB,NULL,3,bora333,NULL,CKY,2010-12-19T10:10:24Z,NULL,NULL,NULL,NULL,0.04584,0.38146,0.02639,12/27/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-7H-4, 21.0 cm",NULL,76.57,78.925,76.57,78.925,"C0011D-7H-4, 21.0 cm",NULL,76.57,78.925,76.57,78.925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1221,1.0175,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-7H-5, 20.0 cm",NULL,76.668,79.135,76.668,79.135,"C0011D-7H-5, 21.0 cm",NULL,76.673,79.145,76.673,79.145,"C0011D-7H-5 WR, 20.0--21.0 cm",CKY000000000004113700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T10:21:29Z,NULL,NULL,NULL,NULL,0.04927,0.45687,0.0632,1/5/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-7H-5, 20.5 cm",NULL,76.671,79.14,76.671,79.14,"C0011D-7H-5, 20.5 cm",NULL,76.671,79.14,76.671,79.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1729,1.4408,kuriharar,2011-01-08T14:24:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-3, 20.0 cm",NULL,84.484,84.555,84.484,84.555,"C0011D-9H-3, 22.0 cm",NULL,84.503,84.575,84.503,84.575,"C0011D-9H-3 WR, 20.0--22.0 cm",CKY000000000004052800,CARB,NULL,3,yabukit,NULL,CKY,2010-12-19T14:51:53Z,NULL,NULL,NULL,NULL,0.05896,0.44646,0.21902,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-3, 21.0 cm",NULL,84.494,84.565,84.494,84.565,"C0011D-9H-3, 21.0 cm",NULL,84.494,84.565,84.494,84.565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.096,0.8,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-4, 34.0 cm",NULL,84.835,84.915,84.835,84.915,"C0011D-9H-4, 35.0 cm",NULL,84.845,84.925,84.845,84.925,"C0011D-9H-4 WR, 34.0--35.0 cm",CKY000000000004117500,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T11:54:50Z,NULL,NULL,NULL,NULL,0.05945,0.41497,0.96902,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-4, 34.5 cm",NULL,84.84,84.92,84.84,84.92,"C0011D-9H-4, 34.5 cm",NULL,84.84,84.92,84.84,84.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0458,0.3817,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-6, 33.0 cm",NULL,87.096,87.23,87.096,87.23,"C0011D-9H-6, 34.0 cm",NULL,87.106,87.24,87.106,87.24,"C0011D-9H-6 WR, 33.0--34.0 cm",CKY000000000004117600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T11:57:35Z,NULL,NULL,NULL,NULL,0.05241,0.56175,0.06831,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-9H-6, 33.5 cm",NULL,87.101,87.235,87.101,87.235,"C0011D-9H-6, 33.5 cm",NULL,87.101,87.235,87.101,87.235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2831,2.3591,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-1, 68.0 cm",NULL,91.146,91.18,91.146,91.18,"C0011D-10H-1, 69.0 cm",NULL,91.155,91.19,91.155,91.19,"C0011D-10H-1 WR, 68.0--69.0 cm",CKY000000000004118600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T12:00:49Z,NULL,NULL,NULL,NULL,0.04892,0.88565,0.27668,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-1, 68.5 cm",NULL,91.15,91.185,91.15,91.185,"C0011D-10H-1, 68.5 cm",NULL,91.15,91.185,91.15,91.185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6119,5.099,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-5, 21.0 cm",NULL,95.808,96.09,95.808,96.09,"C0011D-10H-5, 23.0 cm",NULL,95.827,96.11,95.827,96.11,"C0011D-10H-5 WR, 21.0--23.0 cm",CKY000000000004057300,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T17:57:49Z,NULL,NULL,NULL,NULL,0.05546,0.56148,0.21085,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-5, 22.0 cm",NULL,95.817,96.1,95.817,96.1,"C0011D-10H-5, 22.0 cm",NULL,95.817,96.1,95.817,96.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2117,1.7641,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-7, 8.0 cm",NULL,97.237,97.595,97.237,97.595,"C0011D-10H-7, 9.0 cm",NULL,97.246,97.605,97.246,97.605,"C0011D-10H-7 WR, 8.0--9.0 cm",CKY000000000004120100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T12:04:58Z,NULL,NULL,NULL,NULL,0.05854,0.52587,0.13696,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-7, 8.5 cm",NULL,97.242,97.6,97.242,97.6,"C0011D-10H-7, 8.5 cm",NULL,97.242,97.6,97.242,97.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1094,0.9116,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-7, 44.0 cm",NULL,97.579,97.955,97.579,97.955,"C0011D-10H-7, 45.0 cm",NULL,97.588,97.965,97.588,97.965,"C0011D-10H-7 WR, 44.0--45.0 cm",CKY000000000004120200,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-20T12:04:58Z,NULL,NULL,NULL,NULL,0.06559,0.58321,0.19439,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-10H-7, 44.5 cm",NULL,97.584,97.96,97.584,97.96,"C0011D-10H-7, 44.5 cm",NULL,97.584,97.96,97.584,97.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1376,1.1466,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-11H-3, 104.5 cm",NULL,103.776,103.885,103.776,103.885,"C0011D-11H-3, 105.5 cm",NULL,103.785,103.895,103.785,103.895,"C0011D-11H-3 WR, 104.5--105.5 cm",CKY000000000004143900,CARB,NULL,5,asukay333,NULL,CKY,2010-12-20T19:23:54Z,NULL,NULL,NULL,NULL,0.06556,0.48352,0.30315,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
