Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011D-1H-3, 15.0 cm",NULL,23.795,23.97,23.795,23.97,"C0011D-1H-3, 16.0 cm",NULL,23.804,23.98,23.804,23.98,"C0011D-1H-3 WR, 15.0--16.0 cm",CKY000000000004027400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-19T06:30:27Z,NULL,NULL,NULL,NULL,0.06098,2.21429,0.0612,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-1H-3, 15.5 cm",NULL,23.8,23.975,23.8,23.975,"C0011D-1H-3, 15.5 cm",NULL,23.8,23.975,23.8,23.975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7482,14.5678,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,0.15,0.03,0.14,397,437,ohashia,2011-01-08T22:08:32Z
"C0011D-1H-4, 20.0 cm",NULL,25.169,25.43,25.169,25.43,"C0011D-1H-4, 22.0 cm",NULL,25.188,25.45,25.188,25.45,"C0011D-1H-4 WR, 20.0--22.0 cm",CKY000000000003994700,CARB,NULL,5,marion333,NULL,CKY,2010-12-18T19:42:29Z,NULL,NULL,NULL,NULL,0.05367,0.72502,0.04458,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-1H-4, 21.0 cm",NULL,25.178,25.44,25.178,25.44,"C0011D-1H-4, 21.0 cm",NULL,25.178,25.44,25.178,25.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3453,2.8774,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-2, 121.0 cm",NULL,33.033,33.105,33.033,33.105,"C0011D-2H-2, 122.0 cm",NULL,33.043,33.115,33.043,33.115,"C0011D-2H-2 WR, 121.0--122.0 cm",CKY000000000004037400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-19T08:57:44Z,NULL,NULL,NULL,NULL,0.01537,0.18309,0.19888,1/2/2011,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-2, 121.5 cm",NULL,33.038,33.11,33.038,33.11,"C0011D-2H-2, 121.5 cm",NULL,33.038,33.11,33.038,33.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0827,0.6891,kuriharar,2011-01-08T14:24:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-5, 20.0 cm",NULL,35.989,36.145,35.989,36.145,"C0011D-2H-5, 22.0 cm",NULL,36.008,36.165,36.008,36.165,"C0011D-2H-5 WR, 20.0--22.0 cm",CKY000000000004004600,CARB,NULL,5,marion333,NULL,CKY,2010-12-18T23:08:34Z,NULL,NULL,NULL,NULL,0.053,0.80734,0.08556,12/24/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-5, 21.0 cm",NULL,35.999,36.155,35.999,36.155,"C0011D-2H-5, 21.0 cm",NULL,35.999,36.155,35.999,36.155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4979,4.149,kuriharar,2011-01-08T14:24:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-7, 20.0 cm",NULL,36.427,36.595,36.427,36.595,"C0011D-2H-7, 21.0 cm",NULL,36.436,36.605,36.436,36.605,"C0011D-2H-7 WR, 20.0--21.0 cm",CKY000000000004038600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-19T09:07:33Z,NULL,NULL,NULL,NULL,0.04798,1.82038,0.0583,1/3/2011,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-2H-7, 20.5 cm",NULL,36.431,36.6,36.431,36.6,"C0011D-2H-7, 20.5 cm",NULL,36.431,36.6,36.431,36.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.454,12.1162,kuriharar,2011-01-08T14:24:11Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-3H-3, 121.0 cm",NULL,43.831,44.035,43.831,44.035,"C0011D-3H-3, 122.0 cm",NULL,43.84,44.045,43.84,44.045,"C0011D-3H-3 WR, 121.0--122.0 cm",CKY000000000004077100,CARB,NULL,5,asukay333,NULL,CKY,2010-12-19T23:08:41Z,NULL,NULL,NULL,NULL,0.04886,1.36787,0.06725,1/2/2011,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-3H-3, 121.5 cm",NULL,43.835,44.04,43.835,44.04,"C0011D-3H-3, 121.5 cm",NULL,43.835,44.04,43.835,44.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0728,8.9396,kuriharar,2011-01-08T14:24:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
