Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Drilling depth below sea floor [m DSF],Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,C0002F;875.500,875.5,875.5,NULL,875.5,C0002F;880.500,880.5,880.5,880.5,C0002F-7SMW W,CKY000000000000991910,CARB,NULL,2,hatakedak,">4mm, bulk",CKY,2012-11-04T02:02:47Z,0.1503,1.2524,0.050966043,8.85409963,>4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;910.500,910.5,910.5,NULL,910.5,C0002F;915.500,915.5,915.5,915.5,C0002F-18SMW W,CKY000000000001146810,CARB,NULL,2,yabukit,">4mm, cement",CKY,2012-11-09T09:09:45Z,0.1445,1.2041,0.032243719,7.223059601,>4mm cement,kames,2012-12-15T16:35:41Z
NULL,C0002F;915.500,915.5,915.5,NULL,915.5,C0002F;920.500,920.5,920.5,920.5,C0002F-19SMW W,CKY000000000001065810,CARB,NULL,2,yabukit,">4mm, mudstone",CKY,2012-11-18T00:39:03Z,1.7739,14.7819,0.05458722,3.244255589,>4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;920.500,920.5,920.5,NULL,920.5,C0002F;925.500,925.5,925.5,925.5,C0002F-20SMW W,CKY000000000001029710,CARB,NULL,2,hatakedak,"1-4mm, bulk",CKY,2012-11-05T18:47:28Z,1.8914,15.761,0.053955378,3.259077136,1-4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;920.500,920.5,920.5,NULL,920.5,C0002F;925.500,925.5,925.5,925.5,C0002F-20SMW W,CKY000000000001036210,CARB,NULL,2,hatakedak,">4mm, bulk",CKY,2012-11-06T00:25:39Z,1.2955,10.7954,0.048947376,3.592888813,>4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;920.500,920.5,920.5,NULL,920.5,C0002F;925.500,925.5,925.5,925.5,C0002F-20SMW W,CKY000000000001043010,CARB,NULL,2,yabukit,"1-4mm, mudstone",CKY,2012-11-18T00:40:51Z,1.8796,15.6627,0.049430705,3.321395725,1-4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;925.500,925.5,925.5,NULL,925.5,C0002F;930.500,930.5,930.5,930.5,C0002F-21SMW W,CKY000000000001030110,CARB,NULL,2,ohashia,"1-4mm, bulk",CKY,2012-11-05T19:04:54Z,1.655,13.7911,0.054922906,3.599777555,1-4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;925.500,925.5,925.5,NULL,925.5,C0002F;930.500,930.5,930.5,930.5,C0002F-21SMW W,CKY000000000001037110,CARB,NULL,2,hatakedak,">4mm, bulk",CKY,2012-11-06T01:05:16Z,1.3909,11.5904,0.046103335,3.442624997,>4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;925.500,925.5,925.5,NULL,925.5,C0002F;930.500,930.5,930.5,930.5,C0002F-21SMW W,CKY000000000001043310,CARB,NULL,2,yabukit,"1-4mm, mudstone",CKY,2012-11-18T00:40:51Z,1.8583,15.4852,0.050416831,3.334220896,1-4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;930.500,930.5,930.5,NULL,930.5,C0002F;935.500,935.5,935.5,935.5,C0002F-22SMW W,CKY000000000001030510,CARB,NULL,2,ohashia,"1-4mm, bulk",CKY,2012-11-05T19:17:27Z,1.8309,15.2569,0.056408628,3.275458828,1-4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;930.500,930.5,930.5,NULL,930.5,C0002F;935.500,935.5,935.5,935.5,C0002F-22SMW W,CKY000000000001030910,CARB,NULL,2,ohashia,">4mm, bulk",CKY,2012-11-05T19:35:41Z,1.3093,10.9104,0.048294349,3.548748295,>4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;930.500,930.5,930.5,NULL,930.5,C0002F;935.500,935.5,935.5,935.5,C0002F-22SMW W,CKY000000000001043610,CARB,NULL,2,yabukit,"1-4mm, mudstone",CKY,2012-11-18T00:40:51Z,1.8368,15.3061,0.05173853,3.341072652,1-4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;935.500,935.5,935.5,NULL,935.5,C0002F;940.500,940.5,940.5,940.5,C0002F-24SMW W,CKY000000000001037510,CARB,NULL,2,hatakedak,">4mm, bulk",CKY,2012-11-06T01:15:52Z,0.8992,7.493,0.028740981,1.854765392,>4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;935.500,935.5,935.5,NULL,935.5,C0002F;940.500,940.5,940.5,940.5,C0002F-24SMW W,CKY000000000001046310,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2012-11-06T12:56:09Z,1.693,14.1078,0.056789055,2.975100862,1-4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;935.500,935.5,935.5,NULL,935.5,C0002F;940.500,940.5,940.5,940.5,C0002F-24SMW W,CKY000000000001065510,CARB,NULL,2,yabukit,">4mm, mudstone",CKY,2012-11-18T00:39:03Z,1.829,15.2411,0.049318111,3.286810845,>4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;935.500,935.5,935.5,NULL,935.5,C0002F;940.500,940.5,940.5,940.5,C0002F-24SMW W,CKY000000000001073110,CARB,NULL,2,yabukit,"1-4mm, mudstone",CKY,2012-11-18T00:40:51Z,1.8396,15.3294,0.05251588,3.198274866,1-4mm mudstone,kames,2012-12-15T16:35:41Z
NULL,C0002F;940.500,940.5,940.5,NULL,940.5,C0002F;945.500,945.5,945.5,945.5,C0002F-25SMW W,CKY000000000001024710,CARB,NULL,2,suzukit,"1-4mm, bulk",CKY,2012-11-05T10:21:18Z,1.6986,14.1544,0.055695335,3.117820753,1-4mm bulk,kames,2012-12-15T16:35:41Z
NULL,C0002F;940.500,940.5,940.5,NULL,940.5,C0002F;945.500,945.5,945.5,945.5,C0002F-25SMW W,CKY000000000001024810,CARB,NULL,2,suzukit,">4mm, bulk",CKY,2012-11-05T10:21:18Z,1.3655,11.3787,0.055769837,5.25317678,>4mm bulk,kames,2012-12-15T16:35:41Z
