Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0022B-1H-1, 120.0 cm",NULL,1.198,1.2,1.198,1.2,"C0022B-1H-1, 124.0 cm",NULL,1.238,1.24,1.238,1.24,"C0022B-1H-1 W, 120.0--124.0 cm",CKY000000000001584710,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-01T06:29:21Z,2.1877,18.2301,0.08897819,2.932555827,0.128530229,NULL,kames,2013-02-05T00:39:11Z
"C0022B-1H-5, 117.0 cm",NULL,5.532,5.54,5.532,5.54,"C0022B-1H-5, 120.0 cm",NULL,5.562,5.57,5.562,5.57,"C0022B-1H-5 WR, 117.0--120.0 cm",CKY000000000001566710,CARB,NULL,2,esteban338,NULL,CKY,2012-12-31T13:13:55Z,2.601,21.6741,0.061787947,3.084608692,0.19588913,NULL,kames,2013-02-05T00:39:11Z
"C0022B-1H-6, 20.0 cm",NULL,5.972,5.98,5.972,5.98,"C0022B-1H-6, 23.0 cm",NULL,6.001,6.01,6.001,6.01,"C0022B-1H-6 WR, 20.0--23.0 cm",CKY000000000001567610,CARB,NULL,2,esteban338,NULL,CKY,2012-12-31T13:22:48Z,1.5161,12.6337,0.075511108,2.116624289,0.315626869,NULL,kames,2013-02-05T00:39:11Z
"C0022B-2H-5, 9.0 cm",NULL,23.191,23.445,23.191,23.445,"C0022B-2H-5, 12.0 cm",NULL,23.219,23.475,23.219,23.475,"C0022B-2H-5 W, 9.0--12.0 cm",CKY000000000001585610,CARB,NULL,2,fabbri338,NULL,CKY,2013-01-01T06:39:27Z,1.168,9.7329,0.053537212,1.549801314,0.420071036,NULL,kames,2013-02-05T00:39:11Z
"C0022B-2H-9, 51.0 cm",NULL,28.588,29.215,28.588,29.215,"C0022B-2H-9, 53.0 cm",NULL,28.607,29.235,28.607,29.235,"C0022B-2H-9 WR, 51.0--53.0 cm",CKY000000000001569810,CARB,NULL,2,kitajima338,NULL,CKY,2012-12-31T17:33:51Z,2.2064,18.3859,0.063529605,2.687583133,0.111397337,NULL,kames,2013-02-05T00:39:11Z
"C0022B-3H-3, 0.0 cm",NULL,30.323,30.455,30.323,30.455,"C0022B-3H-3, 3.0 cm",NULL,30.35,30.485,30.35,30.485,"C0022B-3H-3 W, 0.0--3.0 cm",CKY000000000001594210,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-01T09:00:45Z,1.0842,9.0346,0.054706045,1.457699117,0.44354535,NULL,kames,2013-02-05T00:39:11Z
"C0022B-3H-7, 69.0 cm",NULL,35.909,36.6,35.909,36.6,"C0022B-3H-7, 71.0 cm",NULL,35.927,36.62,35.927,36.62,"C0022B-3H-7 WR, 69.0--71.0 cm",CKY000000000001578110,CARB,NULL,2,kitajima338,NULL,CKY,2013-01-01T01:24:59Z,1.3541,11.2837,0.032984822,0.929974852,0.379415535,NULL,kames,2013-02-05T00:39:11Z
"C0022B-3H-9, 54.0 cm",NULL,38.186,39.105,38.186,39.105,"C0022B-3H-9, 56.5 cm",NULL,38.209,39.13,38.209,39.13,"C0022B-3H-9 WR, 54.0--56.5 cm",CKY000000000001579110,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-01T01:58:13Z,0.8502,7.0847,0.061203219,1.288036759,0.360454938,NULL,kames,2013-02-05T00:39:11Z
"C0022B-3H-CC, 0.0 cm",NULL,38.209,39.13,38.209,39.13,"C0022B-3H-CC, 3.0 cm",NULL,38.236,39.16,38.236,39.16,"C0022B-3H-CC WR, 0.0--3.0 cm",CKY000000000001580310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-01T02:03:47Z,0.8757,7.2972,0.059348657,1.279852394,0.388340383,NULL,kames,2013-02-05T00:39:11Z
"C0022B-4H-3, 0.0 cm",NULL,39.65,39.715,39.65,39.715,"C0022B-4H-3, 3.0 cm",NULL,39.678,39.745,39.678,39.745,"C0022B-4H-3 W, 0.0--3.0 cm",CKY000000000001600610,CARB,NULL,2,skarbek338,NULL,CKY,2013-01-01T11:31:50Z,0.7572,6.3097,0.059712634,1.19781481,0.534885522,NULL,kames,2013-02-05T00:39:11Z
"C0022B-4H-7, 52.0 cm",NULL,45.081,45.455,45.081,45.455,"C0022B-4H-7, 54.0 cm",NULL,45.1,45.475,45.1,45.475,"C0022B-4H-7 WR, 52.0--54.0 cm",CKY000000000001584210,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-01T05:29:15Z,0.9808,8.173,0.061101147,1.373258402,0.727086443,NULL,kames,2013-02-05T00:39:11Z
"C0022B-5H-1, 34.0 cm",NULL,48.314,48.34,48.314,48.34,"C0022B-5H-1, 36.0 cm",NULL,48.332,48.36,48.332,48.36,"C0022B-5H-1 WR, 34.0--36.0 cm",CKY000000000001596110,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-01T10:14:18Z,2.0318,16.931,0.056249003,2.357015883,0.308409461,NULL,kames,2013-02-05T00:39:11Z
"C0022B-5H-1, 125.0 cm",NULL,49.154,49.25,49.154,49.25,"C0022B-5H-1, 128.0 cm",NULL,49.182,49.28,49.182,49.28,"C0022B-5H-1 W, 125.0--128.0 cm",CKY000000000001609710,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-01T20:51:07Z,2.4925,20.77,0.062824243,2.811404713,0.303759038,NULL,kames,2013-02-05T00:39:11Z
"C0022B-5H-5, 101.0 cm",NULL,52.81,53.21,52.81,53.21,"C0022B-5H-5, 103.0 cm",NULL,52.829,53.23,52.829,53.23,"C0022B-5H-5 WR, 101.0--103.0 cm",CKY000000000001595310,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-01T09:42:22Z,0.2792,2.3266,0.062922287,0.71020975,0.638992136,NULL,kames,2013-02-05T00:39:11Z
"C0022B-5H-9, 48.0 cm",NULL,57.145,57.905,57.145,57.905,"C0022B-5H-9, 51.5 cm",NULL,57.177,57.94,57.177,57.94,"C0022B-5H-9 WR, 48.0--51.5 cm",CKY000000000001599210,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-01T11:09:37Z,0.7905,6.5872,0.064126014,1.184533923,0.446897421,NULL,kames,2013-02-05T00:39:11Z
