Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0021B-8H-2, 15.0 cm",NULL,138.047,138.11,138.047,138.11,"C0021B-8H-2, 18.0 cm",NULL,138.076,138.14,138.076,138.14,"C0021B-8H-2 WR, 15.0--18.0 cm",CKY000000000001809810,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-07T19:10:07Z,1.8397,15.3302,0.071011152,2.330502993,0.140522117,kames,2013-02-05T00:38:39Z
"C0021B-9H-2, 15.0 cm",NULL,147.458,147.62,147.458,147.62,"C0021B-9H-2, 18.5 cm",NULL,147.488,147.655,147.488,147.655,"C0021B-9H-2 WR, 15.0--18.5 cm",CKY000000000001810810,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-07T20:23:34Z,1.1868,9.8896,0.072774078,1.69567806,0.303589029,kames,2013-02-05T00:38:39Z
"C0021B-9H-5, 61.0 cm",NULL,150.523,151.205,150.523,151.205,"C0021B-9H-5, 64.0 cm",NULL,150.549,151.235,150.549,151.235,"C0021B-9H-5 WR, 61.0--64.0 cm",CKY000000000001835310,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-10T11:08:08Z,1.2932,10.7762,0.087938203,1.793671274,1.020719414,kames,2013-02-05T00:38:39Z
"C0021B-9H-7, 68.0 cm",NULL,153.012,154.115,153.012,154.115,"C0021B-9H-7, 70.0 cm",NULL,153.029,154.135,153.029,154.135,"C0021B-9H-7 WR, 68.0--70.0 cm",CKY000000000001836210,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-10T11:26:35Z,1.9802,16.501,0.066899065,2.311873778,0.269522583,kames,2013-02-05T00:38:39Z
"C0021B-10H-8, 16.0 cm",NULL,161.619,162.215,161.619,162.215,"C0021B-10H-8, 19.0 cm",NULL,161.647,162.245,161.647,162.245,"C0021B-10H-8 WR, 16.0--19.0 cm",CKY000000000001816010,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-08T00:41:46Z,1.4984,12.4862,0.071881919,1.95209308,0.184337509,kames,2013-02-05T00:38:39Z
"C0021B-10H-9, 107.0 cm",NULL,162.72,163.415,162.72,163.415,"C0021B-10H-9, 110.0 cm",NULL,162.748,163.445,162.748,163.445,"C0021B-10H-9 WR, 107.0--110.0 cm",CKY000000000001837110,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-10T11:29:30Z,1.6062,13.3845,0.077226935,2.059473406,0.116186828,kames,2013-02-05T00:38:39Z
"C0021B-11H-5, 10.0 cm",NULL,166.995,169.435,166.995,169.435,"C0021B-11H-5, 13.0 cm",NULL,167.01,169.465,167.01,169.465,"C0021B-11H-5 WR, 10.0--13.0 cm",CKY000000000001838010,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-10T11:45:03Z,1.2802,10.6679,0.078931674,1.711917239,0.11497371,kames,2013-02-05T00:38:39Z
"C0021B-12H-2, 0.0 cm",NULL,169.99,169.99,169.99,169.99,"C0021B-12H-2, 3.0 cm",NULL,170.02,170.02,170.02,170.02,"C0021B-12H-2 WR, 0.0--3.0 cm",CKY000000000001824710,CARB,NULL,3,esteban338,NULL,CKY,2013-01-08T09:43:18Z,1.1594,9.6613,0.074496754,1.686354404,0.21265503,kames,2013-02-05T00:38:39Z
"C0021B-13T-3, 15.0 cm",NULL,177.53,177.53,177.53,177.53,"C0021B-13T-3, 19.0 cm",NULL,177.57,177.57,177.57,177.57,"C0021B-13T-3 WR, 15.0--19.0 cm",CKY000000000001825610,CARB,NULL,3,yasunagam,NULL,CKY,2013-01-08T21:57:24Z,0.6316,5.2631,0.072125609,1.153364017,0.150357448,kames,2013-02-05T00:38:39Z
"C0021B-14T-2, 15.0 cm",NULL,186.518,186.55,186.518,186.55,"C0021B-14T-2, 19.0 cm",NULL,186.557,186.59,186.557,186.59,"C0021B-14T-2 WR, 15.0--19.0 cm",CKY000000000001828510,CARB,NULL,3,esteban338,NULL,CKY,2013-01-08T13:56:38Z,0.4891,4.0757,0.066395749,1.00308872,0.094216942,kames,2013-02-05T00:38:39Z
