Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0001H-1R-3, 0.0 cm",NULL,232.425,232.425,232.425,232.425,"C0001H-1R-3, 1.0 cm",NULL,232.435,232.435,232.435,232.435,"C0001H-1R-3 WR, 0.0--1.0 cm",CKY000000000000360000,CARB,NULL,2,hirono315,NULL,CKY,2007-11-26T09:34:50Z,NULL,NULL,NULL,NULL,0.06437,0.55699,0.97359,12/2/2007,kuriharar,2008-02-25T07:48:11Z
"C0001H-1R-3, 0.5 cm",NULL,232.43,232.43,232.43,232.43,"C0001H-1R-3, 0.5 cm",NULL,232.43,232.43,232.43,232.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3675713,3.062971,miyabes,2007-12-11T10:53:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-1R-4, 95.0 cm",NULL,233.79,233.79,233.79,233.79,"C0001H-1R-4, 96.0 cm",NULL,233.8,233.8,233.8,233.8,"C0001H-1R-4 WR, 95.0--96.0 cm",CKY000000000000369700,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-26T18:07:48Z,NULL,NULL,NULL,NULL,0.08296,0.80557,0.95587,12/13/2007,kuriharar,2008-02-25T07:48:11Z
"C0001H-1R-4, 95.5 cm",NULL,233.795,233.795,233.795,233.795,"C0001H-1R-4, 95.5 cm",NULL,233.795,233.795,233.795,233.795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2939386,2.449391,miyabes,2007-12-11T10:53:27Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-2R-2, 128.0 cm",NULL,242.19,242.19,242.19,242.19,"C0001H-2R-2, 129.0 cm",NULL,242.2,242.2,242.2,242.2,"C0001H-2R-2 WR, 128.0--129.0 cm",CKY000000000000371200,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-26T20:01:28Z,NULL,NULL,NULL,NULL,0.08232,0.5371,0.94315,12/13/2007,kuriharar,2008-02-25T07:48:11Z
"C0001H-2R-2, 128.5 cm",NULL,242.195,242.195,242.195,242.195,"C0001H-2R-2, 128.5 cm",NULL,242.195,242.195,242.195,242.195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.09849727,0.8207778,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-2R-3, 105.0 cm",NULL,243.37,243.37,243.37,243.37,"C0001H-2R-3, 106.0 cm",NULL,243.38,243.38,243.38,243.38,"C0001H-2R-3 WR, 105.0--106.0 cm",CKY000000000000371700,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-26T20:49:23Z,NULL,NULL,NULL,NULL,0.07934,0.23871,0.98833,12/2/2007,kuriharar,2008-02-25T07:48:12Z
"C0001H-2R-3, 105.5 cm",NULL,243.375,243.375,243.375,243.375,"C0001H-2R-3, 105.5 cm",NULL,243.375,243.375,243.375,243.375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05885333,0.4904248,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-3R-2, 107.0 cm",NULL,251.475,251.475,251.475,251.475,"C0001H-3R-2, 108.0 cm",NULL,251.485,251.485,251.485,251.485,"C0001H-3R-2 WR, 107.0--108.0 cm",CKY000000000000372600,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-26T23:05:37Z,NULL,NULL,NULL,NULL,0.08746,0.81121,0.5227,12/13/2007,kuriharar,2008-02-25T07:48:12Z
"C0001H-3R-2, 107.5 cm",NULL,251.48,251.48,251.48,251.48,"C0001H-3R-2, 107.5 cm",NULL,251.48,251.48,251.48,251.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3793301,3.160958,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-3R-4, 0.0 cm",NULL,252.815,252.815,252.815,252.815,"C0001H-3R-4, 1.0 cm",NULL,252.825,252.825,252.825,252.825,"C0001H-3R-4 WR, 0.0--1.0 cm",CKY000000000000360900,CARB,NULL,2,hirono315,NULL,CKY,2007-11-26T12:03:55Z,NULL,NULL,NULL,NULL,0.08698,0.9949,0.79354,12/2/2007,kuriharar,2008-02-25T07:48:13Z
"C0001H-3R-4, 0.5 cm",NULL,252.82,252.82,252.82,252.82,"C0001H-3R-4, 0.5 cm",NULL,252.82,252.82,252.82,252.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7057301,5.880849,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-4R-4, 0.0 cm",NULL,262.33,262.33,262.33,262.33,"C0001H-4R-4, 1.0 cm",NULL,262.34,262.34,262.34,262.34,"C0001H-4R-4 WR, 0.0--1.0 cm",CKY000000000000361600,CARB,NULL,2,hirono315,NULL,CKY,2007-11-26T14:18:12Z,NULL,NULL,NULL,NULL,0.08335,0.42301,0.43751,12/2/2007,kuriharar,2008-02-25T07:48:13Z
"C0001H-4R-4, 0.5 cm",NULL,262.335,262.335,262.335,262.335,"C0001H-4R-4, 0.5 cm",NULL,262.335,262.335,262.335,262.335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2190789,1.825585,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-4R-6, 61.0 cm",NULL,264.785,264.785,264.785,264.785,"C0001H-4R-6, 62.0 cm",NULL,264.795,264.795,264.795,264.795,"C0001H-4R-6 WR, 61.0--62.0 cm",CKY000000000000373300,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-27T01:22:35Z,NULL,NULL,NULL,NULL,0.07415,0.52193,0.30486,12/13/2007,kuriharar,2008-02-25T07:48:14Z
"C0001H-4R-6, 61.5 cm",NULL,264.79,264.79,264.79,264.79,"C0001H-4R-6, 61.5 cm",NULL,264.79,264.79,264.79,264.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.176761,1.472949,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-5R-2, 75.0 cm",NULL,270.17,270.17,270.17,270.17,"C0001H-5R-2, 76.0 cm",NULL,270.18,270.18,270.18,270.18,"C0001H-5R-2 WR, 75.0--76.0 cm",CKY000000000000374800,CARB,NULL,2,wzhu315,NULL,CKY,2007-11-27T02:45:34Z,NULL,NULL,NULL,NULL,0.08463,0.86088,0.22706,12/13/2007,kuriharar,2008-02-25T07:48:14Z
"C0001H-5R-2, 75.5 cm",NULL,270.175,270.175,270.175,270.175,"C0001H-5R-2, 75.5 cm",NULL,270.175,270.175,270.175,270.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5210611,4.342002,miyabes,2007-12-11T10:53:29Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0001H-5R-3, 0.0 cm",NULL,270.42,270.42,270.42,270.42,"C0001H-5R-3, 2.0 cm",NULL,270.44,270.44,270.44,270.44,"C0001H-5R-3 WR, 0.0--2.0 cm",CKY000000000000362200,CARB,NULL,2,underwoodm315,NULL,CKY,2007-11-26T15:37:42Z,NULL,NULL,NULL,NULL,0.07523,0.39827,0.77901,12/2/2007,kuriharar,2008-02-25T07:48:14Z
"C0001H-5R-3, 1.0 cm",NULL,270.43,270.43,270.43,270.43,"C0001H-5R-3, 1.0 cm",NULL,270.43,270.43,270.43,270.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2857934,2.381516,miyabes,2007-12-11T10:53:30Z,NULL,NULL,NULL,NULL,NULL,NULL
