Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002H-1R-1, 29.0 cm",NULL,1100.79,1100.79,1100.79,1100.79,"C0002H-1R-1, 31.0 cm",NULL,1100.81,1100.81,1100.81,1100.81,"C0002H-1R-1 W, 29.0--31.0 cm",CKY000000000001273710,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-11T01:51:36Z,0.4693,3.9107,0.068424843,1.021446609,0.719452713,hoshinoh,2012-12-15T12:52:09Z
"C0002H-1R-1, 129.0 cm",NULL,1101.79,1101.79,1101.79,1101.79,"C0002H-1R-1, 131.0 cm",NULL,1101.81,1101.81,1101.81,1101.81,"C0002H-1R-1 W, 129.0--131.0 cm",CKY000000000001273810,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-11T01:57:02Z,0.2339,1.9491,0.034905228,0.49201424,0.772206576,hoshinoh,2012-12-15T12:52:09Z
"C0002H-2R-1, 15.0 cm",NULL,1110.65,1110.65,1110.65,1110.65,"C0002H-2R-1, 17.0 cm",NULL,1110.67,1110.67,1110.67,1110.67,"C0002H-2R-1 W, 15.0--17.0 cm",CKY000000000001273310,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-11T01:35:23Z,0.9306,7.7547,0.048434114,1.274630002,0.326785297,hoshinoh,2012-12-15T12:52:09Z
"C0002H-2R-3, 2.0 cm",NULL,1111.195,1111.195,1111.195,1111.195,"C0002H-2R-3, 5.0 cm",NULL,1111.225,1111.225,1111.225,1111.225,"C0002H-2R-3 W, 2.0--5.0 cm",CKY000000000001275110,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-11T02:21:19Z,0.0324,0.27,0.013001536,0.120024611,0.203695995,hoshinoh,2012-12-15T12:52:09Z
"C0002H-2R-3, 62.0 cm",NULL,1111.795,1111.795,1111.795,1111.795,"C0002H-2R-3, 65.0 cm",NULL,1111.825,1111.825,1111.825,1111.825,"C0002H-2R-3 W, 62.0--65.0 cm",CKY000000000001275410,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-11T06:31:01Z,0.7578,6.3147,0.07045097,1.403379464,0.760431869,hoshinoh,2012-12-15T12:52:09Z
