Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014G-2H-5, 45.0 cm",NULL,15.036,15.245,15.036,15.245,"C0014G-2H-5, 47.0 cm",NULL,15.055,15.265,15.055,15.265,"C0014G-2H-5 W, 45.0--47.0 cm",CKY000000000003287900,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T09:37:45Z,NULL,NULL,NULL,NULL,0.02191,0.08705,4.19309,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-5, 46.0 cm",NULL,15.046,15.255,15.046,15.255,"C0014G-2H-5, 46.0 cm",NULL,15.046,15.255,15.046,15.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0034,0.0283,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-6, 26.0 cm",NULL,16.224,16.475,16.224,16.475,"C0014G-2H-6, 28.0 cm",NULL,16.243,16.495,16.243,16.495,"C0014G-2H-6 W, 26.0--28.0 cm",CKY000000000003288700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T10:03:33Z,NULL,NULL,NULL,NULL,0.01798,0.15165,3.05025,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-6, 27.0 cm",NULL,16.233,16.485,16.233,16.485,"C0014G-2H-6, 27.0 cm",NULL,16.233,16.485,16.233,16.485,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0005,0.0042,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-7, 80.0 cm",NULL,18.14,18.46,18.14,18.46,"C0014G-2H-7, 82.0 cm",NULL,18.159,18.48,18.159,18.48,"C0014G-2H-7 W, 80.0--82.0 cm",CKY000000000003288500,CARB,NULL,3,hilairy331,NULL,CKY,2010-09-21T09:42:26Z,NULL,NULL,NULL,NULL,0.57564,0.41127,3.47215,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-7, 81.0 cm",NULL,18.15,18.47,18.15,18.47,"C0014G-2H-7, 81.0 cm",NULL,18.15,18.47,18.15,18.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002,0.0167,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-1, 8.0 cm",NULL,18.774,18.78,18.774,18.78,"C0014G-3H-1, 10.0 cm",NULL,18.792,18.8,18.792,18.8,"C0014G-3H-1 W, 8.0--10.0 cm",CKY000000000003295600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:14:04Z,NULL,NULL,NULL,NULL,0.00747,0.51893,3.82964,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-3H-1, 9.0 cm",NULL,18.783,18.79,18.783,18.79,"C0014G-3H-1, 9.0 cm",NULL,18.783,18.79,18.783,18.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2325,1.9374,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-2, 26.0 cm",NULL,19.53,19.6,19.53,19.6,"C0014G-3H-2, 28.0 cm",NULL,19.548,19.62,19.548,19.62,"C0014G-3H-2 W, 26.0--28.0 cm",CKY000000000003295800,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:23:49Z,NULL,NULL,NULL,NULL,0.00767,0.07679,6.4344,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-3H-2, 27.0 cm",NULL,19.539,19.61,19.539,19.61,"C0014G-3H-2, 27.0 cm",NULL,19.539,19.61,19.539,19.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0049,0.0408,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-3, 30.0 cm",NULL,20.866,21.05,20.866,21.05,"C0014G-3H-3, 32.0 cm",NULL,20.885,21.07,20.885,21.07,"C0014G-3H-3 W, 30.0--32.0 cm",CKY000000000003296200,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:28:35Z,NULL,NULL,NULL,NULL,0.03451,0.07294,3.69607,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-3H-3, 31.0 cm",NULL,20.876,21.06,20.876,21.06,"C0014G-3H-3, 31.0 cm",NULL,20.876,21.06,20.876,21.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.003,0.025,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-4, 28.5 cm",NULL,21.24,21.455,21.24,21.455,"C0014G-3H-4, 30.5 cm",NULL,21.258,21.475,21.258,21.475,"C0014G-3H-4 W, 28.5--30.5 cm",CKY000000000003296700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:34:27Z,NULL,NULL,NULL,NULL,0.00605,0.02592,5.77687,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-4, 29.5 cm",NULL,21.249,21.465,21.249,21.465,"C0014G-3H-4, 29.5 cm",NULL,21.249,21.465,21.249,21.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0034,0.0283,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-4, 96.0 cm",NULL,21.862,22.13,21.862,22.13,"C0014G-3H-4, 98.0 cm",NULL,21.881,22.15,21.881,22.15,"C0014G-3H-4 W, 96.0--98.0 cm",CKY000000000003296600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:32:09Z,NULL,NULL,NULL,NULL,0.03486,0.08013,2.97884,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-4, 97.0 cm",NULL,21.871,22.14,21.871,22.14,"C0014G-3H-4, 97.0 cm",NULL,21.871,22.14,21.871,22.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.003,0.025,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-5, 27.0 cm",NULL,22.526,22.85,22.526,22.85,"C0014G-3H-5, 29.0 cm",NULL,22.544,22.87,22.544,22.87,"C0014G-3H-5 W, 27.0--29.0 cm",CKY000000000003296900,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:36:18Z,NULL,NULL,NULL,NULL,0.02979,0.05367,4.33668,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-5, 28.0 cm",NULL,22.535,22.86,22.535,22.86,"C0014G-3H-5, 28.0 cm",NULL,22.535,22.86,22.535,22.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0029,0.0242,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-5, 83.0 cm",NULL,23.042,23.41,23.042,23.41,"C0014G-3H-5, 85.0 cm",NULL,23.061,23.43,23.061,23.43,"C0014G-3H-5 W, 83.0--85.0 cm",CKY000000000003297200,CARB,NULL,6,takuroh331,NULL,CKY,2010-09-21T14:38:56Z,NULL,NULL,NULL,NULL,0.00639,0.02373,5.44315,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-5, 84.0 cm",NULL,23.051,23.42,23.051,23.42,"C0014G-3H-5, 84.0 cm",NULL,23.051,23.42,23.051,23.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0027,0.0225,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-7, 50.0 cm",NULL,24.48,24.97,24.48,24.97,"C0014G-3H-7, 52.0 cm",NULL,24.499,24.99,24.499,24.99,"C0014G-3H-7 W, 50.0--52.0 cm",CKY000000000003297300,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:45:05Z,NULL,NULL,NULL,NULL,0,4.1042,1.99409,9/30/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-7, 51.0 cm",NULL,24.489,24.98,24.489,24.98,"C0014G-3H-7, 51.0 cm",NULL,24.489,24.98,24.489,24.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9717,33.0962,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-8, 116.0 cm",NULL,25.757,26.355,25.757,26.355,"C0014G-3H-8, 118.0 cm",NULL,25.776,26.375,25.776,26.375,"C0014G-3H-8 W, 116.0--118.0 cm",CKY000000000003297600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T14:48:33Z,NULL,NULL,NULL,NULL,0.01527,0.12308,2.90515,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-8, 117.0 cm",NULL,25.766,26.365,25.766,26.365,"C0014G-3H-8, 117.0 cm",NULL,25.766,26.365,25.766,26.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0104,0.0867,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-9, 85.0 cm",NULL,26.817,27.505,26.817,27.505,"C0014G-3H-9, 87.0 cm",NULL,26.836,27.525,26.836,27.525,"C0014G-3H-9 W, 85.0--87.0 cm",CKY000000000003299400,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T17:01:44Z,NULL,NULL,NULL,NULL,0,0.19688,7.64975,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-9, 86.0 cm",NULL,26.826,27.515,26.826,27.515,"C0014G-3H-9, 86.0 cm",NULL,26.826,27.515,26.826,27.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0124,0.1033,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-10, 40.0 cm",NULL,27.333,28.065,27.333,28.065,"C0014G-3H-10, 42.0 cm",NULL,27.352,28.085,27.352,28.085,"C0014G-3H-10 W, 40.0--42.0 cm",CKY000000000003299600,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T17:03:34Z,NULL,NULL,NULL,NULL,0.01595,0.28492,3.24143,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-10, 41.0 cm",NULL,27.343,28.075,27.343,28.075,"C0014G-3H-10, 41.0 cm",NULL,27.343,28.075,27.343,28.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0399,0.3325,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-3H-CC, 70.0 cm",NULL,28.112,28.91,28.112,28.91,"C0014G-3H-CC, 72.0 cm",NULL,28.131,28.93,28.131,28.93,"C0014G-3H-CC W, 70.0--72.0 cm",CKY000000000003299900,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T17:05:27Z,NULL,NULL,NULL,NULL,0.01433,2.38784,2.83558,9/30/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-3H-CC, 71.0 cm",NULL,28.122,28.92,28.122,28.92,"C0014G-3H-CC, 71.0 cm",NULL,28.122,28.92,28.122,28.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1147,17.6218,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-1, 47.0 cm",NULL,28.67,28.67,28.67,28.67,"C0014G-4H-1, 49.0 cm",NULL,28.69,28.69,28.69,28.69,"C0014G-4H-1 W, 47.0--49.0 cm",CKY000000000003322100,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:04:35Z,NULL,NULL,NULL,NULL,0,1.24242,4.83802,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-1, 48.0 cm",NULL,28.68,28.68,28.68,28.68,"C0014G-4H-1, 48.0 cm",NULL,28.68,28.68,28.68,28.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9817,8.1805,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-5, 80.0 cm",NULL,31.21,31.21,31.21,31.21,"C0014G-4H-5, 82.0 cm",NULL,31.23,31.23,31.23,31.23,"C0014G-4H-5 W, 80.0--82.0 cm",CKY000000000003322300,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:06:07Z,NULL,NULL,NULL,NULL,0,0.02398,5.26048,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-5, 81.0 cm",NULL,31.22,31.22,31.22,31.22,"C0014G-4H-5, 81.0 cm",NULL,31.22,31.22,31.22,31.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0056,0.0467,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-6, 80.0 cm",NULL,32.215,32.215,32.215,32.215,"C0014G-4H-6, 82.0 cm",NULL,32.235,32.235,32.235,32.235,"C0014G-4H-6 W, 80.0--82.0 cm",CKY000000000003322500,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:07:45Z,NULL,NULL,NULL,NULL,0.0051,0.12736,8.43348,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-6, 81.0 cm",NULL,32.225,32.225,32.225,32.225,"C0014G-4H-6, 81.0 cm",NULL,32.225,32.225,32.225,32.225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0415,0.3458,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-7, 70.0 cm",NULL,33.125,33.125,33.125,33.125,"C0014G-4H-7, 72.0 cm",NULL,33.145,33.145,33.145,33.145,"C0014G-4H-7 W, 70.0--72.0 cm",CKY000000000003322700,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:09:11Z,NULL,NULL,NULL,NULL,0,0.01434,1.92089,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-7, 71.0 cm",NULL,33.135,33.135,33.135,33.135,"C0014G-4H-7, 71.0 cm",NULL,33.135,33.135,33.135,33.135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0051,0.0425,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-8, 91.0 cm",NULL,34.34,34.34,34.34,34.34,"C0014G-4H-8, 93.0 cm",NULL,34.36,34.36,34.36,34.36,"C0014G-4H-8 W, 91.0--93.0 cm",CKY000000000003322900,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:11:06Z,NULL,NULL,NULL,NULL,0,0.01267,1.27885,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-8, 92.0 cm",NULL,34.35,34.35,34.35,34.35,"C0014G-4H-8, 92.0 cm",NULL,34.35,34.35,34.35,34.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0021,0.0175,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-10, 60.0 cm",NULL,36.05,36.05,36.05,36.05,"C0014G-4H-10, 62.0 cm",NULL,36.07,36.07,36.07,36.07,"C0014G-4H-10 W, 60.0--62.0 cm",CKY000000000003323100,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:12:14Z,NULL,NULL,NULL,NULL,0,0.01526,6.60395,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-10, 61.0 cm",NULL,36.06,36.06,36.06,36.06,"C0014G-4H-10, 61.0 cm",NULL,36.06,36.06,36.06,36.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0057,0.0475,kawait,2010-10-03T16:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-4H-CC, 14.0 cm",NULL,37.595,37.595,37.595,37.595,"C0014G-4H-CC, 16.0 cm",NULL,37.615,37.615,37.615,37.615,"C0014G-4H-CC W, 14.0--16.0 cm",CKY000000000003323300,CARB,NULL,5,steven331,NULL,CKY,2010-09-21T23:13:23Z,NULL,NULL,NULL,NULL,0.0088,0.05975,2.74169,9/27/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-4H-CC, 15.0 cm",NULL,37.605,37.605,37.605,37.605,"C0014G-4H-CC, 15.0 cm",NULL,37.605,37.605,37.605,37.605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0407,0.3392,kawait,2010-10-03T16:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-5H-3, 45.0 cm",NULL,38.485,38.485,38.485,38.485,"C0014G-5H-3, 47.0 cm",NULL,38.505,38.505,38.505,38.505,"C0014G-5H-3 W, 45.0--47.0 cm",CKY000000000003325500,CARB,NULL,5,steven331,NULL,CKY,2010-09-22T00:01:55Z,NULL,NULL,NULL,NULL,0,0.01583,7.93836,9/28/2010,hitomiy,2010-10-03T20:41:11Z
"C0014G-5H-3, 46.0 cm",NULL,38.495,38.495,38.495,38.495,"C0014G-5H-3, 46.0 cm",NULL,38.495,38.495,38.495,38.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-5H-4, 30.0 cm",NULL,38.895,38.895,38.895,38.895,"C0014G-5H-4, 32.0 cm",NULL,38.915,38.915,38.915,38.915,"C0014G-5H-4 W, 30.0--32.0 cm",CKY000000000003325700,CARB,NULL,5,steven331,NULL,CKY,2010-09-22T00:01:55Z,NULL,NULL,NULL,NULL,0.01793,0.01953,14.04047,9/28/2010,hitomiy,2010-10-03T20:41:12Z
"C0014G-5H-4, 31.0 cm",NULL,38.905,38.905,38.905,38.905,"C0014G-5H-4, 31.0 cm",NULL,38.905,38.905,38.905,38.905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL
