Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014G-1H-1, 0.0 cm",NULL,0,0,0,0,"C0014G-1H-1, 2.0 cm",NULL,0.019,0.02,0.019,0.02,"C0014G-1H-1 W, 0.0--2.0 cm",CKY000000000003282600,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T07:05:10Z,NULL,NULL,NULL,NULL,0.39322,1.23598,0.67684,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-1, 1.0 cm",NULL,0.01,0.01,0.01,0.01,"C0014G-1H-1, 1.0 cm",NULL,0.01,0.01,0.01,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4672,3.8932,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-1H-2, 20.0 cm",NULL,1.569,1.62,1.569,1.62,"C0014G-1H-2, 22.0 cm",NULL,1.588,1.64,1.588,1.64,"C0014G-1H-2 W, 20.0--22.0 cm",CKY000000000003282400,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T06:56:54Z,NULL,NULL,NULL,NULL,0.59549,1.54919,1.6345,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-2, 21.0 cm",NULL,1.579,1.63,1.579,1.63,"C0014G-1H-2, 21.0 cm",NULL,1.579,1.63,1.579,1.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8263,6.8856,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-1H-3, 120.0 cm",NULL,3.903,4.03,3.903,4.03,"C0014G-1H-3, 122.0 cm",NULL,3.922,4.05,3.922,4.05,"C0014G-1H-3 W, 120.0--122.0 cm",CKY000000000003281700,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T06:54:55Z,NULL,NULL,NULL,NULL,0.56381,0.74546,1.41966,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-3, 121.0 cm",NULL,3.912,4.04,3.912,4.04,"C0014G-1H-3, 121.0 cm",NULL,3.912,4.04,3.912,4.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.024,0.2,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-1H-5, 10.0 cm",NULL,5.559,5.74,5.559,5.74,"C0014G-1H-5, 12.0 cm",NULL,5.578,5.76,5.578,5.76,"C0014G-1H-5 W, 10.0--12.0 cm",CKY000000000003282100,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T06:55:57Z,NULL,NULL,NULL,NULL,0.05955,0.14284,1.89945,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-5, 11.0 cm",NULL,5.568,5.75,5.568,5.75,"C0014G-1H-5, 11.0 cm",NULL,5.568,5.75,5.568,5.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0051,0.0425,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-1H-6, 36.0 cm",NULL,7.176,7.41,7.176,7.41,"C0014G-1H-6, 38.0 cm",NULL,7.195,7.43,7.195,7.43,"C0014G-1H-6 W, 36.0--38.0 cm",CKY000000000003281400,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T06:53:56Z,NULL,NULL,NULL,NULL,0,0.03867,0.23108,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-6, 37.0 cm",NULL,7.186,7.42,7.186,7.42,"C0014G-1H-6, 37.0 cm",NULL,7.186,7.42,7.186,7.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0043,0.0358,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-1H-7, 48.0 cm",NULL,8.658,8.94,8.658,8.94,"C0014G-1H-7, 50.0 cm",NULL,8.677,8.96,8.677,8.96,"C0014G-1H-7 W, 48.0--50.0 cm",CKY000000000003281000,CARB,NULL,5,hilairy331,NULL,CKY,2010-09-21T06:52:51Z,NULL,NULL,NULL,NULL,0,0.03719,0.30134,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-1H-7, 49.0 cm",NULL,8.667,8.95,8.667,8.95,"C0014G-1H-7, 49.0 cm",NULL,8.667,8.95,8.667,8.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0018,0.015,kawait,2010-10-03T16:37:54Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-1, 42.0 cm",NULL,9.606,9.62,9.606,9.62,"C0014G-2H-1, 44.0 cm",NULL,9.625,9.64,9.625,9.64,"C0014G-2H-1 W, 42.0--44.0 cm",CKY000000000003286800,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T09:28:36Z,NULL,NULL,NULL,NULL,0.01043,0.13088,0.65526,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-1, 43.0 cm",NULL,9.615,9.63,9.615,9.63,"C0014G-2H-1, 43.0 cm",NULL,9.615,9.63,9.615,9.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0336,0.28,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-2, 37.5 cm",NULL,10.894,10.955,10.894,10.955,"C0014G-2H-2, 40.0 cm",NULL,10.919,10.98,10.919,10.98,"C0014G-2H-2 W, 37.5--40.0 cm",CKY000000000003287700,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T09:36:30Z,NULL,NULL,NULL,NULL,0.00936,0.09661,1.73609,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-2, 38.8 cm",NULL,10.907,10.968,10.907,10.968,"C0014G-2H-2, 38.8 cm",NULL,10.907,10.968,10.907,10.968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0019,0.0158,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-4, 88.0 cm",NULL,14.095,14.27,14.095,14.27,"C0014G-2H-4, 90.0 cm",NULL,14.114,14.29,14.114,14.29,"C0014G-2H-4 W, 88.0--90.0 cm",CKY000000000003287600,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T09:32:57Z,NULL,NULL,NULL,NULL,0.03497,0.09683,1.5615,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-4, 89.0 cm",NULL,14.105,14.28,14.105,14.28,"C0014G-2H-4, 89.0 cm",NULL,14.105,14.28,14.105,14.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.003,0.025,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014G-2H-4, 115.0 cm",NULL,14.356,14.54,14.356,14.54,"C0014G-2H-4, 117.0 cm",NULL,14.375,14.56,14.375,14.56,"C0014G-2H-4 W, 115.0--117.0 cm",CKY000000000003288200,CARB,NULL,6,hilairy331,NULL,CKY,2010-09-21T09:39:13Z,NULL,NULL,NULL,NULL,0,0.03901,1.78116,9/27/2010,hitomiy,2010-10-03T20:41:10Z
"C0014G-2H-4, 116.0 cm",NULL,14.365,14.55,14.365,14.55,"C0014G-2H-4, 116.0 cm",NULL,14.365,14.55,14.365,14.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004,0.0333,kawait,2010-10-03T16:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL
