Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0006D-1H-2, 0.0 cm",NULL,1.104,1.21,1.104,1.21,"C0006D-1H-2, 1.5 cm",NULL,1.117,1.225,1.117,1.225,"C0006D-1H-2 WR, 0.0--1.5 cm",CKY000000000000947000,CARB,NULL,2,arito316,CKY,2007-12-28T15:44:01Z,NULL,NULL,NULL,NULL,0.03875,0.5015,0.6686,1/11/2008,kuriharar,2008-01-31T07:38:09Z
"C0006D-1H-2, 0.7 cm",NULL,1.11,1.217,1.11,1.217,"C0006D-1H-2, 0.7 cm",NULL,1.11,1.217,1.11,1.217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2470686,2.058082,kuriharar,2010-09-29T09:19:58Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006D-1H-2, 20.0 cm",NULL,1.286,1.41,1.286,1.41,"C0006D-1H-2, 21.5 cm",NULL,1.3,1.425,1.3,1.425,"C0006D-1H-2 WR, 20.0--21.5 cm",CKY000000000000947400,CARB,NULL,2,arito316,CKY,2007-12-28T15:45:47Z,NULL,NULL,NULL,NULL,0.03993,0.64534,0.80603,1/11/2008,kuriharar,2008-01-31T07:38:09Z
"C0006D-1H-2, 20.7 cm",NULL,1.293,1.417,1.293,1.417,"C0006D-1H-2, 20.7 cm",NULL,1.293,1.417,1.293,1.417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3110538,2.591078,kuriharar,2010-09-29T09:19:58Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0006D-1H-5, 0.0 cm",NULL,3.685,4.04,3.685,4.04,"C0006D-1H-5, 1.5 cm",NULL,3.699,4.055,3.699,4.055,"C0006D-1H-5 WR, 0.0--1.5 cm",CKY000000000000947700,CARB,NULL,2,arito316,CKY,2007-12-28T15:57:20Z,NULL,NULL,NULL,NULL,0.05447,0.99663,0.34334,1/11/2008,kuriharar,2008-01-31T07:38:10Z
"C0006D-1H-5, 0.7 cm",NULL,3.692,4.047,3.692,4.047,"C0006D-1H-5, 0.7 cm",NULL,3.692,4.047,3.692,4.047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.509458,4.243785,miyabes,2008-02-04T01:53:07Z,NULL,NULL,NULL,NULL,NULL,NULL
