Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013E-1H-4, 30.0 cm",NULL,2.305,2.305,2.305,2.305,"C0013E-1H-4, 40.0 cm",NULL,2.405,2.405,2.405,2.405,"C0013E-1H-4 WR, 30.0--40.0 cm",CKY000000000002966100,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0.00653,0.02481,25.04486,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013E-1H-4, 35.0 cm",NULL,2.355,2.355,2.355,2.355,"C0013E-1H-4, 35.0 cm",NULL,2.355,2.355,2.355,2.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-4, 68.0 cm",NULL,2.685,2.685,2.685,2.685,"C0013E-1H-4, 70.0 cm",NULL,2.705,2.705,2.705,2.705,"C0013E-1H-4 W, 68.0--70.0 cm",CKY000000000002948900,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T22:57:06Z,NULL,NULL,NULL,NULL,0,0.02415,30.44474,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-4, 69.0 cm",NULL,2.695,2.695,2.695,2.695,"C0013E-1H-4, 69.0 cm",NULL,2.695,2.695,2.695,2.695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000836421,0.006969893,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-5, 41.0 cm",NULL,3.8,3.8,3.8,3.8,"C0013E-1H-5, 43.0 cm",NULL,3.82,3.82,3.82,3.82,"C0013E-1H-5 W, 41.0--43.0 cm",CKY000000000002949600,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T23:05:55Z,NULL,NULL,NULL,NULL,0,0.01527,28.347,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-5, 42.0 cm",NULL,3.81,3.81,3.81,3.81,"C0013E-1H-5, 42.0 cm",NULL,3.81,3.81,3.81,3.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004272283,0.035600934,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-5, 76.0 cm",NULL,4.15,4.15,4.15,4.15,"C0013E-1H-5, 86.0 cm",NULL,4.25,4.25,4.25,4.25,"C0013E-1H-5 WR, 76.0--86.0 cm",CKY000000000002966200,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0.01021,0.06619,11.98378,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013E-1H-5, 81.0 cm",NULL,4.2,4.2,4.2,4.2,"C0013E-1H-5, 81.0 cm",NULL,4.2,4.2,4.2,4.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002044587,0.01703754,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-6, 62.0 cm",NULL,5.325,5.325,5.325,5.325,"C0013E-1H-6, 72.0 cm",NULL,5.425,5.425,5.425,5.425,"C0013E-1H-6 WR, 62.0--72.0 cm",CKY000000000002966300,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,0.13421,21.1285,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013E-1H-6, 67.0 cm",NULL,5.375,5.375,5.375,5.375,"C0013E-1H-6, 67.0 cm",NULL,5.375,5.375,5.375,5.375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00267375,0.02228036,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-6, 99.0 cm",NULL,5.695,5.695,5.695,5.695,"C0013E-1H-6, 101.0 cm",NULL,5.715,5.715,5.715,5.715,"C0013E-1H-6 W, 99.0--101.0 cm",CKY000000000002949900,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T23:08:14Z,NULL,NULL,NULL,NULL,0,0.01157,21.05226,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-6, 100.0 cm",NULL,5.705,5.705,5.705,5.705,"C0013E-1H-6, 100.0 cm",NULL,5.705,5.705,5.705,5.705,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001333869,0.011115128,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-2H-1, 58.0 cm",NULL,9.073,9.08,9.073,9.08,"C0013E-2H-1, 60.0 cm",NULL,9.093,9.1,9.093,9.1,"C0013E-2H-1 W, 58.0--60.0 cm",CKY000000000002961400,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T04:12:06Z,NULL,NULL,NULL,NULL,0,0.33091,31.69702,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-2H-1, 59.0 cm",NULL,9.083,9.09,9.083,9.09,"C0013E-2H-1, 59.0 cm",NULL,9.083,9.09,9.083,9.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.105526154,0.879349438,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-2H-CC, 5.0 cm",NULL,9.532,9.545,9.532,9.545,"C0013E-2H-CC, 7.0 cm",NULL,9.552,9.565,9.552,9.565,"C0013E-2H-CC W, 5.0--7.0 cm",CKY000000000002961700,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T04:13:51Z,NULL,NULL,NULL,NULL,0,4.88083,5.57619,9/30/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-2H-CC, 6.0 cm",NULL,9.542,9.555,9.542,9.555,"C0013E-2H-CC, 6.0 cm",NULL,9.542,9.555,9.542,9.555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.023441886,41.86034123,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-5H-1, 82.0 cm",NULL,16.82,16.82,16.82,16.82,"C0013E-5H-1, 84.0 cm",NULL,16.84,16.84,16.84,16.84,"C0013E-5H-1 W, 82.0--84.0 cm",CKY000000000002962200,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T04:19:51Z,NULL,NULL,NULL,NULL,0,0.01236,5.77591,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-5H-1, 83.0 cm",NULL,16.83,16.83,16.83,16.83,"C0013E-5H-1, 83.0 cm",NULL,16.83,16.83,16.83,16.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002817711,0.023479983,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-5H-1, 88.0 cm",NULL,16.88,16.88,16.88,16.88,"C0013E-5H-1, 96.0 cm",NULL,16.96,16.96,16.96,16.96,"C0013E-5H-1 WR, 88.0--96.0 cm",CKY000000000002966400,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,0.02044,3.18265,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013E-5H-1, 92.0 cm",NULL,16.92,16.92,16.92,16.92,"C0013E-5H-1, 92.0 cm",NULL,16.92,16.92,16.92,16.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001602196,0.013351096,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-6X-CC, 43.0 cm",NULL,23.43,23.43,23.43,23.43,"C0013E-6X-CC, 45.0 cm",NULL,23.45,23.45,23.45,23.45,"C0013E-6X-CC W, 43.0--45.0 cm",CKY000000000002962500,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T04:21:19Z,NULL,NULL,NULL,NULL,0,0.01171,3.11157,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-6X-CC, 44.0 cm",NULL,23.44,23.44,23.44,23.44,"C0013E-6X-CC, 44.0 cm",NULL,23.44,23.44,23.44,23.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001254986,0.010457797,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-7L-2, 43.0 cm",NULL,26.775,26.775,26.775,26.775,"C0013E-7L-2, 46.0 cm",NULL,26.805,26.805,26.805,26.805,"C0013E-7L-2 W, 43.0--46.0 cm",CKY000000000002969700,CARB,NULL,3,chris331,NULL,CKY,2010-09-13T21:21:33Z,NULL,NULL,NULL,NULL,0,0.00815,1.42378,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013E-7L-2, 44.5 cm",NULL,26.79,26.79,26.79,26.79,"C0013E-7L-2, 44.5 cm",NULL,26.79,26.79,26.79,26.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.005264198,0.043866564,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-9X-CC, 8.0 cm",NULL,45.145,45.145,45.145,45.145,"C0013E-9X-CC, 10.0 cm",NULL,45.165,45.165,45.165,45.165,"C0013E-9X-CC W, 8.0--10.0 cm",CKY000000000002970900,CARB,NULL,3,chris331,NULL,CKY,2010-09-14T08:08:24Z,NULL,NULL,NULL,NULL,0.00728,0.01609,1.46413,9/20/2010,hitomiy,2010-10-03T20:41:05Z
"C0013E-9X-CC, 9.0 cm",NULL,45.155,45.155,45.155,45.155,"C0013E-9X-CC, 9.0 cm",NULL,45.155,45.155,45.155,45.155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0017,0.0142,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
