Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0013E-1H-1, 2.0 cm",NULL,0.02,0.02,0.02,0.02,"C0013E-1H-1, 4.0 cm",NULL,0.04,0.04,0.04,0.04,"C0013E-1H-1 W, 2.0--4.0 cm",CKY000000000002948300,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T22:51:01Z,NULL,NULL,NULL,NULL,0.03899,0.27558,65.86062,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-1, 3.0 cm",NULL,0.03,0.03,0.03,0.03,"C0013E-1H-1, 3.0 cm",NULL,0.03,0.03,0.03,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.003160343,0.026335138,kawait,2010-10-03T15:06:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-2, 15.0 cm",NULL,0.31,0.31,0.31,0.31,"C0013E-1H-2, 24.0 cm",NULL,0.4,0.4,0.4,0.4,"C0013E-1H-2 WR, 15.0--24.0 cm",CKY000000000002965900,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,0.09482,29.71197,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013E-1H-2, 19.5 cm",NULL,0.355,0.355,0.355,0.355,"C0013E-1H-2, 19.5 cm",NULL,0.355,0.355,0.355,0.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.005024662,0.04187051,kawait,2010-10-03T15:06:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-2, 83.0 cm",NULL,0.99,0.99,0.99,0.99,"C0013E-1H-2, 93.0 cm",NULL,1.09,1.09,1.09,1.09,"C0013E-1H-2 WR, 83.0--93.0 cm",CKY000000000002966000,CARB,NULL,2,miyabes,NULL,CKY,2010-09-13T05:26:41Z,NULL,NULL,NULL,NULL,0,0.02789,30.00576,9/20/2010,hitomiy,2010-10-03T20:41:04Z
"C0013E-1H-2, 88.0 cm",NULL,1.04,1.04,1.04,1.04,"C0013E-1H-2, 88.0 cm",NULL,1.04,1.04,1.04,1.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.003624345,0.030201668,kawait,2010-10-03T15:06:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-2, 124.0 cm",NULL,1.4,1.4,1.4,1.4,"C0013E-1H-2, 126.0 cm",NULL,1.42,1.42,1.42,1.42,"C0013E-1H-2 W, 124.0--126.0 cm",CKY000000000002948600,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T22:52:28Z,NULL,NULL,NULL,NULL,0,0.0872,23.97753,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-2, 125.0 cm",NULL,1.41,1.41,1.41,1.41,"C0013E-1H-2, 125.0 cm",NULL,1.41,1.41,1.41,1.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002550742,0.021255333,kawait,2010-10-03T15:06:19Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0013E-1H-3, 40.5 cm",NULL,1.975,1.975,1.975,1.975,"C0013E-1H-3, 42.5 cm",NULL,1.995,1.995,1.995,1.995,"C0013E-1H-3 W, 40.5--42.5 cm",CKY000000000002949200,CARB,NULL,3,suzukit,NULL,CKY,2010-09-12T23:02:22Z,NULL,NULL,NULL,NULL,0,0.12267,32.61326,9/20/2010,hitomiy,2010-10-03T20:41:03Z
"C0013E-1H-3, 41.5 cm",NULL,1.985,1.985,1.985,1.985,"C0013E-1H-3, 41.5 cm",NULL,1.985,1.985,1.985,1.985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00277042,0.023085909,kawait,2010-10-03T15:06:20Z,NULL,NULL,NULL,NULL,NULL,NULL
