Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
NULL,NULL,C0020A;2206.500,NULL,2206.5,NULL,NULL,2206.5,NULL,NULL,C0020A;2216.500,NULL,2216.5,NULL,NULL,2216.5,C0020A-286SMW WR,CKY000000000005637500,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.1931,1.6091,0.056595464,1.787546939,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0020A;2296.500,NULL,2296.5,NULL,NULL,2296.5,NULL,NULL,C0020A;2306.500,NULL,2306.5,NULL,NULL,2306.5,C0020A-352SMW WR,CKY000000000005746300,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:28:40Z,0.6134,5.1115,0.070571399,2.916094558,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-28R-3, 0.0 cm",NULL,NULL,NULL,2302.817,2302.82,2302.817,2302.82,"C0020A-28R-3, 24.0 cm",NULL,NULL,NULL,2303.057,2303.06,2303.057,2303.06,"C0020A-28R-3 WR, 0.0--24.0 cm",CKY000000000005653300,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.1604,1.3366,0.059563577,0.553361284,0.128627139,NULL,hoshinoh,2012-09-18T13:44:52Z,51,0.14,244,22,0.01,0.05,0,0.13,0.36,0.05,0.31,0,0.21,1,11.37,4.6,0.09,1.28,0.2,435,0.41,651,478,0.29,miyabes,2012-09-19T12:46:38Z
"C0020A-28R-6, 30.0 cm",NULL,NULL,NULL,2306.693,2306.7,2306.693,2306.7,"C0020A-28R-6, 46.0 cm",NULL,NULL,NULL,2306.853,2306.86,2306.853,2306.86,"C0020A-28R-6 WR, 30.0--46.0 cm",CKY000000000005653400,CARB,NULL,1,moriyas,shared with BMK,CKY,2012-09-21T00:34:42Z,0.3033,2.5274,0.069567622,0.869429976,0.06457013,NULL,hoshinoh,2012-09-18T13:44:52Z,53,0.29,157,25,0.02,0.06,0,0.28,0.54,0.08,0.46,0,0.32,0.94,17.03,10.1,0.15,1.82,0.1,437,0.6,651,480,0.62,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;2396.500,NULL,2396.5,NULL,NULL,2396.5,NULL,NULL,C0020A;2406.500,NULL,2406.5,NULL,NULL,2406.5,C0020A-369SMW WR,CKY000000000005746400,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:28:40Z,0.5077,4.2307,0.063191182,2.259139428,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-29R-2, 17.5 cm",NULL,NULL,NULL,2401.571,2401.58,2401.571,2401.58,"C0020A-29R-2, 27.0 cm",NULL,NULL,NULL,2401.665,2401.675,2401.665,2401.675,"C0020A-29R-2 WR, 17.5--27.0 cm",CKY000000000005710100,CARB,NULL,1,hitomiy,shared with BMK,CKY,2012-09-10T08:11:31Z,0.4492,3.7432,0.045190039,0.73650609,0.078541819,NULL,hoshinoh,2012-09-18T13:44:52Z,38,0.46,192,12,0,0.03,0,0.46,0.23,0.03,0.2,0,0.1,0.5,7.19,16.6,0.03,0.63,0.2,426,0.26,651,469,0.16,miyabes,2012-09-19T12:46:38Z
"C0020A-29R-5, 59.0 cm",NULL,NULL,NULL,2405.538,2405.57,2405.538,2405.57,"C0020A-29R-5, 81.0 cm",NULL,NULL,NULL,2405.757,2405.79,2405.757,2405.79,"C0020A-29R-5 WR, 59.0--81.0 cm",CKY000000000005710000,CARB,NULL,1,hitomiy,shared with BMK,CKY,2012-09-10T08:11:31Z,0.2422,2.0183,0.046736185,0.549706427,0.073547029,NULL,hoshinoh,2012-09-18T13:44:52Z,37,0.25,174,29,0.01,0.03,0,0.24,0.32,0.05,0.27,0,0.13,0.61,10,8.8,0.1,1.08,0.1,427,0.35,651,470,0.44,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;2446.500,NULL,2446.5,NULL,NULL,2446.5,NULL,NULL,C0020A;2456.500,NULL,2456.5,NULL,NULL,2456.5,C0020A-390SMW WR,CKY000000000005746500,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:28:40Z,0.4425,3.6874,0.122466966,4.641248784,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-30R-4, 6.0 cm",NULL,NULL,NULL,2449.76,2449.76,2449.76,2449.76,"C0020A-30R-4, 23.0 cm",NULL,NULL,NULL,2449.93,2449.93,2449.93,2449.93,"C0020A-30R-4 WR, 6.0--23.0 cm",CKY000000000005709900,CARB,NULL,1,hitomiy,shared with BMK,CKY,2012-09-10T08:11:31Z,0,0,0.039093579,0.108673947,0.630183246,NULL,hoshinoh,2012-09-18T13:44:52Z,88,0.02,138,0,0,0.01,0,0.01,0.07,0.01,0.06,0,0.07,0.11,2.22,0.5,0,0.24,0,432,0.08,651,475,0.11,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;2456.000,NULL,2456,NULL,NULL,2456,NULL,NULL,C0020A;2466.000,NULL,2466,NULL,NULL,2466,C0020A-391SMW WR,CKY000000000005746600,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:28:40Z,0.4725,3.9373,0.089258105,3.340310856,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-32R-2, 43.0 cm",NULL,NULL,NULL,2458.221,2458.38,2458.221,2458.38,"C0020A-32R-2, 65.0 cm",NULL,NULL,NULL,2458.422,2458.6,2458.422,2458.6,"C0020A-32R-2 WR, 43.0--65.0 cm",CKY000000000005709800,CARB,NULL,1,hitomiy,shared with BMK,CKY,2012-09-10T08:11:31Z,0.1254,1.045,0.061738466,0.662857084,0.0664528,NULL,hoshinoh,2012-09-18T13:44:52Z,55,0.13,120,12,0.01,0.04,0,0.12,0.45,0.07,0.38,0,0.27,0.59,14.11,4.3,0.06,1.65,0.1,433,0.49,651,476,0.52,miyabes,2012-09-19T12:46:38Z
