Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
"C0020A-19R-8, 60.0 cm",NULL,NULL,NULL,1958.398,1959.1,1958.398,1959.1,"C0020A-19R-8, 77.0 cm",NULL,NULL,NULL,1958.554,1959.27,1958.554,1959.27,"C0020A-19R-8 WR, 60.0--77.0 cm",CKY000000000005565200,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T11:07:55Z,0.0143,0.1192,0.021623317,0.143518538,0.168768935,NULL,hoshinoh,2012-09-18T13:44:52Z,108,0.03,208,8,0,0.02,0,0.03,0.11,0.03,0.08,0,0.14,0.27,3.1,1.2,0.01,0.69,0,439,0.13,651,480,0,miyabes,2012-09-19T12:46:38Z
"C0020A-19R-9, 0.0 cm",NULL,NULL,NULL,1958.554,1959.27,1958.554,1959.27,"C0020A-19R-9, 20.0 cm",NULL,NULL,NULL,1958.739,1959.47,1958.739,1959.47,"C0020A-19R-9 WR, 0.0--20.0 cm",CKY000000000005575000,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.0142,0.1183,0.016026141,0.083950297,0.184716037,NULL,hoshinoh,2012-09-18T13:44:52Z,400,0.03,440,20,0,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.2,0.22,0.83,0.9,0.01,0.2,0,562,0.05,651,605,0.06,miyabes,2012-09-19T12:46:38Z
"C0020A-20R-3, 0.0 cm",NULL,NULL,NULL,1961.565,1961.565,1961.565,1961.565,"C0020A-20R-3, 13.0 cm",NULL,NULL,NULL,1961.695,1961.695,1961.695,1961.695,"C0020A-20R-3 WR, 0.0--13.0 cm",CKY000000000005575100,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.0802,0.6683,0.032704086,0.345288798,0.279642726,NULL,hoshinoh,2012-09-18T13:44:52Z,86,0.12,135,5,0.02,0.04,0,0.09,0.33,0.07,0.26,0,0.32,0.5,9.49,3.4,0.02,1.67,0.1,429,0.37,651,470,0.85,miyabes,2012-09-19T12:46:38Z
"C0020A-20R-7, 62.0 cm",NULL,NULL,NULL,1966.31,1966.31,1966.31,1966.31,"C0020A-20R-7, 76.0 cm",NULL,NULL,NULL,1966.45,1966.45,1966.45,1966.45,"C0020A-20R-7 WR, 62.0--76.0 cm",CKY000000000005575200,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.1655,1.3791,0.030253833,0.303417076,0.138861999,NULL,hoshinoh,2012-09-18T13:44:52Z,121,0.15,268,5,0,0.03,0,0.14,0.16,0.04,0.12,0,0.23,0.51,4.58,5.3,0.01,1.04,0,427,0.19,651,468,0.05,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1966.500,NULL,1966.5,NULL,NULL,1966.5,NULL,NULL,C0020A;1976.500,NULL,1976.5,NULL,NULL,1976.5,C0020A-249SMW WR,CKY000000000005746000,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:19:27Z,0.4684,3.9032,0.143448346,8.355181242,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-21R-4, 32.0 cm",NULL,NULL,NULL,1971.725,1971.725,1971.725,1971.725,"C0020A-21R-4, 42.0 cm",NULL,NULL,NULL,1971.825,1971.825,1971.825,1971.825,"C0020A-21R-4 WR, 32.0--42.0 cm",CKY000000000005575300,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.4122,3.4349,0.037832965,0.858966652,0.061862506,NULL,hoshinoh,2012-09-18T13:44:52Z,82,0.39,136,30,0.04,0.05,0,0.35,0.39,0.07,0.32,0,0.36,0.6,11.67,12.8,0.13,1.67,0.1,426,0.44,651,467,1.35,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1976.500,NULL,1976.5,NULL,NULL,1976.5,NULL,NULL,C0020A;1986.500,NULL,1986.5,NULL,NULL,1986.5,C0020A-250SMW WR,CKY000000000005746100,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:19:27Z,0.4333,3.6107,0.087451029,5.196292241,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0020A;1986.500,NULL,1986.5,NULL,NULL,1986.5,NULL,NULL,C0020A;1996.500,NULL,1996.5,NULL,NULL,1996.5,C0020A-252SMW WR,CKY000000000005746200,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T22:19:27Z,0.3999,3.3324,0.159468006,8.129406509,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-23R-8, 0.0 cm",NULL,NULL,NULL,1989.271,1989.475,1989.271,1989.475,"C0020A-23R-8, 15.0 cm",NULL,NULL,NULL,1989.417,1989.625,1989.417,1989.625,"C0020A-23R-8 WR, 0.0--15.0 cm",CKY000000000005575400,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.4591,3.8257,0.032106128,1.191953173,0.031935806,NULL,hoshinoh,2012-09-18T13:44:52Z,134,0.46,171,25,0.03,0.14,0.04,0.43,0.62,0.12,0.5,0.04,1.02,1.3,18.46,15.7,0.19,2.87,0.2,425,0.76,651,466,1.11,miyabes,2012-09-19T12:46:38Z
"C0020A-24R-3, 55.0 cm",NULL,NULL,NULL,1993.765,1993.765,1993.765,1993.765,"C0020A-24R-3, 65.0 cm",NULL,NULL,NULL,1993.865,1993.865,1993.865,1993.865,"C0020A-24R-3 WR, 55.0--65.0 cm",CKY000000000005530900,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.0094,0.0783,1.238366976,49.98709274,0.281456567,"TC, TN & TS data was accepted second measurement.",hoshinoh,2012-09-18T13:44:52Z,182,5.45,46,31,3.83,6.35,0,1.62,27.85,6.06,21.79,0,62.08,15.59,798.8,47.6,10.44,141.45,15,417,34.2,817,456,140.28,miyabes,2012-09-19T12:46:38Z
