Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0014C-1H-1, 12.0 cm",NULL,0.12,0.12,0.12,0.12,"C0014C-1H-1, 14.0 cm",NULL,0.14,0.14,0.14,0.14,"C0014C-1H-1 W, 12.0--14.0 cm",CKY000000000003122300,CARB,NULL,3,juan331,CKY,2010-09-18T03:08:38Z,NULL,NULL,NULL,NULL,0.04668,0.60482,1.68376,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014C-1H-1, 13.0 cm",NULL,0.13,0.13,0.13,0.13,"C0014C-1H-1, 13.0 cm",NULL,0.13,0.13,0.13,0.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0005,0.0042,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014C-1H-4, 29.0 cm",NULL,1.245,1.245,1.245,1.245,"C0014C-1H-4, 31.0 cm",NULL,1.265,1.265,1.265,1.265,"C0014C-1H-4 W, 29.0--31.0 cm",CKY000000000003123000,CARB,NULL,3,juan331,CKY,2010-09-18T03:11:36Z,NULL,NULL,NULL,NULL,0.00709,0.10106,0.56216,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014C-1H-4, 30.0 cm",NULL,1.255,1.255,1.255,1.255,"C0014C-1H-4, 30.0 cm",NULL,1.255,1.255,1.255,1.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014C-1H-4, 97.0 cm",NULL,1.925,1.925,1.925,1.925,"C0014C-1H-4, 99.0 cm",NULL,1.945,1.945,1.945,1.945,"C0014C-1H-4 W, 97.0--99.0 cm",CKY000000000003123300,CARB,NULL,3,juan331,CKY,2010-09-18T03:14:42Z,NULL,NULL,NULL,NULL,0,0.07473,0.41799,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014C-1H-4, 98.0 cm",NULL,1.935,1.935,1.935,1.935,"C0014C-1H-4, 98.0 cm",NULL,1.935,1.935,1.935,1.935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0007,0.0058,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0014C-1H-6, 37.5 cm",NULL,4.195,4.195,4.195,4.195,"C0014C-1H-6, 39.5 cm",NULL,4.215,4.215,4.215,4.215,"C0014C-1H-6 W, 37.5--39.5 cm",CKY000000000003123800,CARB,NULL,3,juan331,CKY,2010-09-18T03:17:45Z,NULL,NULL,NULL,NULL,0,0.09929,0.64528,9/26/2010,hitomiy,2010-10-03T20:41:07Z
"C0014C-1H-6, 38.5 cm",NULL,4.205,4.205,4.205,4.205,"C0014C-1H-6, 38.5 cm",NULL,4.205,4.205,4.205,4.205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,kawait,2010-10-03T16:37:50Z,NULL,NULL,NULL,NULL,NULL,NULL
