Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0004D-4R-2, 0.0 cm",NULL,129.07,129.07,129.07,129.07,"C0004D-4R-2, 1.5 cm",NULL,129.085,129.085,129.085,129.085,"C0004D-4R-2 WR, 0.0--1.5 cm",CKY000000000000810500,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-22T11:23:03Z,NULL,NULL,NULL,NULL,0.0629,0.51589,0.23942,12/28/2007,kuriharar,2008-01-31T07:37:36Z
"C0004D-4R-2, 0.7 cm",NULL,129.077,129.077,129.077,129.077,"C0004D-4R-2, 0.7 cm",NULL,129.077,129.077,129.077,129.077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2061564,1.717901,miyabes,2008-02-04T01:53:03Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-5R-3, 0.0 cm",NULL,139.54,139.54,139.54,139.54,"C0004D-5R-3, 1.5 cm",NULL,139.555,139.555,139.555,139.555,"C0004D-5R-3 WR, 0.0--1.5 cm",CKY000000000000811100,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-22T11:25:04Z,NULL,NULL,NULL,NULL,0.06712,0.50475,0.55378,12/28/2007,kuriharar,2008-01-31T07:37:36Z
"C0004D-5R-3, 0.7 cm",NULL,139.547,139.547,139.547,139.547,"C0004D-5R-3, 0.7 cm",NULL,139.547,139.547,139.547,139.547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2130936,1.775709,miyabes,2008-02-04T01:53:06Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-7R-2, 0.0 cm",NULL,152.905,152.905,152.905,152.905,"C0004D-7R-2, 1.5 cm",NULL,152.92,152.92,152.92,152.92,"C0004D-7R-2 WR, 0.0--1.5 cm",CKY000000000000812100,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-22T13:34:36Z,NULL,NULL,NULL,NULL,0.08131,0.57778,0.36323,12/28/2007,kuriharar,2008-01-31T07:37:37Z
"C0004D-7R-2, 0.7 cm",NULL,152.912,152.912,152.912,152.912,"C0004D-7R-2, 0.7 cm",NULL,152.912,152.912,152.912,152.912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1787123,1.48921,miyabes,2008-02-04T01:53:06Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-13R-2, 14.0 cm",NULL,179.535,179.535,179.535,179.535,"C0004D-13R-2, 15.0 cm",NULL,179.545,179.545,179.545,179.545,"C0004D-13R-2 WR, 14.0--15.0 cm",CKY000000000000833800,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-23T08:21:15Z,NULL,NULL,NULL,NULL,0.06025,0.60824,0.18629,1/11/2008,kuriharar,2008-01-31T07:37:37Z
"C0004D-13R-2, 14.5 cm",NULL,179.54,179.54,179.54,179.54,"C0004D-13R-2, 14.5 cm",NULL,179.54,179.54,179.54,179.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1747712,1.456369,miyabes,2008-02-04T01:52:59Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-16R-2, 13.5 cm",NULL,203.26,203.26,203.26,203.26,"C0004D-16R-2, 15.0 cm",NULL,203.275,203.275,203.275,203.275,"C0004D-16R-2 WR, 13.5--15.0 cm",CKY000000000000841500,CARB,NULL,2,chesterf316,NULL,CKY,2007-12-23T14:23:24Z,NULL,NULL,NULL,NULL,0.07459,0.96422,0.22606,12/28/2007,kuriharar,2008-01-31T07:37:37Z
"C0004D-16R-2, 14.2 cm",NULL,203.267,203.267,203.267,203.267,"C0004D-16R-2, 14.2 cm",NULL,203.267,203.267,203.267,203.267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6600801,5.500448,miyabes,2008-02-04T01:52:59Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-19R-2, 1.0 cm",NULL,226.665,226.665,226.665,226.665,"C0004D-19R-2, 1.5 cm",NULL,226.67,226.67,226.67,226.67,"C0004D-19R-2 WR, 1.0--1.5 cm",CKY000000000000844100,CARB,NULL,2,arito316,NULL,CKY,2007-12-23T16:47:38Z,NULL,NULL,NULL,NULL,0.09112,1.14176,0.42514,12/28/2007,kuriharar,2008-01-31T07:37:38Z
"C0004D-19R-2, 1.3 cm",NULL,226.668,226.668,226.668,226.668,"C0004D-19R-2, 1.3 cm",NULL,226.668,226.668,226.668,226.668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7288892,6.073833,miyabes,2008-02-04T01:52:59Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-23R-1, 97.0 cm",NULL,247.97,247.97,247.97,247.97,"C0004D-23R-1, 98.5 cm",NULL,247.985,247.985,247.985,247.985,"C0004D-23R-1 WR, 97.0--98.5 cm",CKY000000000000847600,CARB,NULL,2,arito316,NULL,CKY,2007-12-23T23:21:22Z,NULL,NULL,NULL,NULL,0.10718,0.93547,0.56394,12/28/2007,kuriharar,2008-01-31T07:37:38Z
"C0004D-23R-1, 97.8 cm",NULL,247.978,247.978,247.978,247.978,"C0004D-23R-1, 97.8 cm",NULL,247.978,247.978,247.978,247.978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3118783,2.598882,miyabes,2008-02-04T01:52:59Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-26R-3, 0.0 cm",NULL,262.586,262.586,262.586,262.586,"C0004D-26R-3, 1.5 cm",NULL,262.601,262.601,262.601,262.601,"C0004D-26R-3 WR, 0.0--1.5 cm",CKY000000000000850100,CARB,NULL,2,arito316,NULL,CKY,2007-12-24T02:10:08Z,NULL,NULL,NULL,NULL,0.10051,0.46832,0.42393,12/28/2007,kuriharar,2008-01-31T07:37:38Z
"C0004D-26R-3, 0.7 cm",NULL,262.593,262.593,262.593,262.593,"C0004D-26R-3, 0.7 cm",NULL,262.593,262.593,262.593,262.593,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.09143977,0.7619675,miyabes,2008-02-04T01:52:59Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-27R-2, 95.5 cm",NULL,267.365,267.365,267.365,267.365,"C0004D-27R-2, 97.0 cm",NULL,267.38,267.38,267.38,267.38,"C0004D-27R-2 WR, 95.5--97.0 cm",CKY000000000001063100,CARB,NULL,2,screaton316,NULL,CKY,2008-01-01T02:51:44Z,NULL,NULL,NULL,NULL,0.07465,0.96482,0.50349,1/11/2008,kuriharar,2008-01-31T07:37:38Z
"C0004D-27R-2, 96.2 cm",NULL,267.372,267.372,267.372,267.372,"C0004D-27R-2, 96.2 cm",NULL,267.372,267.372,267.372,267.372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4341792,3.618015,miyabes,2008-02-04T01:53:00Z,NULL,NULL,NULL,NULL,NULL,NULL
"C0004D-28R-1, 43.5 cm",NULL,269.935,269.935,269.935,269.935,"C0004D-28R-1, 45.0 cm",NULL,269.95,269.95,269.95,269.95,"C0004D-28R-1 WR, 43.5--45.0 cm",CKY000000000001062400,CARB,NULL,2,screaton316,NULL,CKY,2008-01-01T02:11:59Z,NULL,NULL,NULL,NULL,0.05033,0.7482,0.35834,1/11/2008,kuriharar,2008-01-31T07:37:39Z
"C0004D-28R-1, 44.2 cm",NULL,269.942,269.942,269.942,269.942,"C0004D-28R-1, 44.2 cm",NULL,269.942,269.942,269.942,269.942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3820786,3.183861,miyabes,2008-02-04T01:53:00Z,NULL,NULL,NULL,NULL,NULL,NULL
